,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,59.685,167,-9972.3786975,167,27.621,-4.984,9995.016
20190110,Hold,59.738,0,0.0,167,27.621,3.867,10003.867
20190111,Hold,60.411,0,0.0,167,27.621,116.258,10116.258
20190114,Hold,60.385,0,0.0,167,27.621,111.916,10111.916
20190115,Hold,60.825,0,0.0,167,27.621,185.396,10185.396
20190116,Hold,61.337,0,0.0,167,27.621,270.9,10270.9
20190117,Hold,61.954,0,0.0,167,27.621,373.939,10373.939
20190118,Hold,62.986,0,0.0,167,27.621,546.283,10546.283
20190122,Hold,62.907,0,0.0,167,27.621,533.09,10533.09
20190123,Hold,62.962,0,0.0,167,27.621,542.275,10542.275
20190124,Hold,63.123,0,0.0,167,27.621,569.162,10569.162
20190125,Hold,63.258,0,0.0,167,27.621,591.707,10591.707
20190128,Hold,63.178,0,0.0,167,27.621,578.347,10578.347
20190129,Sell,64.118,-167,10702.352147,0,10729.973,729.973,10729.973
20190130,Buy,64.712,165,-10682.81874,165,47.155,724.635,10724.635
20190131,Hold,64.092,0,0.0,165,47.155,622.335,10622.335
20190201,Hold,65.339,0,0.0,165,47.155,828.09,10828.09
20190204,Sell,64.29,-165,10602.546075,0,10649.701,649.701,10649.701
20190205,Buy,64.926,163,-10588.229469,163,61.471,644.409,10644.409
20190206,Hold,65.369,0,0.0,163,61.471,716.618,10716.618
20190207,Hold,65.403,0,0.0,163,61.471,722.16,10722.16
20190208,Hold,65.788,0,0.0,163,61.471,784.915,10784.915
20190211,Hold,65.962,0,0.0,163,61.471,813.277,10813.277
20190212,Hold,65.886,0,0.0,163,61.471,800.889,10800.889
20190213,Hold,64.883,0,0.0,163,61.471,637.4,10637.4
20190214,Sell,65.851,-163,10728.3461435,0,10789.817,789.817,10789.817
20190215,Hold,66.174,0,0.0,0,10789.817,789.817,10789.817
20190219,Buy,65.59,164,-10762.13838,164,27.679,784.439,10784.439
20190220,Hold,65.905,0,0.0,164,27.679,836.099,10836.099
20190221,Hold,64.883,0,0.0,164,27.679,668.491,10668.491
20190222,Hold,66.425,0,0.0,164,27.679,921.379,10921.379
20190225,Hold,66.758,0,0.0,164,27.679,975.991,10975.991
20190226,Sell,66.184,-164,10848.748912000001,0,10876.428,876.428,10876.428
20190227,Buy,65.771,165,-10857.6411075,165,18.787,871.002,10871.002
20190228,Sell,65.743,-165,10842.1712025,0,10860.958,860.958,10860.958
20190301,Buy,66.112,164,-10847.789183999997,164,13.169,855.537,10855.537
20190304,Hold,66.174,0,0.0,164,13.169,865.705,10865.705
20190305,Hold,66.353,0,0.0,164,13.169,895.061,10895.061
20190306,Hold,66.434,0,0.0,164,13.169,908.345,10908.345
20190307,Sell,66.121,-164,10838.422078,0,10851.591,851.591,10851.591
20190308,Buy,65.935,164,-10818.74667,164,32.844,846.184,10846.184
20190311,Sell,66.328,-164,10872.353104000002,0,10905.197,905.197,10905.197
20190312,Buy,66.875,162,-10839.166874999999,162,66.031,899.781,10899.781
