,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,16.37,610,-9990.69285,610,9.307,-4.993,9995.007
20190110,Hold,16.38,0,0.0,610,9.307,1.107,10001.107
20190111,Hold,16.549,0,0.0,610,9.307,104.197,10104.197
20190114,Hold,16.559,0,0.0,610,9.307,110.297,10110.297
20190115,Hold,16.455,0,0.0,610,9.307,46.857,10046.857
20190116,Hold,16.36,0,0.0,610,9.307,-11.093,9988.907
20190117,Hold,16.334,0,0.0,610,9.307,-26.953,9973.047
20190118,Hold,16.493,0,0.0,610,9.307,70.037,10070.037
20190122,Hold,16.4,0,0.0,610,9.307,13.307,10013.307
20190123,Hold,16.211,0,0.0,610,9.307,-101.983,9898.017
20190124,Hold,15.949,0,0.0,610,9.307,-261.803,9738.197
20190125,Hold,16.286,0,0.0,610,9.307,-56.233,9943.767
20190128,Hold,16.295,0,0.0,610,9.307,-50.743,9949.257
20190129,Hold,16.577,0,0.0,610,9.307,121.277,10121.277
20190130,Hold,16.793,0,0.0,610,9.307,253.037,10253.037
20190131,Hold,17.009,0,0.0,610,9.307,384.797,10384.797
20190201,Hold,16.979,0,0.0,610,9.307,366.497,10366.497
20190204,Sell,16.849,-610,10272.751055,0,10282.058,282.058,10282.058
20190205,Buy,17.103,600,-10266.930900000001,600,15.127,276.927,10276.927
20190206,Hold,17.177,0,0.0,600,15.127,321.327,10321.327
20190207,Hold,16.979,0,0.0,600,15.127,202.527,10202.527
20190208,Hold,16.914,0,0.0,600,15.127,163.527,10163.527
20190211,Sell,16.914,-600,10143.325800000002,0,10158.453,158.453,10158.453
20190212,Buy,16.972,598,-10154.330628000002,598,4.122,153.378,10153.378
20190213,Hold,16.953,0,0.0,598,4.122,142.016,10142.016
20190214,Sell,17.196,-598,10278.066396000002,0,10282.189,282.189,10282.189
20190215,Buy,17.346,592,-10273.966416,592,8.222,277.054,10277.054
20190219,Hold,17.497,0,0.0,592,8.222,366.446,10366.446
20190220,Hold,17.721,0,0.0,592,8.222,499.054,10499.054
20190221,Sell,18.472,-592,10929.956288000001,0,10938.179,938.179,10938.179
20190222,Buy,18.661,585,-10922.143342500001,585,16.035,932.72,10932.72
20190225,Hold,19.006,0,0.0,585,16.035,1134.545,11134.545
