,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Buy,84.842,117,-9931.477256999999,117,68.523,-4.963,9995.037
20200110,Hold,84.643,0,0.0,117,68.523,-28.246,9971.754
20200113,Hold,85.091,0,0.0,117,68.523,24.17,10024.17
20200114,Sell,87.001,-117,10174.0274415,0,10242.55,242.55,10242.55
20200115,Buy,86.562,118,-10219.423157999998,118,23.127,237.443,10237.443
20200116,Hold,87.942,0,0.0,118,23.127,400.283,10400.283
20200117,Hold,88.713,0,0.0,118,23.127,491.261,10491.261
20200121,Hold,89.471,0,0.0,118,23.127,580.705,10580.705
20200122,Hold,90.44,0,0.0,118,23.127,695.047,10695.047
20200123,Hold,88.891,0,0.0,118,23.127,512.265,10512.265
20200124,Hold,91.133,0,0.0,118,23.127,776.821,10776.821
20200127,Hold,90.65,0,0.0,118,23.127,719.827,10719.827
20200128,Sell,90.564,-118,10681.208724,0,10704.336,704.336,10704.336
20200129,Hold,91.059,0,0.0,0,10704.336,704.336,10704.336
20200130,Buy,91.304,117,-10687.909284000001,117,16.426,698.994,10698.994
20200131,Hold,91.105,0,0.0,117,16.426,675.711,10675.711
20200203,Hold,88.855,0,0.0,117,16.426,412.461,10412.461
20200204,Hold,87.409,0,0.0,117,16.426,243.279,10243.279
20200205,Hold,89.197,0,0.0,117,16.426,452.475,10452.475
20200206,Hold,88.132,0,0.0,117,16.426,327.87,10327.87
20200207,Hold,88.655,0,0.0,117,16.426,389.061,10389.061
20200210,Hold,89.07,0,0.0,117,16.426,437.616,10437.616
20200211,Hold,90.593,0,0.0,117,16.426,615.807,10615.807
20200212,Hold,91.847,0,0.0,117,16.426,762.525,10762.525
20200213,Hold,91.828,0,0.0,117,16.426,760.302,10760.302
20200214,Hold,92.038,0,0.0,117,16.426,784.872,10784.872
20200218,Hold,92.777,0,0.0,117,16.426,871.335,10871.335
20200219,Hold,93.71,0,0.0,117,16.426,980.496,10980.496
20200220,Hold,92.826,0,0.0,117,16.426,877.068,10877.068
20200221,Hold,94.013,0,0.0,117,16.426,1015.947,11015.947
20200224,Hold,92.932,0,0.0,117,16.426,889.47,10889.47
20200225,Hold,91.457,0,0.0,117,16.426,716.895,10716.895
20200226,Hold,87.429,0,0.0,117,16.426,245.619,10245.619
20200227,Hold,86.097,0,0.0,117,16.426,89.775,10089.775
20200228,Hold,80.233,0,0.0,117,16.426,-596.313,9403.687
20200302,Hold,80.491,0,0.0,117,16.426,-566.127,9433.873
20200303,Hold,84.224,0,0.0,117,16.426,-129.366,9870.634
20200304,Hold,85.747,0,0.0,117,16.426,48.825,10048.825
20200305,Hold,87.523,0,0.0,117,16.426,256.617,10256.617
20200306,Hold,82.057,0,0.0,117,16.426,-382.905,9617.095
20200309,Hold,76.813,0,0.0,117,16.426,-996.453,9003.547
20200310,Hold,76.368,0,0.0,117,16.426,-1048.518,8951.482
20200311,Hold,74.191,0,0.0,117,16.426,-1303.227,8696.773
20200312,Hold,64.773,0,0.0,117,16.426,-2405.133,7594.867
20200313,Hold,71.061,0,0.0,117,16.426,-1669.437,8330.563
20200316,Hold,66.328,0,0.0,117,16.426,-2223.198,7776.802
20200317,Hold,63.693,0,0.0,117,16.426,-2531.493,7468.507
20200318,Hold,62.735,0,0.0,117,16.426,-2643.579,7356.421
20200319,Hold,64.154,0,0.0,117,16.426,-2477.556,7522.444
20200320,Hold,62.181,0,0.0,117,16.426,-2708.397,7291.603
20200323,Hold,60.368,0,0.0,117,16.426,-2920.518,7079.482
20200324,Hold,63.472,0,0.0,117,16.426,-2557.35,7442.65
20200325,Hold,65.907,0,0.0,117,16.426,-2272.455,7727.545
20200326,Hold,69.367,0,0.0,117,16.426,-1867.635,8132.365
20200327,Hold,71.522,0,0.0,117,16.426,-1615.5,8384.5
20200330,Hold,77.415,0,0.0,117,16.426,-926.019,9073.981
20200331,Hold,77.797,0,0.0,117,16.426,-881.325,9118.675
20200401,Hold,73.257,0,0.0,117,16.426,-1412.505,8587.495
20200402,Hold,68.379,0,0.0,117,16.426,-1983.231,8016.769
20200403,Hold,70.985,0,0.0,117,16.426,-1678.329,8321.671
20200406,Hold,74.771,0,0.0,117,16.426,-1235.367,8764.633
20200407,Hold,82.714,0,0.0,117,16.426,-306.036,9693.964
20200408,Hold,79.053,0,0.0,117,16.426,-734.373,9265.627
20200409,Hold,84.226,0,0.0,117,16.426,-129.132,9870.868
20200413,Hold,87.142,0,0.0,117,16.426,212.04,10212.04
20200414,Hold,84.716,0,0.0,117,16.426,-71.802,9928.198
20200415,Hold,82.878,0,0.0,117,16.426,-286.848,9713.152
20200416,Sell,83.51,-117,9765.784665000001,0,9782.211,-217.789,9782.211
20200417,Hold,86.491,0,0.0,0,9782.211,-217.789,9782.211
20200420,Buy,85.272,114,-9725.868504,114,56.343,-222.649,9777.351
20200421,Hold,80.298,0,0.0,114,56.343,-789.685,9210.315
20200422,Sell,85.924,-114,9790.438332000002,0,9846.781,-153.219,9846.781
20200423,Hold,84.373,0,0.0,0,9846.781,-153.219,9846.781
20200424,Buy,83.45,117,-9768.531824999998,117,78.249,-158.101,9841.899
20200427,Hold,87.035,0,0.0,117,78.249,261.344,10261.344
20200428,Hold,90.179,0,0.0,117,78.249,629.192,10629.192
20200429,Hold,87.725,0,0.0,117,78.249,342.074,10342.074
20200430,Hold,85.003,0,0.0,117,78.249,23.6,10023.6
20200501,Sell,83.692,-117,9787.068018,0,9865.317,-134.683,9865.317
20200504,Buy,82.263,119,-9794.1916485,119,71.126,-139.577,9860.423
20200505,Hold,84.554,0,0.0,119,71.126,133.052,10133.052
20200506,Hold,84.419,0,0.0,119,71.126,116.987,10116.987
20200507,Hold,84.448,0,0.0,119,71.126,120.438,10120.438
20200508,Hold,86.519,0,0.0,119,71.126,366.887,10366.887
20200511,Hold,85.003,0,0.0,119,71.126,186.483,10186.483
20200512,Hold,85.369,0,0.0,119,71.126,230.037,10230.037
20200513,Hold,80.069,0,0.0,119,71.126,-400.663,9599.337
20200514,Hold,78.239,0,0.0,119,71.126,-618.433,9381.567
20200515,Hold,79.687,0,0.0,119,71.126,-446.121,9553.879
20200518,Hold,82.742,0,0.0,119,71.126,-82.576,9917.424
20200519,Hold,82.696,0,0.0,119,71.126,-88.05,9911.95
20200520,Sell,82.483,-119,9810.5692615,0,9881.695,-118.305,9881.695
20200521,Buy,82.868,119,-9866.222645999998,119,15.472,-123.236,9876.764
20200522,Hold,82.34,0,0.0,119,15.472,-186.068,9813.932
20200526,Sell,86.412,-119,10277.886486000001,0,10293.359,293.359,10293.359
20200527,Buy,88.157,116,-10231.325105999998,116,62.033,288.245,10288.245
20200528,Hold,89.115,0,0.0,116,62.033,399.373,10399.373
20200529,Hold,88.29,0,0.0,116,62.033,303.673,10303.673
20200601,Hold,88.118,0,0.0,116,62.033,283.721,10283.721
20200602,Hold,90.667,0,0.0,116,62.033,579.405,10579.405
20200603,Hold,91.807,0,0.0,116,62.033,711.645,10711.645
20200604,Hold,92.383,0,0.0,116,62.033,778.461,10778.461
20200605,Sell,92.162,-116,10685.446604000002,0,10747.48,747.48,10747.48
20200608,Hold,91.703,0,0.0,0,10747.48,747.48,10747.48
20200609,Buy,92.306,116,-10712.849747999999,116,34.63,742.126,10742.126
20200610,Hold,92.354,0,0.0,116,34.63,747.694,10747.694
20200611,Hold,89.843,0,0.0,116,34.63,456.418,10456.418
20200612,Hold,89.681,0,0.0,116,34.63,437.626,10437.626
20200615,Hold,87.651,0,0.0,116,34.63,202.146,10202.146
20200616,Sell,94.486,-116,10954.895812,0,10989.526,989.526,10989.526
20200617,Buy,94.476,116,-10964.695608,116,24.831,984.047,10984.047
20200618,Hold,92.075,0,0.0,116,24.831,705.531,10705.531
20200619,Sell,93.213,-116,10807.301646,0,10832.132,832.132,10832.132
20200622,Hold,88.529,0,0.0,0,10832.132,832.132,10832.132
20200623,Buy,90.252,119,-10745.357993999998,119,86.774,826.762,10826.762
20200624,Hold,86.792,0,0.0,119,86.774,415.022,10415.022
20200625,Hold,86.532,0,0.0,119,86.774,384.082,10384.082
20200626,Hold,87.708,0,0.0,119,86.774,524.026,10524.026
20200629,Hold,87.651,0,0.0,119,86.774,517.243,10517.243
20200630,Hold,87.775,0,0.0,119,86.774,531.999,10531.999
20200701,Sell,90.168,-119,10724.627004,0,10811.401,811.401,10811.401
20200702,Buy,93.166,115,-10719.447044999999,115,91.954,806.044,10806.044
20200706,Hold,93.522,0,0.0,115,91.954,846.984,10846.984
20200707,Hold,90.63,0,0.0,115,91.954,514.404,10514.404
20200708,Hold,91.526,0,0.0,115,91.954,617.444,10617.444
20200709,Hold,92.558,0,0.0,115,91.954,736.124,10736.124
20200710,Hold,92.5,0,0.0,115,91.954,729.454,10729.454
20200713,Hold,92.058,0,0.0,115,91.954,678.624,10678.624
20200714,Hold,90.311,0,0.0,115,91.954,477.719,10477.719
20200715,Hold,91.218,0,0.0,115,91.954,582.024,10582.024
20200716,Hold,90.158,0,0.0,115,91.954,460.124,10460.124
20200717,Hold,89.502,0,0.0,115,91.954,384.684,10384.684
20200720,Hold,91.526,0,0.0,115,91.954,617.444,10617.444
20200721,Sell,95.092,-115,10930.112210000001,0,11022.066,1022.066,11022.066
20200722,Buy,93.676,117,-10965.572046,117,56.494,1016.586,11016.586
20200723,Hold,94.428,0,0.0,117,56.494,1104.57,11104.57
20200724,Hold,95.073,0,0.0,117,56.494,1180.035,11180.035
20200727,Hold,95.991,0,0.0,117,56.494,1287.441,11287.441
20200728,Hold,97.959,0,0.0,117,56.494,1517.697,11517.697
