,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Buy,138.59,72,-9983.469239999999,72,16.531,-4.989,9995.011
20160112,Hold,138.78,0,0.0,72,16.531,8.691,10008.691
20160113,Hold,137.53,0,0.0,72,16.531,-81.309,9918.691
20160114,Hold,136.73,0,0.0,72,16.531,-138.909,9861.091
20160115,Hold,134.97,0,0.0,72,16.531,-265.629,9734.371
20160119,Hold,137.68,0,0.0,72,16.531,-70.509,9929.491
20160120,Hold,136.83,0,0.0,72,16.531,-131.709,9868.291
20160121,Hold,135.3,0,0.0,72,16.531,-241.869,9758.131
20160122,Sell,137.03,-72,9861.226920000001,0,9877.758,-122.242,9877.758
20160125,Buy,138.73,71,-9854.754915,71,23.003,-127.167,9872.833
20160126,Hold,137.4,0,0.0,71,23.003,-221.597,9778.403
20160127,Hold,140.31,0,0.0,71,23.003,-14.987,9985.013
20160128,Hold,138.52,0,0.0,71,23.003,-142.077,9857.923
20160129,Sell,140.08,-71,9940.70716,0,9963.71,-36.29,9963.71
20160201,Buy,137.39,72,-9897.026039999997,72,66.684,-41.236,9958.764
20160202,Sell,139.24,-72,10020.267360000002,0,10086.951,86.951,10086.951
20160203,Buy,138.59,72,-9983.469239999999,72,103.482,81.962,10081.962
20160204,Hold,139.14,0,0.0,72,103.482,121.562,10121.562
20160205,Hold,137.86,0,0.0,72,103.482,29.402,10029.402
20160208,Hold,136.6,0,0.0,72,103.482,-61.318,9938.682
20160209,Hold,133.24,0,0.0,72,103.482,-303.238,9696.762
20160210,Hold,132.82,0,0.0,72,103.482,-333.478,9666.522
20160211,Hold,133.32,0,0.0,72,103.482,-297.478,9702.522
20160212,Hold,137.01,0,0.0,72,103.482,-31.798,9968.202
20160216,Hold,138.69,0,0.0,72,103.482,89.162,10089.162
20160217,Hold,140.4,0,0.0,72,103.482,212.282,10212.282
20160218,Hold,139.33,0,0.0,72,103.482,135.242,10135.242
20160219,Hold,140.41,0,0.0,72,103.482,213.002,10213.002
20160222,Hold,142.42,0,0.0,72,103.482,357.722,10357.722
20160223,Hold,141.46,0,0.0,72,103.482,288.602,10288.602
20160224,Hold,141.14,0,0.0,72,103.482,265.562,10265.562
20160225,Sell,142.4,-72,10247.673600000002,0,10351.156,351.156,10351.156
20160226,Buy,143.46,72,-10334.28456,72,16.871,345.991,10345.991
20160229,Hold,142.51,0,0.0,72,16.871,277.591,10277.591
20160301,Hold,142.49,0,0.0,72,16.871,276.151,10276.151
20160302,Hold,145.19,0,0.0,72,16.871,470.551,10470.551
20160303,Hold,146.6,0,0.0,72,16.871,572.071,10572.071
20160304,Hold,147.37,0,0.0,72,16.871,627.511,10627.511
20160307,Hold,147.95,0,0.0,72,16.871,669.271,10669.271
20160308,Hold,148.15,0,0.0,72,16.871,683.671,10683.671
20160309,Sell,148.01,-72,10651.39164,0,10668.263,668.263,10668.263
20160310,Hold,148.55,0,0.0,0,10668.263,668.263,10668.263
20160311,Hold,149.79,0,0.0,0,10668.263,668.263,10668.263
20160314,Buy,149.58,71,-10625.49009,71,42.773,662.953,10662.953
20160315,Hold,148.2,0,0.0,71,42.773,564.973,10564.973
20160316,Hold,148.48,0,0.0,71,42.773,584.853,10584.853
20160317,Hold,149.99,0,0.0,71,42.773,692.063,10692.063
20160318,Hold,153.18,0,0.0,71,42.773,918.553,10918.553
20160321,Hold,153.57,0,0.0,71,42.773,946.243,10946.243
20160322,Hold,151.31,0,0.0,71,42.773,785.783,10785.783
20160323,Sell,150.17,-71,10656.738965,0,10699.512,699.512,10699.512
20160324,Buy,149.67,71,-10631.883285,71,67.628,694.198,10694.198
20160328,Hold,150.83,0,0.0,71,67.628,776.558,10776.558
20160329,Hold,152.24,0,0.0,71,67.628,876.668,10876.668
20160330,Hold,154.91,0,0.0,71,67.628,1066.238,11066.238
20160331,Hold,154.06,0,0.0,71,67.628,1005.888,11005.888
20160401,Hold,155.0,0,0.0,71,67.628,1072.628,11072.628
20160404,Hold,156.44,0,0.0,71,67.628,1174.868,11174.868
20160405,Hold,155.35,0,0.0,71,67.628,1097.478,11097.478
20160406,Hold,154.2,0,0.0,71,67.628,1015.828,11015.828
20160407,Sell,155.76,-71,11053.43052,0,11121.059,1121.059,11121.059
20160408,Buy,154.86,71,-11000.55753,71,120.501,1115.561,11115.561
20160411,Hold,155.36,0,0.0,71,120.501,1151.061,11151.061
20160412,Hold,154.84,0,0.0,71,120.501,1114.141,11114.141
20160413,Hold,156.24,0,0.0,71,120.501,1213.541,11213.541
20160414,Hold,155.16,0,0.0,71,120.501,1136.861,11136.861
20160415,Hold,155.19,0,0.0,71,120.501,1138.991,11138.991
20160418,Sell,155.47,-71,11032.850815000002,0,11153.352,1153.352,11153.352
20160419,Buy,156.43,71,-11112.083265,71,41.269,1147.799,11147.799
20160420,Hold,154.26,0,0.0,71,41.269,993.729,10993.729
20160421,Hold,152.04,0,0.0,71,41.269,836.109,10836.109
20160422,Hold,149.24,0,0.0,71,41.269,637.309,10637.309
20160425,Hold,150.62,0,0.0,71,41.269,735.289,10735.289
20160426,Hold,152.71,0,0.0,71,41.269,883.679,10883.679
20160427,Hold,152.91,0,0.0,71,41.269,897.879,10897.879
20160428,Hold,151.61,0,0.0,71,41.269,805.579,10805.579
20160429,Hold,151.64,0,0.0,71,41.269,807.709,10807.709
20160502,Sell,151.46,-71,10748.28317,0,10789.552,789.552,10789.552
20160503,Buy,151.87,71,-10788.161385,71,1.391,784.161,10784.161
20160504,Hold,151.87,0,0.0,71,1.391,784.161,10784.161
20160505,Sell,154.35,-71,10953.370575,0,10954.761,954.761,10954.761
20160506,Buy,155.57,70,-10895.344949999999,70,59.416,949.316,10949.316
20160509,Hold,157.4,0,0.0,70,59.416,1077.416,11077.416
20160510,Hold,159.62,0,0.0,70,59.416,1232.816,11232.816
20160511,Hold,159.45,0,0.0,70,59.416,1220.916,11220.916
20160512,Hold,152.41,0,0.0,70,59.416,728.116,10728.116
20160513,Hold,151.2,0,0.0,70,59.416,643.416,10643.416
20160516,Hold,147.97,0,0.0,70,59.416,417.316,10417.316
20160517,Hold,149.2,0,0.0,70,59.416,503.416,10503.416
20160518,Hold,146.53,0,0.0,70,59.416,316.516,10316.516
20160519,Hold,144.52,0,0.0,70,59.416,175.816,10175.816
20160520,Hold,146.76,0,0.0,70,59.416,332.616,10332.616
20160523,Hold,147.13,0,0.0,70,59.416,358.516,10358.516
20160524,Hold,148.23,0,0.0,70,59.416,435.516,10435.516
20160525,Hold,149.02,0,0.0,70,59.416,490.816,10490.816
20160526,Hold,147.78,0,0.0,70,59.416,404.016,10404.016
20160527,Sell,148.47,-70,10387.70355,0,10447.12,447.12,10447.12
20160531,Buy,149.64,69,-10330.32258,69,116.797,441.957,10441.957
20160601,Hold,148.01,0,0.0,69,116.797,329.487,10329.487
20160602,Hold,148.51,0,0.0,69,116.797,363.987,10363.987
20160603,Sell,149.55,-69,10313.790525000002,0,10430.588,430.588,10430.588
20160606,Buy,150.54,69,-10392.45363,69,38.134,425.394,10425.394
20160607,Hold,149.57,0,0.0,69,38.134,358.464,10358.464
20160608,Hold,150.08,0,0.0,69,38.134,393.654,10393.654
20160609,Hold,151.54,0,0.0,69,38.134,494.394,10494.394
20160610,Hold,151.18,0,0.0,69,38.134,469.554,10469.554
20160613,Hold,151.21,0,0.0,69,38.134,471.624,10471.624
20160614,Hold,151.64,0,0.0,69,38.134,501.294,10501.294
20160615,Hold,152.95,0,0.0,69,38.134,591.684,10591.684
20160616,Hold,153.39,0,0.0,69,38.134,622.044,10622.044
20160617,Hold,155.15,0,0.0,69,38.134,743.484,10743.484
20160620,Hold,156.53,0,0.0,69,38.134,838.704,10838.704
20160621,Hold,156.06,0,0.0,69,38.134,806.274,10806.274
20160622,Hold,157.36,0,0.0,69,38.134,895.974,10895.974
20160623,Hold,157.95,0,0.0,69,38.134,936.684,10936.684
20160624,Hold,154.03,0,0.0,69,38.134,666.204,10666.204
20160627,Hold,154.66,0,0.0,69,38.134,709.674,10709.674
20160628,Sell,157.51,-69,10862.755905,0,10900.89,900.89,10900.89
20160629,Buy,161.03,67,-10794.404505,67,106.485,895.495,10895.495
20160630,Hold,162.43,0,0.0,67,106.485,989.295,10989.295
20160701,Hold,163.77,0,0.0,67,106.485,1079.075,11079.075
20160705,Hold,163.63,0,0.0,67,106.485,1069.695,11069.695
20160706,Hold,165.4,0,0.0,67,106.485,1188.285,11188.285
20160707,Hold,163.41,0,0.0,67,106.485,1054.955,11054.955
20160708,Sell,163.22,-67,10930.272130000001,0,11036.758,1036.758,11036.758
20160711,Buy,165.48,66,-10927.140839999998,66,109.617,1031.297,11031.297
20160712,Hold,166.64,0,0.0,66,109.617,1107.857,11107.857
20160713,Hold,166.96,0,0.0,66,109.617,1128.977,11128.977
20160714,Hold,168.81,0,0.0,66,109.617,1251.077,11251.077
20160715,Hold,167.59,0,0.0,66,109.617,1170.557,11170.557
20160718,Sell,167.95,-66,11079.15765,0,11188.774,1188.774,11188.774
20160719,Hold,167.57,0,0.0,0,11188.774,1188.774,11188.774
20160720,Hold,168.21,0,0.0,0,11188.774,1188.774,11188.774
20160721,Buy,167.7,66,-11073.734099999998,66,115.04,1183.24,11183.24
20160722,Hold,168.58,0,0.0,66,115.04,1241.32,11241.32
20160725,Sell,170.03,-66,11216.36901,0,11331.409,1331.409,11331.409
20160726,Buy,169.04,67,-11331.34284,67,0.067,1325.747,11325.747
20160727,Hold,169.49,0,0.0,67,0.067,1355.897,11355.897
20160728,Hold,166.99,0,0.0,67,0.067,1188.397,11188.397
20160729,Hold,168.61,0,0.0,67,0.067,1296.937,11296.937
20160801,Hold,170.8,0,0.0,67,0.067,1443.667,11443.667
