,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,52.044,192,-9997.444223999999,192,2.556,-4.996,9995.004
20190110,Hold,51.324,0,0.0,192,2.556,-143.236,9856.764
20190111,Hold,51.352,0,0.0,192,2.556,-137.86,9862.14
20190114,Sell,51.069,-192,9800.345376,0,9802.901,-197.099,9802.901
20190115,Buy,52.105,188,-9800.637869999999,188,2.263,-201.997,9798.003
20190116,Hold,51.532,0,0.0,188,2.263,-309.721,9690.279
20190117,Hold,51.315,0,0.0,188,2.263,-350.517,9649.483
20190118,Hold,53.017,0,0.0,188,2.263,-30.541,9969.459
20190122,Hold,53.043,0,0.0,188,2.263,-25.653,9974.347
20190123,Hold,52.773,0,0.0,188,2.263,-76.413,9923.587
20190124,Sell,52.298,-188,9827.107988000002,0,9829.371,-170.629,9829.371
20190125,Hold,52.918,0,0.0,0,9829.371,-170.629,9829.371
20190128,Buy,53.463,183,-9788.620864499999,183,40.75,-175.521,9824.479
20190129,Hold,54.099,0,0.0,183,40.75,-59.133,9940.867
20190130,Hold,53.58,0,0.0,183,40.75,-154.11,9845.89
20190131,Sell,53.68,-183,9818.52828,0,9859.279,-140.721,9859.279
20190201,Buy,53.917,182,-9817.800447,182,41.478,-145.628,9854.372
20190204,Hold,53.335,0,0.0,182,41.478,-251.552,9748.448
20190205,Hold,53.971,0,0.0,182,41.478,-135.8,9864.2
20190206,Hold,54.244,0,0.0,182,41.478,-86.114,9913.886
20190207,Hold,53.854,0,0.0,182,41.478,-157.094,9842.906
20190208,Hold,52.981,0,0.0,182,41.478,-315.98,9684.02
20190211,Sell,53.709,-182,9770.150481,0,9811.629,-188.371,9811.629
20190212,Buy,53.473,183,-9790.4517795,183,21.177,-193.264,9806.736
20190213,Hold,54.709,0,0.0,183,21.177,32.924,10032.924
20190214,Hold,53.745,0,0.0,183,21.177,-143.488,9856.512
20190215,Hold,54.665,0,0.0,183,21.177,24.872,10024.872
20190219,Hold,54.836,0,0.0,183,21.177,56.165,10056.165
20190220,Hold,55.064,0,0.0,183,21.177,97.889,10097.889
20190221,Hold,55.019,0,0.0,183,21.177,89.654,10089.654
20190222,Hold,54.473,0,0.0,183,21.177,-10.264,9989.736
20190225,Sell,55.656,-183,10179.955476000001,0,10201.132,201.132,10201.132
20190226,Buy,55.064,185,-10191.93342,185,9.199,196.039,10196.039
20190227,Sell,62.135,-185,11489.227512500001,0,11498.427,1498.427,11498.427
20190228,Buy,63.246,181,-11453.249763,181,45.177,1492.703,11492.703
20190301,Hold,63.383,0,0.0,181,45.177,1517.5,11517.5
20190304,Hold,61.892,0,0.0,181,45.177,1247.629,11247.629
20190305,Sell,61.479,-181,11122.1351505,0,11167.312,1167.312,11167.312
20190306,Buy,61.244,182,-11151.981204,182,15.331,1161.739,11161.739
20190307,Hold,60.825,0,0.0,182,15.331,1085.481,11085.481
20190308,Hold,60.871,0,0.0,182,15.331,1093.853,11093.853
20190311,Hold,61.528,0,0.0,182,15.331,1213.427,11213.427
20190312,Hold,62.791,0,0.0,182,15.331,1443.293,11443.293
20190313,Hold,62.8,0,0.0,182,15.331,1444.931,11444.931
20190314,Hold,62.109,0,0.0,182,15.331,1319.169,11319.169
20190315,Hold,62.691,0,0.0,182,15.331,1425.093,11425.093
20190318,Hold,63.929,0,0.0,182,15.331,1650.409,11650.409
20190319,Hold,64.408,0,0.0,182,15.331,1737.587,11737.587
20190320,Hold,63.847,0,0.0,182,15.331,1635.485,11635.485
20190321,Hold,63.315,0,0.0,182,15.331,1538.661,11538.661
20190322,Sell,66.121,-182,12028.004989,0,12043.336,2043.336,12043.336
20190325,Buy,64.003,188,-12038.580281999999,188,4.755,2037.319,12037.319
20190326,Hold,65.487,0,0.0,188,4.755,2316.311,12316.311
20190327,Hold,64.516,0,0.0,188,4.755,2133.763,12133.763
20190328,Hold,64.945,0,0.0,188,4.755,2214.415,12214.415
20190329,Hold,65.341,0,0.0,188,4.755,2288.863,12288.863
20190401,Hold,65.413,0,0.0,188,4.755,2302.399,12302.399
20190402,Hold,66.029,0,0.0,188,4.755,2418.207,12418.207
20190403,Hold,65.854,0,0.0,188,4.755,2385.307,12385.307
20190404,Hold,66.442,0,0.0,188,4.755,2495.851,12495.851
20190405,Sell,68.704,-188,12909.893823999999,0,12914.649,2914.649,12914.649
20190408,Buy,68.403,188,-12866.193882,188,48.455,2908.219,12908.219
20190409,Hold,68.292,0,0.0,188,48.455,2887.351,12887.351
20190410,Hold,68.549,0,0.0,188,48.455,2935.667,12935.667
20190411,Sell,68.32,-188,12837.73792,0,12886.193,2886.193,12886.193
20190412,Buy,67.942,189,-12847.458518999998,189,38.735,2879.773,12879.773
20190415,Hold,66.862,0,0.0,189,38.735,2675.653,12675.653
20190416,Hold,67.275,0,0.0,189,38.735,2753.71,12753.71
20190417,Hold,67.496,0,0.0,189,38.735,2795.479,12795.479
20190418,Hold,67.257,0,0.0,189,38.735,2750.308,12750.308
20190422,Hold,67.108,0,0.0,189,38.735,2722.147,12722.147
20190423,Hold,66.834,0,0.0,189,38.735,2670.361,12670.361
20190424,Sell,69.199,-189,13072.0716945,0,13110.806,3110.806,13110.806
20190425,Buy,68.275,191,-13047.045262500002,191,63.761,3104.286,13104.286
20190426,Hold,66.375,0,0.0,191,63.761,2741.386,12741.386
20190429,Hold,66.807,0,0.0,191,63.761,2823.898,12823.898
20190430,Sell,67.048,-191,12799.764916,0,12863.526,2863.526,12863.526
20190501,Buy,68.209,188,-12829.703646,188,33.822,2857.114,12857.114
20190502,Hold,67.833,0,0.0,188,33.822,2786.426,12786.426
20190503,Hold,69.008,0,0.0,188,33.822,3007.326,13007.326
20190506,Hold,67.605,0,0.0,188,33.822,2743.562,12743.562
20190507,Sell,68.09,-188,12794.519540000001,0,12828.342,2828.342,12828.342
20190508,Buy,67.038,191,-12810.660129,191,17.682,2821.94,12821.94
20190509,Hold,66.743,0,0.0,191,17.682,2765.595,12765.595
20190510,Hold,66.064,0,0.0,191,17.682,2635.906,12635.906
20190513,Hold,64.442,0,0.0,191,17.682,2326.104,12326.104
20190514,Hold,61.646,0,0.0,191,17.682,1792.068,11792.068
20190515,Hold,61.555,0,0.0,191,17.682,1774.687,11774.687
20190516,Hold,62.737,0,0.0,191,17.682,2000.449,12000.449
20190517,Hold,62.344,0,0.0,191,17.682,1925.386,11925.386
20190520,Hold,62.774,0,0.0,191,17.682,2007.516,12007.516
20190521,Hold,63.186,0,0.0,191,17.682,2086.208,12086.208
20190522,Hold,63.929,0,0.0,191,17.682,2228.121,12228.121
20190523,Hold,63.305,0,0.0,191,17.682,2108.937,12108.937
20190524,Hold,59.979,0,0.0,191,17.682,1473.671,11473.671
20190528,Hold,60.209,0,0.0,191,17.682,1517.601,11517.601
20190529,Hold,59.272,0,0.0,191,17.682,1338.634,11338.634
20190530,Hold,59.803,0,0.0,191,17.682,1440.055,11440.055
20190531,Hold,58.491,0,0.0,191,17.682,1189.463,11189.463
20190603,Hold,57.192,0,0.0,191,17.682,941.354,10941.354
20190604,Hold,58.675,0,0.0,191,17.682,1224.607,11224.607
20190605,Hold,58.812,0,0.0,191,17.682,1250.774,11250.774
20190606,Hold,57.788,0,0.0,191,17.682,1055.19,11055.19
20190607,Hold,57.411,0,0.0,191,17.682,983.183,10983.183
20190610,Hold,59.201,0,0.0,191,17.682,1325.073,11325.073
20190611,Hold,60.033,0,0.0,191,17.682,1483.985,11483.985
20190612,Hold,60.107,0,0.0,191,17.682,1498.119,11498.119
20190613,Hold,59.867,0,0.0,191,17.682,1452.279,11452.279
20190614,Hold,60.948,0,0.0,191,17.682,1658.75,11658.75
20190617,Hold,60.782,0,0.0,191,17.682,1627.044,11627.044
20190618,Hold,61.835,0,0.0,191,17.682,1828.167,11828.167
20190619,Hold,63.451,0,0.0,191,17.682,2136.823,12136.823
20190620,Hold,63.062,0,0.0,191,17.682,2062.524,12062.524
20190621,Hold,63.147,0,0.0,191,17.682,2078.759,12078.759
20190624,Hold,62.362,0,0.0,191,17.682,1928.824,11928.824
20190625,Sell,62.379,-191,11908.4318055,0,11926.114,1926.114,11926.114
20190626,Buy,62.018,192,-11913.409727999999,192,12.704,1920.16,11920.16
20190627,Hold,63.184,0,0.0,192,12.704,2144.032,12144.032
20190628,Hold,62.962,0,0.0,192,12.704,2101.408,12101.408
20190701,Sell,65.807,-192,12628.626528,0,12641.33,2641.33,12641.33
20190702,Buy,66.907,188,-12584.805257999999,188,56.525,2635.041,12635.041
20190703,Hold,66.416,0,0.0,188,56.525,2542.733,12542.733
20190705,Hold,66.26,0,0.0,188,56.525,2513.405,12513.405
20190708,Hold,66.63,0,0.0,188,56.525,2582.965,12582.965
20190709,Hold,66.203,0,0.0,188,56.525,2502.689,12502.689
20190710,Hold,66.553,0,0.0,188,56.525,2568.489,12568.489
20190711,Sell,66.481,-188,12492.178786,0,12548.704,2548.704,12548.704
20190712,Hold,68.31,0,0.0,0,12548.704,2548.704,12548.704
20190715,Buy,69.047,181,-12503.7557535,181,44.948,2542.455,12542.455
20190716,Hold,69.548,0,0.0,181,44.948,2633.136,12633.136
20190717,Hold,69.021,0,0.0,181,44.948,2537.749,12537.749
20190718,Sell,68.3,-181,12356.11885,0,12401.067,2401.067,12401.067
20190719,Hold,68.448,0,0.0,0,12401.067,2401.067,12401.067
20190722,Hold,69.272,0,0.0,0,12401.067,2401.067,12401.067
20190723,Buy,70.058,176,-12336.373104,176,64.694,2394.902,12394.902
20190724,Hold,70.646,0,0.0,176,64.694,2498.39,12498.39
20190725,Hold,70.942,0,0.0,176,64.694,2550.486,12550.486
20190726,Hold,71.652,0,0.0,176,64.694,2675.446,12675.446
20190729,Hold,71.802,0,0.0,176,64.694,2701.846,12701.846
20190730,Sell,71.442,-176,12567.505104,0,12632.199,2632.199,12632.199
20190731,Hold,70.971,0,0.0,0,12632.199,2632.199,12632.199
20190801,Buy,70.861,178,-12619.564629,178,12.634,2625.892,12625.892
20190802,Hold,63.052,0,0.0,178,12.634,1235.89,11235.89
20190805,Hold,61.705,0,0.0,178,12.634,996.124,10996.124
20190806,Hold,61.472,0,0.0,178,12.634,954.65,10954.65
20190807,Hold,61.908,0,0.0,178,12.634,1032.258,11032.258
20190808,Hold,63.266,0,0.0,178,12.634,1273.982,11273.982
20190809,Hold,63.597,0,0.0,178,12.634,1332.9,11332.9
20190812,Hold,61.576,0,0.0,178,12.634,973.162,10973.162
20190813,Sell,61.648,-178,10967.857328000002,0,10980.492,980.492,10980.492
20190814,Buy,63.276,173,-10952.221374,173,28.27,975.018,10975.018
20190815,Hold,62.499,0,0.0,173,28.27,840.597,10840.597
20190816,Hold,59.655,0,0.0,173,28.27,348.585,10348.585
20190819,Hold,61.482,0,0.0,173,28.27,664.656,10664.656
20190820,Hold,60.966,0,0.0,173,28.27,575.388,10575.388
20190821,Hold,62.547,0,0.0,173,28.27,848.901,10848.901
20190822,Hold,62.814,0,0.0,173,28.27,895.092,10895.092
20190823,Hold,62.824,0,0.0,173,28.27,896.822,10896.822
20190826,Sell,62.065,-173,10731.876377499999,0,10760.147,760.147,10760.147
20190827,Hold,63.413,0,0.0,0,10760.147,760.147,10760.147
20190828,Buy,62.463,172,-10749.007818,172,11.139,754.775,10754.775
20190829,Hold,60.302,0,0.0,172,11.139,383.083,10383.083
20190830,Hold,58.085,0,0.0,172,11.139,1.759,10001.759
20190903,Hold,58.222,0,0.0,172,11.139,25.323,10025.323
20190904,Hold,58.841,0,0.0,172,11.139,131.791,10131.791
20190905,Hold,60.088,0,0.0,172,11.139,346.275,10346.275
20190906,Hold,61.011,0,0.0,172,11.139,505.031,10505.031
20190909,Hold,61.908,0,0.0,172,11.139,659.315,10659.315
20190910,Hold,63.588,0,0.0,172,11.139,948.275,10948.275
20190911,Hold,63.506,0,0.0,172,11.139,934.171,10934.171
20190912,Sell,62.703,-172,10779.523542,0,10790.663,790.663,10790.663
20190913,Hold,63.138,0,0.0,0,10790.663,790.663,10790.663
20190916,Hold,62.148,0,0.0,0,10790.663,790.663,10790.663
20190917,Buy,63.441,170,-10790.362485000001,170,0.3,785.27,10785.27
20190918,Hold,63.147,0,0.0,170,0.3,735.29,10735.29
20190919,Sell,62.903,-170,10688.163245000002,0,10688.463,688.463,10688.463
20190920,Buy,63.277,168,-10635.851268,168,52.612,683.148,10683.148
20190923,Hold,61.973,0,0.0,168,52.612,464.076,10464.076
20190924,Hold,62.97,0,0.0,168,52.612,631.572,10631.572
20190925,Hold,63.443,0,0.0,168,52.612,711.036,10711.036
20190926,Hold,62.774,0,0.0,168,52.612,598.644,10598.644
20190927,Hold,62.552,0,0.0,168,52.612,561.348,10561.348
20190930,Hold,63.722,0,0.0,168,52.612,757.908,10757.908
20191001,Hold,64.394,0,0.0,168,52.612,870.804,10870.804
20191002,Hold,62.523,0,0.0,168,52.612,556.476,10556.476
20191003,Hold,60.206,0,0.0,168,52.612,167.22,10167.22
20191004,Hold,61.248,0,0.0,168,52.612,342.276,10342.276
20191007,Hold,62.019,0,0.0,168,52.612,471.804,10471.804
20191008,Hold,61.443,0,0.0,168,52.612,375.036,10375.036
20191009,Hold,61.312,0,0.0,168,52.612,353.028,10353.028
20191010,Sell,61.368,-168,10304.669088,0,10357.281,357.281,10357.281
20191011,Hold,63.128,0,0.0,0,10357.281,357.281,10357.281
20191014,Buy,64.169,161,-10336.374604499999,161,20.906,352.115,10352.115
