,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Buy,103.54,96,-9944.80992,96,55.19,-4.97,9995.03
20210112,Hold,106.66,0,0.0,96,55.19,294.55,10294.55
20210113,Hold,110.55,0,0.0,96,55.19,667.99,10667.99
20210114,Hold,109.52,0,0.0,96,55.19,569.11,10569.11
20210115,Hold,109.8,0,0.0,96,55.19,595.99,10595.99
20210119,Hold,111.12,0,0.0,96,55.19,722.71,10722.71
20210120,Sell,108.37,-96,10398.31824,0,10453.508,453.508,10453.508
20210121,Buy,109.27,95,-10385.840325,95,67.668,448.318,10448.318
20210122,Hold,110.27,0,0.0,95,67.668,543.318,10543.318
20210125,Hold,110.9,0,0.0,95,67.668,603.168,10603.168
20210126,Hold,110.29,0,0.0,95,67.668,545.218,10545.218
20210127,Hold,109.71,0,0.0,95,67.668,490.118,10490.118
20210128,Hold,109.7,0,0.0,95,67.668,489.168,10489.168
20210129,Hold,108.32,0,0.0,95,67.668,358.068,10358.068
20210201,Hold,105.75,0,0.0,95,67.668,113.918,10113.918
20210202,Hold,104.31,0,0.0,95,67.668,-22.882,9977.118
20210203,Hold,105.68,0,0.0,95,67.668,107.268,10107.268
20210204,Hold,108.83,0,0.0,95,67.668,406.518,10406.518
20210205,Hold,110.34,0,0.0,95,67.668,549.968,10549.968
20210208,Hold,111.12,0,0.0,95,67.668,624.068,10624.068
20210209,Hold,113.85,0,0.0,95,67.668,883.418,10883.418
20210210,Hold,114.77,0,0.0,95,67.668,970.818,10970.818
20210211,Hold,114.98,0,0.0,95,67.668,990.768,10990.768
20210212,Hold,114.69,0,0.0,95,67.668,963.218,10963.218
20210216,Hold,116.46,0,0.0,95,67.668,1131.368,11131.368
20210217,Hold,116.12,0,0.0,95,67.668,1099.068,11099.068
20210218,Hold,113.91,0,0.0,95,67.668,889.118,10889.118
20210219,Hold,113.65,0,0.0,95,67.668,864.418,10864.418
20210222,Hold,113.16,0,0.0,95,67.668,817.868,10817.868
20210223,Hold,111.94,0,0.0,95,67.668,701.968,10701.968
20210224,Hold,112.18,0,0.0,95,67.668,724.768,10724.768
20210225,Hold,100.31,0,0.0,95,67.668,-402.882,9597.118
20210226,Hold,97.69,0,0.0,95,67.668,-651.782,9348.218
20210301,Hold,97.106,0,0.0,95,67.668,-707.262,9292.738
20210302,Hold,98.668,0,0.0,95,67.668,-558.872,9441.128
20210303,Hold,98.906,0,0.0,95,67.668,-536.262,9463.738
20210304,Hold,96.371,0,0.0,95,67.668,-777.087,9222.913
20210305,Hold,96.245,0,0.0,95,67.668,-789.057,9210.943
20210308,Hold,99.81,0,0.0,95,67.668,-450.382,9549.618
20210309,Hold,102.95,0,0.0,95,67.668,-152.082,9847.918
20210310,Hold,103.82,0,0.0,95,67.668,-69.432,9930.568
20210311,Hold,104.97,0,0.0,95,67.668,39.818,10039.818
20210312,Hold,105.27,0,0.0,95,67.668,68.318,10068.318
20210315,Hold,107.73,0,0.0,95,67.668,302.018,10302.018
20210316,Hold,109.82,0,0.0,95,67.668,500.568,10500.568
20210317,Hold,109.04,0,0.0,95,67.668,426.468,10426.468
20210318,Hold,108.51,0,0.0,95,67.668,376.118,10376.118
20210319,Hold,110.67,0,0.0,95,67.668,581.318,10581.318
20210322,Sell,114.81,-95,10901.496525,0,10969.165,969.165,10969.165
20210323,Buy,117.3,93,-10914.354449999999,93,54.81,963.71,10963.71
20210324,Hold,115.79,0,0.0,93,54.81,823.28,10823.28
20210325,Sell,111.26,-93,10342.00641,0,10396.816,396.816,10396.816
20210326,Hold,113.31,0,0.0,0,10396.816,396.816,10396.816
20210329,Hold,116.12,0,0.0,0,10396.816,396.816,10396.816
20210330,Buy,111.02,93,-10330.022429999999,93,66.794,391.654,10391.654
20210331,Hold,113.08,0,0.0,93,66.794,583.234,10583.234
20210401,Sell,112.72,-93,10477.71852,0,10544.513,544.513,10544.513
20210405,Buy,113.08,93,-10521.69822,93,22.814,539.254,10539.254
20210406,Hold,114.65,0,0.0,93,22.814,685.264,10685.264
20210407,Hold,117.16,0,0.0,93,22.814,918.694,10918.694
20210408,Hold,117.54,0,0.0,93,22.814,954.034,10954.034
20210409,Hold,116.73,0,0.0,93,22.814,878.704,10878.704
20210412,Hold,118.91,0,0.0,93,22.814,1081.444,11081.444
20210413,Hold,118.49,0,0.0,93,22.814,1042.384,11042.384
20210414,Hold,117.2,0,0.0,93,22.814,922.414,10922.414
20210415,Hold,117.54,0,0.0,93,22.814,954.034,10954.034
20210416,Hold,116.6,0,0.0,93,22.814,866.614,10866.614
20210419,Hold,117.01,0,0.0,93,22.814,904.744,10904.744
20210420,Hold,115.51,0,0.0,93,22.814,765.244,10765.244
20210421,Hold,115.52,0,0.0,93,22.814,766.174,10766.174
20210422,Hold,115.89,0,0.0,93,22.814,800.584,10800.584
20210423,Hold,114.88,0,0.0,93,22.814,706.654,10706.654
20210426,Hold,114.25,0,0.0,93,22.814,648.064,10648.064
20210427,Hold,114.19,0,0.0,93,22.814,642.484,10642.484
20210428,Hold,115.48,0,0.0,93,22.814,762.454,10762.454
20210429,Hold,114.46,0,0.0,93,22.814,667.594,10667.594
20210430,Hold,114.25,0,0.0,93,22.814,648.064,10648.064
20210503,Hold,114.11,0,0.0,93,22.814,635.044,10635.044
20210504,Hold,114.06,0,0.0,93,22.814,630.394,10630.394
20210505,Hold,115.06,0,0.0,93,22.814,723.394,10723.394
20210506,Hold,114.21,0,0.0,93,22.814,644.344,10644.344
20210507,Sell,116.7,-93,10847.67345,0,10870.488,870.488,10870.488
20210510,Buy,119.14,91,-10847.16087,91,23.327,865.067,10865.067
20210511,Hold,120.5,0,0.0,91,23.327,988.827,10988.827
20210512,Sell,117.64,-91,10699.88738,0,10723.214,723.214,10723.214
20210513,Buy,113.81,94,-10703.48907,94,19.725,717.865,10717.865
20210514,Hold,116.27,0,0.0,94,19.725,949.105,10949.105
20210517,Hold,117.24,0,0.0,94,19.725,1040.285,11040.285
20210518,Hold,116.18,0,0.0,94,19.725,940.645,10940.645
20210519,Hold,112.11,0,0.0,94,19.725,558.065,10558.065
20210520,Hold,110.58,0,0.0,94,19.725,414.245,10414.245
20210521,Hold,112.4,0,0.0,94,19.725,585.325,10585.325
20210524,Hold,113.14,0,0.0,94,19.725,654.885,10654.885
20210525,Hold,111.59,0,0.0,94,19.725,509.185,10509.185
20210526,Hold,112.78,0,0.0,94,19.725,621.045,10621.045
20210527,Sell,117.63,-94,11051.69139,0,11071.417,1071.417,11071.417
20210528,Buy,117.2,94,-11022.3084,94,49.108,1065.908,11065.908
20210601,Sell,114.07,-94,10717.218710000001,0,10766.327,766.327,10766.327
20210602,Hold,111.76,0,0.0,0,10766.327,766.327,10766.327
20210603,Buy,114.37,94,-10756.15539,94,10.172,760.952,10760.952
20210604,Hold,112.3,0,0.0,94,10.172,566.372,10566.372
20210607,Hold,112.86,0,0.0,94,10.172,619.012,10619.012
20210608,Hold,114.38,0,0.0,94,10.172,761.892,10761.892
20210609,Hold,115.11,0,0.0,94,10.172,830.512,10830.512
20210610,Hold,112.7,0,0.0,94,10.172,603.972,10603.972
20210611,Hold,109.43,0,0.0,94,10.172,296.592,10296.592
20210614,Hold,111.36,0,0.0,94,10.172,478.012,10478.012
20210615,Hold,110.74,0,0.0,94,10.172,419.732,10419.732
20210616,Hold,109.94,0,0.0,94,10.172,344.532,10344.532
20210617,Hold,107.29,0,0.0,94,10.172,95.432,10095.432
20210618,Hold,105.55,0,0.0,94,10.172,-68.128,9931.872
20210621,Hold,105.94,0,0.0,94,10.172,-31.468,9968.532
20210622,Hold,106.6,0,0.0,94,10.172,30.572,10030.572
20210623,Hold,109.62,0,0.0,94,10.172,314.452,10314.452
20210624,Hold,109.82,0,0.0,94,10.172,333.252,10333.252
20210625,Hold,109.57,0,0.0,94,10.172,309.752,10309.752
20210628,Hold,111.23,0,0.0,94,10.172,465.792,10465.792
20210629,Hold,112.68,0,0.0,94,10.172,602.092,10602.092
20210630,Hold,112.33,0,0.0,94,10.172,569.192,10569.192
20210701,Hold,113.1,0,0.0,94,10.172,641.572,10641.572
