,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Buy,61.825,161,-9958.801912500001,161,41.198,-4.977,9995.023
20170111,Hold,62.086,0,0.0,161,41.198,37.044,10037.044
20170112,Hold,61.868,0,0.0,161,41.198,1.946,10001.946
20170113,Hold,61.558,0,0.0,161,41.198,-47.964,9952.036
20170117,Hold,61.287,0,0.0,161,41.198,-91.595,9908.405
20170118,Hold,58.896,0,0.0,161,41.198,-476.546,9523.454
20170119,Hold,57.451,0,0.0,161,41.198,-709.191,9290.809
20170120,Hold,56.638,0,0.0,161,41.198,-840.084,9159.916
20170123,Hold,55.496,0,0.0,161,41.198,-1023.946,8976.054
20170124,Hold,55.302,0,0.0,161,41.198,-1055.18,8944.82
20170125,Hold,56.066,0,0.0,161,41.198,-932.176,9067.824
20170126,Hold,56.17,0,0.0,161,41.198,-915.432,9084.568
20170127,Hold,55.911,0,0.0,161,41.198,-957.131,9042.869
20170130,Hold,55.173,0,0.0,161,41.198,-1075.949,8924.051
20170131,Hold,55.261,0,0.0,161,41.198,-1061.781,8938.219
20170201,Hold,55.414,0,0.0,161,41.198,-1037.148,8962.852
20170202,Hold,55.358,0,0.0,161,41.198,-1046.164,8953.836
20170203,Hold,55.311,0,0.0,161,41.198,-1053.731,8946.269
20170206,Hold,55.236,0,0.0,161,41.198,-1065.806,8934.194
20170207,Sell,55.328,-161,8903.354096000001,0,8944.552,-1055.448,8944.552
20170208,Buy,55.008,162,-8915.751648,162,28.801,-1059.903,8940.097
20170209,Sell,56.085,-162,9081.227115000002,0,9110.028,-889.972,9110.028
20170210,Hold,57.608,0,0.0,0,9110.028,-889.972,9110.028
20170213,Buy,57.363,158,-9067.885676999998,158,42.142,-894.504,9105.496
20170214,Hold,56.399,0,0.0,158,42.142,-1046.816,8953.184
20170215,Hold,57.256,0,0.0,158,42.142,-911.41,9088.59
20170216,Hold,57.493,0,0.0,158,42.142,-873.964,9126.036
20170217,Hold,57.029,0,0.0,158,42.142,-947.276,9052.724
20170221,Hold,57.923,0,0.0,158,42.142,-806.024,9193.976
20170222,Hold,57.745,0,0.0,158,42.142,-834.148,9165.852
20170223,Hold,57.727,0,0.0,158,42.142,-836.992,9163.008
20170224,Hold,57.048,0,0.0,158,42.142,-944.274,9055.726
20170227,Hold,58.033,0,0.0,158,42.142,-788.644,9211.356
20170228,Hold,50.185,0,0.0,158,42.142,-2028.628,7971.372
20170301,Hold,51.382,0,0.0,158,42.142,-1839.502,8160.498
20170302,Hold,50.7,0,0.0,158,42.142,-1947.258,8052.742
20170303,Hold,50.909,0,0.0,158,42.142,-1914.236,8085.764
20170306,Hold,50.088,0,0.0,158,42.142,-2043.954,7956.046
20170307,Hold,49.039,0,0.0,158,42.142,-2209.696,7790.304
20170308,Hold,48.461,0,0.0,158,42.142,-2301.02,7698.98
20170309,Hold,48.079,0,0.0,158,42.142,-2361.376,7638.624
20170310,Hold,48.383,0,0.0,158,42.142,-2313.344,7686.656
20170313,Hold,48.41,0,0.0,158,42.142,-2309.078,7690.922
20170314,Hold,48.251,0,0.0,158,42.142,-2334.2,7665.8
20170315,Hold,47.727,0,0.0,158,42.142,-2416.992,7583.008
20170316,Hold,47.553,0,0.0,158,42.142,-2444.484,7555.516
20170317,Hold,47.815,0,0.0,158,42.142,-2403.088,7596.912
20170320,Hold,47.682,0,0.0,158,42.142,-2424.102,7575.898
20170321,Hold,47.563,0,0.0,158,42.142,-2442.904,7557.096
20170322,Hold,46.635,0,0.0,158,42.142,-2589.528,7410.472
20170323,Hold,46.748,0,0.0,158,42.142,-2571.674,7428.326
20170324,Hold,46.546,0,0.0,158,42.142,-2603.59,7396.41
20170327,Hold,46.33,0,0.0,158,42.142,-2637.718,7362.282
20170328,Hold,46.495,0,0.0,158,42.142,-2611.648,7388.352
20170329,Hold,46.898,0,0.0,158,42.142,-2547.974,7452.026
20170330,Sell,48.129,-158,7600.579809,0,7642.722,-2357.278,7642.722
20170331,Buy,48.251,158,-7627.469828999999,158,15.252,-2361.09,7638.91
20170403,Hold,48.268,0,0.0,158,15.252,-2358.404,7641.596
20170404,Sell,47.044,-158,7429.235524,0,7444.487,-2555.513,7444.487
20170405,Buy,46.808,158,-7399.361832,158,45.126,-2559.21,7440.79
20170406,Hold,46.467,0,0.0,158,45.126,-2613.088,7386.912
20170407,Hold,46.739,0,0.0,158,45.126,-2570.112,7429.888
