,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,76.869,130,-9997.966484999999,130,2.034,-4.996,9995.004
20150112,Hold,76.049,0,0.0,130,2.034,-111.596,9888.404
20150113,Sell,77.277,-130,10040.986995000001,0,10043.021,43.021,10043.021
20150114,Hold,74.595,0,0.0,0,10043.021,43.021,10043.021
20150115,Buy,74.043,135,-10000.8029025,135,42.218,38.023,10038.023
20150116,Hold,74.213,0,0.0,135,42.218,60.973,10060.973
20150120,Hold,74.142,0,0.0,135,42.218,51.388,10051.388
20150121,Hold,73.276,0,0.0,135,42.218,-65.522,9934.478
20150122,Hold,74.238,0,0.0,135,42.218,64.348,10064.348
20150123,Hold,75.106,0,0.0,135,42.218,181.528,10181.528
20150126,Hold,75.155,0,0.0,135,42.218,188.143,10188.143
20150127,Hold,75.133,0,0.0,135,42.218,185.173,10185.173
20150128,Sell,74.909,-135,10107.6586425,0,10149.876,149.876,10149.876
20150129,Buy,73.753,137,-10109.2130805,137,40.663,144.824,10144.824
20150130,Hold,73.856,0,0.0,137,40.663,158.935,10158.935
20150202,Hold,72.159,0,0.0,137,40.663,-73.554,9926.446
20150203,Hold,73.046,0,0.0,137,40.663,47.965,10047.965
20150204,Hold,73.355,0,0.0,137,40.663,90.298,10090.298
20150205,Hold,74.134,0,0.0,137,40.663,197.021,10197.021
20150206,Hold,74.263,0,0.0,137,40.663,214.694,10214.694
20150209,Hold,74.016,0,0.0,137,40.663,180.855,10180.855
20150210,Sell,73.719,-137,10094.4532485,0,10135.116,135.116,10135.116
20150211,Hold,73.728,0,0.0,0,10135.116,135.116,10135.116
20150212,Buy,73.667,137,-10097.4251895,137,37.691,130.07,10130.07
20150213,Hold,73.063,0,0.0,137,37.691,47.322,10047.322
20150217,Hold,72.704,0,0.0,137,37.691,-1.861,9998.139
20150218,Hold,73.175,0,0.0,137,37.691,62.666,10062.666
20150219,Hold,71.914,0,0.0,137,37.691,-110.091,9889.909
20150220,Hold,70.408,0,0.0,137,37.691,-316.413,9683.587
20150223,Hold,71.887,0,0.0,137,37.691,-113.79,9886.21
20150224,Hold,71.922,0,0.0,137,37.691,-108.995,9891.005
20150225,Hold,72.026,0,0.0,137,37.691,-94.747,9905.253
20150226,Hold,71.359,0,0.0,137,37.691,-186.126,9813.874
20150227,Sell,71.261,-137,9757.8756215,0,9795.567,-204.433,9795.567
20150302,Buy,71.395,137,-9786.005557499999,137,9.561,-209.324,9790.676
20150303,Hold,71.201,0,0.0,137,9.561,-235.902,9764.098
20150304,Hold,70.819,0,0.0,137,9.561,-288.236,9711.764
20150305,Hold,70.819,0,0.0,137,9.561,-288.236,9711.764
20150306,Hold,70.475,0,0.0,137,9.561,-335.364,9664.636
20150309,Hold,70.289,0,0.0,137,9.561,-360.846,9639.154
20150310,Hold,70.016,0,0.0,137,9.561,-398.247,9601.753
20150311,Hold,70.041,0,0.0,137,9.561,-394.822,9605.178
20150312,Hold,69.185,0,0.0,137,9.561,-512.094,9487.906
20150313,Hold,70.166,0,0.0,137,9.561,-377.697,9622.303
20150316,Hold,70.593,0,0.0,137,9.561,-319.198,9680.802
20150317,Hold,70.968,0,0.0,137,9.561,-267.823,9732.177
20150318,Hold,70.188,0,0.0,137,9.561,-374.683,9625.317
20150319,Sell,70.489,-137,9652.1645035,0,9661.726,-338.274,9661.726
20150320,Buy,70.059,137,-9602.8820415,137,58.844,-343.073,9656.927
20150323,Hold,71.218,0,0.0,137,58.844,-184.29,9815.71
20150324,Hold,71.225,0,0.0,137,58.844,-183.331,9816.669
20150325,Hold,71.136,0,0.0,137,58.844,-195.524,9804.476
20150326,Hold,69.292,0,0.0,137,58.844,-448.152,9551.848
20150327,Sell,70.077,-137,9595.7487255,0,9654.592,-345.408,9654.592
20150330,Buy,70.041,137,-9600.4148085,137,54.178,-350.205,9649.795
20150331,Hold,70.54,0,0.0,137,54.178,-281.842,9718.158
20150401,Hold,70.387,0,0.0,137,54.178,-302.803,9697.197
20150402,Hold,69.203,0,0.0,137,54.178,-465.011,9534.989
20150406,Hold,68.887,0,0.0,137,54.178,-508.303,9491.697
20150407,Hold,69.424,0,0.0,137,54.178,-434.734,9565.266
20150408,Hold,68.828,0,0.0,137,54.178,-516.386,9483.614
20150409,Hold,69.213,0,0.0,137,54.178,-463.641,9536.359
20150410,Hold,69.349,0,0.0,137,54.178,-445.009,9554.991
20150413,Hold,68.8,0,0.0,137,54.178,-520.222,9479.778
20150414,Hold,68.716,0,0.0,137,54.178,-531.73,9468.27
20150415,Sell,69.034,-137,9452.929171000002,0,9507.107,-492.893,9507.107
20150416,Buy,68.067,139,-9466.043656499998,139,41.063,-497.624,9502.376
20150417,Hold,67.585,0,0.0,139,41.063,-564.622,9435.378
20150420,Hold,67.184,0,0.0,139,41.063,-620.361,9379.639
20150421,Hold,67.305,0,0.0,139,41.063,-603.542,9396.458
20150422,Hold,66.55,0,0.0,139,41.063,-708.487,9291.513
20150423,Hold,67.029,0,0.0,139,41.063,-641.906,9358.094
20150424,Hold,67.964,0,0.0,139,41.063,-511.941,9488.059
20150427,Hold,68.296,0,0.0,139,41.063,-465.793,9534.207
