,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Buy,61.784,161,-9952.197612,161,47.802,-4.974,9995.026
20170111,Hold,61.389,0,0.0,161,47.802,-68.569,9931.431
20170112,Hold,61.535,0,0.0,161,47.802,-45.063,9954.937
20170113,Hold,61.192,0,0.0,161,47.802,-100.286,9899.714
20170117,Hold,61.29,0,0.0,161,47.802,-84.508,9915.492
20170118,Hold,61.101,0,0.0,161,47.802,-114.937,9885.063
20170119,Hold,61.326,0,0.0,161,47.802,-78.712,9921.288
20170120,Hold,60.973,0,0.0,161,47.802,-135.545,9864.455
20170123,Hold,60.316,0,0.0,161,47.802,-241.322,9758.678
20170124,Hold,60.211,0,0.0,161,47.802,-258.227,9741.773
20170125,Hold,60.774,0,0.0,161,47.802,-167.584,9832.416
20170126,Hold,60.426,0,0.0,161,47.802,-223.612,9776.388
20170127,Hold,60.183,0,0.0,161,47.802,-262.735,9737.265
20170130,Hold,59.076,0,0.0,161,47.802,-440.962,9559.038
20170131,Hold,59.597,0,0.0,161,47.802,-357.081,9642.919
20170201,Hold,59.821,0,0.0,161,47.802,-321.017,9678.983
20170202,Hold,59.715,0,0.0,161,47.802,-338.083,9661.917
20170203,Hold,60.146,0,0.0,161,47.802,-268.692,9731.308
20170206,Hold,59.743,0,0.0,161,47.802,-333.575,9666.425
20170207,Hold,59.912,0,0.0,161,47.802,-306.366,9693.634
20170208,Hold,60.211,0,0.0,161,47.802,-258.227,9741.773
20170209,Sell,61.028,-161,9820.595246,0,9868.398,-131.602,9868.398
20170210,Buy,61.431,160,-9833.874479999999,160,34.523,-136.517,9863.483
20170213,Hold,61.496,0,0.0,160,34.523,-126.117,9873.883
20170214,Sell,61.101,-160,9771.271920000001,0,9805.795,-194.205,9805.795
20170215,Buy,60.991,160,-9763.439279999999,160,42.356,-199.084,9800.916
20170216,Sell,61.812,-160,9884.975040000001,0,9927.331,-72.669,9927.331
20170217,Buy,61.954,160,-9917.596319999999,160,9.735,-77.625,9922.375
20170221,Sell,64.096,-160,10250.232320000001,0,10259.967,259.967,10259.967
20170222,Buy,65.036,157,-10215.757325999999,157,44.21,254.862,10254.862
20170223,Hold,64.809,0,0.0,157,44.21,219.223,10219.223
20170224,Hold,64.215,0,0.0,157,44.21,125.965,10125.965
20170227,Hold,65.059,0,0.0,157,44.21,258.473,10258.473
20170228,Hold,63.792,0,0.0,157,44.21,59.554,10059.554
20170301,Hold,63.88,0,0.0,157,44.21,73.37,10073.37
20170302,Hold,63.385,0,0.0,157,44.21,-4.345,9995.655
20170303,Hold,63.738,0,0.0,157,44.21,51.076,10051.076
20170306,Hold,63.008,0,0.0,157,44.21,-63.534,9936.466
20170307,Hold,62.919,0,0.0,157,44.21,-77.507,9922.493
20170308,Hold,63.19,0,0.0,157,44.21,-34.96,9965.04
20170309,Hold,63.244,0,0.0,157,44.21,-26.482,9973.518
20170310,Hold,63.474,0,0.0,157,44.21,9.628,10009.628
20170313,Hold,63.464,0,0.0,157,44.21,8.058,10008.058
20170314,Sell,64.215,-157,10076.714122500001,0,10120.924,120.924,10120.924
20170315,Buy,63.926,158,-10105.358154,158,15.565,115.873,10115.873
20170316,Hold,63.571,0,0.0,158,15.565,59.783,10059.783
20170317,Sell,64.0,-158,10106.944000000001,0,10122.509,122.509,10122.509
20170320,Hold,63.597,0,0.0,0,10122.509,122.509,10122.509
20170321,Buy,63.626,159,-10121.592267,159,0.917,117.451,10117.451
20170322,Hold,63.498,0,0.0,159,0.917,97.099,10097.099
20170323,Sell,63.654,-159,10115.925507000002,0,10116.843,116.843,10116.843
20170324,Buy,63.464,159,-10095.821387999998,159,21.021,111.797,10111.797
20170327,Hold,63.037,0,0.0,159,21.021,43.904,10043.904
20170328,Hold,62.865,0,0.0,159,21.021,16.556,10016.556
20170329,Hold,63.79,0,0.0,159,21.021,163.631,10163.631
20170330,Hold,64.096,0,0.0,159,21.021,212.285,10212.285
20170331,Hold,64.669,0,0.0,159,21.021,303.392,10303.392
20170403,Hold,65.359,0,0.0,159,21.021,413.102,10413.102
20170404,Hold,65.05,0,0.0,159,21.021,363.971,10363.971
20170405,Hold,64.959,0,0.0,159,21.021,349.502,10349.502
20170406,Sell,65.015,-159,10332.2163075,0,10353.238,353.238,10353.238
20170407,Hold,65.376,0,0.0,0,10353.238,353.238,10353.238
20170410,Buy,66.183,156,-10329.710274000001,156,23.527,348.075,10348.075
20170411,Hold,66.191,0,0.0,156,23.527,349.323,10349.323
20170412,Hold,66.688,0,0.0,156,23.527,426.855,10426.855
20170413,Hold,66.527,0,0.0,156,23.527,401.739,10401.739
20170417,Hold,66.336,0,0.0,156,23.527,371.943,10371.943
20170418,Hold,66.679,0,0.0,156,23.527,425.451,10425.451
20170419,Hold,67.19,0,0.0,156,23.527,505.167,10505.167
20170420,Hold,67.225,0,0.0,156,23.527,510.627,10510.627
20170421,Hold,67.77,0,0.0,156,23.527,595.647,10595.647
20170424,Hold,68.078,0,0.0,156,23.527,643.695,10643.695
20170425,Hold,67.979,0,0.0,156,23.527,628.251,10628.251
20170426,Hold,68.252,0,0.0,156,23.527,670.839,10670.839
20170427,Hold,68.495,0,0.0,156,23.527,708.747,10708.747
20170428,Hold,68.225,0,0.0,156,23.527,666.627,10666.627
20170501,Hold,68.086,0,0.0,156,23.527,644.943,10644.943
20170502,Hold,68.275,0,0.0,156,23.527,674.427,10674.427
20170503,Hold,68.368,0,0.0,156,23.527,688.935,10688.935
20170504,Hold,68.85,0,0.0,156,23.527,764.127,10764.127
20170505,Hold,69.294,0,0.0,156,23.527,833.391,10833.391
20170508,Hold,69.363,0,0.0,156,23.527,844.155,10844.155
20170509,Hold,69.313,0,0.0,156,23.527,836.355,10836.355
20170510,Hold,69.677,0,0.0,156,23.527,893.139,10893.139
20170511,Hold,69.693,0,0.0,156,23.527,895.635,10895.635
20170512,Hold,69.33,0,0.0,156,23.527,839.007,10839.007
20170515,Hold,69.19,0,0.0,156,23.527,817.167,10817.167
20170516,Hold,69.547,0,0.0,156,23.527,872.859,10872.859
20170517,Hold,68.507,0,0.0,156,23.527,710.619,10710.619
20170518,Sell,70.186,-156,10943.541492000002,0,10967.069,967.069,10967.069
20170519,Buy,71.171,154,-10965.814167,154,1.255,961.589,10961.589
20170522,Hold,71.792,0,0.0,154,1.255,1057.223,11057.223
20170523,Hold,71.73,0,0.0,154,1.255,1047.675,11047.675
20170524,Hold,71.71,0,0.0,154,1.255,1044.595,11044.595
20170525,Sell,71.527,-154,11009.650421,0,11010.905,1010.905,11010.905
20170526,Hold,71.537,0,0.0,0,11010.905,1010.905,11010.905
20170530,Buy,71.199,154,-10970.128322999999,154,40.777,1005.423,11005.423
20170531,Hold,71.517,0,0.0,154,40.777,1054.395,11054.395
20170601,Hold,71.783,0,0.0,154,40.777,1095.359,11095.359
20170602,Sell,72.842,-154,11212.059166000001,0,11252.836,1252.836,11252.836
20170605,Buy,72.659,154,-11195.080743,154,57.755,1247.241,11247.241
20170606,Hold,72.506,0,0.0,154,57.755,1223.679,11223.679
20170607,Sell,72.184,-154,11110.777832,0,11168.533,1168.533,11168.533
20170608,Hold,72.641,0,0.0,0,11168.533,1168.533,11168.533
20170609,Buy,72.137,154,-11114.652548999999,154,53.88,1162.978,11162.978
20170612,Hold,72.478,0,0.0,154,53.88,1215.492,11215.492
20170613,Hold,72.304,0,0.0,154,53.88,1188.696,11188.696
20170614,Hold,72.587,0,0.0,154,53.88,1232.278,11232.278
20170615,Hold,72.277,0,0.0,154,53.88,1184.538,11184.538
20170616,Hold,67.504,0,0.0,154,53.88,449.496,10449.496
20170619,Hold,68.807,0,0.0,154,53.88,650.158,10650.158
20170620,Hold,69.265,0,0.0,154,53.88,720.69,10720.69
20170621,Hold,69.008,0,0.0,154,53.88,681.112,10681.112
20170622,Hold,69.4,0,0.0,154,53.88,741.48,10741.48
20170623,Hold,69.008,0,0.0,154,53.88,681.112,10681.112
20170626,Hold,68.415,0,0.0,154,53.88,589.79,10589.79
20170627,Hold,68.935,0,0.0,154,53.88,669.87,10669.87
20170628,Hold,69.601,0,0.0,154,53.88,772.434,10772.434
20170629,Hold,69.601,0,0.0,154,53.88,772.434,10772.434
20170630,Hold,69.446,0,0.0,154,53.88,748.564,10748.564
20170703,Sell,69.226,-154,10655.473598,0,10709.354,709.354,10709.354
20170705,Hold,68.962,0,0.0,0,10709.354,709.354,10709.354
20170706,Buy,68.781,155,-10666.3855275,155,42.969,704.024,10704.024
20170707,Hold,69.055,0,0.0,155,42.969,746.494,10746.494
20170710,Hold,68.598,0,0.0,155,42.969,675.659,10675.659
20170711,Hold,66.982,0,0.0,155,42.969,425.179,10425.179
20170712,Hold,67.237,0,0.0,155,42.969,464.704,10464.704
20170713,Hold,68.16,0,0.0,155,42.969,607.769,10607.769
20170714,Hold,69.62,0,0.0,155,42.969,834.069,10834.069
20170717,Hold,69.64,0,0.0,155,42.969,837.169,10837.169
20170718,Hold,69.601,0,0.0,155,42.969,831.124,10831.124
20170719,Hold,69.446,0,0.0,155,42.969,807.099,10807.099
20170720,Sell,69.354,-155,10744.495065,0,10787.464,787.464,10787.464
20170721,Buy,69.226,155,-10735.395015,155,52.069,782.099,10782.099
20170724,Hold,69.4,0,0.0,155,52.069,809.069,10809.069
20170725,Sell,70.845,-155,10975.484512500001,0,11027.553,1027.553,11027.553
20170726,Buy,71.701,153,-10975.738126499999,153,51.815,1022.068,11022.068
20170727,Hold,71.857,0,0.0,153,51.815,1045.936,11045.936
20170728,Hold,72.842,0,0.0,153,51.815,1196.641,11196.641
20170731,Hold,72.86,0,0.0,153,51.815,1199.395,11199.395
20170801,Hold,73.251,0,0.0,153,51.815,1259.218,11259.218
20170802,Hold,73.335,0,0.0,153,51.815,1272.07,11272.07
20170803,Hold,74.248,0,0.0,153,51.815,1411.759,11411.759
20170804,Hold,73.993,0,0.0,153,51.815,1372.744,11372.744
20170807,Hold,73.546,0,0.0,153,51.815,1304.353,11304.353
20170808,Hold,74.093,0,0.0,153,51.815,1388.044,11388.044
20170809,Hold,74.504,0,0.0,153,51.815,1450.927,11450.927
20170810,Hold,74.466,0,0.0,153,51.815,1445.113,11445.113
20170811,Hold,74.155,0,0.0,153,51.815,1397.53,11397.53
20170814,Sell,74.025,-153,11320.1620875,0,11371.977,1371.977,11371.977
20170815,Hold,74.246,0,0.0,0,11371.977,1371.977,11371.977
20170816,Hold,74.65,0,0.0,0,11371.977,1371.977,11371.977
20170817,Buy,72.428,156,-11304.417384,156,67.56,1366.328,11366.328
20170818,Hold,73.134,0,0.0,156,67.56,1476.464,11476.464
20170821,Hold,72.674,0,0.0,156,67.56,1404.704,11404.704
20170822,Hold,73.301,0,0.0,156,67.56,1502.516,11502.516
20170823,Hold,73.807,0,0.0,156,67.56,1581.452,11581.452
20170824,Hold,74.045,0,0.0,156,67.56,1618.58,11618.58
20170825,Hold,72.108,0,0.0,156,67.56,1316.408,11316.408
20170828,Hold,72.025,0,0.0,156,67.56,1303.46,11303.46
20170829,Hold,71.342,0,0.0,156,67.56,1196.912,11196.912
20170830,Hold,72.398,0,0.0,156,67.56,1361.648,11361.648
20170831,Hold,72.198,0,0.0,156,67.56,1330.448,11330.448
20170901,Hold,71.93,0,0.0,156,67.56,1288.64,11288.64
20170905,Hold,71.601,0,0.0,156,67.56,1237.316,11237.316
20170906,Hold,73.373,0,0.0,156,67.56,1513.748,11513.748
20170907,Hold,73.778,0,0.0,156,67.56,1576.928,11576.928
20170908,Hold,73.244,0,0.0,156,67.56,1493.624,11493.624
20170911,Sell,72.702,-156,11335.841244,0,11403.401,1403.401,11403.401
20170912,Hold,72.841,0,0.0,0,11403.401,1403.401,11403.401
20170913,Buy,73.124,155,-11339.887109999998,155,63.514,1397.734,11397.734
20170914,Hold,73.293,0,0.0,155,63.514,1423.929,11423.929
20170915,Hold,73.31,0,0.0,155,63.514,1426.564,11426.564
20170918,Hold,73.675,0,0.0,155,63.514,1483.139,11483.139
20170919,Hold,73.649,0,0.0,155,63.514,1479.109,11479.109
20170920,Sell,73.64,-155,11408.492900000001,0,11472.007,1472.007,11472.007
20170921,Buy,74.009,154,-11403.084693,154,68.922,1466.308,11466.308
20170922,Sell,73.382,-154,11295.177586000002,0,11364.1,1364.1,11364.1
20170925,Buy,72.493,156,-11314.562453999999,156,49.537,1358.445,11358.445
20170926,Hold,72.602,0,0.0,156,49.537,1375.449,11375.449
20170927,Hold,72.951,0,0.0,156,49.537,1429.893,11429.893
20170928,Hold,72.567,0,0.0,156,49.537,1369.989,11369.989
20170929,Hold,72.428,0,0.0,156,49.537,1348.305,11348.305
20171002,Hold,71.556,0,0.0,156,49.537,1212.273,11212.273
20171003,Hold,72.408,0,0.0,156,49.537,1345.185,11345.185
20171004,Hold,72.814,0,0.0,156,49.537,1408.521,11408.521
20171005,Hold,72.722,0,0.0,156,49.537,1394.169,11394.169
20171006,Hold,72.363,0,0.0,156,49.537,1338.165,11338.165
20171009,Hold,73.416,0,0.0,156,49.537,1502.433,11502.433
20171010,Sell,75.947,-156,11841.808134,0,11891.345,1891.345,11891.345
20171011,Buy,77.692,152,-11815.088591999998,152,76.257,1885.441,11885.441
20171012,Hold,78.72,0,0.0,152,76.257,2041.697,12041.697
20171013,Hold,79.219,0,0.0,152,76.257,2117.545,12117.545
20171016,Hold,79.529,0,0.0,152,76.257,2164.665,12164.665
20171017,Hold,78.537,0,0.0,152,76.257,2013.881,12013.881
20171018,Sell,79.132,-152,12022.049968000001,0,12098.307,2098.307,12098.307
20171019,Buy,79.132,152,-12034.078032,152,64.229,2092.293,12092.293
20171020,Hold,79.546,0,0.0,152,64.229,2155.221,12155.221
20171023,Hold,80.226,0,0.0,152,64.229,2258.581,12258.581
20171024,Hold,81.467,0,0.0,152,64.229,2447.213,12447.213
20171025,Hold,80.692,0,0.0,152,64.229,2329.413,12329.413
20171026,Sell,81.437,-152,12372.234788,0,12436.463,2436.463,12436.463
20171027,Buy,80.961,153,-12393.226516499999,153,43.237,2430.27,12430.27
20171030,Sell,80.683,-153,12338.326750500002,0,12381.564,2381.564,12381.564
20171031,Buy,79.785,155,-12372.858337499998,155,8.705,2375.38,12375.38
20171101,Hold,79.978,0,0.0,155,8.705,2405.295,12405.295
20171102,Hold,81.089,0,0.0,155,8.705,2577.5,12577.5
20171103,Hold,81.769,0,0.0,155,8.705,2682.9,12682.9
20171106,Hold,82.137,0,0.0,155,8.705,2739.94,12739.94
20171107,Hold,81.631,0,0.0,155,8.705,2661.51,12661.51
20171108,Hold,81.851,0,0.0,155,8.705,2695.61,12695.61
20171109,Hold,82.615,0,0.0,155,8.705,2814.03,12814.03
20171110,Hold,82.89,0,0.0,155,8.705,2856.655,12856.655
20171113,Hold,83.624,0,0.0,155,8.705,2970.425,12970.425
20171114,Hold,83.31,0,0.0,155,8.705,2921.755,12921.755
20171115,Hold,82.982,0,0.0,155,8.705,2870.915,12870.915
20171116,Sell,87.372,-155,13535.88867,0,13544.594,3544.594,13544.594
20171117,Buy,89.53,151,-13525.789515,151,18.804,3537.834,13537.834
20171120,Hold,88.583,0,0.0,151,18.804,3394.837,13394.837
20171121,Sell,89.779,-151,13549.8506855,0,13568.655,3568.655,13568.655
20171122,Hold,88.778,0,0.0,0,13568.655,3568.655,13568.655
20171124,Hold,88.98,0,0.0,0,13568.655,3568.655,13568.655
20171127,Buy,88.96,152,-13528.680959999998,152,39.974,3561.894,13561.894
20171128,Hold,88.725,0,0.0,152,39.974,3526.174,13526.174
20171129,Hold,89.299,0,0.0,152,39.974,3613.422,13613.422
20171130,Sell,90.102,-152,13688.656248000001,0,13728.63,3728.63,13728.63
20171201,Buy,89.659,153,-13724.6859135,153,3.945,3721.772,13721.772
20171204,Sell,89.769,-153,13727.789671500002,0,13731.734,3731.734,13731.734
20171205,Hold,89.1,0,0.0,0,13731.734,3731.734,13731.734
20171206,Buy,90.006,152,-13687.752456,152,43.982,3724.894,13724.894
20171207,Hold,89.627,0,0.0,152,43.982,3667.286,13667.286
20171208,Hold,89.263,0,0.0,152,43.982,3611.958,13611.958
20171211,Hold,89.051,0,0.0,152,43.982,3579.734,13579.734
20171212,Sell,89.434,-152,13587.171016,0,13631.153,3631.153,13631.153
20171213,Buy,89.254,152,-13573.391303999999,152,57.761,3624.369,13624.369
20171214,Hold,90.492,0,0.0,152,57.761,3812.545,13812.545
20171215,Hold,90.223,0,0.0,152,57.761,3771.657,13771.657
20171218,Hold,89.921,0,0.0,152,57.761,3725.753,13725.753
20171219,Sell,92.256,-152,14015.900544000002,0,14073.662,4073.662,14073.662
20171220,Buy,91.833,153,-14057.4742245,153,16.188,4066.637,14066.637
20171221,Hold,91.414,0,0.0,153,16.188,4002.53,14002.53
20171222,Hold,90.758,0,0.0,153,16.188,3902.162,13902.162
20171226,Sell,90.815,-153,13887.7476525,0,13903.935,3903.935,13903.935
20171227,Buy,91.931,151,-13888.521790499999,151,15.414,3896.995,13896.995
20171228,Hold,91.897,0,0.0,151,15.414,3891.861,13891.861
20171229,Hold,91.785,0,0.0,151,15.414,3874.949,13874.949
