,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,20.89,478,-9990.412709999999,478,9.587,-4.993,9995.007
20190110,Hold,19.76,0,0.0,478,9.587,-545.133,9454.867
20190111,Sell,19.47,-478,9302.00667,0,9311.594,-688.406,9311.594
20190114,Hold,19.96,0,0.0,0,9311.594,-688.406,9311.594
20190115,Buy,20.44,455,-9304.8501,455,6.744,-693.056,9306.944
20190116,Hold,20.4,0,0.0,455,6.744,-711.256,9288.744
20190117,Hold,19.49,0,0.0,455,6.744,-1125.306,8874.694
20190118,Sell,20.37,-455,9263.715825000001,0,9270.46,-729.54,9270.46
20190122,Buy,20.48,452,-9261.58848,452,8.871,-734.169,9265.831
20190123,Hold,20.03,0,0.0,452,8.871,-937.569,9062.431
20190124,Hold,20.06,0,0.0,452,8.871,-924.009,9075.991
20190125,Hold,20.99,0,0.0,452,8.871,-503.649,9496.351
20190128,Hold,20.315,0,0.0,452,8.871,-808.749,9191.251
20190129,Hold,20.26,0,0.0,452,8.871,-833.609,9166.391
20190130,Sell,21.49,-452,9708.62326,0,9717.494,-282.506,9717.494
20190131,Buy,23.02,421,-9696.26571,421,21.229,-287.351,9712.649
20190201,Hold,24.61,0,0.0,421,21.229,382.039,10382.039
20190204,Hold,24.43,0,0.0,421,21.229,306.259,10306.259
20190205,Hold,23.42,0,0.0,421,21.229,-118.951,9881.049
20190206,Sell,23.63,-421,9943.255885,0,9964.485,-35.515,9964.485
20190207,Buy,22.99,433,-9959.647335,433,4.837,-40.493,9959.507
20190208,Hold,22.33,0,0.0,433,4.837,-326.273,9673.727
20190211,Hold,23.05,0,0.0,433,4.837,-14.513,9985.487
20190212,Sell,23.43,-433,10140.117405,0,10144.955,144.955,10144.955
20190213,Buy,22.98,441,-10139.247089999999,441,5.708,139.888,10139.888
20190214,Hold,22.74,0,0.0,441,5.708,34.048,10034.048
20190215,Hold,23.58,0,0.0,441,5.708,404.488,10404.488
