,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120110,Buy,19.012,525,-9986.29065,525,13.709,-4.991,9995.009
20120111,Hold,18.808,0,0.0,525,13.709,-112.091,9887.909
20120112,Hold,19.144,0,0.0,525,13.709,64.309,10064.309
20120113,Hold,18.991,0,0.0,525,13.709,-16.016,9983.984
20120117,Hold,18.604,0,0.0,525,13.709,-219.191,9780.809
20120118,Hold,18.59,0,0.0,525,13.709,-226.541,9773.459
20120119,Hold,18.871,0,0.0,525,13.709,-79.016,9920.984
20120120,Hold,19.091,0,0.0,525,13.709,36.484,10036.484
20120123,Hold,19.488,0,0.0,525,13.709,244.909,10244.909
20120124,Hold,19.747,0,0.0,525,13.709,380.884,10380.884
20120125,Hold,19.785,0,0.0,525,13.709,400.834,10400.834
20120126,Hold,19.924,0,0.0,525,13.709,473.809,10473.809
20120127,Hold,19.716,0,0.0,525,13.709,364.609,10364.609
20120130,Sell,19.605,-525,10287.4786875,0,10301.188,301.188,10301.188
20120131,Hold,19.814,0,0.0,0,10301.188,301.188,10301.188
20120201,Buy,19.775,520,-10288.1415,520,13.047,296.047,10296.047
20120202,Hold,19.657,0,0.0,520,13.047,234.687,10234.687
20120203,Hold,19.85,0,0.0,520,13.047,335.047,10335.047
20120206,Hold,19.782,0,0.0,520,13.047,299.687,10299.687
20120207,Hold,19.85,0,0.0,520,13.047,335.047,10335.047
20120208,Sell,19.857,-520,10320.47718,0,10333.524,333.524,10333.524
20120209,Buy,20.059,514,-10315.481163,514,18.043,328.369,10328.369
20120210,Hold,19.932,0,0.0,514,18.043,263.091,10263.091
20120213,Sell,20.008,-514,10278.969944,0,10297.012,297.012,10297.012
20120214,Buy,19.804,519,-10283.415137999998,519,13.597,291.873,10291.873
20120215,Sell,20.025,-519,10387.7785125,0,10401.376,401.376,10401.376
20120216,Buy,19.678,528,-10395.178992,528,6.197,396.181,10396.181
20120217,Hold,20.014,0,0.0,528,6.197,573.589,10573.589
20120221,Hold,20.379,0,0.0,528,6.197,766.309,10766.309
20120222,Hold,20.17,0,0.0,528,6.197,655.957,10655.957
20120223,Hold,19.804,0,0.0,528,6.197,462.709,10462.709
20120224,Sell,19.903,-528,10503.529608,0,10509.726,509.726,10509.726
20120227,Buy,19.768,531,-10502.056404,531,7.67,504.478,10504.478
20120228,Hold,20.073,0,0.0,531,7.67,666.433,10666.433
20120229,Hold,20.308,0,0.0,531,7.67,791.218,10791.218
20120301,Sell,20.176,-531,10708.099272,0,10715.769,715.769,10715.769
20120302,Hold,20.05,0,0.0,0,10715.769,715.769,10715.769
20120305,Hold,20.043,0,0.0,0,10715.769,715.769,10715.769
20120306,Buy,19.58,547,-10715.615129999998,547,0.154,710.414,10710.414
20120307,Hold,19.782,0,0.0,547,0.154,820.908,10820.908
20120308,Hold,20.134,0,0.0,547,0.154,1013.452,11013.452
20120309,Hold,20.081,0,0.0,547,0.154,984.461,10984.461
20120312,Hold,20.162,0,0.0,547,0.154,1028.768,11028.768
20120313,Hold,20.216,0,0.0,547,0.154,1058.306,11058.306
20120314,Hold,20.46,0,0.0,547,0.154,1191.774,11191.774
20120315,Hold,20.474,0,0.0,547,0.154,1199.432,11199.432
20120316,Hold,20.736,0,0.0,547,0.154,1342.746,11342.746
20120319,Hold,20.6,0,0.0,547,0.154,1268.354,11268.354
20120320,Hold,20.608,0,0.0,547,0.154,1272.73,11272.73
20120321,Hold,20.744,0,0.0,547,0.154,1347.122,11347.122
20120322,Hold,20.679,0,0.0,547,0.154,1311.567,11311.567
20120323,Hold,20.827,0,0.0,547,0.154,1392.523,11392.523
20120326,Hold,20.871,0,0.0,547,0.154,1416.591,11416.591
20120327,Hold,21.052,0,0.0,547,0.154,1515.598,11515.598
20120328,Hold,20.968,0,0.0,547,0.154,1469.65,11469.65
20120329,Sell,20.707,-547,11321.065635500001,0,11321.22,1321.22,11321.22
20120330,Hold,21.152,0,0.0,0,11321.22,1321.22,11321.22
20120402,Buy,20.871,542,-11317.738040999999,542,3.482,1315.564,11315.564
20120403,Hold,21.095,0,0.0,542,3.482,1436.972,11436.972
20120404,Hold,20.774,0,0.0,542,3.482,1262.99,11262.99
20120405,Sell,20.774,-542,11253.878246,0,11257.36,1257.36,11257.36
20120409,Buy,20.673,544,-11251.735055999998,544,5.625,1251.737,11251.737
20120410,Hold,20.649,0,0.0,544,5.625,1238.681,11238.681
20120411,Hold,20.633,0,0.0,544,5.625,1229.977,11229.977
20120412,Hold,20.85,0,0.0,544,5.625,1348.025,11348.025
20120413,Hold,21.135,0,0.0,544,5.625,1503.065,11503.065
20120416,Hold,21.068,0,0.0,544,5.625,1466.617,11466.617
20120417,Hold,21.211,0,0.0,544,5.625,1544.409,11544.409
20120418,Hold,20.558,0,0.0,544,5.625,1189.177,11189.177
20120419,Hold,20.773,0,0.0,544,5.625,1306.137,11306.137
20120420,Hold,20.664,0,0.0,544,5.625,1246.841,11246.841
20120423,Hold,20.371,0,0.0,544,5.625,1087.449,11087.449
20120424,Hold,20.387,0,0.0,544,5.625,1096.153,11096.153
20120425,Hold,20.448,0,0.0,544,5.625,1129.337,11129.337
20120426,Hold,20.72,0,0.0,544,5.625,1277.305,11277.305
20120427,Hold,20.955,0,0.0,544,5.625,1405.145,11405.145
20120430,Hold,21.185,0,0.0,544,5.625,1530.265,11530.265
20120501,Hold,21.223,0,0.0,544,5.625,1550.937,11550.937
20120502,Hold,21.48,0,0.0,544,5.625,1690.745,11690.745
20120503,Hold,21.97,0,0.0,544,5.625,1957.305,11957.305
20120504,Hold,21.263,0,0.0,544,5.625,1572.697,11572.697
20120507,Hold,20.894,0,0.0,544,5.625,1371.961,11371.961
20120508,Hold,20.632,0,0.0,544,5.625,1229.433,11229.433
20120509,Hold,20.33,0,0.0,544,5.625,1065.145,11065.145
