,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,44.158,226,-9984.697854,226,15.302,-4.99,9995.01
20190110,Hold,43.965,0,0.0,226,15.302,-48.608,9951.392
20190111,Hold,44.287,0,0.0,226,15.302,24.164,10024.164
20190114,Hold,44.619,0,0.0,226,15.302,99.196,10099.196
20190115,Sell,44.847,-226,10130.354289,0,10145.656,145.656,10145.656
20190116,Hold,44.747,0,0.0,0,10145.656,145.656,10145.656
20190117,Hold,44.194,0,0.0,0,10145.656,145.656,10145.656
20190118,Hold,45.216,0,0.0,0,10145.656,145.656,10145.656
20190122,Buy,45.079,224,-10102.744847999998,224,42.912,140.608,10140.608
20190123,Hold,44.572,0,0.0,224,42.912,27.04,10027.04
20190124,Sell,44.838,-224,10038.690144,0,10081.602,81.602,10081.602
20190125,Buy,43.136,233,-10055.713344,233,25.888,76.576,10076.576
20190128,Hold,42.475,0,0.0,233,25.888,-77.437,9922.563
20190129,Hold,43.071,0,0.0,233,25.888,61.431,10061.431
20190130,Hold,42.979,0,0.0,233,25.888,39.995,10039.995
20190131,Hold,42.997,0,0.0,233,25.888,44.189,10044.189
20190201,Hold,43.328,0,0.0,233,25.888,121.312,10121.312
20190204,Sell,44.765,-233,10425.029877500001,0,10450.918,450.918,10450.918
20190205,Buy,45.282,230,-10420.067429999997,230,30.851,445.711,10445.711
20190206,Hold,46.288,0,0.0,230,30.851,677.091,10677.091
20190207,Hold,45.869,0,0.0,230,30.851,580.721,10580.721
20190208,Hold,45.191,0,0.0,230,30.851,424.781,10424.781
20190211,Sell,45.425,-230,10442.526125,0,10473.377,473.377,10473.377
20190212,Hold,45.74,0,0.0,0,10473.377,473.377,10473.377
20190213,Buy,46.455,225,-10457.601187499999,225,15.776,468.151,10468.151
20190214,Hold,46.713,0,0.0,225,15.776,526.201,10526.201
20190215,Hold,47.49,0,0.0,225,15.776,701.026,10701.026
20190219,Hold,47.584,0,0.0,225,15.776,722.176,10722.176
20190220,Hold,47.844,0,0.0,225,15.776,780.676,10780.676
20190221,Hold,47.556,0,0.0,225,15.776,715.876,10715.876
20190222,Sell,48.836,-225,10982.605950000001,0,10998.382,998.382,10998.382
