,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Buy,76.298,130,-9923.699369999998,130,76.301,-4.959,9995.041
20210112,Hold,78.887,0,0.0,130,76.301,331.611,10331.611
20210113,Hold,78.649,0,0.0,130,76.301,300.671,10300.671
20210114,Hold,79.704,0,0.0,130,76.301,437.821,10437.821
20210115,Hold,80.611,0,0.0,130,76.301,555.731,10555.731
20210119,Hold,80.97,0,0.0,130,76.301,602.401,10602.401
20210120,Sell,85.602,-130,11122.695870000001,0,11198.997,1198.997,11198.997
20210121,Buy,83.68,133,-11135.004719999999,133,63.992,1193.432,11193.432
20210122,Hold,83.76,0,0.0,133,63.992,1204.072,11204.072
20210125,Sell,82.873,-133,11016.597945500002,0,11080.59,1080.59,11080.59
20210126,Hold,81.478,0,0.0,0,11080.59,1080.59,11080.59
20210127,Buy,77.035,143,-11021.513002499998,143,59.077,1075.082,11075.082
20210128,Hold,76.905,0,0.0,143,59.077,1056.492,11056.492
20210129,Hold,78.061,0,0.0,143,59.077,1221.8,11221.8
20210201,Hold,79.286,0,0.0,143,59.077,1396.975,11396.975
20210202,Hold,80.95,0,0.0,143,59.077,1634.927,11634.927
20210203,Hold,81.538,0,0.0,143,59.077,1719.011,11719.011
20210204,Hold,78.848,0,0.0,143,59.077,1334.341,11334.341
20210205,Hold,81.458,0,0.0,143,59.077,1707.571,11707.571
20210208,Hold,81.433,0,0.0,143,59.077,1703.996,11703.996
20210209,Hold,83.032,0,0.0,143,59.077,1932.653,11932.653
20210210,Hold,83.68,0,0.0,143,59.077,2025.317,12025.317
20210211,Hold,84.077,0,0.0,143,59.077,2082.088,12082.088
20210212,Hold,85.731,0,0.0,143,59.077,2318.61,12318.61
20210216,Hold,88.879,0,0.0,143,59.077,2768.774,12768.774
20210217,Hold,86.359,0,0.0,143,59.077,2408.414,12408.414
20210218,Hold,86.189,0,0.0,143,59.077,2384.104,12384.104
20210219,Hold,89.9,0,0.0,143,59.077,2914.777,12914.777
20210222,Hold,89.188,0,0.0,143,59.077,2812.961,12812.961
20210223,Hold,84.914,0,0.0,143,59.077,2201.779,12201.779
20210224,Sell,87.963,-143,12572.4196455,0,12631.496,2631.496,12631.496
20210225,Buy,91.17,138,-12587.75073,138,43.746,2625.206,12625.206
20210226,Hold,89.398,0,0.0,138,43.746,2380.67,12380.67
20210301,Hold,94.178,0,0.0,138,43.746,3040.31,13040.31
20210302,Hold,93.212,0,0.0,138,43.746,2907.002,12907.002
20210303,Sell,90.225,-138,12444.824475,0,12488.57,2488.57,12488.57
20210304,Buy,88.471,141,-12480.6482055,141,7.922,2482.333,12482.333
20210305,Hold,87.196,0,0.0,141,7.922,2302.558,12302.558
20210308,Hold,88.235,0,0.0,141,7.922,2449.057,12449.057
20210309,Hold,87.663,0,0.0,141,7.922,2368.405,12368.405
