,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,35.246,283,-9979.605309,283,20.395,-4.987,9995.013
20190110,Hold,35.221,0,0.0,283,20.395,-12.062,9987.938
20190111,Hold,35.846,0,0.0,283,20.395,164.813,10164.813
20190114,Hold,36.441,0,0.0,283,20.395,333.198,10333.198
20190115,Hold,37.691,0,0.0,283,20.395,686.948,10686.948
20190116,Hold,37.495,0,0.0,283,20.395,631.48,10631.48
20190117,Sell,36.636,-283,10362.804006000002,0,10383.199,383.199,10383.199
20190118,Buy,38.177,271,-10351.1399835,271,32.059,378.026,10378.026
20190122,Hold,38.672,0,0.0,271,32.059,512.171,10512.171
20190123,Hold,37.503,0,0.0,271,32.059,195.372,10195.372
20190124,Sell,37.925,-271,10272.5361625,0,10304.595,304.595,10304.595
20190125,Buy,38.604,266,-10273.798332,266,30.797,299.461,10299.461
20190128,Hold,33.914,0,0.0,266,30.797,-948.079,9051.921
20190129,Hold,33.814,0,0.0,266,30.797,-974.679,9025.321
20190130,Hold,33.446,0,0.0,266,30.797,-1072.567,8927.433
20190131,Hold,34.088,0,0.0,266,30.797,-901.795,9098.205
20190201,Hold,35.888,0,0.0,266,30.797,-422.995,9577.005
20190204,Hold,36.104,0,0.0,266,30.797,-365.539,9634.461
20190205,Hold,37.171,0,0.0,266,30.797,-81.717,9918.283
20190206,Hold,37.573,0,0.0,266,30.797,25.215,10025.215
20190207,Hold,37.535,0,0.0,266,30.797,15.107,10015.107
20190208,Hold,35.941,0,0.0,266,30.797,-408.897,9591.103
20190211,Sell,36.358,-266,9666.392386,0,9697.189,-302.811,9697.189
20190212,Buy,36.757,263,-9671.9245455,263,25.264,-307.645,9692.355
20190213,Hold,37.841,0,0.0,263,25.264,-22.553,9977.447
20190214,Hold,37.961,0,0.0,263,25.264,9.007,10009.007
20190215,Sell,40.467,-263,10637.499589500001,0,10662.764,662.764,10662.764
20190219,Buy,38.97,273,-10644.129405,273,18.635,657.445,10657.445
20190220,Hold,39.194,0,0.0,273,18.635,718.597,10718.597
20190221,Hold,39.504,0,0.0,273,18.635,803.227,10803.227
20190222,Sell,39.204,-273,10697.340654000001,0,10715.975,715.975,10715.975
20190225,Buy,40.37,265,-10703.399024999999,265,12.576,710.626,10710.626
20190226,Hold,39.364,0,0.0,265,12.576,444.036,10444.036
20190227,Hold,38.872,0,0.0,265,12.576,313.656,10313.656
20190228,Hold,38.534,0,0.0,265,12.576,224.086,10224.086
20190301,Hold,38.852,0,0.0,265,12.576,308.356,10308.356
20190304,Hold,39.28,0,0.0,265,12.576,421.776,10421.776
20190305,Hold,38.822,0,0.0,265,12.576,300.406,10300.406
20190306,Hold,38.824,0,0.0,265,12.576,300.936,10300.936
20190307,Hold,37.565,0,0.0,265,12.576,-32.699,9967.301
20190308,Hold,36.214,0,0.0,265,12.576,-390.714,9609.286
20190311,Hold,37.688,0,0.0,265,12.576,-0.104,9999.896
20190312,Hold,40.34,0,0.0,265,12.576,702.676,10702.676
20190313,Hold,40.78,0,0.0,265,12.576,819.276,10819.276
20190314,Hold,42.013,0,0.0,265,12.576,1146.021,11146.021
20190315,Hold,41.591,0,0.0,265,12.576,1034.191,11034.191
20190318,Hold,42.53,0,0.0,265,12.576,1283.026,11283.026
20190319,Hold,42.95,0,0.0,265,12.576,1394.326,11394.326
20190320,Hold,43.978,0,0.0,265,12.576,1666.746,11666.746
20190321,Hold,43.592,0,0.0,265,12.576,1564.456,11564.456
20190322,Hold,45.47,0,0.0,265,12.576,2062.126,12062.126
20190325,Hold,43.725,0,0.0,265,12.576,1599.701,11599.701
20190326,Sell,44.624,-265,11819.447320000001,0,11832.024,1832.024,11832.024
20190327,Hold,44.229,0,0.0,0,11832.024,1832.024,11832.024
20190328,Hold,44.141,0,0.0,0,11832.024,1832.024,11832.024
20190329,Buy,44.737,264,-11816.473284,264,15.55,1826.118,11826.118
20190401,Hold,45.566,0,0.0,264,15.55,2044.974,12044.974
20190402,Hold,45.563,0,0.0,264,15.55,2044.182,12044.182
20190403,Hold,45.995,0,0.0,264,15.55,2158.23,12158.23
20190404,Hold,46.737,0,0.0,264,15.55,2354.118,12354.118
20190405,Hold,47.232,0,0.0,264,15.55,2484.798,12484.798
20190408,Hold,47.162,0,0.0,264,15.55,2466.318,12466.318
20190409,Hold,47.342,0,0.0,264,15.55,2513.838,12513.838
20190410,Sell,47.042,-264,12412.878456,0,12428.429,2428.429,12428.429
20190411,Hold,47.782,0,0.0,0,12428.429,2428.429,12428.429
20190412,Buy,48.005,258,-12391.482645,258,36.946,2422.236,12422.236
20190415,Hold,47.157,0,0.0,258,36.946,2203.452,12203.452
20190416,Hold,46.315,0,0.0,258,36.946,1986.216,11986.216
20190417,Sell,47.137,-258,12155.265327000001,0,12192.211,2192.211,12192.211
20190418,Buy,46.627,261,-12175.7318235,261,16.48,2186.127,12186.127
20190422,Hold,46.082,0,0.0,261,16.48,2043.882,12043.882
20190423,Hold,46.985,0,0.0,261,16.48,2279.565,12279.565
20190424,Hold,47.505,0,0.0,261,16.48,2415.285,12415.285
20190425,Hold,47.119,0,0.0,261,16.48,2314.539,12314.539
20190426,Hold,44.928,0,0.0,261,16.48,1742.688,11742.688
20190429,Hold,44.357,0,0.0,261,16.48,1593.657,11593.657
20190430,Hold,44.261,0,0.0,261,16.48,1568.601,11568.601
20190501,Hold,45.528,0,0.0,261,16.48,1899.288,11899.288
20190502,Hold,44.966,0,0.0,261,16.48,1752.606,11752.606
20190503,Hold,45.63,0,0.0,261,16.48,1925.91,11925.91
20190506,Hold,43.635,0,0.0,261,16.48,1405.215,11405.215
20190507,Hold,44.229,0,0.0,261,16.48,1560.249,11560.249
20190508,Hold,42.76,0,0.0,261,16.48,1176.84,11176.84
20190509,Hold,42.545,0,0.0,261,16.48,1120.725,11120.725
20190510,Hold,42.003,0,0.0,261,16.48,979.263,10979.263
20190513,Hold,40.647,0,0.0,261,16.48,625.347,10625.347
20190514,Hold,39.79,0,0.0,261,16.48,401.67,10401.67
20190515,Hold,39.727,0,0.0,261,16.48,385.227,10385.227
20190516,Hold,39.62,0,0.0,261,16.48,357.3,10357.3
20190517,Hold,39.404,0,0.0,261,16.48,300.924,10300.924
20190520,Hold,37.928,0,0.0,261,16.48,-84.312,9915.688
20190521,Hold,38.334,0,0.0,261,16.48,21.654,10021.654
20190522,Hold,38.16,0,0.0,261,16.48,-23.76,9976.24
20190523,Hold,37.215,0,0.0,261,16.48,-270.405,9729.595
20190524,Hold,36.815,0,0.0,261,16.48,-374.805,9625.195
20190528,Hold,36.264,0,0.0,261,16.48,-518.616,9481.384
20190529,Hold,35.161,0,0.0,261,16.48,-806.499,9193.501
20190530,Hold,34.926,0,0.0,261,16.48,-867.834,9132.166
20190531,Hold,34.134,0,0.0,261,16.48,-1074.546,8925.454
20190603,Hold,33.828,0,0.0,261,16.48,-1154.412,8845.588
20190604,Hold,33.941,0,0.0,261,16.48,-1124.919,8875.081
20190605,Hold,36.334,0,0.0,261,16.48,-500.346,9499.654
20190606,Hold,35.211,0,0.0,261,16.48,-793.449,9206.551
20190607,Hold,35.846,0,0.0,261,16.48,-627.714,9372.286
20190610,Hold,36.777,0,0.0,261,16.48,-384.723,9615.277
20190611,Hold,37.545,0,0.0,261,16.48,-184.275,9815.725
20190612,Hold,37.085,0,0.0,261,16.48,-304.335,9695.665
20190613,Sell,36.611,-261,9550.6932645,0,9567.173,-432.827,9567.173
20190614,Hold,35.968,0,0.0,0,9567.173,-432.827,9567.173
20190617,Buy,35.984,265,-9540.52788,265,26.645,-437.595,9562.405
20190618,Hold,36.714,0,0.0,265,26.645,-244.145,9755.855
20190619,Hold,38.404,0,0.0,265,26.645,203.705,10203.705
20190620,Hold,39.017,0,0.0,265,26.645,366.15,10366.15
20190621,Hold,38.204,0,0.0,265,26.645,150.705,10150.705
20190624,Hold,37.988,0,0.0,265,26.645,93.465,10093.465
20190625,Sell,38.045,-265,10076.884037500002,0,10103.529,103.529,10103.529
20190626,Hold,38.98,0,0.0,0,10103.529,103.529,10103.529
20190627,Buy,40.497,249,-10088.7948765,249,14.734,98.487,10098.487
20190628,Hold,41.067,0,0.0,249,14.734,240.417,10240.417
20190701,Hold,42.952,0,0.0,249,14.734,709.782,10709.782
20190702,Hold,41.192,0,0.0,249,14.734,271.542,10271.542
20190703,Sell,40.612,-249,10107.331806000002,0,10122.066,122.066,10122.066
20190705,Buy,39.92,253,-10104.809879999999,253,17.256,117.016,10117.016
