,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Buy,60.8,164,-9976.185599999999,164,23.814,-4.986,9995.014
20200110,Hold,61.666,0,0.0,164,23.814,137.038,10137.038
20200113,Hold,61.748,0,0.0,164,23.814,150.486,10150.486
20200114,Hold,62.398,0,0.0,164,23.814,257.086,10257.086
20200115,Hold,61.781,0,0.0,164,23.814,155.898,10155.898
20200116,Sell,61.764,-164,10124.231352,0,10148.046,148.046,10148.046
20200117,Hold,62.258,0,0.0,0,10148.046,148.046,10148.046
20200121,Buy,61.786,164,-10137.970452,164,10.075,142.979,10142.979
20200122,Hold,62.274,0,0.0,164,10.075,223.011,10223.011
20200123,Hold,62.761,0,0.0,164,10.075,302.879,10302.879
20200124,Sell,64.2,-164,10523.535600000001,0,10533.611,533.611,10533.611
20200127,Buy,59.401,177,-10519.2339885,177,14.377,528.354,10528.354
20200128,Hold,60.55,0,0.0,177,14.377,731.727,10731.727
20200129,Hold,61.681,0,0.0,177,14.377,931.914,10931.914
20200130,Hold,60.243,0,0.0,177,14.377,677.388,10677.388
20200131,Hold,60.83,0,0.0,177,14.377,781.287,10781.287
20200203,Hold,58.768,0,0.0,177,14.377,416.313,10416.313
20200204,Sell,61.345,-177,10852.6359675,0,10867.013,867.013,10867.013
20200205,Buy,62.828,172,-10811.819208,172,55.194,861.61,10861.61
20200206,Hold,62.866,0,0.0,172,55.194,868.146,10868.146
20200207,Hold,62.988,0,0.0,172,55.194,889.13,10889.13
20200210,Hold,62.954,0,0.0,172,55.194,883.282,10883.282
20200211,Sell,66.652,-172,11458.411928000001,0,11513.606,1513.606,11513.606
20200212,Buy,67.324,170,-11450.802539999999,170,62.803,1507.883,11507.883
20200213,Hold,67.374,0,0.0,170,62.803,1516.383,11516.383
20200214,Hold,71.622,0,0.0,170,62.803,2238.543,12238.543
20200218,Hold,71.218,0,0.0,170,62.803,2169.863,12169.863
20200219,Hold,75.17,0,0.0,170,62.803,2841.703,12841.703
20200220,Hold,77.983,0,0.0,170,62.803,3319.913,13319.913
20200221,Hold,75.846,0,0.0,170,62.803,2956.623,12956.623
20200224,Hold,67.369,0,0.0,170,62.803,1515.533,11515.533
20200225,Hold,68.89,0,0.0,170,62.803,1774.103,11774.103
20200226,Hold,65.336,0,0.0,170,62.803,1169.923,11169.923
20200227,Hold,63.587,0,0.0,170,62.803,872.593,10872.593
20200228,Hold,60.376,0,0.0,170,62.803,326.723,10326.723
20200302,Sell,69.08,-170,11737.728200000001,0,11800.531,1800.531,11800.531
20200303,Buy,69.521,169,-11754.9235245,169,45.608,1794.657,11794.657
20200304,Hold,67.412,0,0.0,169,45.608,1438.236,11438.236
20200305,Hold,68.98,0,0.0,169,45.608,1703.228,11703.228
20200306,Hold,66.382,0,0.0,169,45.608,1264.166,11264.166
20200309,Hold,59.85,0,0.0,169,45.608,160.258,10160.258
20200310,Hold,63.998,0,0.0,169,45.608,861.27,10861.27
20200311,Hold,63.727,0,0.0,169,45.608,815.471,10815.471
20200312,Hold,56.245,0,0.0,169,45.608,-448.987,9551.013
20200313,Hold,57.502,0,0.0,169,45.608,-236.554,9763.446
20200316,Hold,52.994,0,0.0,169,45.608,-998.406,9001.594
20200317,Hold,50.123,0,0.0,169,45.608,-1483.605,8516.395
20200318,Hold,49.917,0,0.0,169,45.608,-1518.419,8481.581
20200319,Hold,50.384,0,0.0,169,45.608,-1439.496,8560.504
20200320,Hold,54.633,0,0.0,169,45.608,-721.415,9278.585
20200323,Hold,51.322,0,0.0,169,45.608,-1280.974,8719.026
20200324,Hold,57.13,0,0.0,169,45.608,-299.422,9700.578
20200325,Hold,63.315,0,0.0,169,45.608,745.843,10745.843
20200326,Hold,63.35,0,0.0,169,45.608,751.758,10751.758
20200327,Hold,62.371,0,0.0,169,45.608,586.307,10586.307
20200330,Hold,63.703,0,0.0,169,45.608,811.415,10811.415
20200331,Hold,66.662,0,0.0,169,45.608,1311.486,11311.486
20200401,Hold,63.775,0,0.0,169,45.608,823.583,10823.583
20200402,Hold,60.936,0,0.0,169,45.608,343.792,10343.792
20200403,Sell,63.355,-169,10701.641502499999,0,10747.249,747.249,10747.249
20200406,Buy,63.673,168,-10702.412532,168,44.837,741.901,10741.901
20200407,Hold,69.18,0,0.0,168,44.837,1667.077,11667.077
20200408,Hold,65.714,0,0.0,168,44.837,1084.789,11084.789
20200409,Hold,67.86,0,0.0,168,44.837,1445.317,11445.317
20200413,Hold,65.0,0,0.0,168,44.837,964.837,10964.837
20200414,Hold,68.607,0,0.0,168,44.837,1570.813,11570.813
20200415,Hold,69.154,0,0.0,168,44.837,1662.709,11662.709
20200416,Hold,71.62,0,0.0,168,44.837,2076.997,12076.997
20200417,Hold,74.343,0,0.0,168,44.837,2534.461,12534.461
20200420,Hold,71.66,0,0.0,168,44.837,2083.717,12083.717
20200421,Sell,70.431,-168,11826.491796,0,11871.329,1871.329,11871.329
20200422,Hold,69.162,0,0.0,0,11871.329,1871.329,11871.329
20200423,Hold,71.81,0,0.0,0,11871.329,1871.329,11871.329
20200424,Buy,70.753,167,-11821.6588755,167,49.67,1865.421,11865.421
20200427,Sell,73.593,-167,12283.8859845,0,12333.556,2333.556,12333.556
20200428,Buy,75.593,163,-12327.8198295,163,5.736,2327.395,12327.395
20200429,Hold,74.036,0,0.0,163,5.736,2073.604,12073.604
20200430,Hold,73.918,0,0.0,163,5.736,2054.37,12054.37
20200501,Hold,70.938,0,0.0,163,5.736,1568.63,11568.63
20200504,Hold,70.073,0,0.0,163,5.736,1427.635,11427.635
20200505,Hold,73.713,0,0.0,163,5.736,2020.955,12020.955
20200506,Hold,74.076,0,0.0,163,5.736,2080.124,12080.124
20200507,Hold,75.688,0,0.0,163,5.736,2342.88,12342.88
20200508,Hold,76.776,0,0.0,163,5.736,2520.224,12520.224
20200511,Hold,77.913,0,0.0,163,5.736,2705.555,12705.555
20200512,Hold,81.063,0,0.0,163,5.736,3219.005,13219.005
20200513,Hold,79.013,0,0.0,163,5.736,2884.855,12884.855
20200514,Hold,78.253,0,0.0,163,5.736,2760.975,12760.975
20200515,Hold,78.735,0,0.0,163,5.736,2839.541,12839.541
20200518,Sell,87.424,-163,14242.986944000002,0,14248.723,4248.723,14248.723
20200519,Buy,87.719,162,-14217.583238999998,162,31.139,4241.617,14241.617
20200520,Hold,89.722,0,0.0,162,31.139,4566.103,14566.103
20200521,Hold,90.325,0,0.0,162,31.139,4663.789,14663.789
20200522,Hold,88.068,0,0.0,162,31.139,4298.155,14298.155
20200526,Sell,91.374,-162,14795.186706,0,14826.326,4826.326,14826.326
20200527,Buy,86.069,172,-14811.269934,172,15.056,4818.924,14818.924
20200528,Hold,83.947,0,0.0,172,15.056,4453.94,14453.94
20200529,Hold,85.365,0,0.0,172,15.056,4697.836,14697.836
20200601,Hold,88.148,0,0.0,172,15.056,5176.512,15176.512
20200602,Hold,87.779,0,0.0,172,15.056,5113.044,15113.044
20200603,Hold,88.038,0,0.0,172,15.056,5157.592,15157.592
20200604,Hold,87.139,0,0.0,172,15.056,5002.964,15002.964
20200605,Hold,87.801,0,0.0,172,15.056,5116.828,15116.828
20200608,Hold,88.628,0,0.0,172,15.056,5259.072,15259.072
20200609,Hold,87.857,0,0.0,172,15.056,5126.46,15126.46
20200610,Sell,91.526,-172,15734.600764,0,15749.657,5749.657,15749.657
20200611,Buy,91.348,172,-15719.711927999999,172,29.945,5741.801,15741.801
20200612,Sell,91.474,-172,15725.661236000002,0,15755.606,5755.606,15755.606
20200615,Buy,88.008,178,-15673.256711999999,178,82.35,5747.774,15747.774
20200616,Sell,92.098,-178,16385.247278,0,16467.597,6467.597,16467.597
20200617,Buy,90.986,180,-16385.66874,180,81.928,6459.408,16459.408
20200618,Hold,92.118,0,0.0,180,81.928,6663.168,16663.168
