,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Buy,58.65,170,-9975.48525,170,24.515,-4.985,9995.015
20140110,Hold,57.13,0,0.0,170,24.515,-263.385,9736.615
20140113,Sell,57.91,-170,9839.77765,0,9864.292,-135.708,9864.292
20140114,Buy,56.46,174,-9828.95202,174,35.34,-140.62,9859.38
20140115,Sell,57.98,-174,10083.47574,0,10118.816,118.816,10118.816
20140116,Buy,57.26,176,-10082.79888,176,36.017,113.777,10113.777
20140117,Sell,57.3,-176,10079.757599999999,0,10115.775,115.775,10115.775
20140121,Buy,56.6,178,-10079.8374,178,35.937,110.737,10110.737
20140122,Hold,58.85,0,0.0,178,35.937,511.237,10511.237
20140123,Hold,56.38,0,0.0,178,35.937,71.577,10071.577
20140124,Hold,56.15,0,0.0,178,35.937,30.637,10030.637
20140127,Hold,54.74,0,0.0,178,35.937,-220.343,9779.657
20140128,Hold,54.02,0,0.0,178,35.937,-348.503,9651.497
20140129,Hold,54.61,0,0.0,178,35.937,-243.483,9756.517
20140130,Sell,62.12,-178,11051.83132,0,11087.769,1087.769,11087.769
20140131,Buy,60.25,183,-11031.262874999999,183,56.506,1082.256,11082.256
20140203,Hold,63.03,0,0.0,183,56.506,1590.996,11590.996
20140204,Hold,62.09,0,0.0,183,56.506,1418.976,11418.976
20140205,Hold,62.74,0,0.0,183,56.506,1537.926,11537.926
20140206,Hold,61.46,0,0.0,183,56.506,1303.686,11303.686
20140207,Sell,62.27,-183,11389.712295000001,0,11446.218,1446.218,11446.218
20140210,Buy,64.28,177,-11383.248779999998,177,62.969,1440.529,11440.529
20140211,Hold,63.76,0,0.0,177,62.969,1348.489,11348.489
20140212,Hold,64.92,0,0.0,177,62.969,1553.809,11553.809
20140213,Hold,64.15,0,0.0,177,62.969,1417.519,11417.519
20140214,Sell,67.5,-177,11941.52625,0,12004.496,2004.496,12004.496
20140218,Buy,66.94,179,-11988.251129999999,179,16.245,1998.505,11998.505
20140219,Hold,67.05,0,0.0,179,16.245,2018.195,12018.195
20140220,Hold,67.73,0,0.0,179,16.245,2139.915,12139.915
20140221,Hold,69.69,0,0.0,179,16.245,2490.755,12490.755
20140224,Hold,68.74,0,0.0,179,16.245,2320.705,12320.705
20140225,Hold,70.95,0,0.0,179,16.245,2716.295,12716.295
20140226,Hold,70.19,0,0.0,179,16.245,2580.255,12580.255
20140227,Sell,69.36,-179,12409.232280000002,0,12425.477,2425.477,12425.477
20140228,Buy,69.47,178,-12371.84283,178,53.634,2419.294,12419.294
20140303,Hold,66.96,0,0.0,178,53.634,1972.514,11972.514
20140304,Hold,68.66,0,0.0,178,53.634,2275.114,12275.114
20140305,Hold,69.69,0,0.0,178,53.634,2458.454,12458.454
20140306,Hold,71.88,0,0.0,178,53.634,2848.274,12848.274
20140307,Hold,71.08,0,0.0,178,53.634,2705.874,12705.874
20140310,Sell,70.77,-178,12590.76147,0,12644.395,2644.395,12644.395
20140311,Buy,72.5,174,-12621.307499999999,174,23.088,2638.088,12638.088
20140312,Sell,69.86,-174,12149.56218,0,12172.65,2172.65,12172.65
20140313,Buy,71.29,170,-12125.35965,170,47.29,2166.59,12166.59
20140314,Hold,68.49,0,0.0,170,47.29,1690.59,11690.59
20140317,Hold,68.18,0,0.0,170,47.29,1637.89,11637.89
20140318,Hold,68.76,0,0.0,170,47.29,1736.49,11736.49
20140319,Hold,69.17,0,0.0,170,47.29,1806.19,11806.19
20140320,Hold,68.01,0,0.0,170,47.29,1608.99,11608.99
20140321,Hold,67.53,0,0.0,170,47.29,1527.39,11527.39
20140324,Hold,67.22,0,0.0,170,47.29,1474.69,11474.69
20140325,Hold,64.89,0,0.0,170,47.29,1078.59,11078.59
20140326,Hold,64.74,0,0.0,170,47.29,1053.09,11053.09
20140327,Hold,60.51,0,0.0,170,47.29,333.99,10333.99
20140328,Hold,61.33,0,0.0,170,47.29,473.39,10473.39
20140331,Hold,60.78,0,0.0,170,47.29,379.89,10379.89
20140401,Hold,60.46,0,0.0,170,47.29,325.49,10325.49
20140402,Hold,63.21,0,0.0,170,47.29,792.99,10792.99
20140403,Hold,62.55,0,0.0,170,47.29,680.79,10680.79
20140404,Hold,59.95,0,0.0,170,47.29,238.79,10238.79
20140407,Hold,55.9,0,0.0,170,47.29,-449.71,9550.29
20140408,Hold,57.62,0,0.0,170,47.29,-157.31,9842.69
20140409,Hold,59.63,0,0.0,170,47.29,184.39,10184.39
20140410,Hold,63.08,0,0.0,170,47.29,770.89,10770.89
20140411,Hold,57.6,0,0.0,170,47.29,-160.71,9839.29
20140414,Sell,60.09,-170,10210.192350000001,0,10257.483,257.483,10257.483
20140415,Hold,59.29,0,0.0,0,10257.483,257.483,10257.483
20140416,Hold,59.79,0,0.0,0,10257.483,257.483,10257.483
20140417,Buy,59.27,172,-10199.53722,172,57.946,252.386,10252.386
20140421,Hold,59.46,0,0.0,172,57.946,285.066,10285.066
20140422,Sell,62.65,-172,10770.4121,0,10828.358,828.358,10828.358
20140423,Buy,63.45,170,-10791.89325,170,36.464,822.964,10822.964
20140424,Hold,63.6,0,0.0,170,36.464,848.464,10848.464
20140425,Sell,59.97,-170,10189.80255,0,10226.267,226.267,10226.267
20140428,Buy,58.05,176,-10221.908399999998,176,4.359,221.159,10221.159
20140429,Hold,56.09,0,0.0,176,4.359,-123.801,9876.199
20140430,Hold,57.58,0,0.0,176,4.359,138.439,10138.439
20140501,Hold,60.43,0,0.0,176,4.359,640.039,10640.039
20140502,Hold,61.3,0,0.0,176,4.359,793.159,10793.159
20140505,Hold,59.67,0,0.0,176,4.359,506.279,10506.279
20140506,Hold,60.98,0,0.0,176,4.359,736.839,10736.839
