,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Hold,17.29,0,0,0,10000,0.0,10000.0
20200110,Buy,17.66,565,-9982.888949999999,565,17.111,-4.989,9995.011
20200113,Hold,17.48,0,0,565,17.111,-106.689,9893.311
20200114,Hold,17.99,0,0,565,17.111,181.461,10181.461
20200115,Hold,18.0,0,0,565,17.111,187.111,10187.111
20200116,Hold,18.02,0,0,565,17.111,198.411,10198.411
20200117,Sell,19.1,-565,10786.10425,0,10803.215,803.215,10803.215
20200121,Buy,19.02,567,-10789.73217,567,13.483,797.823,10797.823
20200122,Hold,19.23,0,0,567,13.483,916.893,10916.893
20200123,Hold,19.18,0,0,567,13.483,888.543,10888.543
20200124,Hold,19.71,0,0,567,13.483,1189.053,11189.053
20200127,Hold,18.47,0,0,567,13.483,485.973,10485.973
20200128,Hold,18.8,0,0,567,13.483,673.083,10673.083
20200129,Hold,19.15,0,0,567,13.483,871.533,10871.533
20200130,Hold,18.81,0,0,567,13.483,678.753,10678.753
20200131,Hold,18.73,0,0,567,13.483,633.393,10633.393
20200203,Sell,18.65,-567,10569.262725,0,10582.746,582.746,10582.746
20200204,Buy,18.48,572,-10575.84528,572,6.901,577.461,10577.461
20200205,Hold,18.02,0,0,572,6.901,314.341,10314.341
20200206,Hold,16.36,0,0,572,6.901,-635.179,9364.821
20200207,Hold,16.96,0,0,572,6.901,-291.979,9708.021
20200210,Hold,17.05,0,0,572,6.901,-240.499,9759.501
20200211,Hold,17.65,0,0,572,6.901,102.701,10102.701
20200212,Hold,17.66,0,0,572,6.901,108.421,10108.421
20200213,Hold,17.22,0,0,572,6.901,-143.259,9856.741
20200214,Hold,17.54,0,0,572,6.901,39.781,10039.781
20200218,Hold,17.44,0,0,572,6.901,-17.419,9982.581
20200219,Hold,17.23,0,0,572,6.901,-137.539,9862.461
20200220,Hold,17.09,0,0,572,6.901,-217.619,9782.381
20200221,Hold,16.83,0,0,572,6.901,-366.339,9633.661
20200224,Hold,15.69,0,0,572,6.901,-1018.419,8981.581
20200225,Hold,16.31,0,0,572,6.901,-663.779,9336.221
20200226,Hold,15.93,0,0,572,6.901,-881.139,9118.861
20200227,Hold,15.18,0,0,572,6.901,-1310.139,8689.861
20200228,Hold,13.86,0,0,572,6.901,-2065.179,7934.821
20200302,Hold,14.35,0,0,572,6.901,-1784.899,8215.101
20200303,Hold,14.5,0,0,572,6.901,-1699.099,8300.901
20200304,Hold,13.82,0,0,572,6.901,-2088.059,7911.941
20200305,Hold,13.68,0,0,572,6.901,-2168.139,7831.861
20200306,Hold,13.46,0,0,572,6.901,-2293.979,7706.021
20200309,Hold,11.25,0,0,572,6.901,-3558.099,6441.901
20200310,Hold,11.91,0,0,572,6.901,-3180.579,6819.421
20200311,Hold,11.57,0,0,572,6.901,-3375.059,6624.941
20200312,Hold,10.07,0,0,572,6.901,-4233.059,5766.941
20200313,Hold,11.09,0,0,572,6.901,-3649.619,6350.381
20200316,Hold,9.61,0,0,572,6.901,-4496.179,5503.821
20200317,Hold,9.19,0,0,572,6.901,-4736.419,5263.581
20200318,Hold,8.03,0,0,572,6.901,-5399.939,4600.061
20200319,Hold,8.3,0,0,572,6.901,-5245.499,4754.501
20200320,Hold,9.98,0,0,572,6.901,-4284.539,5715.461
20200323,Hold,10.12,0,0,572,6.901,-4204.459,5795.541
20200324,Hold,11.32,0,0,572,6.901,-3518.059,6481.941
20200325,Hold,11.15,0,0,572,6.901,-3615.299,6384.701
20200326,Hold,11.31,0,0,572,6.901,-3523.779,6476.221
20200327,Hold,11.59,0,0,572,6.901,-3363.619,6636.381
20200330,Hold,12.05,0,0,572,6.901,-3100.499,6899.501
20200331,Hold,11.65,0,0,572,6.901,-3329.299,6670.701
20200401,Hold,11.32,0,0,572,6.901,-3518.059,6481.941
20200402,Hold,11.18,0,0,572,6.901,-3598.139,6401.861
20200403,Hold,11.3,0,0,572,6.901,-3529.499,6470.501
20200406,Hold,11.47,0,0,572,6.901,-3432.259,6567.741
20200407,Sell,12.6,-572,7203.5964,0,7210.497,-2789.503,7210.497
20200408,Buy,12.57,573,-7206.211305,573,4.286,-2793.104,7206.896
20200409,Hold,13.52,0,0,573,4.286,-2248.754,7751.246
20200413,Hold,13.69,0,0,573,4.286,-2151.344,7848.656
20200414,Hold,13.7,0,0,573,4.286,-2145.614,7854.386
20200415,Hold,13.46,0,0,573,4.286,-2283.134,7716.866
20200416,Hold,13.63,0,0,573,4.286,-2185.724,7814.276
20200417,Hold,13.2,0,0,573,4.286,-2432.114,7567.886
20200420,Hold,12.77,0,0,573,4.286,-2678.504,7321.496
20200421,Hold,12.71,0,0,573,4.286,-2712.884,7287.116
20200422,Sell,15.18,-573,8693.79093,0,8698.077,-1301.923,8698.077
20200423,Buy,16.51,526,-8688.60213,526,9.474,-1306.266,8693.734
20200424,Hold,15.94,0,0,526,9.474,-1606.086,8393.914
20200427,Hold,16.25,0,0,526,9.474,-1443.026,8556.974
20200428,Hold,17.03,0,0,526,9.474,-1032.746,8967.254
20200429,Hold,16.8,0,0,526,9.474,-1153.726,8846.274
20200430,Hold,17.5,0,0,526,9.474,-785.526,9214.474
20200501,Hold,17.0,0,0,526,9.474,-1048.526,8951.474
20200504,Sell,16.6,-526,8727.2342,0,8736.709,-1263.291,8736.709
20200505,Hold,17.17,0,0,0,8736.709,-1263.291,8736.709
20200506,Buy,17.02,513,-8735.62563,513,1.083,-1267.657,8732.343
20200507,Hold,17.6,0,0,513,1.083,-970.117,9029.883
20200508,Hold,18.18,0,0,513,1.083,-672.577,9327.423
20200511,Hold,18.1,0,0,513,1.083,-713.617,9286.383
20200512,Hold,18.2,0,0,513,1.083,-662.317,9337.683
20200513,Sell,17.4,-513,8921.7369,0,8922.82,-1077.18,8922.82
20200514,Buy,16.65,535,-8912.203875,535,10.616,-1081.634,8918.366
20200515,Hold,16.8,0,0,535,10.616,-1001.384,8998.616
20200518,Hold,17.5,0,0,535,10.616,-626.884,9373.116
20200519,Hold,17.28,0,0,535,10.616,-744.584,9255.416
20200520,Hold,17.67,0,0,535,10.616,-535.934,9464.066
20200521,Hold,18.2,0,0,535,10.616,-252.384,9747.616
20200522,Sell,17.67,-535,9448.723275000002,0,9459.339,-540.661,9459.339
20200526,Hold,18.0,0,0,0,9459.339,-540.661,9459.339
20200527,Hold,17.39,0,0,0,9459.339,-540.661,9459.339
20200528,Buy,16.9,559,-9451.823549999997,559,7.516,-545.384,9454.616
20200529,Hold,18.29,0,0,559,7.516,231.626,10231.626
20200601,Hold,19.0,0,0,559,7.516,628.516,10628.516
20200602,Hold,19.66,0,0,559,7.516,997.456,10997.456
20200603,Hold,19.83,0,0,559,7.516,1092.486,11092.486
20200604,Hold,19.49,0,0,559,7.516,902.426,10902.426
20200605,Hold,19.45,0,0,559,7.516,880.066,10880.066
20200608,Hold,20.3,0,0,559,7.516,1355.216,11355.216
20200609,Hold,20.46,0,0,559,7.516,1444.656,11444.656
20200610,Hold,21.24,0,0,559,7.516,1880.676,11880.676
20200611,Hold,20.05,0,0,559,7.516,1215.466,11215.466
20200612,Sell,20.42,-559,11409.072610000001,0,11416.588,1416.588,11416.588
20200615,Buy,19.81,576,-11416.26528,576,0.323,1410.883,11410.883
20200616,Sell,21.3,-576,12262.665600000002,0,12262.989,2262.989,12262.989
20200617,Buy,21.0,583,-12249.1215,583,13.867,2256.867,12256.867
20200618,Hold,21.81,0,0,583,13.867,2729.097,12729.097
20200619,Hold,22.41,0,0,583,13.867,3078.897,13078.897
20200622,Hold,22.84,0,0,583,13.867,3329.587,13329.587
20200623,Hold,23.46,0,0,583,13.867,3691.047,13691.047
20200624,Hold,23.52,0,0,583,13.867,3726.027,13726.027
20200625,Hold,23.51,0,0,583,13.867,3720.197,13720.197
20200626,Hold,24.84,0,0,583,13.867,4495.587,14495.587
20200629,Hold,22.86,0,0,583,13.867,3341.247,13341.247
20200630,Hold,23.06,0,0,583,13.867,3457.847,13457.847
20200701,Sell,23.65,-583,13781.056025,0,13794.923,3794.923,13794.923
20200702,Buy,24.01,574,-13788.63087,574,6.292,3788.032,13788.032
20200706,Hold,23.51,0,0,574,6.292,3501.032,13501.032
20200707,Sell,23.73,-574,13614.209490000001,0,13620.502,3620.502,13620.502
20200708,Hold,25.28,0,0,0,13620.502,3620.502,13620.502
20200709,Buy,26.05,522,-13604.89905,522,15.603,3613.703,13613.703
20200710,Hold,25.92,0,0,522,15.603,3545.843,13545.843
