,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,180.48,55,-9931.3632,55,68.637,-4.963,9995.037
20150112,Hold,178.93,0,0.0,55,68.637,-90.213,9909.787
20150113,Hold,183.0,0,0.0,55,68.637,133.637,10133.637
20150114,Hold,177.2,0,0.0,55,68.637,-185.363,9814.637
20150115,Sell,174.88,-55,9613.5908,0,9682.228,-317.772,9682.228
20150116,Buy,177.23,54,-9575.20521,54,107.022,-322.558,9677.442
20150120,Sell,179.63,-54,9695.16999,0,9802.192,-197.808,9802.192
20150121,Buy,171.88,57,-9802.058579999999,57,0.134,-202.706,9797.294
20150122,Hold,172.84,0,0.0,57,0.134,-147.986,9852.014
20150123,Sell,176.13,-57,10034.390295000001,0,10034.524,34.524,10034.524
20150126,Buy,175.65,57,-10017.056025,57,17.468,29.518,10029.518
20150127,Hold,175.98,0,0.0,57,17.468,48.328,10048.328
20150128,Hold,174.35,0,0.0,57,17.468,-44.582,9955.418
20150129,Hold,167.24,0,0.0,57,17.468,-449.852,9550.148
20150130,Hold,167.22,0,0.0,57,17.468,-450.992,9549.008
20150202,Hold,167.18,0,0.0,57,17.468,-453.272,9546.728
20150203,Hold,171.01,0,0.0,57,17.468,-234.962,9765.038
20150204,Hold,174.2,0,0.0,57,17.468,-53.132,9946.868
20150205,Hold,182.48,0,0.0,57,17.468,418.828,10418.828
20150206,Hold,192.9,0,0.0,57,17.468,1012.768,11012.768
20150209,Hold,190.61,0,0.0,57,17.468,882.238,10882.238
20150210,Hold,191.8,0,0.0,57,17.468,950.068,10950.068
20150211,Hold,194.41,0,0.0,57,17.468,1098.838,11098.838
20150212,Hold,194.45,0,0.0,57,17.468,1101.118,11101.118
20150213,Hold,196.1,0,0.0,57,17.468,1195.168,11195.168
20150217,Hold,194.95,0,0.0,57,17.468,1129.618,11129.618
20150218,Sell,194.58,-57,11085.514470000002,0,11102.983,1102.983,11102.983
20150219,Buy,193.74,57,-11048.70159,57,54.281,1097.461,11097.461
