,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Buy,501.5,19,-9533.26425,19,466.736,-4.764,9995.236
20200110,Hold,507.79,0,0.0,19,466.736,114.746,10114.746
20200113,Hold,506.04,0,0.0,19,466.736,81.496,10081.496
20200114,Hold,508.47,0,0.0,19,466.736,127.666,10127.666
20200115,Hold,510.15,0,0.0,19,466.736,159.586,10159.586
20200116,Hold,507.0,0,0.0,19,466.736,99.736,10099.736
20200117,Sell,512.03,-19,9723.705715,0,10190.441,190.441,10190.441
20200121,Buy,501.28,20,-10030.612799999997,20,159.829,185.429,10185.429
20200122,Hold,505.54,0,0.0,20,159.829,270.629,10270.629
20200123,Hold,509.63,0,0.0,20,159.829,352.429,10352.429
20200124,Hold,512.63,0,0.0,20,159.829,412.429,10412.429
20200127,Hold,499.14,0,0.0,20,159.829,142.629,10142.629
20200128,Sell,501.73,-20,10029.5827,0,10189.411,189.411,10189.411
20200129,Buy,498.32,20,-9971.383199999998,20,218.028,184.428,10184.428
20200130,Hold,486.88,0,0.0,20,218.028,-44.372,9955.628
20200131,Hold,504.76,0,0.0,20,218.028,313.228,10313.228
20200203,Hold,522.84,0,0.0,20,218.028,674.828,10674.828
20200204,Hold,528.85,0,0.0,20,218.028,795.028,10795.028
20200205,Hold,522.0,0,0.0,20,218.028,658.028,10658.028
20200206,Hold,524.86,0,0.0,20,218.028,715.228,10715.228
20200207,Sell,526.11,-20,10516.938900000001,0,10734.967,734.967,10734.967
20200210,Hold,525.75,0,0.0,0,10734.967,734.967,10734.967
20200211,Buy,531.0,20,-10625.31,20,109.657,729.657,10729.657
20200212,Hold,531.49,0,0.0,20,109.657,739.457,10739.457
20200213,Hold,534.12,0,0.0,20,109.657,792.057,10792.057
20200214,Hold,532.49,0,0.0,20,109.657,759.457,10759.457
20200218,Hold,535.64,0,0.0,20,109.657,822.457,10822.457
20200219,Hold,539.73,0,0.0,20,109.657,904.257,10904.257
20200220,Hold,542.01,0,0.0,20,109.657,949.857,10949.857
20200221,Hold,537.34,0,0.0,20,109.657,856.457,10856.457
20200224,Hold,529.8,0,0.0,20,109.657,705.657,10705.657
20200225,Hold,530.84,0,0.0,20,109.657,726.457,10726.457
20200226,Hold,524.78,0,0.0,20,109.657,605.257,10605.257
20200227,Hold,513.21,0,0.0,20,109.657,373.857,10373.857
