,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180109,Hold,37.123,0,0,0,10000,0.0,10000.0
20180110,Buy,37.032,269,-9966.588803999997,269,33.411,-4.981,9995.019
20180111,Hold,37.735,0,0,269,33.411,184.126,10184.126
20180112,Sell,38.991,-269,10483.334710500001,0,10516.746,516.746,10516.746
20180116,Buy,39.01,269,-10498.936844999998,269,17.809,511.499,10511.499
20180117,Hold,38.517,0,0,269,17.809,378.882,10378.882
20180118,Sell,37.611,-269,10112.300320499999,0,10130.109,130.109,10130.109
20180119,Hold,38.422,0,0,0,10130.109,130.109,10130.109
20180122,Buy,38.846,260,-10105.009979999999,260,25.099,125.059,10125.059
20180123,Hold,38.927,0,0,260,25.099,146.119,10146.119
20180124,Hold,39.11,0,0,260,25.099,193.699,10193.699
20180125,Hold,39.495,0,0,260,25.099,293.799,10293.799
20180126,Sell,38.561,-260,10020.847070000002,0,10045.946,45.946,10045.946
20180129,Buy,38.743,259,-10039.4542185,259,6.492,40.929,10040.929
20180130,Hold,38.497,0,0,259,6.492,-22.785,9977.215
20180131,Hold,38.734,0,0,259,6.492,38.598,10038.598
20180201,Hold,38.622,0,0,259,6.492,9.59,10009.59
20180202,Hold,38.012,0,0,259,6.492,-148.4,9851.6
20180205,Hold,37.884,0,0,259,6.492,-181.552,9818.448
20180206,Hold,35.648,0,0,259,6.492,-760.676,9239.324
20180207,Hold,36.181,0,0,259,6.492,-622.629,9377.371
20180208,Hold,36.546,0,0,259,6.492,-528.094,9471.906
20180209,Hold,35.146,0,0,259,6.492,-890.694,9109.306
20180212,Hold,35.354,0,0,259,6.492,-836.822,9163.178
20180213,Hold,34.953,0,0,259,6.492,-940.681,9059.319
20180214,Hold,35.556,0,0,259,6.492,-784.504,9215.496
20180215,Hold,36.418,0,0,259,6.492,-561.246,9438.754
20180216,Hold,36.628,0,0,259,6.492,-506.856,9493.144
20180220,Hold,36.217,0,0,259,6.492,-613.305,9386.695
20180221,Sell,36.132,-259,9353.508906000001,0,9360.001,-639.999,9360.001
20180222,Hold,35.776,0,0,0,9360.001,-639.999,9360.001
20180223,Buy,35.861,260,-9328.521929999999,260,31.479,-644.661,9355.339
20180226,Hold,36.208,0,0,260,31.479,-554.441,9445.559
20180227,Hold,34.805,0,0,260,31.479,-919.221,9080.779
20180228,Hold,33.801,0,0,260,31.479,-1180.261,8819.739
20180301,Hold,33.378,0,0,260,31.479,-1290.241,8709.759
20180302,Hold,33.205,0,0,260,31.479,-1335.221,8664.779
20180305,Hold,33.351,0,0,260,31.479,-1297.261,8702.739
20180306,Hold,33.963,0,0,260,31.479,-1138.141,8861.859
