,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,68.65,145,-9959.227125,145,40.773,-4.977,9995.023
20190110,Hold,67.44,0,0.0,145,40.773,-180.427,9819.573
20190111,Hold,67.83,0,0.0,145,40.773,-123.877,9876.123
20190114,Hold,68.41,0,0.0,145,40.773,-39.777,9960.223
20190115,Hold,67.81,0,0.0,145,40.773,-126.777,9873.223
20190116,Hold,67.51,0,0.0,145,40.773,-170.277,9829.723
20190117,Hold,66.72,0,0.0,145,40.773,-284.827,9715.173
20190118,Hold,67.11,0,0.0,145,40.773,-228.277,9771.723
20190122,Hold,66.75,0,0.0,145,40.773,-280.477,9719.523
20190123,Hold,66.8,0,0.0,145,40.773,-273.227,9726.773
20190124,Hold,67.72,0,0.0,145,40.773,-139.827,9860.173
20190125,Sell,68.93,-145,9989.852575,0,10030.625,30.625,10030.625
20190128,Buy,67.87,147,-9981.878445,147,48.747,25.637,10025.637
20190129,Sell,67.66,-147,9941.046989999999,0,9989.794,-10.206,9989.794
20190130,Hold,67.74,0,0.0,0,9989.794,-10.206,9989.794
20190131,Buy,68.41,145,-9924.409724999998,145,65.384,-15.166,9984.834
20190201,Hold,69.46,0,0.0,145,65.384,137.084,10137.084
20190204,Hold,69.41,0,0.0,145,65.384,129.834,10129.834
20190205,Hold,69.7,0,0.0,145,65.384,171.884,10171.884
20190206,Hold,66.8,0,0.0,145,65.384,-248.616,9751.384
20190207,Hold,68.0,0,0.0,145,65.384,-74.616,9925.384
20190208,Hold,67.64,0,0.0,145,65.384,-126.816,9873.184
20190211,Hold,68.17,0,0.0,145,65.384,-49.966,9950.034
20190212,Hold,69.0,0,0.0,145,65.384,70.384,10070.384
20190213,Hold,69.61,0,0.0,145,65.384,158.834,10158.834
20190214,Hold,69.1,0,0.0,145,65.384,84.884,10084.884
20190215,Hold,70.65,0,0.0,145,65.384,309.634,10309.634
20190219,Hold,72.01,0,0.0,145,65.384,506.834,10506.834
20190220,Hold,72.46,0,0.0,145,65.384,572.084,10572.084
20190221,Hold,72.57,0,0.0,145,65.384,588.034,10588.034
20190222,Hold,73.8,0,0.0,145,65.384,766.384,10766.384
20190225,Hold,73.37,0,0.0,145,65.384,704.034,10704.034
20190226,Hold,71.44,0,0.0,145,65.384,424.184,10424.184
20190227,Hold,72.13,0,0.0,145,65.384,524.234,10524.234
20190228,Hold,72.08,0,0.0,145,65.384,516.984,10516.984
20190301,Hold,72.39,0,0.0,145,65.384,561.934,10561.934
20190304,Hold,72.24,0,0.0,145,65.384,540.184,10540.184
