,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Buy,26.679,374,-9982.934973,374,17.065,-4.989,9995.011
20210112,Hold,26.799,0,0.0,374,17.065,39.891,10039.891
20210113,Hold,26.725,0,0.0,374,17.065,12.215,10012.215
20210114,Hold,26.595,0,0.0,374,17.065,-36.405,9963.595
20210115,Hold,26.873,0,0.0,374,17.065,67.567,10067.567
20210119,Sell,27.181,-374,10160.611153,0,10177.676,177.676,10177.676
20210120,Buy,26.92,377,-10153.91442,377,23.762,172.602,10172.602
20210121,Sell,26.837,-377,10112.4902255,0,10136.252,136.252,10136.252
20210122,Hold,26.744,0,0.0,0,10136.252,136.252,10136.252
20210125,Buy,26.697,379,-10123.2220815,379,13.03,131.193,10131.193
20210126,Hold,27.013,0,0.0,379,13.03,250.957,10250.957
20210127,Hold,26.952,0,0.0,379,13.03,227.838,10227.838
20210128,Hold,26.947,0,0.0,379,13.03,225.943,10225.943
20210129,Hold,26.715,0,0.0,379,13.03,138.015,10138.015
20210201,Sell,26.864,-379,10176.365272000001,0,10189.395,189.395,10189.395
20210202,Buy,26.715,381,-10183.504207499998,381,5.891,184.306,10184.306
20210203,Hold,26.465,0,0.0,381,5.891,89.056,10089.056
20210204,Hold,26.475,0,0.0,381,5.891,92.866,10092.866
20210205,Hold,26.901,0,0.0,381,5.891,255.172,10255.172
20210208,Hold,26.892,0,0.0,381,5.891,251.743,10251.743
20210209,Hold,26.604,0,0.0,381,5.891,142.015,10142.015
20210210,Sell,26.585,-381,10123.820557500001,0,10129.712,129.712,10129.712
20210211,Buy,26.465,382,-10114.684814999999,382,15.027,124.657,10124.657
20210212,Hold,26.549,0,0.0,382,15.027,156.745,10156.745
20210216,Hold,26.735,0,0.0,382,15.027,227.797,10227.797
20210217,Hold,26.752,0,0.0,382,15.027,234.291,10234.291
20210218,Sell,27.431,-382,10473.402679,0,10488.429,488.429,10488.429
20210219,Buy,27.189,385,-10472.998882499998,385,15.431,483.196,10483.196
20210222,Sell,26.911,-385,10355.554632500001,0,10370.985,370.985,10370.985
20210223,Hold,27.524,0,0.0,0,10370.985,370.985,10370.985
20210224,Buy,27.197,381,-10367.238028499998,381,3.747,365.804,10365.804
20210225,Hold,27.069,0,0.0,381,3.747,317.036,10317.036
20210226,Hold,26.623,0,0.0,381,3.747,147.11,10147.11
20210301,Hold,26.14,0,0.0,381,3.747,-36.913,9963.087
20210302,Hold,26.066,0,0.0,381,3.747,-65.107,9934.893
20210303,Hold,26.158,0,0.0,381,3.747,-30.055,9969.945
20210304,Hold,26.706,0,0.0,381,3.747,178.733,10178.733
20210305,Hold,26.929,0,0.0,381,3.747,263.696,10263.696
20210308,Hold,27.421,0,0.0,381,3.747,451.148,10451.148
20210309,Hold,27.755,0,0.0,381,3.747,578.402,10578.402
20210310,Hold,27.793,0,0.0,381,3.747,592.88,10592.88
20210311,Hold,27.764,0,0.0,381,3.747,581.831,10581.831
20210312,Sell,27.755,-381,10569.367672499999,0,10573.115,573.115,10573.115
20210315,Buy,27.866,379,-10566.494606999999,379,6.62,567.834,10567.834
20210316,Hold,27.616,0,0.0,379,6.62,473.084,10473.084
20210317,Hold,27.96,0,0.0,379,6.62,603.46,10603.46
20210318,Hold,27.913,0,0.0,379,6.62,585.647,10585.647
20210319,Sell,27.857,-379,10552.5240985,0,10559.144,559.144,10559.144
20210322,Buy,27.644,381,-10537.630181999999,381,21.514,553.878,10553.878
20210323,Sell,27.801,-381,10586.884909499999,0,10608.399,608.399,10608.399
20210324,Buy,27.829,381,-10608.1504245,381,0.249,603.098,10603.098
20210325,Hold,27.848,0,0.0,381,0.249,610.337,10610.337
20210326,Hold,28.108,0,0.0,381,0.249,709.397,10709.397
20210329,Hold,28.22,0,0.0,381,0.249,752.069,10752.069
20210330,Hold,28.414,0,0.0,381,0.249,825.983,10825.983
20210331,Hold,28.452,0,0.0,381,0.249,840.461,10840.461
20210401,Sell,28.072,-381,10690.084283999999,0,10690.333,690.333,10690.333
20210405,Hold,28.452,0,0.0,0,10690.333,690.333,10690.333
20210406,Buy,28.507,374,-10666.948809,374,23.384,685.002,10685.002
20210407,Hold,28.786,0,0.0,374,23.384,789.348,10789.348
20210408,Hold,28.607,0,0.0,374,23.384,722.402,10722.402
20210409,Sell,28.371,-374,10605.448623,0,10628.833,628.833,10628.833
20210412,Buy,28.334,374,-10602.214457999999,374,26.618,623.534,10623.534
20210413,Hold,28.192,0,0.0,374,26.618,570.426,10570.426
20210414,Hold,27.947,0,0.0,374,26.618,478.796,10478.796
20210415,Hold,28.117,0,0.0,374,26.618,542.376,10542.376
20210416,Hold,28.239,0,0.0,374,26.618,588.004,10588.004
20210419,Hold,28.324,0,0.0,374,26.618,619.794,10619.794
20210420,Hold,28.296,0,0.0,374,26.618,609.322,10609.322
20210421,Hold,28.286,0,0.0,374,26.618,605.582,10605.582
20210422,Sell,29.552,-374,11046.921776000001,0,11073.54,1073.54,11073.54
20210423,Buy,29.721,372,-11061.740106,372,11.8,1068.012,11068.012
20210426,Hold,29.627,0,0.0,372,11.8,1033.044,11033.044
20210427,Hold,29.117,0,0.0,372,11.8,843.324,10843.324
20210428,Sell,29.24,-372,10871.841359999999,0,10883.641,883.641,10883.641
20210429,Buy,29.391,370,-10880.107334999999,370,3.534,878.204,10878.204
20210430,Hold,29.608,0,0.0,370,3.534,958.494,10958.494
20210503,Hold,30.005,0,0.0,370,3.534,1105.384,11105.384
20210504,Hold,29.835,0,0.0,370,3.534,1042.484,11042.484
20210505,Hold,30.222,0,0.0,370,3.534,1185.674,11185.674
20210506,Hold,30.25,0,0.0,370,3.534,1196.034,11196.034
20210507,Hold,30.401,0,0.0,370,3.534,1251.904,11251.904
20210510,Hold,30.524,0,0.0,370,3.534,1297.414,11297.414
20210511,Hold,30.675,0,0.0,370,3.534,1353.284,11353.284
20210512,Hold,30.354,0,0.0,370,3.534,1234.514,11234.514
20210513,Hold,30.052,0,0.0,370,3.534,1122.774,11122.774
20210514,Sell,30.524,-370,11288.233060000002,0,11291.767,1291.767,11291.767
20210517,Hold,31.638,0,0.0,0,11291.767,1291.767,11291.767
20210518,Buy,28.211,400,-11290.0422,400,1.725,1286.125,11286.125
20210519,Hold,27.428,0,0.0,400,1.725,972.925,10972.925
20210520,Hold,27.39,0,0.0,400,1.725,957.725,10957.725
20210521,Hold,28.334,0,0.0,400,1.725,1335.325,11335.325
20210524,Hold,28.371,0,0.0,400,1.725,1350.125,11350.125
20210525,Hold,28.05,0,0.0,400,1.725,1221.725,11221.725
20210526,Sell,27.852,-400,11135.2296,0,11136.954,1136.954,11136.954
20210527,Hold,27.994,0,0.0,0,11136.954,1136.954,11136.954
20210528,Buy,28.05,396,-11113.3539,396,23.6,1131.4,11131.4
20210601,Hold,27.814,0,0.0,396,23.6,1037.944,11037.944
20210602,Hold,27.663,0,0.0,396,23.6,978.148,10978.148
20210603,Hold,27.814,0,0.0,396,23.6,1037.944,11037.944
20210604,Hold,27.606,0,0.0,396,23.6,955.576,10955.576
20210607,Hold,27.663,0,0.0,396,23.6,978.148,10978.148
20210608,Hold,27.408,0,0.0,396,23.6,877.168,10877.168
20210609,Hold,27.334,0,0.0,396,23.6,847.864,10847.864
20210610,Hold,27.39,0,0.0,396,23.6,870.04,10870.04
20210611,Hold,27.588,0,0.0,396,23.6,948.448,10948.448
20210614,Hold,27.597,0,0.0,396,23.6,952.012,10952.012
