,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Buy,146.87,68,-9992.15358,68,7.846,-4.994,9995.006
20200110,Hold,145.62,0,0.0,68,7.846,-89.994,9910.006
20200113,Hold,145.18,0,0.0,68,7.846,-119.914,9880.086
20200114,Hold,145.83,0,0.0,68,7.846,-75.714,9924.286
20200115,Hold,146.18,0,0.0,68,7.846,-51.914,9948.086
20200116,Hold,147.39,0,0.0,68,7.846,30.366,10030.366
20200117,Hold,148.59,0,0.0,68,7.846,111.966,10111.966
20200121,Hold,147.49,0,0.0,68,7.846,37.166,10037.166
20200122,Hold,144.42,0,0.0,68,7.846,-171.594,9828.406
20200123,Hold,141.86,0,0.0,68,7.846,-345.674,9654.326
20200124,Hold,144.39,0,0.0,68,7.846,-173.634,9826.366
20200127,Hold,137.18,0,0.0,68,7.846,-663.914,9336.086
20200128,Hold,138.16,0,0.0,68,7.846,-597.274,9402.726
20200129,Hold,140.93,0,0.0,68,7.846,-408.914,9591.086
20200130,Hold,139.97,0,0.0,68,7.846,-474.194,9525.806
20200131,Hold,141.58,0,0.0,68,7.846,-364.714,9635.286
20200203,Hold,141.13,0,0.0,68,7.846,-395.314,9604.686
20200204,Sell,143.89,-68,9779.62774,0,9787.474,-212.526,9787.474
20200205,Hold,149.12,0,0.0,0,9787.474,-212.526,9787.474
20200206,Buy,147.7,66,-9753.074099999998,66,34.4,-217.4,9782.6
20200207,Hold,144.33,0,0.0,66,34.4,-439.82,9560.18
20200210,Sell,142.44,-66,9396.339479999999,0,9430.74,-569.26,9430.74
20200211,Hold,145.29,0,0.0,0,9430.74,-569.26,9430.74
20200212,Buy,147.45,63,-9293.994674999998,63,136.745,-573.905,9426.095
20200213,Hold,148.85,0,0.0,63,136.745,-485.705,9514.295
20200214,Hold,146.39,0,0.0,63,136.745,-640.685,9359.315
20200218,Sell,143.76,-63,9052.35156,0,9189.096,-810.904,9189.096
