,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130108,Hold,62.772,0,0,0,10000,0.0,10000.0
20130109,Hold,64.464,0,0,0,10000,0.0,10000.0
20130110,Hold,63.434,0,0,0,10000,0.0,10000.0
20130111,Hold,63.036,0,0,0,10000,0.0,10000.0
20130114,Hold,63.861,0,0,0,10000,0.0,10000.0
20130115,Buy,61.882,161,-9967.983501,161,32.016,-4.982,9995.018
20130116,Hold,60.984,0,0,161,32.016,-149.56,9850.44
20130117,Hold,62.979,0,0,161,32.016,171.635,10171.635
20130118,Hold,62.11,0,0,161,32.016,31.726,10031.726
20130122,Hold,61.997,0,0,161,32.016,13.533,10013.533
20130123,Hold,62.351,0,0,161,32.016,70.527,10070.527
20130124,Hold,63.089,0,0,161,32.016,189.345,10189.345
20130125,Hold,61.926,0,0,161,32.016,2.102,10002.102
20130128,Hold,62.211,0,0,161,32.016,47.987,10047.987
20130129,Hold,62.359,0,0,161,32.016,71.815,10071.815
20130130,Hold,62.428,0,0,161,32.016,82.924,10082.924
20130131,Hold,62.418,0,0,161,32.016,81.314,10081.314
20130201,Hold,62.25,0,0,161,32.016,54.266,10054.266
20130204,Hold,63.456,0,0,161,32.016,248.432,10248.432
20130205,Hold,63.238,0,0,161,32.016,213.334,10213.334
20130206,Hold,63.952,0,0,161,32.016,328.288,10328.288
20130207,Hold,64.722,0,0,161,32.016,452.258,10452.258
20130208,Hold,64.054,0,0,161,32.016,344.71,10344.71
20130211,Hold,63.733,0,0,161,32.016,293.029,10293.029
20130212,Hold,63.814,0,0,161,32.016,306.07,10306.07
20130213,Hold,62.988,0,0,161,32.016,173.084,10173.084
20130214,Hold,63.468,0,0,161,32.016,250.364,10250.364
20130215,Hold,63.24,0,0,161,32.016,213.656,10213.656
20130219,Hold,63.788,0,0,161,32.016,301.884,10301.884
20130220,Hold,63.215,0,0,161,32.016,209.631,10209.631
20130221,Hold,64.683,0,0,161,32.016,445.979,10445.979
20130222,Hold,64.793,0,0,161,32.016,463.689,10463.689
20130225,Hold,63.613,0,0,161,32.016,273.709,10273.709
20130226,Hold,63.696,0,0,161,32.016,287.072,10287.072
20130227,Hold,65.137,0,0,161,32.016,519.073,10519.073
20130228,Hold,64.683,0,0,161,32.016,445.979,10445.979
20130301,Hold,64.742,0,0,161,32.016,455.478,10455.478
20130304,Hold,65.314,0,0,161,32.016,547.57,10547.57
20130305,Hold,66.346,0,0,161,32.016,713.722,10713.722
20130306,Hold,66.936,0,0,161,32.016,808.712,10808.712
20130307,Hold,68.386,0,0,161,32.016,1042.162,11042.162
20130308,Hold,68.32,0,0,161,32.016,1031.536,11031.536
20130311,Hold,70.081,0,0,161,32.016,1315.057,11315.057
20130312,Hold,71.16,0,0,161,32.016,1488.776,11488.776
20130313,Hold,71.361,0,0,161,32.016,1521.137,11521.137
20130314,Hold,71.472,0,0,161,32.016,1539.008,11539.008
20130315,Hold,71.74,0,0,161,32.016,1582.156,11582.156
20130318,Hold,72.13,0,0,161,32.016,1644.946,11644.946
20130319,Hold,72.401,0,0,161,32.016,1688.577,11688.577
20130320,Hold,71.854,0,0,161,32.016,1600.51,11600.51
20130321,Hold,71.454,0,0,161,32.016,1536.11,11536.11
20130322,Hold,71.707,0,0,161,32.016,1576.843,11576.843
20130325,Hold,72.046,0,0,161,32.016,1631.422,11631.422
20130326,Hold,72.316,0,0,161,32.016,1674.892,11674.892
20130327,Hold,72.872,0,0,161,32.016,1764.408,11764.408
20130328,Hold,72.189,0,0,161,32.016,1654.445,11654.445
20130401,Hold,72.015,0,0,161,32.016,1626.431,11626.431
20130402,Hold,71.093,0,0,161,32.016,1477.989,11477.989
20130403,Hold,71.506,0,0,161,32.016,1544.482,11544.482
20130404,Hold,70.926,0,0,161,32.016,1451.102,11451.102
20130405,Hold,72.56,0,0,161,32.016,1714.176,11714.176
20130408,Hold,73.47,0,0,161,32.016,1860.686,11860.686
20130409,Hold,73.658,0,0,161,32.016,1890.954,11890.954
20130410,Hold,74.179,0,0,161,32.016,1974.835,11974.835
20130411,Hold,74.456,0,0,161,32.016,2019.432,12019.432
20130412,Hold,74.583,0,0,161,32.016,2039.879,12039.879
20130415,Hold,73.751,0,0,161,32.016,1905.927,11905.927
20130416,Hold,72.919,0,0,161,32.016,1771.975,11771.975
20130417,Hold,73.419,0,0,161,32.016,1852.475,11852.475
20130418,Hold,73.851,0,0,161,32.016,1922.027,11922.027
20130419,Hold,74.21,0,0,161,32.016,1979.826,11979.826
20130422,Hold,73.663,0,0,161,32.016,1891.759,11891.759
20130423,Hold,77.375,0,0,161,32.016,2489.391,12489.391
20130424,Hold,77.038,0,0,161,32.016,2435.134,12435.134
20130425,Hold,77.493,0,0,161,32.016,2508.389,12508.389
20130426,Hold,77.08,0,0,161,32.016,2441.896,12441.896
20130429,Hold,77.038,0,0,161,32.016,2435.134,12435.134
20130430,Hold,76.811,0,0,161,32.016,2398.587,12398.587
