,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180108,Hold,188.7,0,0,0,10000,0.0,10000.0
20180109,Hold,186.94,0,0,0,10000,0.0,10000.0
20180110,Hold,188.4,0,0,0,10000,0.0,10000.0
20180111,Hold,178.06,0,0,0,10000,0.0,10000.0
20180112,Hold,181.5,0,0,0,10000,0.0,10000.0
20180116,Buy,179.26,55,-9864.22965,55,135.77,-4.93,9995.07
20180117,Hold,178.13,0,0,55,135.77,-67.08,9932.92
20180118,Hold,180.85,0,0,55,135.77,82.52,10082.52
20180119,Hold,180.8,0,0,55,135.77,79.77,10079.77
20180122,Hold,186.05,0,0,55,135.77,368.52,10368.52
20180123,Hold,189.89,0,0,55,135.77,579.72,10579.72
20180124,Hold,187.95,0,0,55,135.77,473.02,10473.02
20180125,Hold,187.75,0,0,55,135.77,462.02,10462.02
20180126,Hold,188.75,0,0,55,135.77,517.02,10517.02
20180129,Hold,183.01,0,0,55,135.77,201.32,10201.32
20180130,Hold,188.37,0,0,55,135.77,496.12,10496.12
20180131,Hold,188.22,0,0,55,135.77,487.87,10487.87
20180201,Hold,192.04,0,0,55,135.77,697.97,10697.97
20180202,Hold,186.93,0,0,55,135.77,416.92,10416.92
20180205,Hold,178.57,0,0,55,135.77,-42.88,9957.12
20180206,Hold,184.15,0,0,55,135.77,264.02,10264.02
20180207,Hold,181.01,0,0,55,135.77,91.32,10091.32
20180208,Hold,174.76,0,0,55,135.77,-252.43,9747.57
20180209,Hold,177.06,0,0,55,135.77,-125.93,9874.07
20180212,Hold,175.62,0,0,55,135.77,-205.13,9794.87
20180213,Hold,173.45,0,0,55,135.77,-324.48,9675.52
20180214,Hold,180.5,0,0,55,135.77,63.27,10063.27
20180215,Hold,178.99,0,0,55,135.77,-19.78,9980.22
20180216,Hold,175.77,0,0,55,135.77,-196.88,9803.12
20180220,Hold,176.71,0,0,55,135.77,-145.18,9854.82
20180221,Hold,178.7,0,0,55,135.77,-35.73,9964.27
20180222,Hold,179.9,0,0,55,135.77,30.27,10030.27
20180223,Hold,184.58,0,0,55,135.77,287.67,10287.67
20180226,Hold,184.45,0,0,55,135.77,280.52,10280.52
20180227,Hold,182.3,0,0,55,135.77,162.27,10162.27
20180228,Hold,179.01,0,0,55,135.77,-18.68,9981.32
20180301,Hold,173.29,0,0,55,135.77,-333.28,9666.72
20180302,Hold,176.2,0,0,55,135.77,-173.23,9826.77
20180305,Hold,181.78,0,0,55,135.77,133.67,10133.67
20180306,Hold,178.74,0,0,55,135.77,-33.53,9966.47
20180307,Hold,183.56,0,0,55,135.77,231.57,10231.57
20180308,Hold,183.91,0,0,55,135.77,250.82,10250.82
20180309,Hold,185.23,0,0,55,135.77,323.42,10323.42
20180312,Hold,185.61,0,0,55,135.77,344.32,10344.32
20180313,Hold,182.6,0,0,55,135.77,178.77,10178.77
20180314,Hold,183.24,0,0,55,135.77,213.97,10213.97
20180315,Hold,184.49,0,0,55,135.77,282.72,10282.72
20180316,Hold,177.01,0,0,55,135.77,-128.68,9871.32
20180319,Hold,167.47,0,0,55,135.77,-653.38,9346.62
20180320,Hold,164.8,0,0,55,135.77,-800.23,9199.77
20180321,Hold,166.13,0,0,55,135.77,-727.08,9272.92
20180322,Hold,165.44,0,0,55,135.77,-765.03,9234.97
20180323,Hold,160.82,0,0,55,135.77,-1019.13,8980.87
20180326,Hold,156.31,0,0,55,135.77,-1267.18,8732.82
20180327,Hold,151.65,0,0,55,135.77,-1523.48,8476.52
20180328,Hold,155.15,0,0,55,135.77,-1330.98,8669.02
20180329,Hold,157.81,0,0,55,135.77,-1184.68,8815.32
20180402,Hold,156.55,0,0,55,135.77,-1253.98,8746.02
20180403,Hold,152.025,0,0,55,135.77,-1502.855,8497.145
20180404,Hold,161.56,0,0,55,135.77,-978.43,9021.57
20180405,Hold,157.73,0,0,55,135.77,-1189.08,8810.92
20180406,Hold,157.82,0,0,55,135.77,-1184.13,8815.87
