,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170109,Hold,26.596,0,0,0,10000,0.0,10000.0
20170110,Hold,26.15,0,0,0,10000,0.0,10000.0
20170111,Hold,25.714,0,0,0,10000,0.0,10000.0
20170112,Hold,25.557,0,0,0,10000,0.0,10000.0
20170113,Hold,25.408,0,0,0,10000,0.0,10000.0
20170117,Buy,24.729,404,-9995.511257999999,404,4.489,-4.995,9995.005
20170118,Hold,25.425,0,0,404,4.489,276.189,10276.189
20170119,Hold,26.17,0,0,404,4.489,577.169,10577.169
20170120,Hold,25.607,0,0,404,4.489,349.717,10349.717
20170123,Hold,26.03,0,0,404,4.489,520.609,10520.609
20170124,Hold,26.901,0,0,404,4.489,872.493,10872.493
20170125,Hold,26.619,0,0,404,4.489,758.565,10758.565
20170126,Hold,27.116,0,0,404,4.489,959.353,10959.353
20170127,Hold,27.361,0,0,404,4.489,1058.333,11058.333
20170130,Hold,26.876,0,0,404,4.489,862.393,10862.393
20170131,Hold,27.276,0,0,404,4.489,1023.993,11023.993
20170201,Hold,27.953,0,0,404,4.489,1297.501,11297.501
20170202,Hold,28.488,0,0,404,4.489,1513.641,11513.641
20170203,Hold,28.129,0,0,404,4.489,1368.605,11368.605
20170206,Hold,29.289,0,0,404,4.489,1837.245,11837.245
20170207,Hold,29.214,0,0,404,4.489,1806.945,11806.945
20170208,Hold,29.329,0,0,404,4.489,1853.405,11853.405
20170209,Hold,29.587,0,0,404,4.489,1957.637,11957.637
20170210,Hold,27.976,0,0,404,4.489,1306.793,11306.793
20170213,Hold,26.641,0,0,404,4.489,767.453,10767.453
20170214,Hold,26.863,0,0,404,4.489,857.141,10857.141
20170215,Hold,26.986,0,0,404,4.489,906.833,10906.833
20170216,Hold,26.324,0,0,404,4.489,639.385,10639.385
20170217,Hold,26.701,0,0,404,4.489,791.693,10791.693
20170221,Hold,27.521,0,0,404,4.489,1122.973,11122.973
20170222,Hold,26.062,0,0,404,4.489,533.537,10533.537
20170223,Hold,23.979,0,0,404,4.489,-307.995,9692.005
20170224,Hold,25.248,0,0,404,4.489,204.681,10204.681
20170227,Hold,25.89,0,0,404,4.489,464.049,10464.049
20170228,Hold,25.637,0,0,404,4.489,361.837,10361.837
20170301,Hold,25.265,0,0,404,4.489,211.549,10211.549
20170302,Hold,24.348,0,0,404,4.489,-158.919,9841.081
20170303,Hold,23.952,0,0,404,4.489,-318.903,9681.097
20170306,Hold,24.126,0,0,404,4.489,-248.607,9751.393
20170307,Hold,24.878,0,0,404,4.489,55.201,10055.201
20170308,Hold,24.185,0,0,404,4.489,-224.771,9775.229
20170309,Hold,24.607,0,0,404,4.489,-54.283,9945.717
20170310,Hold,24.861,0,0,404,4.489,48.333,10048.333
20170313,Hold,25.291,0,0,404,4.489,222.053,10222.053
20170314,Hold,25.261,0,0,404,4.489,209.933,10209.933
20170315,Hold,25.435,0,0,404,4.489,280.229,10280.229
20170316,Hold,25.82,0,0,404,4.489,435.769,10435.769
20170317,Hold,26.377,0,0,404,4.489,660.797,10660.797
20170320,Hold,26.861,0,0,404,4.489,856.333,10856.333
20170321,Hold,26.052,0,0,404,4.489,529.497,10529.497
20170322,Hold,26.616,0,0,404,4.489,757.353,10757.353
20170323,Hold,26.916,0,0,404,4.489,878.553,10878.553
20170324,Hold,26.077,0,0,404,4.489,539.597,10539.597
20170327,Hold,26.749,0,0,404,4.489,811.085,10811.085
20170328,Hold,26.676,0,0,404,4.489,781.593,10781.593
20170329,Hold,26.586,0,0,404,4.489,745.233,10745.233
20170330,Hold,26.926,0,0,404,4.489,882.593,10882.593
20170331,Hold,26.911,0,0,404,4.489,876.533,10876.533
20170403,Hold,25.54,0,0,404,4.489,322.649,10322.649
