,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120109,Buy,61.429,162,-9956.473748999999,162,43.526,-4.976,9995.024
20120110,Hold,61.183,0,0.0,162,43.526,-44.828,9955.172
20120111,Hold,61.211,0,0.0,162,43.526,-40.292,9959.708
20120112,Hold,61.397,0,0.0,162,43.526,-10.16,9989.84
20120113,Sell,61.609,-162,9975.667671,0,10019.194,19.194,10019.194
20120117,Buy,61.326,163,-10001.136069,163,18.058,14.196,10014.196
20120118,Hold,61.585,0,0.0,163,18.058,56.413,10056.413
20120119,Hold,61.883,0,0.0,163,18.058,104.987,10104.987
20120120,Hold,61.863,0,0.0,163,18.058,101.727,10101.727
20120123,Hold,61.415,0,0.0,163,18.058,28.703,10028.703
20120124,Hold,60.523,0,0.0,163,18.058,-116.693,9883.307
20120125,Hold,62.054,0,0.0,163,18.058,132.86,10132.86
20120126,Hold,61.202,0,0.0,163,18.058,-6.016,9993.984
20120127,Sell,60.54,-163,9863.085990000001,0,9881.144,-118.856,9881.144
20120130,Hold,60.971,0,0.0,0,9881.144,-118.856,9881.144
20120131,Hold,61.334,0,0.0,0,9881.144,-118.856,9881.144
20120201,Buy,61.585,160,-9858.5268,160,22.617,-123.783,9876.217
20120202,Hold,62.23,0,0.0,160,22.617,-20.583,9979.417
20120203,Hold,61.579,0,0.0,160,22.617,-124.743,9875.257
20120206,Hold,61.307,0,0.0,160,22.617,-168.263,9831.737
20120207,Sell,61.487,-160,9833.001040000001,0,9855.618,-144.382,9855.618
20120208,Buy,62.418,157,-9804.525813,157,51.092,-149.282,9850.718
20120209,Hold,62.1,0,0.0,157,51.092,-199.208,9800.792
20120210,Sell,62.139,-157,9750.9450885,0,9802.037,-197.963,9802.037
20120213,Hold,62.147,0,0.0,0,9802.037,-197.963,9802.037
20120214,Buy,62.437,156,-9745.042086,156,56.995,-202.833,9797.167
20120215,Sell,61.737,-156,9626.156514,0,9683.152,-316.848,9683.152
20120216,Hold,62.161,0,0.0,0,9683.152,-316.848,9683.152
20120217,Hold,62.277,0,0.0,0,9683.152,-316.848,9683.152
20120221,Buy,62.147,155,-9637.601392499999,155,45.55,-321.665,9678.335
20120222,Hold,62.352,0,0.0,155,45.55,-289.89,9710.11
20120223,Hold,62.343,0,0.0,155,45.55,-291.285,9708.715
20120224,Hold,62.296,0,0.0,155,45.55,-298.57,9701.43
20120227,Sell,61.873,-155,9585.519842500002,0,9631.07,-368.93,9631.07
20120228,Hold,61.958,0,0.0,0,9631.07,-368.93,9631.07
20120229,Hold,61.793,0,0.0,0,9631.07,-368.93,9631.07
20120301,Hold,61.784,0,0.0,0,9631.07,-368.93,9631.07
20120302,Hold,61.686,0,0.0,0,9631.07,-368.93,9631.07
20120305,Hold,60.187,0,0.0,0,9631.07,-368.93,9631.07
20120306,Hold,59.734,0,0.0,0,9631.07,-368.93,9631.07
20120307,Hold,60.92,0,0.0,0,9631.07,-368.93,9631.07
20120308,Buy,61.019,157,-9584.7729915,157,46.297,-373.72,9626.28
20120309,Sell,60.246,-157,9453.892689000002,0,9500.19,-499.81,9500.19
20120312,Buy,60.796,156,-9488.918087999999,156,11.272,-504.552,9495.448
20120313,Hold,61.167,0,0.0,156,11.272,-446.676,9553.324
20120314,Hold,62.139,0,0.0,156,11.272,-295.044,9704.956
20120315,Hold,62.286,0,0.0,156,11.272,-272.112,9727.888
20120316,Hold,61.727,0,0.0,156,11.272,-359.316,9640.684
20120319,Hold,61.745,0,0.0,156,11.272,-356.508,9643.492
20120320,Hold,61.833,0,0.0,156,11.272,-342.78,9657.22
20120321,Sell,61.414,-156,9575.793708000001,0,9587.066,-412.934,9587.066
20120322,Hold,60.944,0,0.0,0,9587.066,-412.934,9587.066
20120323,Hold,61.334,0,0.0,0,9587.066,-412.934,9587.066
20120326,Buy,61.817,155,-9586.4258175,155,0.64,-417.725,9582.275
20120327,Hold,61.718,0,0.0,155,0.64,-433.07,9566.93
20120328,Sell,60.714,-155,9405.964665000001,0,9406.604,-593.396,9406.604
20120329,Hold,61.167,0,0.0,0,9406.604,-593.396,9406.604
20120330,Hold,60.906,0,0.0,0,9406.604,-593.396,9406.604
20120402,Buy,61.699,152,-9382.937123999998,152,23.667,-598.085,9401.915
20120403,Hold,60.882,0,0.0,152,23.667,-722.269,9277.731
20120404,Sell,60.425,-152,9180.0077,0,9203.675,-796.325,9203.675
20120405,Hold,59.866,0,0.0,0,9203.675,-796.325,9203.675
20120409,Hold,59.462,0,0.0,0,9203.675,-796.325,9203.675
20120410,Hold,58.953,0,0.0,0,9203.675,-796.325,9203.675
20120411,Hold,59.005,0,0.0,0,9203.675,-796.325,9203.675
20120412,Buy,60.231,152,-9159.689556000001,152,43.985,-800.903,9199.097
20120413,Hold,60.065,0,0.0,152,43.985,-826.135,9173.865
20120416,Hold,60.184,0,0.0,152,43.985,-808.047,9191.953
20120417,Hold,60.559,0,0.0,152,43.985,-751.047,9248.953
20120418,Hold,60.682,0,0.0,152,43.985,-732.351,9267.649
20120419,Sell,60.3,-152,9161.0172,0,9205.003,-794.997,9205.003
20120420,Buy,59.827,153,-9158.107765499999,153,46.895,-799.574,9200.426
20120423,Sell,60.255,-153,9214.405492500002,0,9261.3,-738.7,9261.3
20120424,Hold,61.768,0,0.0,0,9261.3,-738.7,9261.3
20120425,Buy,63.133,146,-9222.026709,146,39.274,-743.308,9256.692
20120426,Hold,63.604,0,0.0,146,39.274,-674.542,9325.458
20120427,Hold,62.967,0,0.0,146,39.274,-767.544,9232.456
20120430,Hold,63.032,0,0.0,146,39.274,-758.054,9241.946
20120501,Hold,63.183,0,0.0,146,39.274,-736.008,9263.992
20120502,Hold,63.481,0,0.0,146,39.274,-692.5,9307.5
20120503,Sell,62.834,-146,9169.177118000001,0,9208.451,-791.549,9208.451
20120504,Hold,62.378,0,0.0,0,9208.451,-791.549,9208.451
20120507,Hold,62.038,0,0.0,0,9208.451,-791.549,9208.451
20120508,Hold,61.469,0,0.0,0,9208.451,-791.549,9208.451
20120509,Hold,61.643,0,0.0,0,9208.451,-791.549,9208.451
20120510,Hold,60.922,0,0.0,0,9208.451,-791.549,9208.451
20120511,Hold,60.342,0,0.0,0,9208.451,-791.549,9208.451
20120514,Hold,60.432,0,0.0,0,9208.451,-791.549,9208.451
20120515,Hold,60.284,0,0.0,0,9208.451,-791.549,9208.451
20120516,Hold,60.003,0,0.0,0,9208.451,-791.549,9208.451
20120517,Hold,57.907,0,0.0,0,9208.451,-791.549,9208.451
20120518,Hold,58.333,0,0.0,0,9208.451,-791.549,9208.451
20120521,Buy,59.317,155,-9198.7320675,155,9.719,-796.146,9203.854
