,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170109,Hold,156.2,0,0,0,10000,0.0,10000.0
20170110,Hold,155.82,0,0,0,10000,0.0,10000.0
20170111,Hold,156.62,0,0,0,10000,0.0,10000.0
20170112,Hold,156.2,0,0,0,10000,0.0,10000.0
20170113,Buy,156.41,63,-9858.756915,63,141.243,-4.927,9995.073
20170117,Sell,155.48,-63,9790.34238,0,9931.585,-68.415,9931.585
20170118,Hold,157.09,0,0,0,9931.585,-68.415,9931.585
20170119,Buy,158.24,62,-9815.78544,62,115.8,-73.32,9926.68
20170120,Hold,158.44,0,0,62,115.8,-60.92,9939.08
20170123,Sell,156.51,-62,9698.768189999999,0,9814.568,-185.432,9814.568
20170124,Hold,156.58,0,0,0,9814.568,-185.432,9814.568
20170125,Hold,155.77,0,0,0,9814.568,-185.432,9814.568
20170126,Hold,156.48,0,0,0,9814.568,-185.432,9814.568
20170127,Buy,164.39,59,-9703.859504999999,59,110.709,-190.281,9809.719
20170130,Hold,160.76,0,0,59,110.709,-404.451,9595.549
20170131,Hold,160.9,0,0,59,110.709,-396.191,9603.809
20170201,Hold,160.44,0,0,59,110.709,-423.331,9576.669
20170202,Sell,159.78,-59,9422.30649,0,9533.015,-466.985,9533.015
20170203,Buy,162.76,58,-9444.80004,58,88.215,-471.705,9528.295
20170206,Hold,163.22,0,0,58,88.215,-445.025,9554.975
20170207,Hold,162.33,0,0,58,88.215,-496.645,9503.355
20170208,Sell,163.02,-58,9450.432420000001,0,9538.648,-461.352,9538.648
20170209,Hold,162.27,0,0,0,9538.648,-461.352,9538.648
20170210,Buy,163.9,58,-9510.9531,58,27.694,-466.106,9533.894
20170213,Hold,166.01,0,0,58,27.694,-343.726,9656.274
20170214,Hold,165.76,0,0,58,27.694,-358.226,9641.774
20170215,Hold,166.9,0,0,58,27.694,-292.106,9707.894
20170216,Hold,167.39,0,0,58,27.694,-263.686,9736.314
20170217,Hold,167.76,0,0,58,27.694,-242.226,9757.774
20170221,Hold,168.24,0,0,58,27.694,-214.386,9785.614
20170222,Hold,168.5,0,0,58,27.694,-199.306,9800.694
20170223,Sell,166.76,-58,9667.24396,0,9694.938,-305.062,9694.938
20170224,Hold,168.31,0,0,0,9694.938,-305.062,9694.938
20170227,Buy,168.81,57,-9626.981085,57,67.957,-309.873,9690.127
20170228,Sell,169.08,-57,9632.741220000002,0,9700.699,-299.301,9700.699
20170301,Buy,170.59,56,-9557.81652,56,142.882,-304.078,9695.922
20170302,Hold,169.51,0,0,56,142.882,-364.558,9635.442
20170303,Sell,168.0,-56,9403.296,0,9546.178,-453.822,9546.178
20170306,Hold,169.42,0,0,0,9546.178,-453.822,9546.178
20170307,Hold,169.8,0,0,0,9546.178,-453.822,9546.178
20170308,Hold,169.11,0,0,0,9546.178,-453.822,9546.178
20170309,Hold,170.28,0,0,0,9546.178,-453.822,9546.178
20170310,Hold,169.36,0,0,0,9546.178,-453.822,9546.178
20170313,Hold,169.36,0,0,0,9546.178,-453.822,9546.178
20170314,Hold,168.7,0,0,0,9546.178,-453.822,9546.178
20170315,Buy,170.39,55,-9376.135724999998,55,170.042,-458.508,9541.492
20170316,Sell,169.79,-55,9333.780775,0,9503.823,-496.177,9503.823
20170317,Buy,171.47,55,-9435.565425,55,68.258,-500.892,9499.108
20170320,Hold,170.71,0,0,55,68.258,-542.692,9457.308
20170321,Sell,167.63,-55,9215.040175,0,9283.298,-716.702,9283.298
20170322,Hold,168.22,0,0,0,9283.298,-716.702,9283.298
20170323,Hold,168.22,0,0,0,9283.298,-716.702,9283.298
20170324,Hold,164.1,0,0,0,9283.298,-716.702,9283.298
20170327,Hold,164.2,0,0,0,9283.298,-716.702,9283.298
20170328,Buy,166.86,55,-9181.88865,55,101.409,-721.291,9278.709
20170329,Hold,167.25,0,0,55,101.409,-699.841,9300.159
20170330,Hold,167.21,0,0,55,101.409,-702.041,9297.959
20170331,Sell,166.38,-55,9146.32455,0,9247.734,-752.266,9247.734
20170403,Hold,166.6,0,0,0,9247.734,-752.266,9247.734
20170404,Hold,167.27,0,0,0,9247.734,-752.266,9247.734
20170405,Hold,165.71,0,0,0,9247.734,-752.266,9247.734
20170406,Hold,168.31,0,0,0,9247.734,-752.266,9247.734
20170407,Buy,167.69,55,-9227.561475,55,20.172,-756.878,9243.122
20170410,Sell,167.11,-55,9186.454475000002,0,9206.627,-793.373,9206.627
20170411,Hold,168.0,0,0,0,9206.627,-793.373,9206.627
20170412,Hold,165.85,0,0,0,9206.627,-793.373,9206.627
20170413,Hold,166.88,0,0,0,9206.627,-793.373,9206.627
20170417,Buy,167.87,54,-9069.51249,54,137.114,-797.906,9202.094
20170418,Sell,167.45,-54,9037.77885,0,9174.893,-825.107,9174.893
20170419,Hold,167.62,0,0,0,9174.893,-825.107,9174.893
20170420,Hold,168.34,0,0,0,9174.893,-825.107,9174.893
20170421,Buy,170.62,53,-9047.38143,53,127.512,-829.628,9170.372
20170424,Hold,170.17,0,0,53,127.512,-853.478,9146.522
20170425,Hold,173.54,0,0,53,127.512,-674.868,9325.132
20170426,Hold,174.28,0,0,53,127.512,-635.648,9364.352
20170427,Hold,173.89,0,0,53,127.512,-656.318,9343.682
20170428,Sell,173.17,-53,9173.420995,0,9300.933,-699.067,9300.933
20170501,Hold,172.86,0,0,0,9300.933,-699.067,9300.933
20170502,Hold,172.84,0,0,0,9300.933,-699.067,9300.933
20170503,Hold,173.19,0,0,0,9300.933,-699.067,9300.933
20170504,Hold,173.62,0,0,0,9300.933,-699.067,9300.933
20170505,Buy,174.37,53,-9246.230805,53,54.702,-703.688,9296.312
20170508,Hold,175.18,0,0,53,54.702,-660.758,9339.242
20170509,Hold,173.9,0,0,53,54.702,-728.598,9271.402
20170510,Sell,173.18,-53,9173.95073,0,9228.653,-771.347,9228.653
20170511,Hold,173.26,0,0,0,9228.653,-771.347,9228.653
20170512,Hold,174.28,0,0,0,9228.653,-771.347,9228.653
20170515,Hold,173.91,0,0,0,9228.653,-771.347,9228.653
20170516,Buy,172.69,53,-9157.146284999999,53,71.506,-775.924,9224.076
20170517,Sell,170.96,-53,9056.349560000002,0,9127.856,-872.144,9127.856
20170518,Hold,172.25,0,0,0,9127.856,-872.144,9127.856
20170519,Buy,176.05,51,-8983.039275000001,51,144.817,-876.633,9123.367
20170522,Hold,176.73,0,0,51,144.817,-841.953,9158.047
20170523,Hold,177.94,0,0,51,144.817,-780.243,9219.757
20170524,Hold,178.75,0,0,51,144.817,-738.933,9261.067
20170525,Hold,179.27,0,0,51,144.817,-712.413,9287.587
20170526,Hold,180.24,0,0,51,144.817,-662.943,9337.057
20170530,Hold,180.4,0,0,51,144.817,-654.783,9345.217
20170531,Hold,181.13,0,0,51,144.817,-617.553,9382.447
20170601,Hold,180.72,0,0,51,144.817,-638.463,9361.537
20170602,Hold,181.29,0,0,51,144.817,-609.393,9390.607
20170605,Sell,179.12,-51,9130.552440000001,0,9275.369,-724.631,9275.369
20170606,Hold,177.27,0,0,0,9275.369,-724.631,9275.369
20170607,Hold,177.72,0,0,0,9275.369,-724.631,9275.369
20170608,Hold,177.98,0,0,0,9275.369,-724.631,9275.369
20170609,Hold,177.82,0,0,0,9275.369,-724.631,9275.369
20170612,Hold,176.9,0,0,0,9275.369,-724.631,9275.369
20170613,Buy,178.79,51,-9122.849144999998,51,152.52,-729.19,9270.81
20170614,Hold,178.1,0,0,51,152.52,-764.38,9235.62
20170615,Hold,180.4,0,0,51,152.52,-647.08,9352.92
20170616,Hold,181.33,0,0,51,152.52,-599.65,9400.35
20170619,Hold,181.64,0,0,51,152.52,-583.84,9416.16
20170620,Hold,182.23,0,0,51,152.52,-553.75,9446.25
20170621,Hold,181.67,0,0,51,152.52,-582.31,9417.69
20170622,Sell,179.41,-51,9145.335045,0,9297.855,-702.145,9297.855
20170623,Hold,179.88,0,0,0,9297.855,-702.145,9297.855
20170626,Hold,178.41,0,0,0,9297.855,-702.145,9297.855
20170627,Hold,178.15,0,0,0,9297.855,-702.145,9297.855
20170628,Hold,179.18,0,0,0,9297.855,-702.145,9297.855
20170629,Hold,176.29,0,0,0,9297.855,-702.145,9297.855
20170630,Hold,177.77,0,0,0,9297.855,-702.145,9297.855
20170703,Hold,178.2,0,0,0,9297.855,-702.145,9297.855
20170705,Buy,179.67,51,-9167.751585,51,130.103,-706.727,9293.273
20170706,Hold,178.61,0,0,51,130.103,-760.787,9239.213
20170707,Hold,180.14,0,0,51,130.103,-682.757,9317.243
20170710,Hold,179.77,0,0,51,130.103,-701.627,9298.373
20170711,Sell,180.23,-51,9187.134135,0,9317.237,-682.763,9317.237
20170712,Buy,180.12,51,-9190.71306,51,126.524,-687.356,9312.644
20170713,Sell,179.31,-51,9140.237595,0,9266.762,-733.238,9266.762
20170714,Buy,180.03,51,-9186.120765,51,80.641,-737.829,9262.171
20170717,Sell,179.28,-51,9138.70836,0,9219.35,-780.65,9219.35
20170718,Buy,180.85,50,-9047.02125,50,172.328,-785.172,9214.828
20170719,Hold,181.29,0,0,50,172.328,-763.172,9236.828
20170720,Hold,180.95,0,0,50,172.328,-780.172,9219.828
20170721,Hold,183.15,0,0,50,172.328,-670.172,9329.828
20170724,Hold,184.11,0,0,50,172.328,-622.172,9377.828
20170725,Hold,178.26,0,0,50,172.328,-914.672,9085.328
20170726,Sell,175.25,-50,8758.11875,0,8930.447,-1069.553,8930.447
20170727,Hold,173.73,0,0,0,8930.447,-1069.553,8930.447
20170728,Hold,177.77,0,0,0,8930.447,-1069.553,8930.447
20170731,Hold,176.33,0,0,0,8930.447,-1069.553,8930.447
