,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170109,Buy,223.42,44,-9835.39524,44,164.605,-4.915,9995.085
20170110,Sell,221.81,-44,9754.76018,0,9919.365,-80.635,9919.365
20170111,Hold,220.61,0,0.0,0,9919.365,-80.635,9919.365
20170112,Hold,218.72,0,0.0,0,9919.365,-80.635,9919.365
20170113,Hold,219.34,0,0.0,0,9919.365,-80.635,9919.365
20170117,Hold,219.93,0,0.0,0,9919.365,-80.635,9919.365
20170118,Hold,221.19,0,0.0,0,9919.365,-80.635,9919.365
20170119,Buy,223.28,44,-9829.23216,44,90.133,-85.547,9914.453
20170120,Hold,223.42,0,0.0,44,90.133,-79.387,9920.613
20170123,Hold,216.7,0,0.0,44,90.133,-375.067,9624.933
20170124,Sell,219.02,-44,9632.061560000002,0,9722.194,-277.806,9722.194
20170125,Hold,216.35,0,0.0,0,9722.194,-277.806,9722.194
20170126,Hold,220.68,0,0.0,0,9722.194,-277.806,9722.194
20170127,Hold,220.12,0,0.0,0,9722.194,-277.806,9722.194
20170130,Hold,218.39,0,0.0,0,9722.194,-277.806,9722.194
20170131,Hold,217.09,0,0.0,0,9722.194,-277.806,9722.194
20170201,Hold,217.14,0,0.0,0,9722.194,-277.806,9722.194
20170202,Hold,218.65,0,0.0,0,9722.194,-277.806,9722.194
20170203,Buy,220.2,44,-9693.6444,44,28.55,-282.65,9717.35
20170206,Hold,221.56,0,0.0,44,28.55,-222.81,9777.19
20170207,Hold,222.35,0,0.0,44,28.55,-188.05,9811.95
20170208,Hold,222.24,0,0.0,44,28.55,-192.89,9807.11
20170209,Hold,223.69,0,0.0,44,28.55,-129.09,9870.91
20170210,Hold,225.93,0,0.0,44,28.55,-30.53,9969.47
20170213,Hold,226.91,0,0.0,44,28.55,12.59,10012.59
20170214,Hold,226.74,0,0.0,44,28.55,5.11,10005.11
20170215,Hold,228.41,0,0.0,44,28.55,78.59,10078.59
20170216,Hold,229.1,0,0.0,44,28.55,108.95,10108.95
20170217,Hold,229.19,0,0.0,44,28.55,112.91,10112.91
20170221,Hold,229.37,0,0.0,44,28.55,120.83,10120.83
20170222,Hold,230.48,0,0.0,44,28.55,169.67,10169.67
20170223,Sell,228.96,-44,10069.20288,0,10097.753,97.753,10097.753
20170224,Hold,230.93,0,0.0,0,10097.753,97.753,10097.753
20170227,Buy,234.96,42,-9873.254159999999,42,224.499,92.819,10092.819
20170228,Hold,234.5,0,0.0,42,224.499,73.499,10073.499
20170301,Hold,234.41,0,0.0,42,224.499,69.719,10069.719
20170302,Sell,232.74,-42,9770.19246,0,9994.691,-5.309,9994.691
20170303,Hold,233.04,0,0.0,0,9994.691,-5.309,9994.691
20170306,Hold,232.93,0,0.0,0,9994.691,-5.309,9994.691
20170307,Hold,234.41,0,0.0,0,9994.691,-5.309,9994.691
20170308,Hold,233.54,0,0.0,0,9994.691,-5.309,9994.691
20170309,Hold,235.18,0,0.0,0,9994.691,-5.309,9994.691
20170310,Hold,233.99,0,0.0,0,9994.691,-5.309,9994.691
20170313,Hold,234.34,0,0.0,0,9994.691,-5.309,9994.691
20170314,Hold,233.54,0,0.0,0,9994.691,-5.309,9994.691
20170315,Hold,235.88,0,0.0,0,9994.691,-5.309,9994.691
20170316,Hold,234.23,0,0.0,0,9994.691,-5.309,9994.691
20170317,Buy,237.17,42,-9966.12057,42,28.571,-10.289,9989.711
20170320,Hold,237.33,0,0.0,42,28.571,-3.569,9996.431
20170321,Sell,234.27,-42,9834.42033,0,9862.991,-137.009,9862.991
20170322,Hold,234.78,0,0.0,0,9862.991,-137.009,9862.991
20170323,Hold,235.12,0,0.0,0,9862.991,-137.009,9862.991
20170324,Hold,231.48,0,0.0,0,9862.991,-137.009,9862.991
20170327,Hold,232.34,0,0.0,0,9862.991,-137.009,9862.991
20170328,Hold,234.33,0,0.0,0,9862.991,-137.009,9862.991
20170329,Hold,234.04,0,0.0,0,9862.991,-137.009,9862.991
20170330,Buy,235.7,41,-9668.531849999998,41,194.459,-141.841,9858.159
20170331,Sell,233.18,-41,9555.599810000002,0,9750.059,-249.941,9750.059
20170403,Hold,234.02,0,0.0,0,9750.059,-249.941,9750.059
20170404,Hold,235.13,0,0.0,0,9750.059,-249.941,9750.059
20170405,Hold,232.56,0,0.0,0,9750.059,-249.941,9750.059
20170406,Hold,237.33,0,0.0,0,9750.059,-249.941,9750.059
20170407,Hold,235.46,0,0.0,0,9750.059,-249.941,9750.059
20170410,Hold,234.41,0,0.0,0,9750.059,-249.941,9750.059
20170411,Hold,235.18,0,0.0,0,9750.059,-249.941,9750.059
20170412,Hold,233.65,0,0.0,0,9750.059,-249.941,9750.059
20170413,Hold,233.64,0,0.0,0,9750.059,-249.941,9750.059
20170417,Hold,235.17,0,0.0,0,9750.059,-249.941,9750.059
20170418,Hold,235.0,0,0.0,0,9750.059,-249.941,9750.059
20170419,Hold,235.42,0,0.0,0,9750.059,-249.941,9750.059
20170420,Buy,237.2,41,-9730.062599999997,41,19.996,-254.804,9745.196
20170421,Hold,240.11,0,0.0,41,19.996,-135.494,9864.506
20170424,Hold,238.69,0,0.0,41,19.996,-193.714,9806.286
20170425,Sell,235.79,-41,9662.556305,0,9682.553,-317.447,9682.553
20170426,Hold,236.02,0,0.0,0,9682.553,-317.447,9682.553
20170427,Hold,236.22,0,0.0,0,9682.553,-317.447,9682.553
20170428,Hold,234.89,0,0.0,0,9682.553,-317.447,9682.553
20170501,Hold,233.7,0,0.0,0,9682.553,-317.447,9682.553
20170502,Hold,234.2,0,0.0,0,9682.553,-317.447,9682.553
20170503,Hold,235.16,0,0.0,0,9682.553,-317.447,9682.553
20170504,Hold,235.88,0,0.0,0,9682.553,-317.447,9682.553
20170505,Buy,237.82,40,-9517.5564,40,164.996,-322.204,9677.796
20170508,Hold,237.9,0,0.0,40,164.996,-319.004,9680.996
20170509,Hold,237.79,0,0.0,40,164.996,-323.404,9676.596
20170510,Sell,236.27,-40,9446.074600000002,0,9611.071,-388.929,9611.071
20170511,Hold,236.08,0,0.0,0,9611.071,-388.929,9611.071
20170512,Hold,236.38,0,0.0,0,9611.071,-388.929,9611.071
20170515,Hold,237.1,0,0.0,0,9611.071,-388.929,9611.071
20170516,Hold,235.37,0,0.0,0,9611.071,-388.929,9611.071
20170517,Hold,234.02,0,0.0,0,9611.071,-388.929,9611.071
20170518,Hold,234.17,0,0.0,0,9611.071,-388.929,9611.071
20170519,Buy,244.68,39,-9547.29126,39,63.779,-393.701,9606.299
20170522,Hold,242.26,0,0.0,39,63.779,-488.081,9511.919
20170523,Hold,242.46,0,0.0,39,63.779,-480.281,9519.719
20170524,Hold,244.86,0,0.0,39,63.779,-386.681,9613.319
20170525,Hold,245.79,0,0.0,39,63.779,-350.411,9649.589
20170526,Hold,247.2,0,0.0,39,63.779,-295.421,9704.579
20170530,Hold,245.11,0,0.0,39,63.779,-376.931,9623.069
20170531,Hold,246.61,0,0.0,39,63.779,-318.431,9681.569
20170601,Sell,246.68,-39,9615.70974,0,9679.489,-320.511,9679.489
20170602,Hold,246.89,0,0.0,0,9679.489,-320.511,9679.489
20170605,Hold,245.16,0,0.0,0,9679.489,-320.511,9679.489
20170606,Hold,243.28,0,0.0,0,9679.489,-320.511,9679.489
20170607,Hold,243.83,0,0.0,0,9679.489,-320.511,9679.489
