,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160108,Hold,612.48,0,0,0,10000,0.0,10000.0
20160111,Hold,625.25,0,0,0,10000,0.0,10000.0
20160112,Hold,620.88,0,0,0,10000,0.0,10000.0
20160113,Hold,580.25,0,0,0,10000,0.0,10000.0
20160114,Hold,572.24,0,0,0,10000,0.0,10000.0
20160115,Hold,577.09,0,0,0,10000,0.0,10000.0
20160119,Hold,564.36,0,0,0,10000,0.0,10000.0
20160120,Hold,573.58,0,0,0,10000,0.0,10000.0
20160121,Hold,588.73,0,0,0,10000,0.0,10000.0
20160122,Buy,597.99,16,-9572.62392,16,427.376,-4.784,9995.216
20160125,Hold,603.45,0,0,16,427.376,82.576,10082.576
20160126,Hold,601.99,0,0,16,427.376,59.216,10059.216
20160127,Sell,608.37,-16,9729.05304,0,10156.429,156.429,10156.429
20160128,Buy,571.98,17,-9728.52183,17,427.907,151.567,10151.567
20160129,Sell,578.15,-17,9823.635725,0,10251.543,251.543,10251.543
20160201,Hold,570.0,0,0,0,10251.543,251.543,10251.543
20160202,Hold,553.5,0,0,0,10251.543,251.543,10251.543
20160203,Hold,525.0,0,0,0,10251.543,251.543,10251.543
20160204,Hold,529.28,0,0,0,10251.543,251.543,10251.543
20160205,Hold,486.47,0,0,0,10251.543,251.543,10251.543
20160208,Hold,478.01,0,0,0,10251.543,251.543,10251.543
20160209,Hold,491.76,0,0,0,10251.543,251.543,10251.543
20160210,Hold,491.17,0,0,0,10251.543,251.543,10251.543
20160211,Buy,510.7,20,-10219.107,20,32.436,246.436,10246.436
20160212,Hold,519.48,0,0,20,32.436,422.036,10422.036
20160216,Hold,528.74,0,0,20,32.436,607.236,10607.236
20160217,Hold,541.19,0,0,20,32.436,856.236,10856.236
20160218,Hold,520.71,0,0,20,32.436,446.636,10446.636
20160219,Hold,542.2,0,0,20,32.436,876.436,10876.436
20160222,Hold,555.55,0,0,20,32.436,1143.436,11143.436
20160223,Hold,545.75,0,0,20,32.436,947.436,10947.436
20160224,Hold,555.52,0,0,20,32.436,1142.836,11142.836
20160225,Hold,560.12,0,0,20,32.436,1234.836,11234.836
20160226,Sell,554.0,-20,11074.460000000001,0,11106.896,1106.896,11106.896
20160229,Hold,556.29,0,0,0,11106.896,1106.896,11106.896
