,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180108,Buy,1256.9,7,-8802.69915,7,1197.301,-4.399,9995.601
20180109,Hold,1245.15,0,0.0,7,1197.301,-86.649,9913.351
20180110,Hold,1259.74,0,0.0,7,1197.301,15.481,10015.481
20180111,Hold,1273.39,0,0.0,7,1197.301,111.031,10111.031
20180112,Hold,1323.0,0,0.0,7,1197.301,458.301,10458.301
20180116,Hold,1312.24,0,0.0,7,1197.301,382.981,10382.981
20180117,Hold,1293.95,0,0.0,7,1197.301,254.951,10254.951
20180118,Sell,1312.0,-7,9179.408000000001,0,10376.709,376.709,10376.709
20180119,Hold,1297.17,0,0.0,0,10376.709,376.709,10376.709
20180122,Buy,1338.09,7,-9371.313315,7,1005.396,372.026,10372.026
20180123,Hold,1374.82,0,0.0,7,1005.396,629.136,10629.136
20180124,Hold,1368.0,0,0.0,7,1005.396,581.396,10581.396
20180125,Hold,1392.01,0,0.0,7,1005.396,749.466,10749.466
20180126,Hold,1409.18,0,0.0,7,1005.396,869.656,10869.656
20180129,Hold,1403.17,0,0.0,7,1005.396,827.586,10827.586
20180130,Hold,1451.3,0,0.0,7,1005.396,1164.496,11164.496
20180131,Hold,1445.0,0,0.0,7,1005.396,1120.396,11120.396
20180201,Sell,1477.39,-7,10336.559135000001,0,11341.955,1341.955,11341.955
20180202,Hold,1402.62,0,0.0,0,11341.955,1341.955,11341.955
20180205,Hold,1361.46,0,0.0,0,11341.955,1341.955,11341.955
20180206,Hold,1449.0,0,0.0,0,11341.955,1341.955,11341.955
20180207,Hold,1429.68,0,0.0,0,11341.955,1341.955,11341.955
20180208,Hold,1373.49,0,0.0,0,11341.955,1341.955,11341.955
20180209,Hold,1364.67,0,0.0,0,11341.955,1341.955,11341.955
20180212,Hold,1385.93,0,0.0,0,11341.955,1341.955,11341.955
20180213,Buy,1406.25,8,-11255.625,8,86.33,1336.33,11336.33
20180214,Hold,1466.89,0,0.0,8,86.33,1821.45,11821.45
20180215,Hold,1457.37,0,0.0,8,86.33,1745.29,11745.29
20180216,Hold,1446.49,0,0.0,8,86.33,1658.25,11658.25
20180220,Hold,1485.0,0,0.0,8,86.33,1966.33,11966.33
20180221,Hold,1495.36,0,0.0,8,86.33,2049.21,12049.21
20180222,Hold,1495.34,0,0.0,8,86.33,2049.05,12049.05
20180223,Hold,1509.2,0,0.0,8,86.33,2159.93,12159.93
20180226,Hold,1524.5,0,0.0,8,86.33,2282.33,12282.33
20180227,Hold,1519.51,0,0.0,8,86.33,2242.41,12242.41
20180228,Hold,1513.6,0,0.0,8,86.33,2195.13,12195.13
20180301,Sell,1469.1,-8,11746.9236,0,11833.253,1833.253,11833.253
20180302,Hold,1494.24,0,0.0,0,11833.253,1833.253,11833.253
20180305,Buy,1533.2,7,-10737.766199999998,7,1095.487,1827.887,11827.887
20180306,Hold,1526.52,0,0.0,7,1095.487,1781.127,11781.127
20180307,Hold,1550.0,0,0.0,7,1095.487,1945.487,11945.487
20180308,Hold,1563.5,0,0.0,7,1095.487,2039.987,12039.987
20180309,Hold,1592.6,0,0.0,7,1095.487,2243.687,12243.687
20180312,Hold,1615.96,0,0.0,7,1095.487,2407.207,12407.207
20180313,Hold,1597.0,0,0.0,7,1095.487,2274.487,12274.487
20180314,Hold,1595.0,0,0.0,7,1095.487,2260.487,12260.487
20180315,Sell,1583.45,-7,11078.607925,0,12174.095,2174.095,12174.095
20180316,Hold,1554.53,0,0.0,0,12174.095,2174.095,12174.095
20180319,Hold,1550.34,0,0.0,0,12174.095,2174.095,12174.095
20180320,Buy,1586.45,7,-11110.702575,7,1063.392,2168.542,12168.542
20180321,Hold,1565.47,0,0.0,7,1063.392,2021.682,12021.682
20180322,Sell,1539.01,-7,10767.683465,0,11831.076,1831.076,11831.076
20180323,Hold,1530.0,0,0.0,0,11831.076,1831.076,11831.076
20180326,Hold,1572.4,0,0.0,0,11831.076,1831.076,11831.076
20180327,Hold,1447.0,0,0.0,0,11831.076,1831.076,11831.076
20180328,Hold,1406.0,0,0.0,0,11831.076,1831.076,11831.076
20180329,Hold,1417.62,0,0.0,0,11831.076,1831.076,11831.076
20180402,Hold,1391.38,0,0.0,0,11831.076,1831.076,11831.076
20180403,Hold,1358.24,0,0.0,0,11831.076,1831.076,11831.076
20180404,Hold,1441.99,0,0.0,0,11831.076,1831.076,11831.076
20180405,Buy,1429.97,8,-11445.479879999999,8,385.596,1825.356,11825.356
20180406,Sell,1425.03,-8,11394.53988,0,11780.136,1780.136,11780.136
20180409,Hold,1431.99,0,0.0,0,11780.136,1780.136,11780.136
20180410,Buy,1439.44,8,-11521.277759999999,8,258.858,1774.378,11774.378
20180411,Sell,1439.5,-8,11510.242,0,11769.1,1769.1,11769.1
20180412,Buy,1449.14,8,-11598.91656,8,170.184,1763.304,11763.304
20180413,Sell,1445.0,-8,11554.220000000001,0,11724.404,1724.404,11724.404
20180416,Hold,1462.3,0,0.0,0,11724.404,1724.404,11724.404
20180417,Buy,1514.65,7,-10607.851275,7,1116.552,1719.102,11719.102
20180418,Hold,1543.22,0,0.0,7,1116.552,1919.092,11919.092
20180419,Hold,1561.2,0,0.0,7,1116.552,2044.952,12044.952
20180420,Hold,1517.86,0,0.0,7,1116.552,1741.572,11741.572
20180423,Sell,1535.8,-7,10745.2247,0,11861.777,1861.777,11861.777
20180424,Hold,1458.0,0,0.0,0,11861.777,1861.777,11861.777
20180425,Hold,1485.01,0,0.0,0,11861.777,1861.777,11861.777
20180426,Buy,1634.01,7,-11443.789035,7,417.988,1856.058,11856.058
20180427,Hold,1582.5,0,0.0,7,417.988,1495.488,11495.488
20180430,Hold,1563.22,0,0.0,7,417.988,1360.528,11360.528
20180501,Hold,1580.98,0,0.0,7,417.988,1484.848,11484.848
20180502,Hold,1560.01,0,0.0,7,417.988,1338.058,11338.058
20180503,Sell,1562.45,-7,10931.681425,0,11349.669,1349.669,11349.669
20180504,Buy,1589.34,7,-11130.942689999998,7,218.727,1344.107,11344.107
20180507,Hold,1595.0,0,0.0,7,218.727,1383.727,11383.727
20180508,Hold,1600.0,0,0.0,7,218.727,1418.727,11418.727
20180509,Hold,1608.48,0,0.0,7,218.727,1478.087,11478.087
20180510,Hold,1610.99,0,0.0,7,218.727,1495.657,11495.657
20180511,Hold,1604.0,0,0.0,7,218.727,1446.727,11446.727
20180514,Sell,1587.8,-7,11109.042700000002,0,11327.769,1327.769,11327.769
20180515,Hold,1577.5,0,0.0,0,11327.769,1327.769,11327.769
20180516,Hold,1580.56,0,0.0,0,11327.769,1327.769,11327.769
20180517,Hold,1581.33,0,0.0,0,11327.769,1327.769,11327.769
20180518,Hold,1585.0,0,0.0,0,11327.769,1327.769,11327.769
20180521,Hold,1589.89,0,0.0,0,11327.769,1327.769,11327.769
20180522,Hold,1571.05,0,0.0,0,11327.769,1327.769,11327.769
20180523,Buy,1598.03,7,-11191.803104999999,7,135.966,1322.176,11322.176
20180524,Hold,1603.0,0,0.0,7,135.966,1356.966,11356.966
20180525,Hold,1600.71,0,0.0,7,135.966,1340.936,11340.936
