,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180108,Buy,1109.4,9,-9989.5923,9,10.408,-4.992,9995.008
20180109,Hold,1097.1,0,0.0,9,10.408,-115.692,9884.308
20180110,Hold,1106.3,0,0.0,9,10.408,-32.892,9967.108
20180111,Hold,1102.41,0,0.0,9,10.408,-67.902,9932.098
20180112,Hold,1132.51,0,0.0,9,10.408,202.998,10202.998
20180116,Hold,1126.22,0,0.0,9,10.408,146.388,10146.388
20180117,Hold,1131.41,0,0.0,9,10.408,193.098,10193.098
20180118,Hold,1131.83,0,0.0,9,10.408,196.878,10196.878
20180119,Hold,1137.49,0,0.0,9,10.408,247.818,10247.818
20180122,Hold,1159.85,0,0.0,9,10.408,449.058,10449.058
20180123,Hold,1177.33,0,0.0,9,10.408,606.378,10606.378
20180124,Hold,1172.53,0,0.0,9,10.408,563.178,10563.178
20180125,Hold,1175.08,0,0.0,9,10.408,586.128,10586.128
20180126,Hold,1176.48,0,0.0,9,10.408,598.728,10598.728
20180129,Hold,1167.83,0,0.0,9,10.408,520.878,10520.878
20180130,Sell,1170.57,-9,10529.862435,0,10540.27,540.27,10540.27
20180131,Buy,1162.61,9,-10468.721744999999,9,71.548,535.038,10535.038
20180201,Hold,1122.0,0,0.0,9,71.548,169.548,10169.548
20180202,Sell,1090.6,-9,9810.4923,0,9882.041,-117.959,9882.041
20180205,Hold,1027.18,0,0.0,0,9882.041,-117.959,9882.041
20180206,Hold,1081.54,0,0.0,0,9882.041,-117.959,9882.041
20180207,Hold,1055.41,0,0.0,0,9882.041,-117.959,9882.041
20180208,Hold,1017.25,0,0.0,0,9882.041,-117.959,9882.041
20180209,Hold,1048.0,0,0.0,0,9882.041,-117.959,9882.041
20180212,Buy,1045.0,9,-9409.7025,9,472.338,-122.662,9877.338
20180213,Hold,1048.95,0,0.0,9,472.338,-87.112,9912.888
20180214,Hold,1079.07,0,0.0,9,472.338,183.968,10183.968
20180215,Hold,1088.41,0,0.0,9,472.338,268.028,10268.028
20180216,Hold,1090.57,0,0.0,9,472.338,287.468,10287.468
20180220,Hold,1106.47,0,0.0,9,472.338,430.568,10430.568
20180221,Hold,1116.19,0,0.0,9,472.338,518.048,10518.048
20180222,Hold,1112.64,0,0.0,9,472.338,486.098,10486.098
20180223,Hold,1127.8,0,0.0,9,472.338,622.538,10622.538
20180226,Hold,1141.24,0,0.0,9,472.338,743.498,10743.498
20180227,Hold,1123.03,0,0.0,9,472.338,579.608,10579.608
