,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140108,Buy,135.21,73,-9875.265164999999,73,124.735,-4.935,9995.065
20140109,Hold,134.74,0,0.0,73,124.735,-39.245,9960.755
20140110,Sell,133.26,-73,9723.11601,0,9847.851,-152.149,9847.851
20140113,Hold,132.38,0,0.0,0,9847.851,-152.149,9847.851
20140114,Hold,132.93,0,0.0,0,9847.851,-152.149,9847.851
20140115,Buy,134.17,73,-9799.307205,73,48.544,-157.046,9842.954
20140116,Hold,134.52,0,0.0,73,48.544,-131.496,9868.504
20140117,Hold,136.08,0,0.0,73,48.544,-17.616,9982.384
20140121,Hold,129.71,0,0.0,73,48.544,-482.626,9517.374
20140122,Sell,129.65,-73,9459.717775000001,0,9508.261,-491.739,9508.261
20140123,Hold,129.7,0,0.0,0,9508.261,-491.739,9508.261
20140124,Hold,128.5,0,0.0,0,9508.261,-491.739,9508.261
20140127,Hold,127.39,0,0.0,0,9508.261,-491.739,9508.261
20140128,Hold,125.91,0,0.0,0,9508.261,-491.739,9508.261
20140129,Hold,126.76,0,0.0,0,9508.261,-491.739,9508.261
20140130,Hold,125.98,0,0.0,0,9508.261,-491.739,9508.261
20140131,Hold,125.79,0,0.0,0,9508.261,-491.739,9508.261
20140203,Hold,124.15,0,0.0,0,9508.261,-491.739,9508.261
20140204,Hold,123.28,0,0.0,0,9508.261,-491.739,9508.261
20140205,Hold,125.13,0,0.0,0,9508.261,-491.739,9508.261
20140206,Buy,126.35,75,-9480.988125,75,27.273,-496.477,9503.523
20140207,Hold,127.29,0,0.0,75,27.273,-425.977,9574.023
20140210,Hold,127.22,0,0.0,75,27.273,-431.227,9568.773
20140211,Hold,129.15,0,0.0,75,27.273,-286.477,9713.523
20140212,Hold,128.23,0,0.0,75,27.273,-355.477,9644.523
20140213,Hold,130.38,0,0.0,75,27.273,-194.227,9805.773
20140214,Hold,131.78,0,0.0,75,27.273,-89.227,9910.773
20140218,Hold,131.44,0,0.0,75,27.273,-114.727,9885.273
20140219,Hold,131.6,0,0.0,75,27.273,-102.727,9897.273
20140220,Hold,132.55,0,0.0,75,27.273,-31.477,9968.523
20140221,Hold,131.51,0,0.0,75,27.273,-109.477,9890.523
20140224,Hold,132.05,0,0.0,75,27.273,-68.977,9931.023
20140225,Hold,132.31,0,0.0,75,27.273,-49.477,9950.523
20140226,Hold,132.23,0,0.0,75,27.273,-55.477,9944.523
20140227,Hold,133.37,0,0.0,75,27.273,30.023,10030.023
20140228,Hold,131.92,0,0.0,75,27.273,-78.727,9921.273
