,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170109,Hold,73.405,0,0,0,10000,0.0,10000.0
20170110,Hold,73.648,0,0,0,10000,0.0,10000.0
20170111,Buy,74.118,134,-9936.777906,134,63.222,-4.966,9995.034
20170112,Hold,74.118,0,0,134,63.222,-4.966,9995.034
20170113,Sell,73.164,-134,9799.074012000001,0,9862.296,-137.704,9862.296
20170117,Hold,73.191,0,0,0,9862.296,-137.704,9862.296
20170118,Hold,73.627,0,0,0,9862.296,-137.704,9862.296
20170119,Hold,72.782,0,0,0,9862.296,-137.704,9862.296
20170120,Hold,72.99,0,0,0,9862.296,-137.704,9862.296
20170123,Hold,73.245,0,0,0,9862.296,-137.704,9862.296
20170124,Buy,75.582,130,-9830.57283,130,31.723,-142.617,9857.383
20170125,Hold,76.915,0,0,130,31.723,30.673,10030.673
20170126,Hold,78.113,0,0,130,31.723,186.413,10186.413
20170127,Hold,77.392,0,0,130,31.723,92.683,10092.683
20170130,Hold,76.119,0,0,130,31.723,-72.807,9927.193
20170131,Sell,75.823,-130,9852.061505,0,9883.785,-116.215,9883.785
20170201,Hold,76.675,0,0,0,9883.785,-116.215,9883.785
20170202,Hold,76.285,0,0,0,9883.785,-116.215,9883.785
20170203,Hold,76.36,0,0,0,9883.785,-116.215,9883.785
20170206,Hold,76.207,0,0,0,9883.785,-116.215,9883.785
20170207,Hold,76.126,0,0,0,9883.785,-116.215,9883.785
20170208,Hold,76.14,0,0,0,9883.785,-116.215,9883.785
20170209,Buy,77.01,128,-9862.20864,128,21.576,-121.144,9878.856
20170210,Hold,77.873,0,0,128,21.576,-10.68,9989.32
20170213,Hold,77.653,0,0,128,21.576,-38.84,9961.16
20170214,Hold,78.202,0,0,128,21.576,31.432,10031.432
20170215,Sell,77.364,-128,9897.640704000001,0,9919.217,-80.783,9919.217
20170216,Hold,77.847,0,0,0,9919.217,-80.783,9919.217
20170217,Hold,77.886,0,0,0,9919.217,-80.783,9919.217
20170221,Hold,77.833,0,0,0,9919.217,-80.783,9919.217
20170222,Buy,80.936,122,-9879.129096,122,40.088,-85.72,9914.28
20170223,Hold,80.084,0,0,122,40.088,-189.664,9810.336
20170224,Hold,80.385,0,0,122,40.088,-152.942,9847.058
20170227,Hold,79.629,0,0,122,40.088,-245.174,9754.826
20170228,Sell,79.97,-122,9751.46183,0,9791.55,-208.45,9791.55
20170301,Buy,80.669,121,-9765.8294745,121,25.72,-213.331,9786.669
20170302,Hold,80.707,0,0,121,25.72,-208.733,9791.267
