,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150108,Buy,87.656,114,-9997.780392,114,2.22,-4.996,9995.004
20150109,Hold,88.25,0,0.0,114,2.22,62.72,10062.72
20150112,Hold,88.802,0,0.0,114,2.22,125.648,10125.648
20150113,Hold,87.608,0,0.0,114,2.22,-10.468,9989.532
20150114,Sell,88.179,-114,10047.379797000001,0,10049.599,49.599,10049.599
20150115,Hold,87.608,0,0.0,0,10049.599,49.599,10049.599
20150116,Buy,88.746,113,-10033.312148999998,113,16.287,44.585,10044.585
20150120,Sell,87.953,-113,9933.719655500001,0,9950.007,-49.993,9950.007
20150121,Hold,88.15,0,0.0,0,9950.007,-49.993,9950.007
20150122,Buy,88.467,112,-9913.258152,112,36.749,-54.947,9945.053
20150123,Sell,88.03,-112,9854.430320000001,0,9891.179,-108.821,9891.179
20150126,Hold,87.618,0,0.0,0,9891.179,-108.821,9891.179
20150127,Hold,87.739,0,0.0,0,9891.179,-108.821,9891.179
20150128,Hold,86.771,0,0.0,0,9891.179,-108.821,9891.179
20150129,Hold,86.21,0,0.0,0,9891.179,-108.821,9891.179
20150130,Hold,85.093,0,0.0,0,9891.179,-108.821,9891.179
20150202,Hold,86.147,0,0.0,0,9891.179,-108.821,9891.179
20150203,Buy,92.634,106,-9824.113602,106,67.065,-113.731,9886.269
20150204,Hold,93.91,0,0.0,106,67.065,21.525,10021.525
20150205,Hold,95.695,0,0.0,106,67.065,210.735,10210.735
20150206,Hold,94.877,0,0.0,106,67.065,124.027,10124.027
20150209,Hold,95.02,0,0.0,106,67.065,139.185,10139.185
20150210,Sell,94.936,-106,10058.184392000001,0,10125.25,125.25,10125.25
20150211,Hold,95.21,0,0.0,0,10125.25,125.25,10125.25
20150212,Buy,96.667,104,-10058.394683999999,104,66.855,120.223,10120.223
20150213,Hold,97.153,0,0.0,104,66.855,170.767,10170.767
20150217,Hold,96.369,0,0.0,104,66.855,89.231,10089.231
20150218,Hold,96.929,0,0.0,104,66.855,147.471,10147.471
20150219,Hold,96.725,0,0.0,104,66.855,126.255,10126.255
20150220,Hold,97.63,0,0.0,104,66.855,220.375,10220.375
20150223,Hold,97.445,0,0.0,104,66.855,201.135,10201.135
20150224,Hold,97.552,0,0.0,104,66.855,212.263,10212.263
20150225,Hold,98.328,0,0.0,104,66.855,292.967,10292.967
20150226,Sell,97.542,-104,10139.295816000002,0,10206.151,206.151,10206.151
20150227,Hold,97.269,0,0.0,0,10206.151,206.151,10206.151
20150302,Buy,98.486,103,-10149.130029,103,57.021,201.079,10201.079
20150303,Hold,98.674,0,0.0,103,57.021,220.443,10220.443
20150304,Hold,98.368,0,0.0,103,57.021,188.925,10188.925
20150305,Sell,97.542,-103,10041.802587000002,0,10098.824,98.824,10098.824
20150306,Hold,97.046,0,0.0,0,10098.824,98.824,10098.824
20150309,Hold,97.192,0,0.0,0,10098.824,98.824,10098.824
20150310,Hold,96.465,0,0.0,0,10098.824,98.824,10098.824
20150311,Hold,96.773,0,0.0,0,10098.824,98.824,10098.824
20150312,Buy,99.99,100,-10003.9995,100,94.824,93.824,10093.824
20150313,Hold,99.57,0,0.0,100,94.824,51.824,10051.824
20150316,Hold,99.73,0,0.0,100,94.824,67.824,10067.824
