,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140108,Buy,64.564,154,-9947.827427999999,154,52.173,-4.971,9995.029
20140109,Hold,64.877,0,0.0,154,52.173,43.231,10043.231
20140110,Hold,65.731,0,0.0,154,52.173,174.747,10174.747
20140113,Hold,65.438,0,0.0,154,52.173,129.625,10129.625
20140114,Hold,65.482,0,0.0,154,52.173,136.401,10136.401
20140115,Hold,65.492,0,0.0,154,52.173,137.941,10137.941
20140116,Sell,65.546,-154,10089.036958,0,10141.21,141.21,10141.21
20140117,Buy,66.292,152,-10081.422192,152,59.787,136.171,10136.171
20140121,Hold,66.3,0,0.0,152,59.787,137.387,10137.387
20140122,Hold,67.501,0,0.0,152,59.787,319.939,10319.939
20140123,Hold,66.756,0,0.0,152,59.787,206.699,10206.699
20140124,Sell,65.566,-152,9961.048984000001,0,10020.836,20.836,10020.836
20140127,Hold,64.671,0,0.0,0,10020.836,20.836,10020.836
20140128,Hold,63.874,0,0.0,0,10020.836,20.836,10020.836
20140129,Hold,63.874,0,0.0,0,10020.836,20.836,10020.836
20140130,Hold,63.358,0,0.0,0,10020.836,20.836,10020.836
20140131,Buy,65.086,153,-9963.137078999998,153,57.699,15.857,10015.857
20140203,Sell,62.427,-153,9546.5553345,0,9604.255,-395.745,9604.255
20140204,Hold,62.684,0,0.0,0,9604.255,-395.745,9604.255
20140205,Hold,61.947,0,0.0,0,9604.255,-395.745,9604.255
20140206,Hold,62.562,0,0.0,0,9604.255,-395.745,9604.255
20140207,Buy,63.856,150,-9583.189199999999,150,21.065,-400.535,9599.465
20140210,Hold,64.499,0,0.0,150,21.065,-304.085,9695.915
20140211,Hold,65.051,0,0.0,150,21.065,-221.285,9778.715
20140212,Hold,64.858,0,0.0,150,21.065,-250.235,9749.765
20140213,Hold,65.954,0,0.0,150,21.065,-85.835,9914.165
20140214,Hold,66.518,0,0.0,150,21.065,-1.235,9998.765
20140218,Hold,66.064,0,0.0,150,21.065,-69.335,9930.665
20140219,Hold,66.228,0,0.0,150,21.065,-44.735,9955.265
20140220,Hold,66.691,0,0.0,150,21.065,24.715,10024.715
20140221,Hold,67.445,0,0.0,150,21.065,137.815,10137.815
20140224,Hold,70.853,0,0.0,150,21.065,649.015,10649.015
20140225,Hold,69.517,0,0.0,150,21.065,448.615,10448.615
20140226,Hold,71.359,0,0.0,150,21.065,724.915,10724.915
20140227,Hold,72.064,0,0.0,150,21.065,830.665,10830.665
20140228,Hold,71.921,0,0.0,150,21.065,809.215,10809.215
20140303,Hold,73.133,0,0.0,150,21.065,991.015,10991.015
20140304,Hold,73.32,0,0.0,150,21.065,1019.065,11019.065
20140305,Hold,72.811,0,0.0,150,21.065,942.715,10942.715
20140306,Sell,73.159,-150,10968.363075000001,0,10989.428,989.428,10989.428
20140307,Hold,73.089,0,0.0,0,10989.428,989.428,10989.428
20140310,Hold,73.365,0,0.0,0,10989.428,989.428,10989.428
20140311,Hold,72.553,0,0.0,0,10989.428,989.428,10989.428
20140312,Buy,74.177,148,-10983.685098000002,148,5.743,983.939,10983.939
20140313,Sell,73.608,-148,10888.537008000001,0,10894.28,894.28,10894.28
20140314,Hold,73.894,0,0.0,0,10894.28,894.28,10894.28
20140317,Buy,74.078,146,-10820.795694,146,73.485,888.873,10888.873
20140318,Hold,73.7,0,0.0,146,73.485,833.685,10833.685
20140319,Sell,72.129,-146,10525.568583000002,0,10599.053,599.053,10599.053
20140320,Hold,73.054,0,0.0,0,10599.053,599.053,10599.053
20140321,Hold,71.872,0,0.0,0,10599.053,599.053,10599.053
20140324,Hold,71.555,0,0.0,0,10599.053,599.053,10599.053
20140325,Hold,71.082,0,0.0,0,10599.053,599.053,10599.053
20140326,Hold,69.597,0,0.0,0,10599.053,599.053,10599.053
20140327,Hold,69.551,0,0.0,0,10599.053,599.053,10599.053
20140328,Hold,70.828,0,0.0,0,10599.053,599.053,10599.053
20140331,Buy,71.121,148,-10531.170954,148,67.882,593.79,10593.79
20140401,Hold,72.783,0,0.0,148,67.882,839.766,10839.766
20140402,Hold,72.445,0,0.0,148,67.882,789.742,10789.742
20140403,Hold,72.112,0,0.0,148,67.882,740.458,10740.458
20140404,Sell,69.283,-148,10248.757058000001,0,10316.639,316.639,10316.639
20140407,Hold,68.259,0,0.0,0,10316.639,316.639,10316.639
20140408,Hold,70.014,0,0.0,0,10316.639,316.639,10316.639
20140409,Hold,70.724,0,0.0,0,10316.639,316.639,10316.639
20140410,Hold,68.009,0,0.0,0,10316.639,316.639,10316.639
20140411,Hold,68.055,0,0.0,0,10316.639,316.639,10316.639
20140414,Hold,68.009,0,0.0,0,10316.639,316.639,10316.639
20140415,Hold,69.199,0,0.0,0,10316.639,316.639,10316.639
20140416,Hold,69.254,0,0.0,0,10316.639,316.639,10316.639
20140417,Hold,68.489,0,0.0,0,10316.639,316.639,10316.639
