,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180108,Buy,157.4,63,-9921.1581,63,78.842,-4.958,9995.042
20180109,Hold,156.72,0,0.0,63,78.842,-47.798,9952.202
20180110,Hold,156.78,0,0.0,63,78.842,-44.018,9955.982
20180111,Sell,156.59,-63,9860.237415000001,0,9939.079,-60.921,9939.079
20180112,Buy,156.84,63,-9885.86046,63,53.219,-65.861,9934.139
20180116,Hold,157.51,0,0.0,63,53.219,-23.651,9976.349
20180117,Hold,158.24,0,0.0,63,53.219,22.339,10022.339
20180118,Hold,158.05,0,0.0,63,53.219,10.369,10010.369
20180119,Hold,158.97,0,0.0,63,53.219,68.329,10068.329
20180122,Hold,158.6,0,0.0,63,53.219,45.019,10045.019
20180123,Hold,160.16,0,0.0,63,53.219,143.299,10143.299
20180124,Hold,159.35,0,0.0,63,53.219,92.269,10092.269
20180125,Hold,158.7,0,0.0,63,53.219,51.319,10051.319
20180126,Hold,161.07,0,0.0,63,53.219,200.629,10200.629
20180129,Hold,159.97,0,0.0,63,53.219,131.329,10131.329
20180130,Sell,156.82,-63,9874.72017,0,9927.939,-72.061,9927.939
20180131,Hold,153.81,0,0.0,0,9927.939,-72.061,9927.939
20180201,Hold,154.29,0,0.0,0,9927.939,-72.061,9927.939
20180202,Hold,152.31,0,0.0,0,9927.939,-72.061,9927.939
20180205,Hold,143.04,0,0.0,0,9927.939,-72.061,9927.939
20180206,Hold,148.9,0,0.0,0,9927.939,-72.061,9927.939
20180207,Hold,149.68,0,0.0,0,9927.939,-72.061,9927.939
20180208,Hold,144.52,0,0.0,0,9927.939,-72.061,9927.939
20180209,Hold,146.67,0,0.0,0,9927.939,-72.061,9927.939
20180212,Buy,147.23,67,-9869.342204999999,67,58.597,-76.993,9923.007
20180213,Sell,145.83,-67,9765.724695,0,9824.322,-175.678,9824.322
20180214,Hold,145.56,0,0.0,0,9824.322,-175.678,9824.322
20180215,Hold,144.06,0,0.0,0,9824.322,-175.678,9824.322
20180216,Hold,141.94,0,0.0,0,9824.322,-175.678,9824.322
20180220,Hold,142.52,0,0.0,0,9824.322,-175.678,9824.322
20180221,Hold,143.56,0,0.0,0,9824.322,-175.678,9824.322
20180222,Buy,145.83,67,-9775.495305,67,48.826,-180.564,9819.436
20180223,Hold,148.14,0,0.0,67,48.826,-25.794,9974.206
20180226,Hold,148.31,0,0.0,67,48.826,-14.404,9985.596
20180227,Sell,145.83,-67,9765.724695,0,9814.551,-185.449,9814.551
20180228,Hold,143.42,0,0.0,0,9814.551,-185.449,9814.551
20180301,Hold,135.37,0,0.0,0,9814.551,-185.449,9814.551
20180302,Hold,134.78,0,0.0,0,9814.551,-185.449,9814.551
20180305,Hold,137.51,0,0.0,0,9814.551,-185.449,9814.551
20180306,Hold,136.23,0,0.0,0,9814.551,-185.449,9814.551
20180307,Buy,138.85,70,-9724.35975,70,90.191,-190.309,9809.691
20180308,Hold,141.47,0,0.0,70,90.191,-6.909,9993.091
20180309,Hold,143.38,0,0.0,70,90.191,126.791,10126.791
20180312,Hold,144.14,0,0.0,70,90.191,179.991,10179.991
20180313,Hold,144.55,0,0.0,70,90.191,208.691,10208.691
20180314,Hold,144.28,0,0.0,70,90.191,189.791,10189.791
20180315,Hold,147.14,0,0.0,70,90.191,389.991,10389.991
20180316,Hold,147.25,0,0.0,70,90.191,397.691,10397.691
20180319,Sell,145.21,-70,10159.617650000002,0,10249.809,249.809,10249.809
20180320,Hold,145.44,0,0.0,0,10249.809,249.809,10249.809
20180321,Hold,143.47,0,0.0,0,10249.809,249.809,10249.809
20180322,Hold,143.27,0,0.0,0,10249.809,249.809,10249.809
20180323,Hold,141.98,0,0.0,0,10249.809,249.809,10249.809
20180326,Hold,144.09,0,0.0,0,10249.809,249.809,10249.809
20180327,Hold,143.46,0,0.0,0,10249.809,249.809,10249.809
20180328,Buy,144.55,70,-10123.55925,70,126.25,244.75,10244.75
20180329,Sell,143.87,-70,10065.86455,0,10192.114,192.114,10192.114
20180402,Hold,143.59,0,0.0,0,10192.114,192.114,10192.114
20180403,Buy,144.09,70,-10091.34315,70,100.771,187.071,10187.071
20180404,Hold,147.63,0,0.0,70,100.771,434.871,10434.871
20180405,Hold,147.65,0,0.0,70,100.771,436.271,10436.271
20180406,Hold,147.46,0,0.0,70,100.771,422.971,10422.971
20180409,Hold,148.02,0,0.0,70,100.771,462.171,10462.171
20180410,Hold,147.72,0,0.0,70,100.771,441.171,10441.171
20180411,Hold,148.71,0,0.0,70,100.771,510.471,10510.471
20180412,Sell,147.4,-70,10312.841,0,10413.612,413.612,10413.612
20180413,Hold,146.62,0,0.0,0,10413.612,413.612,10413.612
20180416,Hold,147.62,0,0.0,0,10413.612,413.612,10413.612
20180417,Hold,147.81,0,0.0,0,10413.612,413.612,10413.612
20180418,Hold,146.92,0,0.0,0,10413.612,413.612,10413.612
20180419,Hold,144.83,0,0.0,0,10413.612,413.612,10413.612
20180420,Hold,144.52,0,0.0,0,10413.612,413.612,10413.612
20180423,Hold,145.21,0,0.0,0,10413.612,413.612,10413.612
20180424,Hold,142.81,0,0.0,0,10413.612,413.612,10413.612
20180425,Hold,142.23,0,0.0,0,10413.612,413.612,10413.612
20180426,Buy,144.96,71,-10297.306079999998,71,116.306,408.466,10408.466
20180427,Sell,149.7,-71,10623.38565,0,10739.692,739.692,10739.692
20180430,Buy,151.25,70,-10592.793749999999,70,146.898,734.398,10734.398
20180501,Hold,147.39,0,0.0,70,146.898,464.198,10464.198
20180502,Hold,146.0,0,0.0,70,146.898,366.898,10366.898
20180503,Sell,145.39,-70,10172.21135,0,10319.109,319.109,10319.109
20180504,Buy,151.6,68,-10313.954399999999,68,5.155,313.955,10313.955
20180507,Hold,149.49,0,0.0,68,5.155,170.475,10170.475
20180508,Hold,150.0,0,0.0,68,5.155,205.155,10205.155
20180509,Hold,149.5,0,0.0,68,5.155,171.155,10171.155
20180510,Hold,150.0,0,0.0,68,5.155,205.155,10205.155
20180511,Hold,150.58,0,0.0,68,5.155,244.595,10244.595
20180514,Sell,149.33,-68,10149.362780000001,0,10154.518,154.518,10154.518
20180515,Hold,148.39,0,0.0,0,10154.518,154.518,10154.518
20180516,Hold,147.85,0,0.0,0,10154.518,154.518,10154.518
20180517,Hold,146.98,0,0.0,0,10154.518,154.518,10154.518
20180518,Hold,147.05,0,0.0,0,10154.518,154.518,10154.518
20180521,Hold,147.3,0,0.0,0,10154.518,154.518,10154.518
20180522,Hold,145.17,0,0.0,0,10154.518,154.518,10154.518
20180523,Hold,146.45,0,0.0,0,10154.518,154.518,10154.518
20180524,Buy,147.67,68,-10046.580779999998,68,107.937,149.497,10149.497
20180525,Hold,147.66,0,0.0,68,107.937,148.817,10148.817
20180529,Sell,146.72,-68,9971.97152,0,10079.908,79.908,10079.908
20180530,Buy,146.51,68,-9967.66134,68,112.247,74.927,10074.927
20180531,Sell,146.28,-68,9942.066480000001,0,10054.313,54.313,10054.313
20180601,Hold,146.44,0,0.0,0,10054.313,54.313,10054.313
20180604,Hold,146.35,0,0.0,0,10054.313,54.313,10054.313
20180605,Hold,146.2,0,0.0,0,10054.313,54.313,10054.313
20180606,Buy,149.79,67,-10040.947965,67,13.365,49.295,10049.295
20180607,Hold,154.61,0,0.0,67,13.365,372.235,10372.235
20180608,Hold,154.63,0,0.0,67,13.365,373.575,10373.575
20180611,Hold,152.61,0,0.0,67,13.365,238.235,10238.235
20180612,Hold,152.77,0,0.0,67,13.365,248.955,10248.955
20180613,Sell,152.81,-67,10233.150865000001,0,10246.516,246.516,10246.516
20180614,Hold,151.94,0,0.0,0,10246.516,246.516,10246.516
20180615,Hold,151.43,0,0.0,0,10246.516,246.516,10246.516
20180618,Hold,150.59,0,0.0,0,10246.516,246.516,10246.516
20180619,Hold,150.86,0,0.0,0,10246.516,246.516,10246.516
20180620,Hold,149.39,0,0.0,0,10246.516,246.516,10246.516
20180621,Hold,147.53,0,0.0,0,10246.516,246.516,10246.516
20180622,Buy,149.11,68,-10144.54974,68,101.967,241.447,10241.447
20180625,Sell,146.39,-68,9949.542739999999,0,10051.509,51.509,10051.509
20180626,Hold,145.49,0,0.0,0,10051.509,51.509,10051.509
20180627,Hold,143.85,0,0.0,0,10051.509,51.509,10051.509
20180628,Hold,143.4,0,0.0,0,10051.509,51.509,10051.509
20180629,Hold,142.71,0,0.0,0,10051.509,51.509,10051.509
20180702,Hold,143.95,0,0.0,0,10051.509,51.509,10051.509
20180703,Hold,143.51,0,0.0,0,10051.509,51.509,10051.509
20180705,Buy,144.33,69,-9963.749385,69,87.76,46.53,10046.53
20180706,Hold,146.8,0,0.0,69,87.76,216.96,10216.96
20180709,Hold,146.22,0,0.0,69,87.76,176.94,10176.94
20180710,Hold,145.34,0,0.0,69,87.76,116.22,10116.22
20180711,Sell,145.59,-69,10040.687145000002,0,10128.447,128.447,10128.447
20180712,Hold,143.99,0,0.0,0,10128.447,128.447,10128.447
20180713,Hold,145.11,0,0.0,0,10128.447,128.447,10128.447
20180716,Hold,145.05,0,0.0,0,10128.447,128.447,10128.447
20180717,Buy,146.24,69,-10095.605280000002,69,32.842,123.402,10123.402
20180718,Sell,144.17,-69,9942.756135,0,9975.598,-24.402,9975.598
20180719,Hold,143.8,0,0.0,0,9975.598,-24.402,9975.598
20180720,Hold,144.36,0,0.0,0,9975.598,-24.402,9975.598
20180723,Buy,145.66,68,-9909.832439999998,68,65.765,-29.355,9970.645
20180724,Sell,144.26,-68,9804.775160000001,0,9870.541,-129.459,9870.541
20180725,Buy,144.76,68,-9848.60184,68,21.939,-134.381,9865.619
20180726,Sell,143.25,-68,9736.129500000001,0,9758.068,-241.932,9758.068
20180727,Hold,143.98,0,0.0,0,9758.068,-241.932,9758.068
20180730,Buy,145.18,67,-9731.92353,67,26.145,-246.795,9753.205
20180731,Sell,143.24,-67,9592.28146,0,9618.426,-381.574,9618.426
20180801,Hold,143.31,0,0.0,0,9618.426,-381.574,9618.426
20180802,Hold,142.44,0,0.0,0,9618.426,-381.574,9618.426
20180803,Hold,142.75,0,0.0,0,9618.426,-381.574,9618.426
20180806,Hold,143.52,0,0.0,0,9618.426,-381.574,9618.426
20180807,Hold,143.16,0,0.0,0,9618.426,-381.574,9618.426
20180808,Buy,145.29,66,-9593.93457,66,24.492,-386.368,9613.632
20180809,Hold,144.85,0,0.0,66,24.492,-415.408,9584.592
20180810,Hold,144.97,0,0.0,66,24.492,-407.488,9592.512
20180813,Hold,144.86,0,0.0,66,24.492,-414.748,9585.252
20180814,Hold,146.2,0,0.0,66,24.492,-326.308,9673.692
20180815,Hold,146.5,0,0.0,66,24.492,-306.508,9693.492
20180816,Hold,148.1,0,0.0,66,24.492,-200.908,9799.092
20180817,Hold,147.55,0,0.0,66,24.492,-237.208,9762.792
20180820,Hold,147.72,0,0.0,66,24.492,-225.988,9774.012
20180821,Hold,147.67,0,0.0,66,24.492,-229.288,9770.712
20180822,Sell,146.89,-66,9689.89263,0,9714.384,-285.616,9714.384
20180823,Hold,145.21,0,0.0,0,9714.384,-285.616,9714.384
20180824,Hold,146.57,0,0.0,0,9714.384,-285.616,9714.384
20180827,Hold,146.88,0,0.0,0,9714.384,-285.616,9714.384
20180828,Buy,148.12,65,-9632.6139,65,81.77,-290.43,9709.57
20180829,Hold,149.14,0,0.0,65,81.77,-224.13,9775.87
20180830,Hold,148.7,0,0.0,65,81.77,-252.73,9747.27
20180831,Hold,148.93,0,0.0,65,81.77,-237.78,9762.22
20180904,Hold,148.74,0,0.0,65,81.77,-250.13,9749.87
20180905,Hold,150.09,0,0.0,65,81.77,-162.38,9837.62
20180906,Hold,150.58,0,0.0,65,81.77,-130.53,9869.47
20180907,Hold,151.41,0,0.0,65,81.77,-76.58,9923.42
20180910,Hold,151.77,0,0.0,65,81.77,-53.18,9946.82
20180911,Hold,151.27,0,0.0,65,81.77,-85.68,9914.32
20180912,Hold,152.3,0,0.0,65,81.77,-18.73,9981.27
20180913,Sell,150.06,-65,9749.02305,0,9830.793,-169.207,9830.793
20180914,Hold,146.88,0,0.0,0,9830.793,-169.207,9830.793
20180917,Hold,145.6,0,0.0,0,9830.793,-169.207,9830.793
20180918,Hold,146.11,0,0.0,0,9830.793,-169.207,9830.793
20180919,Hold,147.47,0,0.0,0,9830.793,-169.207,9830.793
20180920,Buy,149.78,65,-9740.56785,65,90.226,-174.074,9825.926
20180921,Hold,150.87,0,0.0,65,90.226,-103.224,9896.776
20180924,Hold,151.52,0,0.0,65,90.226,-60.974,9939.026
20180925,Hold,153.18,0,0.0,65,90.226,46.926,10046.926
20180926,Hold,152.44,0,0.0,65,90.226,-1.174,9998.826
20180927,Hold,153.47,0,0.0,65,90.226,65.776,10065.776
20180928,Hold,154.98,0,0.0,65,90.226,163.926,10163.926
20181001,Hold,153.13,0,0.0,65,90.226,43.676,10043.676
20181002,Sell,152.9,-65,9933.53075,0,10023.756,23.756,10023.756
20181003,Hold,151.78,0,0.0,0,10023.756,23.756,10023.756
20181004,Hold,153.02,0,0.0,0,10023.756,23.756,10023.756
20181005,Buy,153.03,65,-9951.923475,65,71.833,18.783,10018.783
