,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190108,Hold,59.914,0,0,0,10000,0.0,10000.0
20190109,Hold,59.879,0,0,0,10000,0.0,10000.0
20190110,Hold,58.636,0,0,0,10000,0.0,10000.0
20190111,Hold,59.634,0,0,0,10000,0.0,10000.0
20190114,Hold,59.851,0,0,0,10000,0.0,10000.0
20190115,Hold,60.434,0,0,0,10000,0.0,10000.0
20190116,Hold,59.941,0,0,0,10000,0.0,10000.0
20190117,Hold,61.008,0,0,0,10000,0.0,10000.0
20190118,Hold,61.092,0,0,0,10000,0.0,10000.0
20190122,Buy,62.014,161,-9989.246127,161,10.754,-4.992,9995.008
20190123,Hold,62.7,0,0,161,10.754,105.454,10105.454
20190124,Sell,63.098,-161,10153.698611000002,0,10164.452,164.452,10164.452
20190125,Buy,62.307,163,-10161.1190205,163,3.333,159.374,10159.374
20190128,Sell,63.068,-163,10274.943958,0,10278.277,278.277,10278.277
20190129,Hold,63.173,0,0,0,10278.277,278.277,10278.277
20190130,Buy,64.181,160,-10274.094479999998,160,4.183,273.143,10273.143
20190131,Hold,64.565,0,0,160,4.183,334.583,10334.583
20190201,Sell,64.036,-160,10240.637120000001,0,10244.82,244.82,10244.82
20190204,Hold,63.786,0,0,0,10244.82,244.82,10244.82
20190205,Buy,65.507,156,-10224.201546,156,20.619,239.711,10239.711
20190206,Sell,64.912,-156,10121.208864000002,0,10141.827,141.827,10141.827
20190207,Buy,65.072,155,-10091.20308,155,50.624,136.784,10136.784
20190208,Hold,66.237,0,0,155,50.624,317.359,10317.359
20190211,Hold,66.464,0,0,155,50.624,352.544,10352.544
20190212,Sell,66.058,-155,10233.870505000003,0,10284.495,284.495,10284.495
20190213,Buy,66.358,154,-10224.241566,154,60.253,279.385,10279.385
20190214,Hold,67.324,0,0,154,60.253,428.149,10428.149
20190215,Sell,66.671,-154,10262.200333,0,10322.454,322.454,10322.454
20190219,Hold,66.455,0,0,0,10322.454,322.454,10322.454
20190220,Hold,66.367,0,0,0,10322.454,322.454,10322.454
20190221,Hold,66.955,0,0,0,10322.454,322.454,10322.454
20190222,Buy,68.033,151,-10278.1194915,151,44.334,317.317,10317.317
20190225,Sell,67.182,-151,10139.409759,0,10183.744,183.744,10183.744
20190226,Hold,67.023,0,0,0,10183.744,183.744,10183.744
