,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130108,Hold,39.564,0,0,0,10000,0.0,10000.0
20130109,Hold,39.749,0,0,0,10000,0.0,10000.0
20130110,Buy,40.201,248,-9974.832924,248,25.167,-4.985,9995.015
20130111,Hold,40.715,0,0,248,25.167,122.487,10122.487
20130114,Hold,40.145,0,0,248,25.167,-18.873,9981.127
20130115,Hold,40.096,0,0,248,25.167,-31.025,9968.975
20130116,Sell,40.252,-248,9977.504752,0,10002.672,2.672,10002.672
20130117,Hold,39.769,0,0,0,10002.672,2.672,10002.672
20130118,Hold,39.48,0,0,0,10002.672,2.672,10002.672
20130122,Hold,39.769,0,0,0,10002.672,2.672,10002.672
20130123,Buy,40.287,248,-9996.171588,248,6.5,-2.324,9997.676
20130124,Hold,39.949,0,0,248,6.5,-86.148,9913.852
20130125,Sell,39.227,-248,9723.431852,0,9729.932,-270.068,9729.932
20130128,Hold,39.072,0,0,0,9729.932,-270.068,9729.932
20130129,Hold,38.846,0,0,0,9729.932,-270.068,9729.932
20130130,Hold,39.046,0,0,0,9729.932,-270.068,9729.932
20130131,Buy,39.726,244,-9697.990571999999,244,31.942,-274.914,9725.086
20130201,Hold,40.076,0,0,244,31.942,-189.514,9810.486
20130204,Sell,36.33,-244,8860.08774,0,8892.029,-1107.971,8892.029
20130205,Hold,37.379,0,0,0,8892.029,-1107.971,8892.029
20130206,Hold,38.334,0,0,0,8892.029,-1107.971,8892.029
20130207,Buy,38.735,229,-8874.7501575,229,17.279,-1112.406,8887.594
20130208,Hold,39.591,0,0,229,17.279,-916.382,9083.618
20130211,Hold,39.272,0,0,229,17.279,-989.433,9010.567
20130212,Hold,39.388,0,0,229,17.279,-962.869,9037.131
20130213,Sell,39.084,-229,8945.760882,0,8963.04,-1036.96,8963.04
20130214,Hold,38.81,0,0,0,8963.04,-1036.96,8963.04
20130215,Hold,39.041,0,0,0,8963.04,-1036.96,8963.04
20130219,Buy,39.632,226,-8961.310416,226,1.73,-1041.438,8958.562
20130220,Sell,39.084,-226,8828.567508,0,8830.297,-1169.703,8830.297
20130221,Buy,39.654,222,-8807.589594,222,22.707,-1174.105,8825.895
20130222,Hold,39.902,0,0,222,22.707,-1119.049,8880.951
20130225,Sell,39.62,-222,8791.24218,0,8813.95,-1186.05,8813.95
20130226,Hold,39.435,0,0,0,8813.95,-1186.05,8813.95
20130227,Buy,39.91,220,-8784.590099999998,220,29.36,-1190.44,8809.56
20130228,Hold,39.461,0,0,220,29.36,-1289.22,8710.78
20130301,Sell,39.596,-220,8706.764439999999,0,8736.124,-1263.876,8736.124
20130304,Buy,39.887,218,-8699.713683,218,36.41,-1268.224,8731.776
20130305,Hold,40.354,0,0,218,36.41,-1166.418,8833.582
20130306,Hold,40.632,0,0,218,36.41,-1105.814,8894.186
20130307,Hold,41.176,0,0,218,36.41,-987.222,9012.778
20130308,Hold,41.221,0,0,218,36.41,-977.412,9022.588
20130311,Hold,43.414,0,0,218,36.41,-499.338,9500.662
20130312,Hold,41.723,0,0,218,36.41,-867.976,9132.024
20130313,Hold,42.239,0,0,218,36.41,-755.488,9244.512
20130314,Hold,42.283,0,0,218,36.41,-745.896,9254.104
20130315,Hold,42.149,0,0,218,36.41,-775.108,9224.892
20130318,Sell,42.122,-218,9178.004702,0,9214.415,-785.585,9214.415
20130319,Hold,42.069,0,0,0,9214.415,-785.585,9214.415
20130320,Hold,41.996,0,0,0,9214.415,-785.585,9214.415
20130321,Buy,42.176,218,-9198.965184,218,15.45,-790.182,9209.818
20130322,Hold,42.896,0,0,218,15.45,-633.222,9366.778
20130325,Hold,43.06,0,0,218,15.45,-597.47,9402.53
20130326,Hold,42.946,0,0,218,15.45,-622.322,9377.678
20130327,Hold,43.371,0,0,218,15.45,-529.672,9470.328
20130328,Hold,43.643,0,0,218,15.45,-470.376,9529.624
20130401,Hold,43.067,0,0,218,15.45,-595.944,9404.056
20130402,Sell,42.525,-218,9265.814774999999,0,9281.265,-718.735,9281.265
20130403,Hold,41.11,0,0,0,9281.265,-718.735,9281.265
20130404,Hold,40.44,0,0,0,9281.265,-718.735,9281.265
20130405,Hold,40.244,0,0,0,9281.265,-718.735,9281.265
20130408,Hold,40.94,0,0,0,9281.265,-718.735,9281.265
20130409,Hold,40.813,0,0,0,9281.265,-718.735,9281.265
20130410,Hold,40.289,0,0,0,9281.265,-718.735,9281.265
20130411,Buy,41.01,226,-9272.89413,226,8.37,-723.37,9276.63
20130412,Hold,40.973,0,0,226,8.37,-731.732,9268.268
20130415,Sell,40.52,-226,9152.94124,0,9161.312,-838.688,9161.312
20130416,Hold,40.504,0,0,0,9161.312,-838.688,9161.312
20130417,Hold,40.547,0,0,0,9161.312,-838.688,9161.312
20130418,Hold,39.896,0,0,0,9161.312,-838.688,9161.312
20130419,Hold,39.748,0,0,0,9161.312,-838.688,9161.312
20130422,Hold,39.356,0,0,0,9161.312,-838.688,9161.312
20130423,Hold,41.801,0,0,0,9161.312,-838.688,9161.312
20130424,Buy,42.005,217,-9119.6425425,217,41.669,-843.246,9156.754
20130425,Hold,40.945,0,0,217,41.669,-1073.266,8926.734
20130426,Hold,41.039,0,0,217,41.669,-1052.868,8947.132
20130429,Hold,41.251,0,0,217,41.669,-1006.864,8993.136
20130430,Hold,41.432,0,0,217,41.669,-967.587,9032.413
20130501,Sell,41.336,-217,8965.427044,0,9007.096,-992.904,9007.096
20130502,Buy,41.866,215,-9005.690595,215,1.406,-997.404,9002.596
20130503,Hold,41.558,0,0,215,1.406,-1063.624,8936.376
20130506,Hold,41.944,0,0,215,1.406,-980.634,9019.366
20130507,Hold,41.988,0,0,215,1.406,-971.174,9028.826
20130508,Hold,42.372,0,0,215,1.406,-888.614,9111.386
20130509,Hold,42.36,0,0,215,1.406,-891.194,9108.806
20130510,Hold,42.341,0,0,215,1.406,-895.279,9104.721
20130513,Sell,42.283,-215,9086.299577500002,0,9087.705,-912.295,9087.705
20130514,Buy,42.723,212,-9061.804638,212,25.901,-916.823,9083.177
20130515,Hold,42.736,0,0,212,25.901,-914.067,9085.933
20130516,Sell,42.609,-212,9028.591446,0,9054.492,-945.508,9054.492
20130517,Buy,42.841,211,-9043.970725500001,211,10.521,-950.028,9049.972
20130520,Hold,42.941,0,0,211,10.521,-928.928,9071.072
20130521,Hold,42.812,0,0,211,10.521,-956.147,9043.853
20130522,Sell,42.135,-211,8886.039757499999,0,8896.561,-1103.439,8896.561
20130523,Hold,42.251,0,0,0,8896.561,-1103.439,8896.561
20130524,Hold,42.698,0,0,0,8896.561,-1103.439,8896.561
20130528,Buy,42.614,208,-8868.143855999999,208,28.417,-1107.871,8892.129
20130529,Sell,42.479,-208,8831.214184,0,8859.631,-1140.369,8859.631
20130530,Hold,41.864,0,0,0,8859.631,-1140.369,8859.631
20130531,Hold,41.432,0,0,0,8859.631,-1140.369,8859.631
20130603,Hold,42.195,0,0,0,8859.631,-1140.369,8859.631
20130604,Hold,41.934,0,0,0,8859.631,-1140.369,8859.631
20130605,Hold,41.744,0,0,0,8859.631,-1140.369,8859.631
20130606,Buy,44.154,200,-8835.215400000001,200,24.416,-1144.784,8855.216
20130607,Hold,44.86,0,0,200,24.416,-1003.584,8996.416
20130610,Hold,43.919,0,0,200,24.416,-1191.784,8808.216
20130611,Hold,43.907,0,0,200,24.416,-1194.184,8805.816
20130612,Hold,43.717,0,0,200,24.416,-1232.184,8767.816
20130613,Sell,43.761,-200,8747.823900000001,0,8772.24,-1227.76,8772.24
20130614,Hold,43.724,0,0,0,8772.24,-1227.76,8772.24
20130617,Hold,43.864,0,0,0,8772.24,-1227.76,8772.24
20130618,Buy,44.128,198,-8741.712671999998,198,30.527,-1232.129,8767.871
20130619,Sell,43.276,-198,8564.363676,0,8594.891,-1405.109,8594.891
20130620,Hold,42.609,0,0,0,8594.891,-1405.109,8594.891
20130621,Hold,41.597,0,0,0,8594.891,-1405.109,8594.891
20130624,Hold,42.093,0,0,0,8594.891,-1405.109,8594.891
20130625,Hold,42.147,0,0,0,8594.891,-1405.109,8594.891
20130626,Hold,42.666,0,0,0,8594.891,-1405.109,8594.891
20130627,Buy,42.55,201,-8556.826275,201,38.065,-1409.385,8590.615
20130628,Hold,42.539,0,0,201,38.065,-1411.596,8588.404
20130701,Hold,42.918,0,0,201,38.065,-1335.417,8664.583
20130702,Hold,42.742,0,0,201,38.065,-1370.793,8629.207
20130703,Hold,43.761,0,0,201,38.065,-1165.974,8834.026
20130705,Hold,44.298,0,0,201,38.065,-1058.037,8941.963
20130708,Hold,44.803,0,0,201,38.065,-956.532,9043.468
20130709,Hold,44.605,0,0,201,38.065,-996.33,9003.67
20130710,Hold,43.545,0,0,201,38.065,-1209.39,8790.61
20130711,Sell,43.894,-201,8818.282653,0,8856.347,-1143.653,8856.347
20130712,Hold,43.501,0,0,0,8856.347,-1143.653,8856.347
20130715,Hold,44.235,0,0,0,8856.347,-1143.653,8856.347
20130716,Hold,44.206,0,0,0,8856.347,-1143.653,8856.347
20130717,Hold,43.82,0,0,0,8856.347,-1143.653,8856.347
20130718,Buy,44.392,199,-8838.425003999999,199,17.922,-1148.07,8851.93
20130719,Hold,43.913,0,0,199,17.922,-1243.391,8756.609
20130722,Sell,43.857,-199,8723.179228500001,0,8741.101,-1258.899,8741.101
20130723,Hold,43.373,0,0,0,8741.101,-1258.899,8741.101
20130724,Hold,43.988,0,0,0,8741.101,-1258.899,8741.101
20130725,Buy,44.206,197,-8712.936291,197,28.165,-1263.253,8736.747
20130726,Hold,45.196,0,0,197,28.165,-1068.223,8931.777
20130729,Hold,45.314,0,0,197,28.165,-1044.977,8955.023
20130730,Hold,45.022,0,0,197,28.165,-1102.501,8897.499
20130731,Hold,45.129,0,0,197,28.165,-1081.422,8918.578
20130801,Hold,45.374,0,0,197,28.165,-1033.157,8966.843
20130802,Hold,45.744,0,0,197,28.165,-960.267,9039.733
20130805,Hold,45.883,0,0,197,28.165,-932.884,9067.116
20130806,Hold,45.637,0,0,197,28.165,-981.346,9018.654
20130807,Sell,45.5,-197,8959.018250000001,0,8987.183,-1012.817,8987.183
20130808,Hold,45.385,0,0,0,8987.183,-1012.817,8987.183
20130809,Buy,45.593,197,-8986.311910499999,197,0.872,-1017.307,8982.693
20130812,Hold,44.456,0,0,197,0.872,-1241.296,8758.704
20130813,Sell,44.441,-197,8750.4995615,0,8751.371,-1248.629,8751.371
20130814,Hold,44.619,0,0,0,8751.371,-1248.629,8751.371
20130815,Hold,44.362,0,0,0,8751.371,-1248.629,8751.371
20130816,Hold,44.386,0,0,0,8751.371,-1248.629,8751.371
20130819,Hold,44.404,0,0,0,8751.371,-1248.629,8751.371
20130820,Buy,44.559,196,-8737.930782,196,13.44,-1252.996,8747.004
20130821,Sell,44.469,-196,8711.566038,0,8725.006,-1274.994,8725.006
20130822,Buy,44.723,194,-8680.600131000001,194,44.406,-1279.332,8720.668
20130823,Hold,44.545,0,0,194,44.406,-1313.864,8686.136
20130826,Sell,43.876,-194,8507.688028,0,8552.094,-1447.906,8552.094
20130827,Hold,43.702,0,0,0,8552.094,-1447.906,8552.094
20130828,Hold,43.403,0,0,0,8552.094,-1447.906,8552.094
20130829,Hold,43.3,0,0,0,8552.094,-1447.906,8552.094
20130830,Hold,43.454,0,0,0,8552.094,-1447.906,8552.094
20130903,Hold,42.513,0,0,0,8552.094,-1447.906,8552.094
20130904,Hold,42.913,0,0,0,8552.094,-1447.906,8552.094
20130905,Hold,42.992,0,0,0,8552.094,-1447.906,8552.094
20130906,Hold,43.065,0,0,0,8552.094,-1447.906,8552.094
20130909,Buy,44.027,194,-8545.508618999998,194,6.586,-1452.176,8547.824
20130910,Hold,43.969,0,0,194,6.586,-1463.428,8536.572
20130911,Hold,44.417,0,0,194,6.586,-1376.516,8623.484
20130912,Hold,44.521,0,0,194,6.586,-1356.34,8643.66
20130913,Hold,44.82,0,0,194,6.586,-1298.334,8701.666
20130916,Hold,44.559,0,0,194,6.586,-1348.968,8651.032
20130917,Hold,44.565,0,0,194,6.586,-1347.804,8652.196
20130918,Hold,45.226,0,0,194,6.586,-1219.57,8780.43
20130919,Hold,44.641,0,0,194,6.586,-1333.06,8666.94
20130920,Sell,44.155,-194,8561.786965,0,8568.373,-1431.627,8568.373
20130923,Hold,44.116,0,0,0,8568.373,-1431.627,8568.373
20130924,Hold,44.206,0,0,0,8568.373,-1431.627,8568.373
20130925,Hold,44.141,0,0,0,8568.373,-1431.627,8568.373
20130926,Buy,44.289,193,-8552.0508885,193,16.322,-1435.901,8564.099
20130927,Hold,43.913,0,0,193,16.322,-1508.469,8491.531
20130930,Sell,43.949,-193,8477.9159215,0,8494.238,-1505.762,8494.238
20131001,Hold,43.538,0,0,0,8494.238,-1505.762,8494.238
20131002,Hold,43.29,0,0,0,8494.238,-1505.762,8494.238
20131003,Hold,43.352,0,0,0,8494.238,-1505.762,8494.238
20131004,Buy,43.574,194,-8457.582677999999,194,36.655,-1509.989,8490.011
20131007,Hold,43.747,0,0,194,36.655,-1476.427,8523.573
20131008,Hold,40.578,0,0,194,36.655,-2091.213,7908.787
20131009,Sell,41.255,-194,7999.468265,0,8036.123,-1963.877,8036.123
20131010,Hold,40.718,0,0,0,8036.123,-1963.877,8036.123
20131011,Hold,41.249,0,0,0,8036.123,-1963.877,8036.123
20131014,Hold,41.28,0,0,0,8036.123,-1963.877,8036.123
20131015,Hold,40.839,0,0,0,8036.123,-1963.877,8036.123
20131016,Hold,40.987,0,0,0,8036.123,-1963.877,8036.123
20131017,Buy,41.789,192,-8027.499744,192,8.623,-1967.889,8032.111
20131018,Sell,41.2,-192,7906.444800000001,0,7915.068,-2084.932,7915.068
20131021,Hold,41.35,0,0,0,7915.068,-2084.932,7915.068
20131022,Buy,41.35,191,-7901.798925,191,13.269,-2088.881,7911.119
20131023,Sell,40.374,-191,7707.578283000001,0,7720.848,-2279.152,7720.848
20131024,Hold,40.894,0,0,0,7720.848,-2279.152,7720.848
20131025,Hold,41.084,0,0,0,7720.848,-2279.152,7720.848
20131028,Buy,41.288,186,-7683.407783999999,186,37.44,-2282.992,7717.008
20131029,Hold,41.642,0,0,186,37.44,-2217.148,7782.852
20131030,Hold,41.907,0,0,186,37.44,-2167.858,7832.142
20131031,Hold,41.729,0,0,186,37.44,-2200.966,7799.034
20131101,Hold,42.531,0,0,186,37.44,-2051.794,7948.206
20131104,Hold,42.888,0,0,186,37.44,-1985.392,8014.608
20131105,Hold,43.401,0,0,186,37.44,-1889.974,8110.026
