,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160108,Hold,78.131,0,0,0,10000,0.0,10000.0
20160111,Hold,78.271,0,0,0,10000,0.0,10000.0
20160112,Buy,79.039,126,-9963.893457,126,36.107,-4.979,9995.021
20160113,Sell,78.084,-126,9833.664708000002,0,9869.771,-130.229,9869.771
20160114,Buy,77.308,127,-9823.025058,127,46.746,-135.138,9864.862
20160115,Sell,78.169,-127,9922.4992685,0,9969.245,-30.755,9969.245
20160119,Buy,77.473,128,-9921.502272,128,47.743,-35.713,9964.287
20160120,Sell,78.169,-128,10000.629184,0,10048.372,48.372,10048.372
20160121,Buy,79.201,126,-9984.315663,126,64.057,43.383,10043.383
20160122,Hold,79.313,0,0,126,64.057,57.495,10057.495
20160125,Sell,79.086,-126,9959.853582,0,10023.91,23.91,10023.91
20160126,Hold,78.301,0,0,0,10023.91,23.91,10023.91
20160127,Hold,77.693,0,0,0,10023.91,23.91,10023.91
20160128,Hold,78.826,0,0,0,10023.91,23.91,10023.91
20160129,Buy,79.697,125,-9967.1060625,125,56.804,18.929,10018.929
20160201,Hold,79.237,0,0,125,56.804,-38.571,9961.429
20160202,Hold,79.995,0,0,125,56.804,56.179,10056.179
20160203,Hold,80.388,0,0,125,56.804,105.304,10105.304
20160204,Hold,81.898,0,0,125,56.804,294.054,10294.054
20160205,Hold,84.166,0,0,125,56.804,577.554,10577.554
20160208,Hold,82.471,0,0,125,56.804,365.679,10365.679
20160209,Hold,84.729,0,0,125,56.804,647.929,10647.929
20160210,Hold,81.326,0,0,125,56.804,222.554,10222.554
20160211,Sell,81.749,-125,10213.515687500001,0,10270.32,270.32,10270.32
20160212,Hold,83.828,0,0,0,10270.32,270.32,10270.32
20160216,Buy,83.39,123,-10262.098484999999,123,8.221,265.191,10265.191
20160217,Hold,84.327,0,0,123,8.221,380.442,10380.442
20160218,Hold,85.339,0,0,123,8.221,504.918,10504.918
20160219,Hold,86.189,0,0,123,8.221,609.468,10609.468
20160222,Hold,85.73,0,0,123,8.221,553.011,10553.011
20160223,Hold,84.861,0,0,123,8.221,446.124,10446.124
20160224,Hold,86.707,0,0,123,8.221,673.182,10673.182
20160225,Hold,87.366,0,0,123,8.221,754.239,10754.239
20160226,Hold,86.142,0,0,123,8.221,603.687,10603.687
20160229,Sell,86.717,-123,10660.8579045,0,10669.079,669.079,10669.079
20160301,Buy,86.625,123,-10660.2024375,123,8.877,663.752,10663.752
20160302,Sell,86.367,-123,10617.829429500001,0,10626.706,626.706,10626.706
20160303,Buy,87.072,121,-10540.979855999998,121,85.726,621.438,10621.438
20160304,Hold,86.416,0,0,121,85.726,542.062,10542.062
20160307,Sell,86.06,-121,10408.053370000001,0,10493.78,493.78,10493.78
20160308,Hold,86.726,0,0,0,10493.78,493.78,10493.78
20160309,Buy,86.688,120,-10407.761279999999,120,86.019,488.579,10488.579
20160310,Sell,87.31,-120,10471.961400000002,0,10557.98,557.98,10557.98
20160311,Buy,87.525,120,-10508.2515,120,49.728,552.728,10552.728
20160314,Hold,87.507,0,0,120,49.728,550.568,10550.568
20160315,Hold,86.316,0,0,120,49.728,407.648,10407.648
20160316,Hold,87.544,0,0,120,49.728,555.008,10555.008
20160317,Hold,88.139,0,0,120,49.728,626.408,10626.408
20160318,Hold,88.605,0,0,120,49.728,682.328,10682.328
20160321,Hold,88.052,0,0,120,49.728,615.968,10615.968
20160322,Hold,87.903,0,0,120,49.728,598.088,10598.088
20160323,Sell,87.619,-120,10509.022860000001,0,10558.751,558.751,10558.751
20160324,Hold,87.736,0,0,0,10558.751,558.751,10558.751
20160328,Buy,88.102,119,-10489.380069,119,69.371,553.509,10553.509
20160329,Hold,89.107,0,0,119,69.371,673.104,10673.104
20160330,Hold,88.523,0,0,119,69.371,603.608,10603.608
20160331,Hold,88.268,0,0,119,69.371,573.263,10573.263
20160401,Hold,90.075,0,0,119,69.371,788.296,10788.296
20160404,Hold,89.677,0,0,119,69.371,740.934,10740.934
20160405,Hold,89.436,0,0,119,69.371,712.255,10712.255
20160406,Hold,89.408,0,0,119,69.371,708.923,10708.923
20160407,Sell,89.34,-119,10626.14427,0,10695.516,695.516,10695.516
20160408,Buy,90.008,118,-10626.254471999999,118,69.261,690.205,10690.205
20160411,Hold,89.408,0,0,118,69.261,619.405,10619.405
20160412,Sell,89.558,-118,10562.560078000002,0,10631.821,631.821,10631.821
20160413,Hold,88.954,0,0,0,10631.821,631.821,10631.821
20160414,Hold,89.154,0,0,0,10631.821,631.821,10631.821
20160415,Hold,89.226,0,0,0,10631.821,631.821,10631.821
20160418,Buy,90.658,117,-10612.289493,117,19.532,626.518,10626.518
20160419,Hold,91.061,0,0,117,19.532,673.669,10673.669
20160420,Hold,90.301,0,0,117,19.532,584.749,10584.749
20160421,Sell,87.938,-117,10283.601627000002,0,10303.133,303.133,10303.133
20160422,Hold,87.938,0,0,0,10303.133,303.133,10303.133
20160425,Hold,89.06,0,0,0,10303.133,303.133,10303.133
20160426,Buy,89.99,114,-10263.989429999998,114,39.144,298.004,10298.004
20160427,Hold,89.953,0,0,114,39.144,293.786,10293.786
20160428,Hold,90.913,0,0,114,39.144,403.226,10403.226
20160429,Hold,90.131,0,0,114,39.144,314.078,10314.078
20160502,Hold,88.595,0,0,114,39.144,138.974,10138.974
