,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180108,Buy,141.32,70,-9897.3462,70,102.654,-4.946,9995.054
20180109,Hold,140.2,0,0.0,70,102.654,-83.346,9916.654
20180110,Hold,140.37,0,0.0,70,102.654,-71.446,9928.554
20180111,Hold,142.31,0,0.0,70,102.654,64.354,10064.354
20180112,Hold,143.46,0,0.0,70,102.654,144.854,10144.854
20180116,Hold,141.26,0,0.0,70,102.654,-9.146,9990.854
20180117,Hold,146.63,0,0.0,70,102.654,366.754,10366.754
20180118,Hold,144.84,0,0.0,70,102.654,241.454,10241.454
20180119,Hold,146.35,0,0.0,70,102.654,347.154,10347.154
20180122,Hold,147.35,0,0.0,70,102.654,417.154,10417.154
20180123,Hold,150.91,0,0.0,70,102.654,666.354,10666.354
20180124,Hold,151.66,0,0.0,70,102.654,718.854,10718.854
20180125,Hold,152.85,0,0.0,70,102.654,802.154,10802.154
20180126,Hold,152.26,0,0.0,70,102.654,760.854,10760.854
20180129,Hold,154.12,0,0.0,70,102.654,891.054,10891.054
20180130,Hold,155.62,0,0.0,70,102.654,996.054,10996.054
20180131,Hold,152.27,0,0.0,70,102.654,761.554,10761.554
20180201,Hold,152.58,0,0.0,70,102.654,783.254,10783.254
20180202,Sell,149.77,-70,10478.658050000002,0,10581.312,581.312,10581.312
20180205,Hold,142.37,0,0.0,0,10581.312,581.312,10581.312
20180206,Hold,152.07,0,0.0,0,10581.312,581.312,10581.312
20180207,Hold,147.66,0,0.0,0,10581.312,581.312,10581.312
20180208,Hold,142.98,0,0.0,0,10581.312,581.312,10581.312
20180209,Hold,143.75,0,0.0,0,10581.312,581.312,10581.312
20180212,Buy,145.52,72,-10482.67872,72,98.633,576.073,10576.073
20180213,Sell,145.46,-72,10467.883440000001,0,10566.517,566.517,10566.517
20180214,Buy,150.06,70,-10509.4521,70,57.064,561.264,10561.264
20180215,Hold,149.48,0,0.0,70,57.064,520.664,10520.664
20180216,Hold,145.98,0,0.0,70,57.064,275.664,10275.664
20180220,Sell,145.95,-70,10211.39175,0,10268.456,268.456,10268.456
20180221,Buy,148.19,69,-10230.222555,69,38.234,263.344,10263.344
20180222,Hold,149.24,0,0.0,69,38.234,335.794,10335.794
20180223,Hold,148.71,0,0.0,69,38.234,299.224,10299.224
20180226,Hold,149.9,0,0.0,69,38.234,381.334,10381.334
20180227,Sell,147.5,-69,10172.411250000001,0,10210.645,210.645,10210.645
20180228,Hold,143.24,0,0.0,0,10210.645,210.645,10210.645
20180301,Hold,141.22,0,0.0,0,10210.645,210.645,10210.645
20180302,Hold,142.14,0,0.0,0,10210.645,210.645,10210.645
20180305,Hold,143.34,0,0.0,0,10210.645,210.645,10210.645
20180306,Hold,141.23,0,0.0,0,10210.645,210.645,10210.645
20180307,Hold,140.9,0,0.0,0,10210.645,210.645,10210.645
20180308,Hold,140.19,0,0.0,0,10210.645,210.645,10210.645
20180309,Buy,142.41,71,-10116.165555,71,94.479,205.589,10205.589
20180312,Hold,143.76,0,0.0,71,94.479,301.439,10301.439
20180313,Hold,143.48,0,0.0,71,94.479,281.559,10281.559
20180314,Hold,143.71,0,0.0,71,94.479,297.889,10297.889
20180315,Sell,141.98,-71,10075.539710000001,0,10170.019,170.019,10170.019
20180316,Buy,143.07,71,-10163.048985,71,6.97,164.94,10164.94
20180319,Sell,142.05,-71,10080.507225000001,0,10087.477,87.477,10087.477
20180320,Buy,144.03,70,-10087.14105,70,0.336,82.436,10082.436
20180321,Hold,141.61,0,0.0,70,0.336,-86.964,9913.036
20180322,Sell,141.57,-70,9904.94505,0,9905.281,-94.719,9905.281
20180323,Hold,143.53,0,0.0,0,9905.281,-94.719,9905.281
20180326,Buy,144.35,68,-9820.7079,68,84.573,-99.627,9900.373
20180327,Hold,143.65,0,0.0,68,84.573,-147.227,9852.773
20180328,Hold,151.27,0,0.0,68,84.573,370.933,10370.933
20180329,Hold,150.95,0,0.0,68,84.573,349.173,10349.173
20180402,Hold,150.85,0,0.0,68,84.573,342.373,10342.373
20180403,Hold,153.31,0,0.0,68,84.573,509.653,10509.653
20180404,Hold,155.16,0,0.0,68,84.573,635.453,10635.453
20180405,Hold,157.65,0,0.0,68,84.573,804.773,10804.773
20180406,Hold,157.29,0,0.0,68,84.573,780.293,10780.293
20180409,Hold,156.29,0,0.0,68,84.573,712.293,10712.293
20180410,Hold,155.97,0,0.0,68,84.573,690.533,10690.533
20180411,Hold,158.64,0,0.0,68,84.573,872.093,10872.093
20180412,Hold,162.79,0,0.0,68,84.573,1154.293,11154.293
20180413,Hold,159.76,0,0.0,68,84.573,948.253,10948.253
20180416,Hold,160.44,0,0.0,68,84.573,994.493,10994.493
20180417,Hold,161.47,0,0.0,68,84.573,1064.533,11064.533
20180418,Hold,160.12,0,0.0,68,84.573,972.733,10972.733
20180419,Sell,159.2,-68,10820.187199999998,0,10904.761,904.761,10904.761
20180420,Hold,159.37,0,0.0,0,10904.761,904.761,10904.761
20180423,Buy,160.51,67,-10759.547085,67,145.214,899.384,10899.384
20180424,Sell,158.87,-67,10638.967855,0,10784.181,784.181,10784.181
20180425,Hold,157.8,0,0.0,0,10784.181,784.181,10784.181
20180426,Buy,159.89,67,-10717.986314999998,67,66.195,778.825,10778.825
20180427,Hold,160.21,0,0.0,67,66.195,800.265,10800.265
20180430,Hold,158.04,0,0.0,67,66.195,654.875,10654.875
20180501,Sell,153.67,-67,10290.742055,0,10356.937,356.937,10356.937
20180502,Hold,150.42,0,0.0,0,10356.937,356.937,10356.937
20180503,Hold,150.63,0,0.0,0,10356.937,356.937,10356.937
20180504,Hold,151.49,0,0.0,0,10356.937,356.937,10356.937
20180507,Hold,150.98,0,0.0,0,10356.937,356.937,10356.937
20180508,Buy,151.03,68,-10275.17502,68,81.762,351.802,10351.802
20180509,Hold,152.76,0,0.0,68,81.762,469.442,10469.442
20180510,Hold,152.56,0,0.0,68,81.762,455.842,10455.842
20180511,Hold,152.83,0,0.0,68,81.762,474.202,10474.202
20180514,Hold,153.22,0,0.0,68,81.762,500.722,10500.722
20180515,Hold,154.34,0,0.0,68,81.762,576.882,10576.882
20180516,Hold,153.99,0,0.0,68,81.762,553.082,10553.082
20180517,Hold,154.83,0,0.0,68,81.762,610.202,10610.202
20180518,Hold,154.86,0,0.0,68,81.762,612.242,10612.242
20180521,Hold,154.74,0,0.0,68,81.762,604.082,10604.082
20180522,Hold,153.73,0,0.0,68,81.762,535.402,10535.402
20180523,Hold,156.93,0,0.0,68,81.762,753.002,10753.002
20180524,Hold,157.29,0,0.0,68,81.762,777.482,10777.482
20180525,Hold,155.98,0,0.0,68,81.762,688.402,10688.402
20180529,Sell,155.33,-68,10557.158780000002,0,10638.921,638.921,10638.921
20180530,Hold,155.08,0,0.0,0,10638.921,638.921,10638.921
20180531,Buy,161.32,65,-10491.042899999999,65,147.878,633.678,10633.678
20180601,Hold,158.43,0,0.0,65,147.878,445.828,10445.828
20180604,Hold,159.17,0,0.0,65,147.878,493.928,10493.928
20180605,Hold,160.86,0,0.0,65,147.878,603.778,10603.778
20180606,Hold,164.3,0,0.0,65,147.878,827.378,10827.378
20180607,Hold,164.3,0,0.0,65,147.878,827.378,10827.378
20180608,Hold,167.82,0,0.0,65,147.878,1056.178,11056.178
20180611,Hold,165.75,0,0.0,65,147.878,921.628,10921.628
20180612,Hold,165.23,0,0.0,65,147.878,887.828,10887.828
20180613,Sell,161.76,-65,10509.1428,0,10657.021,657.021,10657.021
20180614,Hold,159.05,0,0.0,0,10657.021,657.021,10657.021
20180615,Hold,159.93,0,0.0,0,10657.021,657.021,10657.021
20180618,Buy,161.0,66,-10631.313,66,25.708,651.708,10651.708
20180619,Sell,159.77,-66,10539.547590000002,0,10565.255,565.255,10565.255
20180620,Hold,156.47,0,0.0,0,10565.255,565.255,10565.255
20180621,Hold,154.57,0,0.0,0,10565.255,565.255,10565.255
20180622,Hold,150.06,0,0.0,0,10565.255,565.255,10565.255
20180625,Hold,150.86,0,0.0,0,10565.255,565.255,10565.255
20180626,Hold,152.76,0,0.0,0,10565.255,565.255,10565.255
20180627,Hold,149.99,0,0.0,0,10565.255,565.255,10565.255
20180628,Hold,151.59,0,0.0,0,10565.255,565.255,10565.255
20180629,Hold,147.66,0,0.0,0,10565.255,565.255,10565.255
20180702,Hold,147.9,0,0.0,0,10565.255,565.255,10565.255
20180703,Hold,146.28,0,0.0,0,10565.255,565.255,10565.255
20180705,Hold,145.04,0,0.0,0,10565.255,565.255,10565.255
20180706,Hold,145.87,0,0.0,0,10565.255,565.255,10565.255
20180709,Buy,149.28,70,-10454.8248,70,110.431,560.031,10560.031
20180710,Hold,149.16,0,0.0,70,110.431,551.631,10551.631
20180711,Hold,147.8,0,0.0,70,110.431,456.431,10456.431
20180712,Hold,147.49,0,0.0,70,110.431,434.731,10434.731
