,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210108,Buy,101.75,98,-9976.48575,98,23.514,-4.986,9995.014
20210111,Hold,105.12,0,0.0,98,23.514,325.274,10325.274
20210112,Hold,107.32,0,0.0,98,23.514,540.874,10540.874
20210113,Hold,105.2,0,0.0,98,23.514,333.114,10333.114
20210114,Sell,99.97,-98,9792.161470000001,0,9815.676,-184.324,9815.676
20210115,Hold,100.42,0,0.0,0,9815.676,-184.324,9815.676
20210119,Hold,97.92,0,0.0,0,9815.676,-184.324,9815.676
20210120,Hold,99.56,0,0.0,0,9815.676,-184.324,9815.676
20210121,Hold,97.73,0,0.0,0,9815.676,-184.324,9815.676
20210122,Hold,96.79,0,0.0,0,9815.676,-184.324,9815.676
20210125,Hold,96.84,0,0.0,0,9815.676,-184.324,9815.676
20210126,Hold,89.297,0,0.0,0,9815.676,-184.324,9815.676
20210127,Hold,86.778,0,0.0,0,9815.676,-184.324,9815.676
20210128,Hold,88.018,0,0.0,0,9815.676,-184.324,9815.676
20210129,Hold,82.602,0,0.0,0,9815.676,-184.324,9815.676
20210201,Hold,83.931,0,0.0,0,9815.676,-184.324,9815.676
20210202,Hold,86.368,0,0.0,0,9815.676,-184.324,9815.676
20210203,Buy,88.287,111,-9804.756928499999,111,10.919,-189.224,9810.776
20210204,Hold,93.953,0,0.0,111,10.919,439.702,10439.702
20210205,Hold,95.851,0,0.0,111,10.919,650.38,10650.38
20210208,Hold,94.432,0,0.0,111,10.919,492.871,10492.871
20210209,Hold,94.762,0,0.0,111,10.919,529.501,10529.501
20210210,Hold,95.412,0,0.0,111,10.919,601.651,10601.651
20210211,Hold,96.76,0,0.0,111,10.919,751.279,10751.279
20210212,Hold,96.56,0,0.0,111,10.919,729.079,10729.079
20210216,Hold,96.92,0,0.0,111,10.919,769.039,10769.039
20210217,Sell,92.563,-111,10269.355753500002,0,10280.275,280.275,10280.275
20210218,Hold,91.335,0,0.0,0,10280.275,280.275,10280.275
20210219,Hold,94.522,0,0.0,0,10280.275,280.275,10280.275
20210222,Buy,97.2,105,-10211.103,105,69.172,275.172,10275.172
20210223,Hold,97.64,0,0.0,105,69.172,321.372,10321.372
20210224,Hold,102.74,0,0.0,105,69.172,856.872,10856.872
20210225,Hold,99.94,0,0.0,105,69.172,562.872,10562.872
20210226,Hold,102.19,0,0.0,105,69.172,799.122,10799.122
20210301,Hold,99.72,0,0.0,105,69.172,539.772,10539.772
20210302,Hold,102.46,0,0.0,105,69.172,827.472,10827.472
20210303,Hold,103.9,0,0.0,105,69.172,978.672,10978.672
20210304,Sell,100.57,-105,10554.570075,0,10623.742,623.742,10623.742
