,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120109,Buy,92.564,107,-9909.300174,107,90.7,-4.952,9995.048
20120110,Hold,92.202,0,0.0,107,90.7,-43.686,9956.314
20120111,Hold,91.55,0,0.0,107,90.7,-113.45,9886.55
20120112,Hold,89.93,0,0.0,107,90.7,-286.79,9713.21
20120113,Hold,91.909,0,0.0,107,90.7,-75.037,9924.963
20120117,Hold,92.98,0,0.0,107,90.7,39.56,10039.56
20120118,Hold,92.703,0,0.0,107,90.7,9.921,10009.921
20120119,Hold,91.714,0,0.0,107,90.7,-95.902,9904.098
20120120,Hold,91.771,0,0.0,107,90.7,-89.803,9910.197
20120123,Hold,92.526,0,0.0,107,90.7,-9.018,9990.982
20120124,Hold,94.352,0,0.0,107,90.7,186.364,10186.364
20120125,Hold,96.452,0,0.0,107,90.7,411.064,10411.064
20120126,Hold,97.102,0,0.0,107,90.7,480.614,10480.614
20120127,Hold,97.53,0,0.0,107,90.7,526.41,10526.41
20120130,Hold,97.258,0,0.0,107,90.7,497.306,10497.306
20120131,Hold,98.927,0,0.0,107,90.7,675.889,10675.889
20120201,Hold,98.011,0,0.0,107,90.7,577.877,10577.877
20120202,Hold,100.71,0,0.0,107,90.7,866.67,10866.67
20120203,Hold,100.47,0,0.0,107,90.7,840.99,10840.99
20120206,Hold,99.066,0,0.0,107,90.7,690.762,10690.762
20120207,Hold,99.106,0,0.0,107,90.7,695.042,10695.042
20120208,Sell,97.923,-107,10472.522119500001,0,10563.222,563.222,10563.222
20120209,Hold,96.452,0,0.0,0,10563.222,563.222,10563.222
20120210,Hold,97.884,0,0.0,0,10563.222,563.222,10563.222
20120213,Buy,97.258,108,-10509.115931999999,108,54.106,557.97,10557.97
20120214,Sell,96.026,-108,10365.622596,0,10419.729,419.729,10419.729
20120215,Hold,95.42,0,0.0,0,10419.729,419.729,10419.729
20120216,Buy,96.356,108,-10411.651224,108,8.077,414.525,10414.525
20120217,Hold,96.868,0,0.0,108,8.077,469.821,10469.821
20120221,Hold,93.556,0,0.0,108,8.077,112.125,10112.125
20120222,Hold,93.707,0,0.0,108,8.077,128.433,10128.433
