,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120109,Buy,11.272,886,-9991.985496,886,8.015,-4.993,9995.007
20120110,Hold,11.355,0,0.0,886,8.015,68.545,10068.545
20120111,Hold,11.626,0,0.0,886,8.015,308.651,10308.651
20120112,Hold,11.406,0,0.0,886,8.015,113.731,10113.731
20120113,Hold,11.587,0,0.0,886,8.015,274.097,10274.097
20120117,Sell,11.479,-886,10165.308802999998,0,10173.323,173.323,10173.323
20120118,Buy,11.66,872,-10172.60376,872,0.72,168.24,10168.24
20120119,Hold,11.654,0,0.0,872,0.72,163.008,10163.008
20120120,Hold,11.942,0,0.0,872,0.72,414.144,10414.144
20120123,Hold,11.847,0,0.0,872,0.72,331.304,10331.304
20120124,Hold,12.035,0,0.0,872,0.72,495.24,10495.24
20120125,Hold,12.271,0,0.0,872,0.72,701.032,10701.032
20120126,Hold,11.999,0,0.0,872,0.72,463.848,10463.848
20120127,Hold,11.985,0,0.0,872,0.72,451.64,10451.64
20120130,Hold,12.081,0,0.0,872,0.72,535.352,10535.352
20120131,Sell,12.186,-872,10620.878904,0,10621.598,621.598,10621.598
20120201,Buy,12.154,873,-10615.747220999998,873,5.851,616.293,10616.293
20120202,Sell,12.125,-873,10579.832437500001,0,10585.684,585.684,10585.684
20120203,Buy,12.375,854,-10573.534125,854,12.15,580.4,10580.4
20120206,Hold,12.549,0,0.0,854,12.15,728.996,10728.996
20120207,Hold,12.529,0,0.0,854,12.15,711.916,10711.916
20120208,Hold,12.565,0,0.0,854,12.15,742.66,10742.66
20120209,Sell,12.294,-854,10493.826462,0,10505.976,505.976,10505.976
20120210,Hold,12.44,0,0.0,0,10505.976,505.976,10505.976
20120213,Buy,12.308,853,-10503.973361999999,853,2.003,500.727,10500.727
20120214,Sell,11.89,-853,10137.098915,0,10139.102,139.102,10139.102
20120215,Hold,11.872,0,0.0,0,10139.102,139.102,10139.102
20120216,Hold,12.03,0,0.0,0,10139.102,139.102,10139.102
20120217,Hold,11.928,0,0.0,0,10139.102,139.102,10139.102
20120221,Hold,11.676,0,0.0,0,10139.102,139.102,10139.102
20120222,Hold,11.579,0,0.0,0,10139.102,139.102,10139.102
20120223,Buy,11.911,850,-10129.412175,850,9.689,134.039,10134.039
20120224,Sell,11.66,-850,9906.0445,0,9915.734,-84.266,9915.734
20120227,Buy,11.712,846,-9913.306175999998,846,2.428,-89.22,9910.78
20120228,Sell,11.752,-846,9937.220904000002,0,9939.649,-60.351,9939.649
20120229,Hold,11.594,0,0.0,0,9939.649,-60.351,9939.649
20120301,Hold,11.499,0,0.0,0,9939.649,-60.351,9939.649
20120302,Hold,11.406,0,0.0,0,9939.649,-60.351,9939.649
20120305,Hold,11.248,0,0.0,0,9939.649,-60.351,9939.649
20120306,Hold,11.053,0,0.0,0,9939.649,-60.351,9939.649
20120307,Hold,11.284,0,0.0,0,9939.649,-60.351,9939.649
20120308,Hold,11.359,0,0.0,0,9939.649,-60.351,9939.649
20120309,Buy,11.423,869,-9931.550293499999,869,8.098,-65.315,9934.685
20120312,Hold,11.396,0,0.0,869,8.098,-88.778,9911.222
20120313,Hold,11.872,0,0.0,869,8.098,324.866,10324.866
20120314,Hold,11.693,0,0.0,869,8.098,169.315,10169.315
20120315,Hold,11.625,0,0.0,869,8.098,110.223,10110.223
20120316,Hold,11.7,0,0.0,869,8.098,175.398,10175.398
20120319,Hold,12.034,0,0.0,869,8.098,465.644,10465.644
20120320,Hold,12.12,0,0.0,869,8.098,540.378,10540.378
20120321,Hold,11.919,0,0.0,869,8.098,365.709,10365.709
20120322,Hold,11.787,0,0.0,869,8.098,251.001,10251.001
20120323,Sell,12.051,-869,10467.0828405,0,10475.181,475.181,10475.181
20120326,Buy,12.249,854,-10465.876323,854,9.305,469.951,10469.951
20120327,Hold,12.13,0,0.0,854,9.305,368.325,10368.325
20120328,Sell,11.8,-854,10072.1614,0,10081.466,81.466,10081.466
20120329,Hold,11.865,0,0.0,0,10081.466,81.466,10081.466
20120330,Buy,12.074,834,-10074.750858,834,6.715,76.431,10076.431
20120402,Hold,12.186,0,0.0,834,6.715,169.839,10169.839
20120403,Hold,12.193,0,0.0,834,6.715,175.677,10175.677
20120404,Hold,11.941,0,0.0,834,6.715,-34.491,9965.509
20120405,Sell,11.674,-834,9731.247942,0,9737.963,-262.037,9737.963
20120409,Hold,11.71,0,0.0,0,9737.963,-262.037,9737.963
20120410,Hold,11.651,0,0.0,0,9737.963,-262.037,9737.963
20120411,Hold,11.845,0,0.0,0,9737.963,-262.037,9737.963
20120412,Buy,12.089,805,-9736.5108225,805,1.452,-266.903,9733.097
20120413,Hold,12.168,0,0.0,805,1.452,-203.308,9796.692
20120416,Hold,12.2,0,0.0,805,1.452,-177.548,9822.452
20120417,Hold,12.081,0,0.0,805,1.452,-273.343,9726.657
20120418,Sell,12.2,-805,9816.0895,0,9817.542,-182.458,9817.542
20120419,Buy,12.354,794,-9813.980537999998,794,3.561,-187.363,9812.637
20120420,Hold,12.186,0,0.0,794,3.561,-320.755,9679.245
20120423,Sell,12.112,-794,9612.119536,0,9615.681,-384.319,9615.681
20120424,Buy,12.501,768,-9605.568384,768,10.113,-389.119,9610.881
20120425,Sell,12.233,-768,9390.246528,0,9400.359,-599.641,9400.359
20120426,Hold,12.361,0,0.0,0,9400.359,-599.641,9400.359
20120427,Buy,12.361,760,-9399.05718,760,1.302,-604.338,9395.662
20120430,Sell,12.272,-760,9322.05664,0,9323.359,-676.641,9323.359
20120501,Buy,12.517,744,-9317.304323999999,744,6.054,-681.298,9318.702
20120502,Hold,12.413,0,0.0,744,6.054,-758.674,9241.326
20120503,Sell,12.097,-744,8995.667916,0,9001.722,-998.278,9001.722
20120504,Hold,11.984,0,0.0,0,9001.722,-998.278,9001.722
20120507,Hold,11.836,0,0.0,0,9001.722,-998.278,9001.722
20120508,Hold,11.666,0,0.0,0,9001.722,-998.278,9001.722
20120509,Hold,11.897,0,0.0,0,9001.722,-998.278,9001.722
20120510,Hold,11.71,0,0.0,0,9001.722,-998.278,9001.722
20120511,Buy,11.699,769,-9001.0292655,769,0.693,-1002.776,8997.224
20120514,Sell,11.528,-769,8860.599484000002,0,8861.292,-1138.708,8861.292
20120515,Hold,11.546,0,0.0,0,8861.292,-1138.708,8861.292
20120516,Hold,11.306,0,0.0,0,8861.292,-1138.708,8861.292
20120517,Hold,10.755,0,0.0,0,8861.292,-1138.708,8861.292
20120518,Hold,10.478,0,0.0,0,8861.292,-1138.708,8861.292
20120521,Hold,10.976,0,0.0,0,8861.292,-1138.708,8861.292
20120522,Buy,11.002,805,-8861.038305,805,0.254,-1143.136,8856.864
20120523,Hold,11.202,0,0.0,805,0.254,-982.136,9017.864
20120524,Hold,11.12,0,0.0,805,0.254,-1048.146,8951.854
20120525,Hold,11.269,0,0.0,805,0.254,-928.201,9071.799
20120529,Hold,11.335,0,0.0,805,0.254,-875.071,9124.929
20120530,Hold,11.209,0,0.0,805,0.254,-976.501,9023.499
20120531,Hold,10.952,0,0.0,805,0.254,-1183.386,8816.614
20120601,Sell,10.731,-805,8634.1357725,0,8634.39,-1365.61,8634.39
20120604,Hold,10.482,0,0.0,0,8634.39,-1365.61,8634.39
20120605,Hold,11.042,0,0.0,0,8634.39,-1365.61,8634.39
20120606,Buy,11.506,750,-8633.81475,750,0.575,-1369.925,8630.075
20120607,Hold,11.167,0,0.0,750,0.575,-1624.175,8375.825
20120608,Hold,11.467,0,0.0,750,0.575,-1399.175,8600.825
20120611,Hold,11.143,0,0.0,750,0.575,-1642.175,8357.825
20120612,Hold,11.276,0,0.0,750,0.575,-1542.425,8457.575
20120613,Sell,11.094,-750,8316.339750000001,0,8316.915,-1683.085,8316.915
20120614,Hold,11.329,0,0.0,0,8316.915,-1683.085,8316.915
20120615,Buy,11.328,733,-8307.575711999998,733,9.339,-1687.237,8312.763
20120618,Hold,11.694,0,0.0,733,9.339,-1418.959,8581.041
20120619,Hold,11.729,0,0.0,733,9.339,-1393.304,8606.696
20120620,Hold,11.744,0,0.0,733,9.339,-1382.309,8617.691
20120621,Sell,11.478,-733,8409.167313,0,8418.506,-1581.494,8418.506
20120622,Hold,11.187,0,0.0,0,8418.506,-1581.494,8418.506
20120625,Hold,11.15,0,0.0,0,8418.506,-1581.494,8418.506
20120626,Hold,11.15,0,0.0,0,8418.506,-1581.494,8418.506
20120627,Hold,11.143,0,0.0,0,8418.506,-1581.494,8418.506
20120628,Buy,11.619,724,-8416.362077999998,724,2.144,-1585.7,8414.3
20120629,Hold,11.81,0,0.0,724,2.144,-1447.416,8552.584
20120702,Hold,11.79,0,0.0,724,2.144,-1461.896,8538.104
20120703,Hold,11.944,0,0.0,724,2.144,-1350.4,8649.6
20120705,Hold,11.803,0,0.0,724,2.144,-1452.484,8547.516
20120706,Hold,11.795,0,0.0,724,2.144,-1458.276,8541.724
20120709,Sell,11.774,-724,8520.113812000001,0,8522.258,-1477.742,8522.258
20120710,Hold,11.46,0,0.0,0,8522.258,-1477.742,8522.258
20120711,Hold,11.353,0,0.0,0,8522.258,-1477.742,8522.258
20120712,Hold,11.15,0,0.0,0,8522.258,-1477.742,8522.258
20120713,Hold,11.277,0,0.0,0,8522.258,-1477.742,8522.258
20120716,Hold,11.486,0,0.0,0,8522.258,-1477.742,8522.258
20120717,Buy,11.435,744,-8511.893820000001,744,10.364,-1481.996,8518.004
20120718,Hold,11.442,0,0.0,744,10.364,-1476.788,8523.212
20120719,Sell,11.115,-744,8265.42522,0,8275.79,-1724.21,8275.79
20120720,Hold,10.951,0,0.0,0,8275.79,-1724.21,8275.79
20120723,Hold,10.768,0,0.0,0,8275.79,-1724.21,8275.79
20120724,Hold,10.587,0,0.0,0,8275.79,-1724.21,8275.79
20120725,Hold,10.619,0,0.0,0,8275.79,-1724.21,8275.79
20120726,Hold,10.81,0,0.0,0,8275.79,-1724.21,8275.79
20120727,Buy,10.92,757,-8270.57322,757,5.216,-1728.344,8271.656
20120730,Hold,10.817,0,0.0,757,5.216,-1806.315,8193.685
20120731,Hold,10.951,0,0.0,757,5.216,-1704.877,8295.123
20120801,Hold,10.685,0,0.0,757,5.216,-1906.239,8093.761
20120802,Sell,10.942,-757,8278.952453000002,0,8284.169,-1715.831,8284.169
20120803,Buy,11.194,739,-8276.502182999999,739,7.667,-1719.967,8280.033
20120806,Hold,11.285,0,0.0,739,7.667,-1652.718,8347.282
20120807,Hold,11.183,0,0.0,739,7.667,-1728.096,8271.904
20120808,Hold,11.187,0,0.0,739,7.667,-1725.14,8274.86
20120809,Hold,11.261,0,0.0,739,7.667,-1670.454,8329.546
20120810,Hold,11.277,0,0.0,739,7.667,-1658.63,8341.37
20120813,Hold,11.36,0,0.0,739,7.667,-1597.293,8402.707
20120814,Sell,11.249,-739,8308.854494500001,0,8316.521,-1683.479,8316.521
20120815,Buy,11.367,731,-8313.4316385,731,3.09,-1687.633,8312.367
20120816,Hold,11.557,0,0.0,731,3.09,-1548.743,8451.257
20120817,Hold,11.531,0,0.0,731,3.09,-1567.749,8432.251
20120820,Hold,11.494,0,0.0,731,3.09,-1594.796,8405.204
20120821,Sell,11.421,-731,8344.576624500001,0,8347.666,-1652.334,8347.666
20120822,Hold,11.336,0,0.0,0,8347.666,-1652.334,8347.666
20120823,Hold,11.261,0,0.0,0,8347.666,-1652.334,8347.666
20120824,Hold,11.379,0,0.0,0,8347.666,-1652.334,8347.666
20120827,Hold,11.253,0,0.0,0,8347.666,-1652.334,8347.666
20120828,Hold,11.329,0,0.0,0,8347.666,-1652.334,8347.666
20120829,Hold,11.216,0,0.0,0,8347.666,-1652.334,8347.666
20120830,Hold,11.301,0,0.0,0,8347.666,-1652.334,8347.666
20120831,Buy,11.306,737,-8336.688261,737,10.978,-1656.5,8343.5
20120904,Hold,11.313,0,0.0,737,10.978,-1651.341,8348.659
20120905,Sell,11.329,-737,8345.2982635,0,8356.276,-1643.724,8356.276
20120906,Buy,11.783,708,-8346.535182,708,9.741,-1647.895,8352.105
20120907,Hold,12.046,0,0.0,708,9.741,-1461.691,8538.309
20120910,Hold,12.174,0,0.0,708,9.741,-1371.067,8628.933
20120911,Hold,12.277,0,0.0,708,9.741,-1298.143,8701.857
20120912,Hold,12.277,0,0.0,708,9.741,-1298.143,8701.857
20120913,Hold,12.639,0,0.0,708,9.741,-1041.847,8958.153
20120914,Hold,12.803,0,0.0,708,9.741,-925.735,9074.265
20120917,Hold,12.738,0,0.0,708,9.741,-971.755,9028.245
20120918,Hold,12.713,0,0.0,708,9.741,-989.455,9010.545
20120919,Sell,12.476,-708,8828.591496000001,0,8838.332,-1161.668,8838.332
20120920,Hold,12.359,0,0.0,0,8838.332,-1161.668,8838.332
20120921,Hold,12.217,0,0.0,0,8838.332,-1161.668,8838.332
20120924,Hold,12.374,0,0.0,0,8838.332,-1161.668,8838.332
20120925,Hold,12.014,0,0.0,0,8838.332,-1161.668,8838.332
20120926,Hold,11.989,0,0.0,0,8838.332,-1161.668,8838.332
20120927,Hold,11.905,0,0.0,0,8838.332,-1161.668,8838.332
20120928,Hold,12.038,0,0.0,0,8838.332,-1161.668,8838.332
20121001,Hold,11.794,0,0.0,0,8838.332,-1161.668,8838.332
20121002,Hold,11.692,0,0.0,0,8838.332,-1161.668,8838.332
20121003,Hold,11.766,0,0.0,0,8838.332,-1161.668,8838.332
20121004,Hold,11.773,0,0.0,0,8838.332,-1161.668,8838.332
20121005,Hold,11.637,0,0.0,0,8838.332,-1161.668,8838.332
20121008,Hold,11.61,0,0.0,0,8838.332,-1161.668,8838.332
20121009,Hold,11.869,0,0.0,0,8838.332,-1161.668,8838.332
20121010,Hold,11.584,0,0.0,0,8838.332,-1161.668,8838.332
20121011,Buy,11.782,749,-8829.130359,749,9.202,-1166.08,8833.92
20121012,Hold,11.7,0,0.0,749,9.202,-1227.498,8772.502
20121015,Hold,11.817,0,0.0,749,9.202,-1139.865,8860.135
20121016,Sell,11.706,-749,8763.410103,0,8772.612,-1227.388,8772.612
20121017,Hold,11.667,0,0.0,0,8772.612,-1227.388,8772.612
20121018,Hold,11.61,0,0.0,0,8772.612,-1227.388,8772.612
20121019,Hold,11.499,0,0.0,0,8772.612,-1227.388,8772.612
20121022,Hold,11.342,0,0.0,0,8772.612,-1227.388,8772.612
20121023,Hold,11.364,0,0.0,0,8772.612,-1227.388,8772.612
20121024,Hold,11.325,0,0.0,0,8772.612,-1227.388,8772.612
