,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180108,Buy,18.515,539,-9984.5747925,539,15.425,-4.99,9995.01
20180109,Hold,18.47,0,0.0,539,15.425,-29.245,9970.755
20180110,Hold,18.841,0,0.0,539,15.425,170.724,10170.724
20180111,Hold,18.725,0,0.0,539,15.425,108.2,10108.2
20180112,Hold,18.515,0,0.0,539,15.425,-4.99,9995.01
20180116,Sell,18.543,-539,9989.6796615,0,10005.105,5.105,10005.105
20180117,Buy,18.961,527,-9997.4432235,527,7.662,0.109,10000.109
20180118,Hold,18.607,0,0.0,527,7.662,-186.449,9813.551
20180119,Hold,18.841,0,0.0,527,7.662,-63.131,9936.869
20180122,Hold,18.916,0,0.0,527,7.662,-23.606,9976.394
20180123,Hold,19.352,0,0.0,527,7.662,206.166,10206.166
20180124,Hold,19.342,0,0.0,527,7.662,200.896,10200.896
20180125,Hold,19.306,0,0.0,527,7.662,181.924,10181.924
20180126,Hold,19.187,0,0.0,527,7.662,119.211,10119.211
20180129,Sell,18.906,-527,9958.480269,0,9966.142,-33.858,9966.142
20180130,Hold,18.942,0,0.0,0,9966.142,-33.858,9966.142
20180131,Hold,18.841,0,0.0,0,9966.142,-33.858,9966.142
20180201,Hold,18.552,0,0.0,0,9966.142,-33.858,9966.142
20180202,Hold,18.198,0,0.0,0,9966.142,-33.858,9966.142
20180205,Hold,17.282,0,0.0,0,9966.142,-33.858,9966.142
20180206,Hold,17.572,0,0.0,0,9966.142,-33.858,9966.142
20180207,Hold,17.654,0,0.0,0,9966.142,-33.858,9966.142
20180208,Hold,17.219,0,0.0,0,9966.142,-33.858,9966.142
20180209,Buy,17.773,560,-9957.856439999998,560,8.285,-38.835,9961.165
20180212,Hold,17.517,0,0.0,560,8.285,-182.195,9817.805
20180213,Hold,17.543,0,0.0,560,8.285,-167.635,9832.365
20180214,Hold,17.88,0,0.0,560,8.285,21.085,10021.085
20180215,Hold,17.782,0,0.0,560,8.285,-33.795,9966.205
20180216,Hold,17.707,0,0.0,560,8.285,-75.795,9924.205
20180220,Hold,17.517,0,0.0,560,8.285,-182.195,9817.805
20180221,Sell,17.065,-560,9551.621800000003,0,9559.907,-440.093,9559.907
20180222,Hold,17.429,0,0.0,0,9559.907,-440.093,9559.907
20180223,Hold,17.473,0,0.0,0,9559.907,-440.093,9559.907
20180226,Hold,17.299,0,0.0,0,9559.907,-440.093,9559.907
20180227,Hold,16.828,0,0.0,0,9559.907,-440.093,9559.907
20180228,Hold,16.8,0,0.0,0,9559.907,-440.093,9559.907
20180301,Hold,16.609,0,0.0,0,9559.907,-440.093,9559.907
20180302,Hold,16.565,0,0.0,0,9559.907,-440.093,9559.907
20180305,Hold,16.456,0,0.0,0,9559.907,-440.093,9559.907
20180306,Hold,16.429,0,0.0,0,9559.907,-440.093,9559.907
20180307,Buy,16.863,566,-9549.230229,566,10.677,-444.865,9555.135
20180308,Hold,17.01,0,0.0,566,10.677,-361.663,9638.337
20180309,Hold,17.119,0,0.0,566,10.677,-299.969,9700.031
20180312,Hold,17.065,0,0.0,566,10.677,-330.533,9669.467
20180313,Hold,17.047,0,0.0,566,10.677,-340.721,9659.279
20180314,Hold,17.209,0,0.0,566,10.677,-249.029,9750.971
20180315,Hold,17.319,0,0.0,566,10.677,-186.769,9813.231
