,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180108,Hold,57.055,0,0,0,10000,0.0,10000.0
20180109,Hold,56.074,0,0,0,10000,0.0,10000.0
20180110,Hold,55.384,0,0,0,10000,0.0,10000.0
20180111,Hold,55.454,0,0,0,10000,0.0,10000.0
20180112,Hold,55.932,0,0,0,10000,0.0,10000.0
20180116,Buy,56.101,178,-9990.970989,178,9.029,-4.993,9995.007
20180117,Hold,56.4,0,0,178,9.029,48.229,10048.229
20180118,Sell,55.284,-178,9835.631724,0,9844.661,-155.339,9844.661
20180119,Hold,55.626,0,0,0,9844.661,-155.339,9844.661
20180122,Buy,56.964,172,-9802.706903999999,172,41.954,-160.238,9839.762
20180123,Hold,58.375,0,0,172,41.954,82.454,10082.454
20180124,Hold,58.194,0,0,172,41.954,51.322,10051.322
20180125,Hold,57.826,0,0,172,41.954,-11.974,9988.026
20180126,Hold,57.736,0,0,172,41.954,-27.454,9972.546
20180129,Sell,56.775,-172,9760.41735,0,9802.371,-197.629,9802.371
20180130,Hold,56.667,0,0,0,9802.371,-197.629,9802.371
20180131,Buy,58.422,167,-9761.352237,167,41.019,-202.507,9797.493
20180201,Sell,56.848,-167,9488.869192,0,9529.888,-470.112,9529.888
20180202,Buy,57.071,166,-9478.522893,166,51.365,-474.849,9525.151
20180205,Sell,54.051,-166,8967.979767,0,9019.345,-980.655,9019.345
20180206,Hold,54.411,0,0,0,9019.345,-980.655,9019.345
20180207,Hold,53.981,0,0,0,9019.345,-980.655,9019.345
20180208,Hold,52.749,0,0,0,9019.345,-980.655,9019.345
20180209,Hold,54.485,0,0,0,9019.345,-980.655,9019.345
20180212,Buy,53.962,167,-9016.159827,167,3.185,-985.161,9014.839
20180213,Hold,54.629,0,0,167,3.185,-873.772,9126.228
20180214,Hold,54.601,0,0,167,3.185,-878.448,9121.552
20180215,Hold,55.23,0,0,167,3.185,-773.405,9226.595
20180216,Hold,55.021,0,0,167,3.185,-808.308,9191.692
20180220,Hold,54.95,0,0,167,3.185,-820.165,9179.835
20180221,Sell,54.07,-167,9025.175155,0,9028.36,-971.64,9028.36
20180222,Hold,54.222,0,0,0,9028.36,-971.64,9028.36
20180223,Buy,55.294,163,-9017.428460999998,163,10.932,-976.146,9023.854
20180226,Hold,55.264,0,0,163,10.932,-981.036,9018.964
20180227,Sell,54.571,-163,8890.6254635,0,8901.557,-1098.443,8901.557
20180228,Buy,54.378,163,-8868.045806999999,163,33.512,-1102.874,8897.126
20180301,Hold,54.411,0,0,163,33.512,-1097.495,8902.505
20180302,Sell,53.711,-163,8750.515553500001,0,8784.027,-1215.973,8784.027
20180305,Buy,54.834,160,-8777.826720000001,160,6.2,-1220.36,8779.64
20180306,Hold,55.356,0,0,160,6.2,-1136.84,8863.16
20180307,Hold,55.814,0,0,160,6.2,-1063.56,8936.44
20180308,Hold,56.236,0,0,160,6.2,-996.04,9003.96
20180309,Hold,57.098,0,0,160,6.2,-858.12,9141.88
20180312,Hold,57.385,0,0,160,6.2,-812.2,9187.8
20180313,Hold,57.091,0,0,160,6.2,-859.24,9140.76
20180314,Hold,57.361,0,0,160,6.2,-816.04,9183.96
20180315,Hold,57.489,0,0,160,6.2,-795.56,9204.44
20180316,Hold,57.798,0,0,160,6.2,-746.12,9253.88
