,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150108,Buy,30.994,322,-9985.058033999998,322,14.942,-4.99,9995.01
20150109,Sell,30.769,-322,9902.664191,0,9917.606,-82.394,9917.606
20150112,Buy,31.709,312,-9898.154604,312,19.452,-87.34,9912.66
20150113,Hold,30.808,0,0.0,312,19.452,-368.452,9631.548
20150114,Hold,27.973,0,0.0,312,19.452,-1252.972,8747.028
20150115,Sell,27.384,-312,8539.536096000002,0,8558.988,-1441.012,8558.988
20150116,Hold,27.965,0,0.0,0,8558.988,-1441.012,8558.988
20150120,Hold,26.992,0,0.0,0,8558.988,-1441.012,8558.988
20150121,Hold,27.25,0,0.0,0,8558.988,-1441.012,8558.988
20150122,Buy,27.798,307,-8538.252992999998,307,20.735,-1445.279,8554.721
20150123,Hold,27.877,0,0.0,307,20.735,-1421.026,8578.974
20150126,Hold,28.079,0,0.0,307,20.735,-1359.012,8640.988
20150127,Hold,28.388,0,0.0,307,20.735,-1264.149,8735.851
20150128,Hold,28.115,0,0.0,307,20.735,-1347.96,8652.04
20150129,Hold,28.643,0,0.0,307,20.735,-1185.864,8814.136
20150130,Sell,27.98,-307,8585.56507,0,8606.3,-1393.7,8606.3
20150202,Hold,28.045,0,0.0,0,8606.3,-1393.7,8606.3
20150203,Buy,28.396,302,-8579.879796,302,26.42,-1397.988,8602.012
20150204,Hold,28.796,0,0.0,302,26.42,-1277.188,8722.812
20150205,Hold,29.2,0,0.0,302,26.42,-1155.18,8844.82
20150206,Hold,29.503,0,0.0,302,26.42,-1063.674,8936.326
20150209,Hold,29.694,0,0.0,302,26.42,-1005.992,8994.008
20150210,Hold,30.102,0,0.0,302,26.42,-882.776,9117.224
20150211,Hold,30.458,0,0.0,302,26.42,-775.264,9224.736
20150212,Hold,31.075,0,0.0,302,26.42,-588.93,9411.07
20150213,Hold,31.103,0,0.0,302,26.42,-580.474,9419.526
20150217,Hold,31.23,0,0.0,302,26.42,-542.12,9457.88
20150218,Hold,31.151,0,0.0,302,26.42,-565.978,9434.022
20150219,Hold,31.182,0,0.0,302,26.42,-556.616,9443.384
20150220,Hold,31.334,0,0.0,302,26.42,-510.712,9489.288
20150223,Hold,30.966,0,0.0,302,26.42,-621.848,9378.152
20150224,Sell,30.49,-302,9203.37601,0,9229.796,-770.204,9229.796
20150225,Hold,30.497,0,0.0,0,9229.796,-770.204,9229.796
20150226,Hold,30.102,0,0.0,0,9229.796,-770.204,9229.796
20150227,Hold,30.42,0,0.0,0,9229.796,-770.204,9229.796
