,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150108,Buy,122.32,81,-9912.873959999999,81,87.126,-4.954,9995.046
20150109,Hold,121.54,0,0.0,81,87.126,-68.134,9931.866
20150112,Sell,120.39,-81,9746.714205,0,9833.84,-166.16,9833.84
20150113,Hold,118.52,0,0.0,0,9833.84,-166.16,9833.84
20150114,Hold,118.47,0,0.0,0,9833.84,-166.16,9833.84
20150115,Hold,117.73,0,0.0,0,9833.84,-166.16,9833.84
20150116,Hold,119.08,0,0.0,0,9833.84,-166.16,9833.84
20150120,Hold,117.61,0,0.0,0,9833.84,-166.16,9833.84
20150121,Hold,118.1,0,0.0,0,9833.84,-166.16,9833.84
20150122,Buy,119.64,82,-9815.38524,82,18.455,-171.065,9828.935
20150123,Hold,119.94,0,0.0,82,18.455,-146.465,9853.535
20150126,Hold,120.86,0,0.0,82,18.455,-71.025,9928.975
20150127,Hold,119.88,0,0.0,82,18.455,-151.385,9848.615
20150128,Sell,118.64,-82,9723.61576,0,9742.071,-257.929,9742.071
20150129,Hold,121.16,0,0.0,0,9742.071,-257.929,9742.071
20150130,Buy,121.84,79,-9630.17268,79,111.898,-262.742,9737.258
20150202,Hold,123.9,0,0.0,79,111.898,-100.002,9899.998
20150203,Hold,128.72,0,0.0,79,111.898,280.778,10280.778
20150204,Hold,130.75,0,0.0,79,111.898,441.148,10441.148
20150205,Hold,130.53,0,0.0,79,111.898,423.768,10423.768
20150206,Hold,130.04,0,0.0,79,111.898,385.058,10385.058
20150209,Hold,129.43,0,0.0,79,111.898,336.868,10336.868
20150210,Sell,130.16,-79,10277.49868,0,10389.397,389.397,10389.397
20150211,Hold,129.79,0,0.0,0,10389.397,389.397,10389.397
20150212,Hold,129.95,0,0.0,0,10389.397,389.397,10389.397
20150213,Hold,128.94,0,0.0,0,10389.397,389.397,10389.397
20150217,Hold,129.0,0,0.0,0,10389.397,389.397,10389.397
20150218,Hold,128.77,0,0.0,0,10389.397,389.397,10389.397
20150219,Hold,128.56,0,0.0,0,10389.397,389.397,10389.397
20150220,Hold,129.75,0,0.0,0,10389.397,389.397,10389.397
20150223,Buy,130.98,79,-10352.59371,79,36.803,384.223,10384.223
20150224,Hold,129.49,0,0.0,79,36.803,266.513,10266.513
20150225,Sell,128.91,-79,10178.798055,0,10215.601,215.601,10215.601
20150226,Hold,129.22,0,0.0,0,10215.601,215.601,10215.601
20150227,Hold,129.14,0,0.0,0,10215.601,215.601,10215.601
20150302,Hold,129.69,0,0.0,0,10215.601,215.601,10215.601
20150303,Hold,128.96,0,0.0,0,10215.601,215.601,10215.601
20150304,Hold,132.19,0,0.0,0,10215.601,215.601,10215.601
20150305,Buy,130.9,78,-10215.3051,78,0.296,210.496,10210.496
20150306,Hold,131.34,0,0.0,78,0.296,244.816,10244.816
20150309,Hold,131.3,0,0.0,78,0.296,241.696,10241.696
20150310,Sell,130.01,-78,10135.70961,0,10136.006,136.006,10136.006
20150311,Hold,130.08,0,0.0,0,10136.006,136.006,10136.006
20150312,Hold,130.89,0,0.0,0,10136.006,136.006,10136.006
20150313,Hold,131.27,0,0.0,0,10136.006,136.006,10136.006
20150316,Buy,131.48,77,-10129.021979999998,77,6.984,130.944,10130.944
20150317,Hold,131.51,0,0.0,77,6.984,133.254,10133.254
20150318,Hold,132.38,0,0.0,77,6.984,200.244,10200.244
20150319,Hold,133.35,0,0.0,77,6.984,274.934,10274.934
20150320,Hold,134.28,0,0.0,77,6.984,346.544,10346.544
20150323,Hold,134.22,0,0.0,77,6.984,341.924,10341.924
20150324,Hold,134.62,0,0.0,77,6.984,372.724,10372.724
20150325,Sell,130.93,-77,10076.569195000002,0,10083.553,83.553,10083.553
20150326,Hold,131.7,0,0.0,0,10083.553,83.553,10083.553
20150327,Hold,132.31,0,0.0,0,10083.553,83.553,10083.553
20150330,Buy,133.12,75,-9988.992,75,94.561,78.561,10078.561
20150331,Sell,133.11,-75,9978.258375000003,0,10072.819,72.819,10072.819
20150401,Hold,131.92,0,0.0,0,10072.819,72.819,10072.819
20150402,Buy,132.7,75,-9957.47625,75,115.343,67.843,10067.843
20150406,Hold,133.72,0,0.0,75,115.343,144.343,10144.343
20150407,Hold,133.45,0,0.0,75,115.343,124.093,10124.093
20150408,Hold,132.02,0,0.0,75,115.343,16.843,10016.843
20150409,Sell,130.99,-75,9819.337875000001,0,9934.681,-65.319,9934.681
20150410,Hold,131.03,0,0.0,0,9934.681,-65.319,9934.681
20150413,Hold,130.64,0,0.0,0,9934.681,-65.319,9934.681
20150414,Hold,131.35,0,0.0,0,9934.681,-65.319,9934.681
20150415,Hold,130.41,0,0.0,0,9934.681,-65.319,9934.681
20150416,Hold,128.47,0,0.0,0,9934.681,-65.319,9934.681
20150417,Hold,128.54,0,0.0,0,9934.681,-65.319,9934.681
20150420,Hold,128.81,0,0.0,0,9934.681,-65.319,9934.681
20150421,Hold,129.69,0,0.0,0,9934.681,-65.319,9934.681
20150422,Hold,128.49,0,0.0,0,9934.681,-65.319,9934.681
20150423,Buy,129.15,76,-9820.3077,76,114.373,-70.227,9929.773
20150424,Hold,130.01,0,0.0,76,114.373,-4.867,9995.133
20150427,Sell,128.76,-76,9780.867119999999,0,9895.24,-104.76,9895.24
20150428,Hold,128.22,0,0.0,0,9895.24,-104.76,9895.24
20150429,Hold,126.47,0,0.0,0,9895.24,-104.76,9895.24
20150430,Hold,126.11,0,0.0,0,9895.24,-104.76,9895.24
20150501,Hold,127.82,0,0.0,0,9895.24,-104.76,9895.24
20150504,Buy,127.62,77,-9831.65337,77,63.587,-109.673,9890.327
20150505,Sell,127.78,-77,9834.14047,0,9897.727,-102.273,9897.727
20150506,Hold,127.07,0,0.0,0,9897.727,-102.273,9897.727
20150507,Hold,128.33,0,0.0,0,9897.727,-102.273,9897.727
20150508,Buy,127.96,77,-9857.846459999999,77,39.881,-107.199,9892.801
20150511,Sell,126.59,-77,9742.556285,0,9782.437,-217.563,9782.437
20150512,Hold,126.5,0,0.0,0,9782.437,-217.563,9782.437
20150513,Hold,126.71,0,0.0,0,9782.437,-217.563,9782.437
20150514,Hold,125.73,0,0.0,0,9782.437,-217.563,9782.437
20150515,Buy,127.29,76,-9678.87702,76,103.56,-222.4,9777.6
20150518,Hold,127.33,0,0.0,76,103.56,-219.36,9780.64
20150519,Hold,127.03,0,0.0,76,103.56,-242.16,9757.84
20150520,Sell,126.03,-76,9573.490860000002,0,9677.051,-322.949,9677.051
20150521,Hold,126.52,0,0.0,0,9677.051,-322.949,9677.051
20150522,Hold,126.66,0,0.0,0,9677.051,-322.949,9677.051
20150526,Hold,126.27,0,0.0,0,9677.051,-322.949,9677.051
20150527,Buy,126.89,76,-9648.461819999999,76,28.589,-327.771,9672.229
20150528,Hold,126.4,0,0.0,76,28.589,-365.011,9634.989
20150529,Sell,125.74,-76,9551.46188,0,9580.051,-419.949,9580.051
20150601,Hold,124.97,0,0.0,0,9580.051,-419.949,9580.051
20150602,Hold,124.63,0,0.0,0,9580.051,-419.949,9580.051
20150603,Hold,124.29,0,0.0,0,9580.051,-419.949,9580.051
20150604,Hold,123.69,0,0.0,0,9580.051,-419.949,9580.051
20150605,Hold,122.09,0,0.0,0,9580.051,-419.949,9580.051
20150608,Hold,121.27,0,0.0,0,9580.051,-419.949,9580.051
20150609,Hold,121.59,0,0.0,0,9580.051,-419.949,9580.051
20150610,Buy,122.76,77,-9457.24626,77,122.805,-424.675,9575.325
20150611,Hold,122.23,0,0.0,77,122.805,-465.485,9534.515
20150612,Sell,121.28,-77,9333.89072,0,9456.696,-543.304,9456.696
20150615,Hold,120.61,0,0.0,0,9456.696,-543.304,9456.696
20150616,Hold,121.28,0,0.0,0,9456.696,-543.304,9456.696
20150617,Buy,122.63,77,-9447.231255,77,9.464,-548.026,9451.974
20150618,Hold,123.58,0,0.0,77,9.464,-474.876,9525.124
20150619,Hold,123.82,0,0.0,77,9.464,-456.396,9543.604
20150622,Hold,123.45,0,0.0,77,9.464,-484.886,9515.114
20150623,Sell,122.49,-77,9427.014135,0,9436.478,-563.522,9436.478
20150624,Hold,121.7,0,0.0,0,9436.478,-563.522,9436.478
20150625,Hold,121.28,0,0.0,0,9436.478,-563.522,9436.478
20150626,Hold,120.59,0,0.0,0,9436.478,-563.522,9436.478
20150629,Hold,119.9,0,0.0,0,9436.478,-563.522,9436.478
20150630,Hold,119.36,0,0.0,0,9436.478,-563.522,9436.478
20150701,Hold,120.34,0,0.0,0,9436.478,-563.522,9436.478
20150702,Hold,118.77,0,0.0,0,9436.478,-563.522,9436.478
20150706,Hold,119.83,0,0.0,0,9436.478,-563.522,9436.478
20150707,Buy,123.09,76,-9359.51742,76,76.961,-568.199,9431.801
20150708,Hold,124.27,0,0.0,76,76.961,-478.519,9521.481
20150709,Hold,124.59,0,0.0,76,76.961,-454.199,9545.801
20150710,Hold,126.15,0,0.0,76,76.961,-335.639,9664.361
20150713,Hold,126.29,0,0.0,76,76.961,-324.999,9675.001
20150714,Hold,126.54,0,0.0,76,76.961,-305.999,9694.001
20150715,Hold,126.73,0,0.0,76,76.961,-291.559,9708.441
20150716,Hold,126.7,0,0.0,76,76.961,-293.839,9706.161
20150717,Hold,127.13,0,0.0,76,76.961,-261.159,9738.841
20150720,Hold,127.68,0,0.0,76,76.961,-219.359,9780.641
20150721,Hold,127.69,0,0.0,76,76.961,-218.599,9781.401
20150722,Hold,129.09,0,0.0,76,76.961,-112.199,9887.801
20150723,Hold,128.1,0,0.0,76,76.961,-187.439,9812.561
20150724,Sell,127.31,-76,9670.72222,0,9747.683,-252.317,9747.683
20150727,Hold,127.08,0,0.0,0,9747.683,-252.317,9747.683
20150728,Hold,127.32,0,0.0,0,9747.683,-252.317,9747.683
