,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130108,Hold,51.743,0,0,0,10000,0.0,10000.0
20130109,Hold,51.633,0,0,0,10000,0.0,10000.0
20130110,Hold,51.708,0,0,0,10000,0.0,10000.0
20130111,Buy,51.864,192,-9962.866943999998,192,37.133,-4.979,9995.021
20130114,Sell,51.734,-192,9927.961536,0,9965.095,-34.905,9965.095
20130115,Hold,51.848,0,0,0,9965.095,-34.905,9965.095
20130116,Hold,52.295,0,0,0,9965.095,-34.905,9965.095
20130117,Buy,53.086,187,-9932.045541,187,33.049,-39.869,9960.131
20130118,Hold,53.273,0,0,187,33.049,-4.9,9995.1
20130122,Hold,53.336,0,0,187,33.049,6.881,10006.881
20130123,Hold,54.224,0,0,187,33.049,172.937,10172.937
20130124,Hold,55.082,0,0,187,33.049,333.383,10333.383
20130125,Hold,55.521,0,0,187,33.049,415.476,10415.476
20130128,Hold,54.992,0,0,187,33.049,316.553,10316.553
20130129,Sell,54.763,-187,10235.5606595,0,10268.61,268.61,10268.61
20130130,Hold,54.771,0,0,0,10268.61,268.61,10268.61
20130131,Hold,55.091,0,0,0,10268.61,268.61,10268.61
20130201,Hold,54.47,0,0,0,10268.61,268.61,10268.61
20130204,Hold,54.284,0,0,0,10268.61,268.61,10268.61
20130205,Hold,53.803,0,0,0,10268.61,268.61,10268.61
20130206,Hold,54.302,0,0,0,10268.61,268.61,10268.61
20130207,Hold,54.216,0,0,0,10268.61,268.61,10268.61
20130208,Hold,54.478,0,0,0,10268.61,268.61,10268.61
20130211,Hold,54.34,0,0,0,10268.61,268.61,10268.61
20130212,Buy,55.01,186,-10236.975929999999,186,31.634,263.494,10263.494
20130213,Hold,54.691,0,0,186,31.634,204.16,10204.16
20130214,Sell,55.01,-186,10226.744069999999,0,10258.378,258.378,10258.378
20130215,Hold,55.097,0,0,0,10258.378,258.378,10258.378
20130219,Hold,54.942,0,0,0,10258.378,258.378,10258.378
20130220,Hold,53.653,0,0,0,10258.378,258.378,10258.378
20130221,Hold,52.791,0,0,0,10258.378,258.378,10258.378
20130222,Hold,53.737,0,0,0,10258.378,258.378,10258.378
20130225,Hold,53.413,0,0,0,10258.378,258.378,10258.378
20130226,Buy,55.058,186,-10245.908394,186,12.469,253.257,10253.257
20130227,Hold,55.326,0,0,186,12.469,303.105,10303.105
20130228,Hold,55.707,0,0,186,12.469,373.971,10373.971
20130301,Hold,56.174,0,0,186,12.469,460.833,10460.833
20130304,Hold,57.501,0,0,186,12.469,707.655,10707.655
20130305,Hold,57.412,0,0,186,12.469,691.101,10691.101
20130306,Hold,57.353,0,0,186,12.469,680.127,10680.127
20130307,Hold,57.51,0,0,186,12.469,709.329,10709.329
20130308,Hold,58.105,0,0,186,12.469,819.999,10819.999
20130311,Hold,58.08,0,0,186,12.469,815.349,10815.349
20130312,Sell,57.989,-186,10780.561023,0,10793.03,793.03,10793.03
20130313,Hold,58.056,0,0,0,10793.03,793.03,10793.03
20130314,Hold,57.365,0,0,0,10793.03,793.03,10793.03
20130315,Hold,56.072,0,0,0,10793.03,793.03,10793.03
20130318,Hold,56.975,0,0,0,10793.03,793.03,10793.03
20130319,Hold,56.857,0,0,0,10793.03,793.03,10793.03
20130320,Hold,56.237,0,0,0,10793.03,793.03,10793.03
20130321,Hold,56.711,0,0,0,10793.03,793.03,10793.03
20130322,Hold,57.18,0,0,0,10793.03,793.03,10793.03
20130325,Hold,57.063,0,0,0,10793.03,793.03,10793.03
20130326,Buy,56.694,190,-10777.24593,190,15.785,787.645,10787.645
20130327,Sell,56.882,-190,10802.17621,0,10817.961,817.961,10817.961
20130328,Hold,56.94,0,0,0,10817.961,817.961,10817.961
20130401,Hold,57.261,0,0,0,10817.961,817.961,10817.961
20130402,Buy,58.041,186,-10801.023813,186,16.937,812.563,10812.563
20130403,Hold,57.637,0,0,186,16.937,737.419,10737.419
20130404,Hold,57.341,0,0,186,16.937,682.363,10682.363
20130405,Sell,57.164,-186,10627.187748000002,0,10644.125,644.125,10644.125
20130408,Buy,58.348,182,-10624.645668,182,19.479,638.815,10638.815
20130409,Hold,58.487,0,0,182,19.479,664.113,10664.113
20130410,Hold,58.84,0,0,182,19.479,728.359,10728.359
20130411,Hold,59.319,0,0,182,19.479,815.537,10815.537
20130412,Hold,60.119,0,0,182,19.479,961.137,10961.137
20130415,Hold,59.432,0,0,182,19.479,836.103,10836.103
20130416,Sell,59.094,-182,10749.730446000001,0,10769.209,769.209,10769.209
20130417,Hold,59.528,0,0,0,10769.209,769.209,10769.209
20130418,Hold,59.735,0,0,0,10769.209,769.209,10769.209
20130419,Buy,60.556,177,-10723.771206,177,45.438,763.85,10763.85
20130422,Hold,60.737,0,0,177,45.438,795.887,10795.887
20130423,Sell,60.339,-177,10674.662998500002,0,10720.101,720.101,10720.101
20130424,Hold,60.056,0,0,0,10720.101,720.101,10720.101
20130425,Hold,59.995,0,0,0,10720.101,720.101,10720.101
20130426,Hold,60.16,0,0,0,10720.101,720.101,10720.101
20130429,Hold,60.208,0,0,0,10720.101,720.101,10720.101
20130430,Hold,59.948,0,0,0,10720.101,720.101,10720.101
20130501,Hold,59.612,0,0,0,10720.101,720.101,10720.101
20130502,Hold,60.391,0,0,0,10720.101,720.101,10720.101
20130503,Buy,60.52,177,-10717.39602,177,2.705,714.745,10714.745
20130506,Hold,61.636,0,0,177,2.705,912.277,10912.277
20130507,Hold,61.594,0,0,177,2.705,904.843,10904.843
20130508,Hold,61.731,0,0,177,2.705,929.092,10929.092
20130509,Hold,62.37,0,0,177,2.705,1042.195,11042.195
20130510,Hold,62.263,0,0,177,2.705,1023.256,11023.256
20130513,Hold,62.895,0,0,177,2.705,1135.12,11135.12
20130514,Hold,63.569,0,0,177,2.705,1254.418,11254.418
20130515,Hold,63.482,0,0,177,2.705,1239.019,11239.019
20130516,Hold,62.536,0,0,177,2.705,1071.577,11071.577
20130517,Hold,62.887,0,0,177,2.705,1133.704,11133.704
20130520,Sell,64.984,-177,11496.416916,0,11499.122,1499.122,11499.122
20130521,Buy,64.927,177,-11497.825039500001,177,1.297,1493.376,11493.376
20130522,Hold,64.623,0,0,177,1.297,1439.568,11439.568
20130523,Hold,64.309,0,0,177,1.297,1383.99,11383.99
20130524,Hold,65.485,0,0,177,1.297,1592.142,11592.142
20130528,Hold,65.026,0,0,177,1.297,1510.899,11510.899
20130529,Hold,65.165,0,0,177,1.297,1535.502,11535.502
20130530,Hold,65.155,0,0,177,1.297,1533.732,11533.732
20130531,Sell,64.43,-177,11398.407945,0,11399.705,1399.705,11399.705
20130603,Hold,64.622,0,0,0,11399.705,1399.705,11399.705
20130604,Hold,62.655,0,0,0,11399.705,1399.705,11399.705
20130605,Hold,61.76,0,0,0,11399.705,1399.705,11399.705
20130606,Hold,63.99,0,0,0,11399.705,1399.705,11399.705
20130607,Buy,64.985,175,-11378.0611875,175,21.644,1394.019,11394.019
20130610,Hold,63.578,0,0,175,21.644,1147.794,11147.794
20130611,Hold,64.245,0,0,175,21.644,1264.519,11264.519
20130612,Sell,62.85,-175,10993.250625,0,11014.895,1014.895,11014.895
20130613,Hold,62.749,0,0,0,11014.895,1014.895,11014.895
20130614,Hold,63.455,0,0,0,11014.895,1014.895,11014.895
20130617,Hold,62.665,0,0,0,11014.895,1014.895,11014.895
20130618,Buy,63.446,173,-10981.646078999998,173,33.248,1009.406,11009.406
20130619,Sell,62.094,-173,10736.890869,0,10770.139,770.139,10770.139
20130620,Hold,61.325,0,0,0,10770.139,770.139,10770.139
20130621,Hold,60.011,0,0,0,10770.139,770.139,10770.139
20130624,Hold,60.978,0,0,0,10770.139,770.139,10770.139
20130625,Hold,61.569,0,0,0,10770.139,770.139,10770.139
20130626,Buy,62.557,172,-10765.183901999999,172,4.955,764.759,10764.759
20130627,Hold,63.004,0,0,172,4.955,841.643,10841.643
20130628,Hold,63.909,0,0,172,4.955,997.303,10997.303
20130701,Hold,63.628,0,0,172,4.955,948.971,10948.971
20130702,Hold,63.382,0,0,172,4.955,906.659,10906.659
20130703,Hold,64.139,0,0,172,4.955,1036.863,11036.863
20130705,Hold,64.674,0,0,172,4.955,1128.883,11128.883
20130708,Hold,65.481,0,0,172,4.955,1267.687,11267.687
20130709,Hold,65.586,0,0,172,4.955,1285.747,11285.747
20130710,Hold,66.081,0,0,172,4.955,1370.887,11370.887
20130711,Hold,65.795,0,0,172,4.955,1321.695,11321.695
20130712,Hold,66.375,0,0,172,4.955,1421.455,11421.455
20130715,Hold,66.198,0,0,172,4.955,1391.011,11391.011
20130716,Hold,66.486,0,0,172,4.955,1440.547,11440.547
20130717,Hold,66.131,0,0,172,4.955,1379.487,11379.487
20130718,Sell,65.82,-172,11315.37948,0,11320.335,1320.335,11320.335
20130719,Hold,65.842,0,0,0,11320.335,1320.335,11320.335
20130722,Hold,65.974,0,0,0,11320.335,1320.335,11320.335
20130723,Buy,66.225,170,-11263.879124999998,170,56.456,1314.706,11314.706
20130724,Hold,65.932,0,0,170,56.456,1264.896,11264.896
20130725,Sell,64.556,-170,10969.03274,0,11025.488,1025.488,11025.488
20130726,Hold,64.739,0,0,0,11025.488,1025.488,11025.488
20130729,Hold,65.176,0,0,0,11025.488,1025.488,11025.488
20130730,Hold,64.778,0,0,0,11025.488,1025.488,11025.488
20130731,Buy,65.464,168,-11003.450975999998,168,22.038,1019.99,11019.99
20130801,Sell,64.739,-168,10870.713924000001,0,10892.751,892.751,10892.751
20130802,Buy,65.82,165,-10865.73015,165,27.021,887.321,10887.321
20130805,Hold,65.545,0,0,165,27.021,841.946,10841.946
20130806,Hold,65.496,0,0,165,27.021,833.861,10833.861
20130807,Sell,65.388,-165,10783.62549,0,10810.647,810.647,10810.647
20130808,Buy,65.594,164,-10762.794708,164,47.852,805.268,10805.268
20130809,Sell,64.7,-164,10605.494600000002,0,10653.347,653.347,10653.347
20130812,Hold,65.152,0,0,0,10653.347,653.347,10653.347
20130813,Buy,65.158,163,-10626.064377,163,27.282,648.036,10648.036
20130814,Sell,62.96,-163,10257.34876,0,10284.631,284.631,10284.631
20130815,Hold,61.898,0,0,0,10284.631,284.631,10284.631
20130816,Hold,62.148,0,0,0,10284.631,284.631,10284.631
20130819,Hold,63.423,0,0,0,10284.631,284.631,10284.631
20130820,Hold,61.411,0,0,0,10284.631,284.631,10284.631
20130821,Hold,60.845,0,0,0,10284.631,284.631,10284.631
20130822,Hold,61.045,0,0,0,10284.631,284.631,10284.631
20130823,Hold,60.777,0,0,0,10284.631,284.631,10284.631
20130826,Buy,61.619,166,-10233.868377,166,50.763,279.517,10279.517
20130827,Sell,61.01,-166,10122.59617,0,10173.359,173.359,10173.359
20130828,Buy,61.717,164,-10126.648793999999,164,46.71,168.298,10168.298
20130829,Hold,62.147,0,0,164,46.71,238.818,10238.818
20130830,Sell,61.928,-164,10151.113904,0,10197.824,197.824,10197.824
20130903,Hold,61.223,0,0,0,10197.824,197.824,10197.824
20130904,Hold,61.299,0,0,0,10197.824,197.824,10197.824
20130905,Hold,60.868,0,0,0,10197.824,197.824,10197.824
20130906,Hold,60.398,0,0,0,10197.824,197.824,10197.824
20130909,Hold,61.208,0,0,0,10197.824,197.824,10197.824
20130910,Buy,61.787,164,-10138.134533999999,164,59.689,192.757,10192.757
20130911,Hold,62.217,0,0,164,59.689,263.277,10263.277
20130912,Hold,62.343,0,0,164,59.689,283.941,10283.941
