,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200108,Hold,118.89,0,0,0,10000,0.0,10000.0
20200109,Hold,120.06,0,0,0,10000,0.0,10000.0
20200110,Buy,119.96,83,-9961.65834,83,38.342,-4.978,9995.022
20200113,Sell,118.99,-83,9871.231915,0,9909.574,-90.426,9909.574
20200114,Buy,113.11,87,-9845.490285,87,64.083,-95.347,9904.653
20200115,Sell,112.78,-87,9806.954070000002,0,9871.037,-128.963,9871.037
20200116,Hold,112.14,0,0,0,9871.037,-128.963,9871.037
20200117,Hold,112.3,0,0,0,9871.037,-128.963,9871.037
20200121,Hold,109.87,0,0,0,9871.037,-128.963,9871.037
20200122,Hold,109.29,0,0,0,9871.037,-128.963,9871.037
20200123,Hold,111.68,0,0,0,9871.037,-128.963,9871.037
20200124,Hold,108.74,0,0,0,9871.037,-128.963,9871.037
20200127,Hold,111.82,0,0,0,9871.037,-128.963,9871.037
20200128,Buy,111.46,88,-9813.38424,88,57.653,-133.867,9866.133
20200129,Sell,109.53,-88,9633.82068,0,9691.474,-308.526,9691.474
20200130,Hold,109.2,0,0,0,9691.474,-308.526,9691.474
20200131,Hold,107.0,0,0,0,9691.474,-308.526,9691.474
20200203,Hold,109.4,0,0,0,9691.474,-308.526,9691.474
20200204,Hold,109.75,0,0,0,9691.474,-308.526,9691.474
20200205,Buy,111.67,86,-9608.42181,86,83.052,-313.328,9686.672
20200206,Hold,110.74,0,0,86,83.052,-393.308,9606.692
20200207,Hold,111.3,0,0,86,83.052,-345.148,9654.852
20200210,Hold,112.71,0,0,86,83.052,-223.888,9776.112
20200211,Hold,112.3,0,0,86,83.052,-259.148,9740.852
20200212,Hold,113.45,0,0,86,83.052,-160.248,9839.752
20200213,Hold,113.9,0,0,86,83.052,-121.548,9878.452
20200214,Sell,113.23,-86,9732.911110000001,0,9815.963,-184.037,9815.963
20200218,Buy,113.96,86,-9805.46028,86,10.503,-188.937,9811.063
20200219,Sell,113.25,-86,9734.63025,0,9745.133,-254.867,9745.133
20200220,Buy,114.1,85,-9703.34925,85,41.784,-259.716,9740.284
20200221,Sell,110.85,-85,9417.538875,0,9459.323,-540.677,9459.323
20200224,Hold,110.56,0,0,0,9459.323,-540.677,9459.323
20200225,Hold,108.61,0,0,0,9459.323,-540.677,9459.323
20200226,Hold,104.85,0,0,0,9459.323,-540.677,9459.323
20200227,Hold,98.951,0,0,0,9459.323,-540.677,9459.323
20200228,Hold,100.1,0,0,0,9459.323,-540.677,9459.323
20200302,Buy,108.43,87,-9438.126704999999,87,21.196,-545.394,9454.606
20200303,Sell,103.6,-87,9008.6934,0,9029.889,-970.111,9029.889
20200304,Hold,102.28,0,0,0,9029.889,-970.111,9029.889
20200305,Hold,100.85,0,0,0,9029.889,-970.111,9029.889
20200306,Hold,96.589,0,0,0,9029.889,-970.111,9029.889
20200309,Hold,102.83,0,0,0,9029.889,-970.111,9029.889
20200310,Buy,102.66,87,-8935.88571,87,94.004,-974.576,9025.424
20200311,Sell,96.085,-87,8355.215302499999,0,8449.219,-1550.781,8449.219
20200312,Hold,93.578,0,0,0,8449.219,-1550.781,8449.219
20200313,Hold,89.647,0,0,0,8449.219,-1550.781,8449.219
20200316,Hold,92.096,0,0,0,8449.219,-1550.781,8449.219
20200317,Buy,95.795,88,-8434.17498,88,15.044,-1554.996,8445.004
20200318,Hold,99.459,0,0,88,15.044,-1232.564,8767.436
20200319,Hold,96.142,0,0,88,15.044,-1524.46,8475.54
20200320,Sell,93.482,-88,8222.302792,0,8237.347,-1762.653,8237.347
20200323,Hold,96.955,0,0,0,8237.347,-1762.653,8237.347
20200324,Hold,95.969,0,0,0,8237.347,-1762.653,8237.347
20200325,Hold,88.485,0,0,0,8237.347,-1762.653,8237.347
20200326,Hold,91.487,0,0,0,8237.347,-1762.653,8237.347
20200327,Hold,93.121,0,0,0,8237.347,-1762.653,8237.347
20200330,Hold,92.251,0,0,0,8237.347,-1762.653,8237.347
20200331,Hold,88.728,0,0,0,8237.347,-1762.653,8237.347
20200401,Buy,91.273,90,-8218.677285,90,18.67,-1766.76,8233.24
20200402,Sell,90.557,-90,8146.054935,0,8164.724,-1835.276,8164.724
20200403,Hold,90.258,0,0,0,8164.724,-1835.276,8164.724
20200406,Buy,95.611,85,-8130.9984675,85,33.726,-1839.339,8160.661
20200407,Hold,97.16,0,0,85,33.726,-1707.674,8292.326
20200408,Hold,98.753,0,0,85,33.726,-1572.269,8427.731
20200409,Hold,100.89,0,0,85,33.726,-1390.624,8609.376
20200413,Hold,105.04,0,0,85,33.726,-1037.874,8962.126
20200414,Hold,105.31,0,0,85,33.726,-1014.924,8985.076
20200415,Hold,103.6,0,0,85,33.726,-1160.274,8839.726
20200416,Hold,107.38,0,0,85,33.726,-838.974,9161.026
20200417,Hold,108.93,0,0,85,33.726,-707.224,9292.776
20200420,Sell,104.83,-85,8906.094724999999,0,8939.821,-1060.179,8939.821
20200421,Hold,104.76,0,0,0,8939.821,-1060.179,8939.821
20200422,Hold,97.502,0,0,0,8939.821,-1060.179,8939.821
20200423,Hold,101.17,0,0,0,8939.821,-1060.179,8939.821
20200424,Buy,105.23,84,-8843.73966,84,96.081,-1064.599,8935.401
20200427,Hold,107.97,0,0,84,96.081,-834.439,9165.561
20200428,Hold,109.88,0,0,84,96.081,-673.999,9326.001
20200429,Hold,107.55,0,0,84,96.081,-869.719,9130.281
20200430,Sell,105.4,-84,8849.173200000001,0,8945.254,-1054.746,8945.254
20200501,Hold,104.4,0,0,0,8945.254,-1054.746,8945.254
20200504,Hold,108.14,0,0,0,8945.254,-1054.746,8945.254
20200505,Buy,109.29,81,-8856.916244999999,81,88.338,-1059.172,8940.828
20200506,Hold,111.13,0,0,81,88.338,-910.132,9089.868
20200507,Hold,111.08,0,0,81,88.338,-914.182,9085.818
20200508,Hold,113.1,0,0,81,88.338,-750.562,9249.438
20200511,Hold,117.16,0,0,81,88.338,-421.702,9578.298
20200512,Hold,115.65,0,0,81,88.338,-544.012,9455.988
20200513,Hold,114.2,0,0,81,88.338,-661.462,9338.538
20200514,Hold,116.53,0,0,81,88.338,-472.732,9527.268
20200515,Hold,119.35,0,0,81,88.338,-244.312,9755.688
20200518,Hold,121.77,0,0,81,88.338,-48.292,9951.708
20200519,Hold,120.78,0,0,81,88.338,-128.482,9871.518
20200520,Sell,116.45,-81,9427.733775,0,9516.072,-483.928,9516.072
20200521,Hold,115.66,0,0,0,9516.072,-483.928,9516.072
20200522,Hold,115.63,0,0,0,9516.072,-483.928,9516.072
20200526,Hold,112.54,0,0,0,9516.072,-483.928,9516.072
20200527,Hold,114.81,0,0,0,9516.072,-483.928,9516.072
20200528,Hold,115.57,0,0,0,9516.072,-483.928,9516.072
20200529,Buy,117.24,81,-9501.188219999998,81,14.884,-488.676,9511.324
20200601,Hold,116.48,0,0,81,14.884,-550.236,9449.764
20200602,Sell,115.96,-81,9388.06362,0,9402.947,-597.053,9402.947
20200603,Buy,118.63,79,-9376.455885,79,26.491,-601.739,9398.261
20200604,Sell,118.16,-79,9329.97268,0,9356.464,-643.536,9356.464
20200605,Buy,117.59,79,-9294.254805,79,62.209,-648.181,9351.819
20200608,Hold,119.28,0,0,79,62.209,-514.671,9485.329
20200609,Sell,117.53,-79,9280.227565000001,0,9342.437,-657.563,9342.437
20200610,Hold,115.4,0,0,0,9342.437,-657.563,9342.437
20200611,Hold,116.4,0,0,0,9342.437,-657.563,9342.437
20200612,Hold,112.37,0,0,0,9342.437,-657.563,9342.437
20200615,Hold,117.23,0,0,0,9342.437,-657.563,9342.437
20200616,Hold,116.29,0,0,0,9342.437,-657.563,9342.437
20200617,Hold,115.09,0,0,0,9342.437,-657.563,9342.437
20200618,Hold,117.01,0,0,0,9342.437,-657.563,9342.437
20200619,Buy,117.29,79,-9270.542954999999,79,71.894,-662.196,9337.804
20200622,Hold,119.76,0,0,79,71.894,-467.066,9532.934
20200623,Hold,117.93,0,0,79,71.894,-611.636,9388.364
20200624,Sell,116.21,-79,9175.999705,0,9247.893,-752.107,9247.893
20200625,Hold,116.81,0,0,0,9247.893,-752.107,9247.893
20200626,Hold,114.35,0,0,0,9247.893,-752.107,9247.893
20200629,Hold,115.71,0,0,0,9247.893,-752.107,9247.893
20200630,Hold,116.72,0,0,0,9247.893,-752.107,9247.893
20200701,Hold,116.79,0,0,0,9247.893,-752.107,9247.893
20200702,Hold,116.82,0,0,0,9247.893,-752.107,9247.893
20200706,Hold,115.14,0,0,0,9247.893,-752.107,9247.893
20200707,Hold,115.0,0,0,0,9247.893,-752.107,9247.893
20200708,Hold,114.32,0,0,0,9247.893,-752.107,9247.893
20200709,Hold,114.68,0,0,0,9247.893,-752.107,9247.893
20200710,Hold,116.2,0,0,0,9247.893,-752.107,9247.893
20200713,Hold,115.57,0,0,0,9247.893,-752.107,9247.893
20200714,Buy,118.06,78,-9213.28434,78,34.609,-756.711,9243.289
20200715,Hold,118.02,0,0,78,34.609,-759.831,9240.169
20200716,Hold,119.38,0,0,78,34.609,-653.751,9346.249
20200717,Hold,118.29,0,0,78,34.609,-738.771,9261.229
20200720,Sell,117.15,-78,9133.131150000001,0,9167.74,-832.26,9167.74
20200721,Hold,117.1,0,0,0,9167.74,-832.26,9167.74
20200722,Buy,120.16,76,-9136.726079999999,76,31.014,-836.826,9163.174
20200723,Hold,119.28,0,0,76,31.014,-903.706,9096.294
20200724,Hold,120.94,0,0,76,31.014,-777.546,9222.454
20200727,Sell,119.35,-76,9066.0647,0,9097.079,-902.921,9097.079
20200728,Buy,120.18,75,-9018.006749999999,75,79.072,-907.428,9092.572
20200729,Sell,119.07,-75,8925.784875000001,0,9004.857,-995.143,9004.857
20200730,Buy,120.96,74,-8955.515519999999,74,49.342,-999.618,9000.382
20200731,Hold,123.13,0,0,74,49.342,-839.038,9160.962
20200803,Hold,124.52,0,0,74,49.342,-736.178,9263.822
20200804,Hold,127.26,0,0,74,49.342,-533.418,9466.582
20200805,Hold,126.04,0,0,74,49.342,-623.698,9376.302
20200806,Hold,125.79,0,0,74,49.342,-642.198,9357.802
20200807,Hold,128.56,0,0,74,49.342,-437.218,9562.782
20200810,Hold,130.14,0,0,74,49.342,-320.298,9679.702
20200811,Hold,131.52,0,0,74,49.342,-218.178,9781.822
20200812,Hold,130.41,0,0,74,49.342,-300.318,9699.682
20200813,Hold,132.3,0,0,74,49.342,-160.458,9839.542
20200814,Hold,134.3,0,0,74,49.342,-12.458,9987.542
20200817,Hold,134.03,0,0,74,49.342,-32.438,9967.562
20200818,Hold,145.25,0,0,74,49.342,797.842,10797.842
20200819,Hold,151.54,0,0,74,49.342,1263.302,11263.302
20200820,Hold,148.99,0,0,74,49.342,1074.602,11074.602
20200821,Hold,151.12,0,0,74,49.342,1232.222,11232.222
20200824,Hold,150.78,0,0,74,49.342,1207.062,11207.062
