,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130108,Hold,55.64,0,0,0,10000,0.0,10000.0
20130109,Hold,55.64,0,0,0,10000,0.0,10000.0
20130110,Hold,55.525,0,0,0,10000,0.0,10000.0
20130111,Hold,55.501,0,0,0,10000,0.0,10000.0
20130114,Hold,55.259,0,0,0,10000,0.0,10000.0
20130115,Buy,55.865,178,-9948.941985000001,178,51.058,-4.972,9995.028
20130116,Hold,56.158,0,0,178,51.058,47.182,10047.182
20130117,Sell,55.793,-178,9926.188423000001,0,9977.246,-22.754,9977.246
20130118,Buy,55.954,178,-9964.791905999999,178,12.455,-27.733,9972.267
20130122,Hold,56.231,0,0,178,12.455,21.573,10021.573
20130123,Hold,56.443,0,0,178,12.455,59.309,10059.309
20130124,Hold,56.655,0,0,178,12.455,97.045,10097.045
20130125,Sell,55.98,-178,9959.457779999999,0,9971.912,-28.088,9971.912
20130128,Hold,56.082,0,0,0,9971.912,-28.088,9971.912
20130129,Buy,56.821,175,-9948.646837499999,175,23.265,-33.06,9966.94
20130130,Sell,56.472,-175,9877.658700000002,0,9900.924,-99.076,9900.924
20130131,Buy,56.888,173,-9846.544812,173,54.379,-103.997,9896.003
20130201,Hold,56.271,0,0,173,54.379,-210.738,9789.262
20130204,Sell,56.618,-173,9790.016543000002,0,9844.396,-155.604,9844.396
20130205,Buy,57.111,172,-9828.003545999998,172,16.392,-160.516,9839.484
20130206,Hold,57.893,0,0,172,16.392,-26.012,9973.988
20130207,Hold,57.696,0,0,172,16.392,-59.896,9940.104
20130208,Hold,57.74,0,0,172,16.392,-52.328,9947.672
20130211,Hold,57.931,0,0,172,16.392,-19.476,9980.524
20130212,Sell,57.771,-172,9931.643694000002,0,9948.036,-51.964,9948.036
20130213,Hold,57.618,0,0,0,9948.036,-51.964,9948.036
20130214,Hold,56.35,0,0,0,9948.036,-51.964,9948.036
20130215,Hold,56.069,0,0,0,9948.036,-51.964,9948.036
20130219,Hold,55.689,0,0,0,9948.036,-51.964,9948.036
20130220,Hold,56.727,0,0,0,9948.036,-51.964,9948.036
20130221,Buy,56.904,174,-9906.246648,174,41.789,-56.915,9943.085
20130222,Hold,57.13,0,0,174,41.789,-17.591,9982.409
20130225,Hold,57.282,0,0,174,41.789,8.857,10008.857
20130226,Hold,57.472,0,0,174,41.789,41.917,10041.917
20130227,Hold,58.017,0,0,174,41.789,136.747,10136.747
20130228,Sell,57.358,-174,9975.301854,0,10017.091,17.091,10017.091
20130301,Buy,57.973,172,-9976.341677999999,172,40.75,12.106,10012.106
20130304,Hold,59.618,0,0,172,40.75,295.046,10295.046
20130305,Hold,59.766,0,0,172,40.75,320.502,10320.502
20130306,Hold,59.551,0,0,172,40.75,283.522,10283.522
20130307,Hold,59.784,0,0,172,40.75,323.598,10323.598
20130308,Hold,59.61,0,0,172,40.75,293.67,10293.67
20130311,Sell,59.497,-172,10228.367258,0,10269.117,269.117,10269.117
20130312,Buy,60.262,170,-10249.66227,170,19.455,263.995,10263.995
20130313,Hold,60.247,0,0,170,19.455,261.445,10261.445
20130314,Sell,59.545,-170,10117.588675,0,10137.043,137.043,10137.043
20130315,Hold,58.959,0,0,0,10137.043,137.043,10137.043
20130318,Hold,59.065,0,0,0,10137.043,137.043,10137.043
20130319,Hold,59.383,0,0,0,10137.043,137.043,10137.043
20130320,Hold,59.433,0,0,0,10137.043,137.043,10137.043
20130321,Buy,59.82,169,-10114.63479,169,22.408,131.988,10131.988
20130322,Hold,60.47,0,0,169,22.408,241.838,10241.838
20130325,Hold,61.111,0,0,169,22.408,350.167,10350.167
20130326,Hold,60.607,0,0,169,22.408,264.991,10264.991
