,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160108,Hold,2.16,0,0,0,10000,0.0,10000.0
20160111,Hold,2.4,0,0,0,10000,0.0,10000.0
20160112,Hold,2.4,0,0,0,10000,0.0,10000.0
20160113,Hold,2.29,0,0,0,10000,0.0,10000.0
20160114,Hold,2.1,0,0,0,10000,0.0,10000.0
20160115,Hold,2.08,0,0,0,10000,0.0,10000.0
20160119,Hold,1.81,0,0,0,10000,0.0,10000.0
20160120,Hold,1.82,0,0,0,10000,0.0,10000.0
20160121,Hold,2.11,0,0,0,10000,0.0,10000.0
20160122,Hold,2.01,0,0,0,10000,0.0,10000.0
20160125,Buy,2.14,4670,-9998.796900000001,4670,1.203,-4.997,9995.003
20160126,Sell,2.08,-4670,9708.7432,0,9709.946,-290.054,9709.946
20160127,Buy,2.16,4493,-9709.73244,4493,0.214,-294.906,9705.094
20160128,Sell,2.09,-4493,9385.674815,0,9385.889,-614.111,9385.889
20160129,Buy,2.17,4323,-9385.600455,4323,0.288,-618.802,9381.198
20160201,Sell,2.11,-4323,9116.969234999999,0,9117.257,-882.743,9117.257
20160202,Hold,2.04,0,0,0,9117.257,-882.743,9117.257
20160203,Hold,2.06,0,0,0,9117.257,-882.743,9117.257
20160204,Hold,2.06,0,0,0,9117.257,-882.743,9117.257
20160205,Hold,1.97,0,0,0,9117.257,-882.743,9117.257
20160208,Hold,1.89,0,0,0,9117.257,-882.743,9117.257
20160209,Hold,1.92,0,0,0,9117.257,-882.743,9117.257
20160210,Hold,1.82,0,0,0,9117.257,-882.743,9117.257
20160211,Hold,1.89,0,0,0,9117.257,-882.743,9117.257
20160212,Hold,1.86,0,0,0,9117.257,-882.743,9117.257
20160216,Hold,1.85,0,0,0,9117.257,-882.743,9117.257
20160217,Hold,1.93,0,0,0,9117.257,-882.743,9117.257
20160218,Hold,1.93,0,0,0,9117.257,-882.743,9117.257
20160219,Hold,1.94,0,0,0,9117.257,-882.743,9117.257
20160222,Buy,2.04,4467,-9117.23634,4467,0.021,-887.299,9112.701
20160223,Sell,1.98,-4467,8840.23767,0,8840.259,-1159.741,8840.259
20160224,Hold,2.02,0,0,0,8840.259,-1159.741,8840.259
20160225,Hold,2.04,0,0,0,8840.259,-1159.741,8840.259
20160226,Hold,2.06,0,0,0,8840.259,-1159.741,8840.259
20160229,Buy,2.16,4090,-8838.817200000001,4090,1.442,-1164.158,8835.842
20160301,Hold,2.2,0,0,4090,1.442,-1000.558,8999.442
20160302,Hold,2.32,0,0,4090,1.442,-509.758,9490.242
20160303,Hold,2.42,0,0,4090,1.442,-100.758,9899.242
20160304,Hold,2.36,0,0,4090,1.442,-346.158,9653.842
20160307,Hold,2.44,0,0,4090,1.442,-18.958,9981.042
20160308,Sell,2.32,-4090,9484.0556,0,9485.497,-514.503,9485.497
20160309,Hold,2.29,0,0,0,9485.497,-514.503,9485.497
20160310,Hold,2.29,0,0,0,9485.497,-514.503,9485.497
20160311,Buy,2.53,3747,-9484.649954999999,3747,0.847,-519.243,9480.757
20160314,Hold,2.67,0,0,3747,0.847,5.337,10005.337
20160315,Hold,2.5,0,0,3747,0.847,-631.653,9368.347
20160316,Hold,2.77,0,0,3747,0.847,380.037,10380.037
20160317,Hold,2.8,0,0,3747,0.847,492.447,10492.447
20160318,Hold,2.9,0,0,3747,0.847,867.147,10867.147
20160321,Hold,2.73,0,0,3747,0.847,230.157,10230.157
20160322,Sell,2.8,-3747,10486.3542,0,10487.201,487.201,10487.201
20160323,Hold,2.69,0,0,0,10487.201,487.201,10487.201
20160324,Hold,2.81,0,0,0,10487.201,487.201,10487.201
20160328,Hold,2.74,0,0,0,10487.201,487.201,10487.201
20160329,Hold,2.88,0,0,0,10487.201,487.201,10487.201
20160330,Hold,2.84,0,0,0,10487.201,487.201,10487.201
20160331,Hold,2.79,0,0,0,10487.201,487.201,10487.201
20160401,Hold,2.83,0,0,0,10487.201,487.201,10487.201
20160404,Hold,2.76,0,0,0,10487.201,487.201,10487.201
20160405,Hold,2.75,0,0,0,10487.201,487.201,10487.201
20160406,Hold,2.76,0,0,0,10487.201,487.201,10487.201
20160407,Hold,2.7,0,0,0,10487.201,487.201,10487.201
20160408,Hold,2.76,0,0,0,10487.201,487.201,10487.201
20160411,Hold,2.79,0,0,0,10487.201,487.201,10487.201
20160412,Hold,2.78,0,0,0,10487.201,487.201,10487.201
20160413,Hold,2.77,0,0,0,10487.201,487.201,10487.201
20160414,Hold,2.72,0,0,0,10487.201,487.201,10487.201
20160415,Hold,2.67,0,0,0,10487.201,487.201,10487.201
20160418,Hold,2.78,0,0,0,10487.201,487.201,10487.201
20160419,Hold,2.62,0,0,0,10487.201,487.201,10487.201
20160420,Hold,2.65,0,0,0,10487.201,487.201,10487.201
20160421,Hold,3.19,0,0,0,10487.201,487.201,10487.201
20160422,Buy,3.81,2751,-10486.550655,2751,0.651,481.961,10481.961
20160425,Hold,3.45,0,0,2751,0.651,-508.399,9491.601
20160426,Hold,3.55,0,0,2751,0.651,-233.299,9766.701
20160427,Hold,3.69,0,0,2751,0.651,151.841,10151.841
20160428,Sell,3.69,-2751,10146.114405,0,10146.765,146.765,10146.765
20160429,Hold,3.58,0,0,0,10146.765,146.765,10146.765
20160502,Buy,3.7,2740,-10143.069,2740,3.696,141.696,10141.696
20160503,Sell,3.54,-2740,9694.7502,0,9698.446,-301.554,9698.446
20160504,Hold,3.64,0,0,0,9698.446,-301.554,9698.446
20160505,Hold,3.65,0,0,0,9698.446,-301.554,9698.446
20160506,Hold,3.66,0,0,0,9698.446,-301.554,9698.446
20160509,Hold,3.66,0,0,0,9698.446,-301.554,9698.446
20160510,Hold,3.61,0,0,0,9698.446,-301.554,9698.446
20160511,Hold,3.65,0,0,0,9698.446,-301.554,9698.446
20160512,Hold,3.56,0,0,0,9698.446,-301.554,9698.446
20160513,Hold,3.67,0,0,0,9698.446,-301.554,9698.446
20160516,Buy,3.8,2550,-9694.845,2550,3.601,-306.399,9693.601
20160517,Hold,3.79,0,0,2550,3.601,-331.899,9668.101
20160518,Hold,3.83,0,0,2550,3.601,-229.899,9770.101
20160519,Sell,3.83,-2550,9761.616750000001,0,9765.218,-234.782,9765.218
20160520,Hold,3.9,0,0,0,9765.218,-234.782,9765.218
20160523,Buy,4.09,2386,-9763.619369999999,2386,1.599,-239.661,9760.339
20160524,Hold,4.24,0,0,2386,1.599,118.239,10118.239
20160525,Hold,4.19,0,0,2386,1.599,-1.061,9998.939
20160526,Hold,4.39,0,0,2386,1.599,476.139,10476.139
20160527,Hold,4.67,0,0,2386,1.599,1144.219,11144.219
20160531,Hold,4.6,0,0,2386,1.599,977.199,10977.199
20160601,Sell,4.37,-2386,10421.60659,0,10423.205,423.205,10423.205
20160602,Hold,4.16,0,0,0,10423.205,423.205,10423.205
20160603,Hold,4.2,0,0,0,10423.205,423.205,10423.205
20160606,Hold,4.56,0,0,0,10423.205,423.205,10423.205
20160607,Buy,4.54,2294,-10419.96738,2294,3.238,417.998,10417.998
20160608,Hold,4.41,0,0,2294,3.238,119.778,10119.778
20160609,Hold,4.4,0,0,2294,3.238,96.838,10096.838
20160610,Sell,4.32,-2294,9905.124960000001,0,9908.363,-91.637,9908.363
20160613,Hold,4.4,0,0,0,9908.363,-91.637,9908.363
20160614,Hold,4.44,0,0,0,9908.363,-91.637,9908.363
20160615,Hold,4.5,0,0,0,9908.363,-91.637,9908.363
20160616,Buy,4.75,2084,-9903.949499999999,2084,4.413,-96.587,9903.413
20160617,Hold,5.39,0,0,2084,4.413,1237.173,11237.173
20160620,Hold,5.1,0,0,2084,4.413,632.813,10632.813
20160621,Hold,5.46,0,0,2084,4.413,1383.053,11383.053
20160622,Hold,5.17,0,0,2084,4.413,778.693,10778.693
20160623,Sell,4.82,-2084,10039.857560000002,0,10044.271,44.271,10044.271
20160624,Hold,4.88,0,0,0,10044.271,44.271,10044.271
20160627,Hold,4.95,0,0,0,10044.271,44.271,10044.271
