,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210108,Buy,49.625,201,-9979.6123125,201,20.388,-4.987,9995.013
20210111,Hold,50.215,0,0.0,201,20.388,113.603,10113.603
20210112,Hold,57.569,0,0.0,201,20.388,1591.757,11591.757
20210113,Hold,56.552,0,0.0,201,20.388,1387.34,11387.34
20210114,Hold,56.94,0,0.0,201,20.388,1465.328,11465.328
20210115,Hold,56.058,0,0.0,201,20.388,1288.046,11288.046
20210119,Hold,56.35,0,0.0,201,20.388,1346.738,11346.738
20210120,Hold,57.122,0,0.0,201,20.388,1501.91,11501.91
20210121,Hold,56.94,0,0.0,201,20.388,1465.328,11465.328
20210122,Sell,54.549,-201,10958.866825500001,0,10979.255,979.255,10979.255
20210125,Hold,53.481,0,0.0,0,10979.255,979.255,10979.255
20210126,Hold,52.838,0,0.0,0,10979.255,979.255,10979.255
20210127,Hold,53.012,0,0.0,0,10979.255,979.255,10979.255
20210128,Buy,54.163,202,-10946.396463,202,32.858,973.784,10973.784
20210129,Hold,54.135,0,0.0,202,32.858,968.128,10968.128
20210201,Hold,55.332,0,0.0,202,32.858,1209.922,11209.922
20210202,Hold,56.016,0,0.0,202,32.858,1348.09,11348.09
20210203,Hold,55.74,0,0.0,202,32.858,1292.338,11292.338
20210204,Hold,57.424,0,0.0,202,32.858,1632.506,11632.506
20210205,Hold,56.815,0,0.0,202,32.858,1509.488,11509.488
20210208,Hold,57.199,0,0.0,202,32.858,1587.056,11587.056
20210209,Hold,57.716,0,0.0,202,32.858,1691.49,11691.49
20210210,Hold,57.516,0,0.0,202,32.858,1651.09,11651.09
20210211,Hold,58.981,0,0.0,202,32.858,1947.02,11947.02
20210212,Hold,60.343,0,0.0,202,32.858,2222.144,12222.144
20210216,Hold,59.848,0,0.0,202,32.858,2122.154,12122.154
20210217,Hold,59.025,0,0.0,202,32.858,1955.908,11955.908
20210218,Hold,60.256,0,0.0,202,32.858,2204.57,12204.57
20210219,Hold,60.226,0,0.0,202,32.858,2198.51,12198.51
20210222,Sell,58.865,-202,11884.784635,0,11917.643,1917.643,11917.643
20210223,Hold,58.913,0,0.0,0,11917.643,1917.643,11917.643
20210224,Buy,60.738,196,-11910.600324,196,7.042,1911.69,11911.69
20210225,Sell,59.263,-196,11609.740226,0,11616.783,1616.783,11616.783
20210226,Hold,60.07,0,0.0,0,11616.783,1616.783,11616.783
20210301,Buy,61.122,189,-11557.834028999998,189,58.949,1611.007,11611.007
20210302,Sell,59.02,-189,11149.202610000002,0,11208.151,1208.151,11208.151
20210303,Hold,58.231,0,0.0,0,11208.151,1208.151,11208.151
20210304,Hold,57.677,0,0.0,0,11208.151,1208.151,11208.151
20210305,Hold,58.853,0,0.0,0,11208.151,1208.151,11208.151
20210308,Hold,59.546,0,0.0,0,11208.151,1208.151,11208.151
20210309,Buy,61.53,182,-11204.05923,182,4.092,1202.552,11202.552
20210310,Hold,61.258,0,0.0,182,4.092,1153.048,11153.048
20210311,Hold,60.977,0,0.0,182,4.092,1101.906,11101.906
20210312,Hold,61.91,0,0.0,182,4.092,1271.712,11271.712
20210315,Hold,62.436,0,0.0,182,4.092,1367.444,11367.444
20210316,Hold,62.507,0,0.0,182,4.092,1380.366,11380.366
20210317,Hold,63.876,0,0.0,182,4.092,1629.524,11629.524
20210318,Hold,61.492,0,0.0,182,4.092,1195.636,11195.636
20210319,Sell,63.087,-182,11476.093083000002,0,11480.185,1480.185,11480.185
20210322,Buy,64.237,178,-11439.903092999999,178,40.282,1474.468,11474.468
20210323,Sell,64.801,-178,11528.810711,0,11569.093,1569.093,11569.093
20210324,Hold,60.008,0,0.0,0,11569.093,1569.093,11569.093
20210325,Hold,60.15,0,0.0,0,11569.093,1569.093,11569.093
20210326,Buy,62.301,185,-11531.4478425,185,37.645,1563.33,11563.33
20210329,Hold,62.066,0,0.0,185,37.645,1519.855,11519.855
20210330,Hold,62.299,0,0.0,185,37.645,1562.96,11562.96
20210331,Hold,62.996,0,0.0,185,37.645,1691.905,11691.905
20210401,Hold,63.214,0,0.0,185,37.645,1732.235,11732.235
20210405,Hold,64.296,0,0.0,185,37.645,1932.405,11932.405
20210406,Hold,63.915,0,0.0,185,37.645,1861.92,11861.92
20210407,Hold,65.18,0,0.0,185,37.645,2095.945,12095.945
20210408,Hold,65.014,0,0.0,185,37.645,2065.235,12065.235
20210409,Hold,66.378,0,0.0,185,37.645,2317.575,12317.575
20210412,Sell,63.858,-185,11807.823135,0,11845.468,1845.468,11845.468
20210413,Hold,63.565,0,0.0,0,11845.468,1845.468,11845.468
20210414,Hold,62.262,0,0.0,0,11845.468,1845.468,11845.468
20210415,Hold,63.585,0,0.0,0,11845.468,1845.468,11845.468
20210416,Hold,62.971,0,0.0,0,11845.468,1845.468,11845.468
20210419,Hold,61.94,0,0.0,0,11845.468,1845.468,11845.468
20210420,Hold,61.112,0,0.0,0,11845.468,1845.468,11845.468
20210421,Buy,61.657,192,-11844.063071999999,192,1.405,1839.549,11839.549
20210422,Sell,57.579,-192,11049.640416,0,11051.045,1051.045,11051.045
20210423,Hold,57.521,0,0.0,0,11051.045,1051.045,11051.045
20210426,Hold,56.991,0,0.0,0,11051.045,1051.045,11051.045
20210427,Hold,55.984,0,0.0,0,11051.045,1051.045,11051.045
20210428,Hold,56.334,0,0.0,0,11051.045,1051.045,11051.045
20210429,Hold,56.07,0,0.0,0,11051.045,1051.045,11051.045
20210430,Hold,56.31,0,0.0,0,11051.045,1051.045,11051.045
20210503,Hold,55.36,0,0.0,0,11051.045,1051.045,11051.045
20210504,Hold,55.439,0,0.0,0,11051.045,1051.045,11051.045
20210505,Hold,55.442,0,0.0,0,11051.045,1051.045,11051.045
