,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120109,Hold,42.589,0,0,0,10000,0.0,10000.0
20120110,Hold,41.981,0,0,0,10000,0.0,10000.0
20120111,Hold,41.875,0,0,0,10000,0.0,10000.0
20120112,Buy,42.166,237,-9998.338670999998,237,1.661,-4.997,9995.003
20120113,Hold,42.864,0,0,237,1.661,160.429,10160.429
20120117,Hold,43.027,0,0,237,1.661,199.06,10199.06
20120118,Hold,43.466,0,0,237,1.661,303.103,10303.103
20120119,Hold,43.69,0,0,237,1.661,356.191,10356.191
20120120,Hold,43.628,0,0,237,1.661,341.497,10341.497
20120123,Hold,43.563,0,0,237,1.661,326.092,10326.092
20120124,Hold,44.503,0,0,237,1.661,548.872,10548.872
20120125,Hold,44.481,0,0,237,1.661,543.658,10543.658
20120126,Sell,43.335,-237,10265.2598025,0,10266.921,266.921,10266.921
20120127,Hold,43.17,0,0,0,10266.921,266.921,10266.921
20120130,Buy,44.393,231,-10259.9103915,231,7.011,261.794,10261.794
20120131,Hold,44.798,0,0,231,7.011,355.349,10355.349
20120201,Hold,45.965,0,0,231,7.011,624.926,10624.926
20120202,Hold,45.867,0,0,231,7.011,602.288,10602.288
20120203,Hold,45.838,0,0,231,7.011,595.589,10595.589
20120206,Hold,45.79,0,0,231,7.011,584.501,10584.501
20120207,Hold,46.254,0,0,231,7.011,691.685,10691.685
20120208,Hold,46.379,0,0,231,7.011,720.56,10720.56
20120209,Hold,46.262,0,0,231,7.011,693.533,10693.533
20120210,Hold,46.681,0,0,231,7.011,790.322,10790.322
20120213,Hold,46.308,0,0,231,7.011,704.159,10704.159
20120214,Hold,46.544,0,0,231,7.011,758.675,10758.675
20120215,Sell,46.499,-231,10735.898365500001,0,10742.909,742.909,10742.909
20120216,Buy,46.887,229,-10742.491561499999,229,0.418,737.541,10737.541
20120217,Hold,47.186,0,0,229,0.418,806.012,10806.012
20120221,Hold,47.171,0,0,229,0.418,802.577,10802.577
20120222,Hold,47.105,0,0,229,0.418,787.463,10787.463
20120223,Hold,48.027,0,0,229,0.418,998.601,10998.601
20120224,Hold,47.401,0,0,229,0.418,855.247,10855.247
20120227,Hold,47.769,0,0,229,0.418,939.519,10939.519
20120228,Sell,47.345,-229,10836.5839975,0,10837.002,837.002,10837.002
20120229,Hold,47.075,0,0,0,10837.002,837.002,10837.002
20120301,Hold,47.361,0,0,0,10837.002,837.002,10837.002
20120302,Hold,47.075,0,0,0,10837.002,837.002,10837.002
20120305,Hold,46.676,0,0,0,10837.002,837.002,10837.002
