,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190108,Buy,142.95,69,-9868.481774999998,69,131.518,-4.932,9995.068
20190109,Hold,143.08,0,0.0,69,131.518,4.038,10004.038
20190110,Hold,143.15,0,0.0,69,131.518,8.868,10008.868
20190111,Hold,142.0,0,0.0,69,131.518,-70.482,9929.518
20190114,Hold,146.01,0,0.0,69,131.518,206.208,10206.208
20190115,Hold,149.0,0,0.0,69,131.518,412.518,10412.518
20190116,Hold,146.95,0,0.0,69,131.518,271.068,10271.068
20190117,Hold,149.75,0,0.0,69,131.518,464.268,10464.268
20190118,Hold,149.2,0,0.0,69,131.518,426.318,10426.318
20190122,Sell,148.28,-69,10226.20434,0,10357.723,357.723,10357.723
20190123,Hold,144.64,0,0.0,0,10357.723,357.723,10357.723
20190124,Hold,147.48,0,0.0,0,10357.723,357.723,10357.723
20190125,Hold,148.05,0,0.0,0,10357.723,357.723,10357.723
20190128,Hold,148.09,0,0.0,0,10357.723,357.723,10357.723
20190129,Hold,146.22,0,0.0,0,10357.723,357.723,10357.723
20190130,Buy,165.6,62,-10272.333599999998,62,85.389,352.589,10352.589
20190131,Hold,165.84,0,0.0,62,85.389,367.469,10367.469
20190201,Hold,165.7,0,0.0,62,85.389,358.789,10358.789
20190204,Hold,169.15,0,0.0,62,85.389,572.689,10572.689
20190205,Hold,171.2,0,0.0,62,85.389,699.789,10699.789
20190206,Hold,168.2,0,0.0,62,85.389,513.789,10513.789
20190207,Sell,164.47,-62,10192.04143,0,10277.43,277.43,10277.43
20190208,Hold,167.9,0,0.0,0,10277.43,277.43,10277.43
20190211,Hold,166.86,0,0.0,0,10277.43,277.43,10277.43
20190212,Hold,165.38,0,0.0,0,10277.43,277.43,10277.43
20190213,Hold,163.19,0,0.0,0,10277.43,277.43,10277.43
20190214,Hold,164.51,0,0.0,0,10277.43,277.43,10277.43
20190215,Hold,160.5,0,0.0,0,10277.43,277.43,10277.43
20190219,Hold,162.25,0,0.0,0,10277.43,277.43,10277.43
20190220,Hold,161.93,0,0.0,0,10277.43,277.43,10277.43
20190221,Hold,160.58,0,0.0,0,10277.43,277.43,10277.43
20190222,Hold,163.07,0,0.0,0,10277.43,277.43,10277.43
20190225,Buy,164.335,62,-10193.864385,62,83.566,272.336,10272.336
20190226,Hold,162.9,0,0.0,62,83.566,183.366,10183.366
20190227,Sell,162.37,-62,10061.90653,0,10145.473,145.473,10145.473
20190228,Hold,162.6,0,0.0,0,10145.473,145.473,10145.473
20190301,Hold,163.9,0,0.0,0,10145.473,145.473,10145.473
20190304,Buy,167.37,60,-10047.2211,60,98.251,140.451,10140.451
20190305,Hold,172.9,0,0.0,60,98.251,472.251,10472.251
20190306,Hold,171.5,0,0.0,60,98.251,388.251,10388.251
20190307,Sell,166.2,-60,9967.014000000001,0,10065.265,65.265,10065.265
20190308,Hold,171.6,0,0.0,0,10065.265,65.265,10065.265
20190311,Buy,172.09,58,-9986.210609999998,58,79.055,60.275,10060.275
