,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210108,Buy,51.86,192,-9962.098559999999,192,37.901,-4.979,9995.021
20210111,Hold,55.22,0,0.0,192,37.901,640.141,10640.141
20210112,Hold,56.75,0,0.0,192,37.901,933.901,10933.901
20210113,Hold,53.3,0,0.0,192,37.901,271.501,10271.501
20210114,Sell,50.7,-192,9729.532800000003,0,9767.434,-232.566,9767.434
20210115,Hold,51.34,0,0.0,0,9767.434,-232.566,9767.434
20210119,Hold,50.61,0,0.0,0,9767.434,-232.566,9767.434
20210120,Buy,53.96,180,-9717.656399999998,180,49.778,-237.422,9762.578
20210121,Hold,53.9,0,0.0,180,49.778,-248.222,9751.778
20210122,Hold,54.8984,0,0.0,180,49.778,-68.51,9931.49
20210125,Hold,54.12,0,0.0,180,49.778,-208.622,9791.378
20210126,Hold,51.76,0,0.0,180,49.778,-633.422,9366.578
20210127,Sell,50.81,-180,9141.227100000002,0,9191.005,-808.995,9191.005
20210128,Buy,52.6,174,-9156.9762,174,34.029,-813.571,9186.429
20210129,Hold,54.0,0,0.0,174,34.029,-569.971,9430.029
20210201,Hold,57.35,0,0.0,174,34.029,12.929,10012.929
20210202,Hold,60.35,0,0.0,174,34.029,534.929,10534.929
20210203,Hold,60.13,0,0.0,174,34.029,496.649,10496.649
20210204,Hold,56.39,0,0.0,174,34.029,-154.111,9845.889
20210205,Hold,63.34,0,0.0,174,34.029,1055.189,11055.189
20210208,Hold,63.16,0,0.0,174,34.029,1023.869,11023.869
20210209,Hold,63.43,0,0.0,174,34.029,1070.849,11070.849
20210210,Hold,63.94,0,0.0,174,34.029,1159.589,11159.589
20210211,Hold,62.06,0,0.0,174,34.029,832.469,10832.469
20210212,Sell,62.28,-174,10831.30164,0,10865.33,865.33,10865.33
20210216,Buy,62.0303,175,-10860.73015125,175,4.6,859.903,10859.903
20210217,Sell,61.98,-175,10841.07675,0,10845.677,845.677,10845.677
20210218,Buy,63.92,169,-10807.881239999999,169,37.796,840.276,10840.276
20210219,Hold,66.35,0,0.0,169,37.796,1250.946,11250.946
20210222,Hold,61.05,0,0.0,169,37.796,355.246,10355.246
20210223,Hold,70.91,0,0.0,169,37.796,2021.586,12021.586
20210224,Hold,69.4,0,0.0,169,37.796,1766.396,11766.396
20210225,Sell,64.86,-169,10955.859330000001,0,10993.655,993.655,10993.655
20210226,Hold,66.93,0,0.0,0,10993.655,993.655,10993.655
20210301,Buy,67.0,164,-10993.493999999999,164,0.161,988.161,10988.161
20210302,Sell,64.52,-164,10575.98936,0,10576.15,576.15,10576.15
20210303,Hold,60.01,0,0.0,0,10576.15,576.15,10576.15
20210304,Hold,57.9,0,0.0,0,10576.15,576.15,10576.15
20210305,Hold,57.8,0,0.0,0,10576.15,576.15,10576.15
20210308,Hold,55.41,0,0.0,0,10576.15,576.15,10576.15
20210309,Hold,57.41,0,0.0,0,10576.15,576.15,10576.15
20210310,Hold,56.75,0,0.0,0,10576.15,576.15,10576.15
20210311,Buy,58.33,181,-10563.008865,181,13.142,570.872,10570.872
20210312,Hold,62.495,0,0.0,181,13.142,1324.737,11324.737
20210315,Hold,64.4,0,0.0,181,13.142,1669.542,11669.542
20210316,Hold,60.82,0,0.0,181,13.142,1021.562,11021.562
20210317,Hold,63.17,0,0.0,181,13.142,1446.912,11446.912
20210318,Sell,58.65,-181,10610.342175,0,10623.484,623.484,10623.484
20210319,Hold,57.19,0,0.0,0,10623.484,623.484,10623.484
20210322,Hold,58.1,0,0.0,0,10623.484,623.484,10623.484
20210323,Hold,55.7,0,0.0,0,10623.484,623.484,10623.484
20210324,Hold,49.27,0,0.0,0,10623.484,623.484,10623.484
20210325,Hold,51.5,0,0.0,0,10623.484,623.484,10623.484
20210326,Hold,51.01,0,0.0,0,10623.484,623.484,10623.484
20210329,Hold,49.07,0,0.0,0,10623.484,623.484,10623.484
20210330,Hold,50.57,0,0.0,0,10623.484,623.484,10623.484
20210331,Buy,53.69,197,-10582.218465,197,41.265,618.195,10618.195
20210401,Hold,55.18,0,0.0,197,41.265,911.725,10911.725
20210405,Hold,56.78,0,0.0,197,41.265,1226.925,11226.925
20210406,Hold,57.12,0,0.0,197,41.265,1293.905,11293.905
20210407,Hold,61.04,0,0.0,197,41.265,2066.145,12066.145
20210408,Hold,62.68,0,0.0,197,41.265,2389.225,12389.225
20210409,Hold,62.81,0,0.0,197,41.265,2414.835,12414.835
20210412,Hold,63.48,0,0.0,197,41.265,2546.825,12546.825
20210413,Hold,64.01,0,0.0,197,41.265,2651.235,12651.235
20210414,Sell,62.51,-197,12308.312765,0,12349.578,2349.578,12349.578
20210415,Buy,63.72,193,-12304.108979999999,193,45.469,2343.429,12343.429
20210416,Sell,60.47,-193,11664.874645,0,11710.344,1710.344,11710.344
20210419,Hold,59.69,0,0.0,0,11710.344,1710.344,11710.344
20210420,Hold,57.65,0,0.0,0,11710.344,1710.344,11710.344
20210421,Hold,59.11,0,0.0,0,11710.344,1710.344,11710.344
20210422,Hold,62.01,0,0.0,0,11710.344,1710.344,11710.344
20210423,Buy,60.97,191,-11651.092634999999,191,59.251,1704.521,11704.521
20210426,Hold,58.73,0,0.0,191,59.251,1276.681,11276.681
20210427,Hold,59.85,0,0.0,191,59.251,1490.601,11490.601
20210428,Hold,62.52,0,0.0,191,59.251,2000.571,12000.571
20210429,Hold,60.86,0,0.0,191,59.251,1683.511,11683.511
20210430,Hold,62.04,0,0.0,191,59.251,1908.891,11908.891
20210503,Sell,57.95,-191,11062.915775000001,0,11122.167,1122.167,11122.167
20210504,Hold,56.75,0,0.0,0,11122.167,1122.167,11122.167
20210505,Hold,53.33,0,0.0,0,11122.167,1122.167,11122.167
20210506,Hold,53.84,0,0.0,0,11122.167,1122.167,11122.167
20210507,Hold,53.18,0,0.0,0,11122.167,1122.167,11122.167
20210510,Hold,50.61,0,0.0,0,11122.167,1122.167,11122.167
20210511,Hold,52.2,0,0.0,0,11122.167,1122.167,11122.167
20210512,Hold,52.01,0,0.0,0,11122.167,1122.167,11122.167
20210513,Hold,51.36,0,0.0,0,11122.167,1122.167,11122.167
20210514,Buy,52.66,211,-11116.815629999997,211,5.351,1116.611,11116.611
20210517,Hold,54.17,0,0.0,211,5.351,1435.221,11435.221
20210518,Hold,51.61,0,0.0,211,5.351,895.061,10895.061
20210519,Hold,54.25,0,0.0,211,5.351,1452.101,11452.101
20210520,Hold,57.21,0,0.0,211,5.351,2076.661,12076.661
20210521,Hold,57.35,0,0.0,211,5.351,2106.201,12106.201
20210524,Hold,60.42,0,0.0,211,5.351,2753.971,12753.971
20210525,Hold,59.97,0,0.0,211,5.351,2659.021,12659.021
20210526,Hold,60.3,0,0.0,211,5.351,2728.651,12728.651
20210527,Hold,61.075,0,0.0,211,5.351,2892.176,12892.176
20210528,Hold,62.9,0,0.0,211,5.351,3277.251,13277.251
20210601,Hold,62.76,0,0.0,211,5.351,3247.711,13247.711
20210602,Hold,61.78,0,0.0,211,5.351,3040.931,13040.931
20210603,Sell,61.0,-211,12864.5645,0,12869.916,2869.916,12869.916
20210604,Hold,60.99,0,0.0,0,12869.916,2869.916,12869.916
20210607,Hold,61.7,0,0.0,0,12869.916,2869.916,12869.916
20210608,Hold,60.53,0,0.0,0,12869.916,2869.916,12869.916
20210609,Buy,61.2,210,-12858.426,210,11.49,2863.49,12863.49
20210610,Hold,62.95,0,0.0,210,11.49,3230.99,13230.99
20210611,Hold,64.56,0,0.0,210,11.49,3569.09,13569.09
20210614,Hold,63.06,0,0.0,210,11.49,3254.09,13254.09
20210615,Hold,62.41,0,0.0,210,11.49,3117.59,13117.59
20210616,Sell,59.63,-210,12516.038850000003,0,12527.529,2527.529,12527.529
20210617,Hold,61.8,0,0.0,0,12527.529,2527.529,12527.529
20210618,Buy,63.06,198,-12492.122940000001,198,35.406,2521.286,12521.286
20210621,Hold,63.62,0,0.0,198,35.406,2632.166,12632.166
20210622,Hold,63.2,0,0.0,198,35.406,2549.006,12549.006
20210623,Hold,67.94,0,0.0,198,35.406,3487.526,13487.526
20210624,Hold,68.11,0,0.0,198,35.406,3521.186,13521.186
20210625,Hold,67.76,0,0.0,198,35.406,3451.886,13451.886
20210628,Hold,66.52,0,0.0,198,35.406,3206.366,13206.366
20210629,Hold,66.85,0,0.0,198,35.406,3271.706,13271.706
20210630,Hold,68.58,0,0.0,198,35.406,3614.246,13614.246
20210701,Hold,68.12,0,0.0,198,35.406,3523.166,13523.166
20210702,Hold,69.685,0,0.0,198,35.406,3833.036,13833.036
20210706,Hold,69.61,0,0.0,198,35.406,3818.186,13818.186
20210707,Sell,62.92,-198,12451.93092,0,12487.337,2487.337,12487.337
20210708,Hold,62.5,0,0.0,0,12487.337,2487.337,12487.337
20210709,Hold,65.9,0,0.0,0,12487.337,2487.337,12487.337
20210712,Hold,64.75,0,0.0,0,12487.337,2487.337,12487.337
20210713,Hold,64.51,0,0.0,0,12487.337,2487.337,12487.337
20210714,Hold,61.64,0,0.0,0,12487.337,2487.337,12487.337
20210715,Hold,61.215,0,0.0,0,12487.337,2487.337,12487.337
20210716,Hold,57.88,0,0.0,0,12487.337,2487.337,12487.337
20210719,Hold,60.59,0,0.0,0,12487.337,2487.337,12487.337
20210720,Buy,62.09,201,-12486.330044999999,201,1.006,2481.096,12481.096
20210721,Hold,62.82,0,0.0,201,1.006,2627.826,12627.826
20210722,Hold,74.14,0,0.0,201,1.006,4903.146,14903.146
20210723,Hold,77.24,0,0.0,201,1.006,5526.246,15526.246
20210726,Hold,75.56,0,0.0,201,1.006,5188.566,15188.566
20210727,Hold,74.5,0,0.0,201,1.006,4975.506,14975.506
20210728,Hold,75.88,0,0.0,201,1.006,5252.886,15252.886
20210729,Hold,74.01,0,0.0,201,1.006,4877.016,14877.016
20210730,Sell,74.3,-201,14926.83285,0,14927.839,4927.839,14927.839
20210802,Hold,73.86,0,0.0,0,14927.839,4927.839,14927.839
20210803,Hold,73.0,0,0.0,0,14927.839,4927.839,14927.839
20210804,Buy,75.82,196,-14868.150359999998,196,59.689,4920.409,14920.409
20210805,Hold,76.39,0,0.0,196,59.689,5032.129,15032.129
20210806,Hold,75.7,0,0.0,196,59.689,4896.889,14896.889
20210809,Hold,78.35,0,0.0,196,59.689,5416.289,15416.289
20210810,Hold,76.41,0,0.0,196,59.689,5036.049,15036.049
20210811,Hold,76.38,0,0.0,196,59.689,5030.169,15030.169
20210812,Sell,75.29,-196,14749.461580000003,0,14809.151,4809.151,14809.151
20210813,Hold,74.03,0,0.0,0,14809.151,4809.151,14809.151
20210816,Hold,71.09,0,0.0,0,14809.151,4809.151,14809.151
20210817,Hold,71.29,0,0.0,0,14809.151,4809.151,14809.151
20210818,Hold,70.5,0,0.0,0,14809.151,4809.151,14809.151
20210819,Hold,71.2,0,0.0,0,14809.151,4809.151,14809.151
20210820,Buy,74.01,199,-14735.353995000001,199,73.797,4801.787,14801.787
20210823,Hold,75.82,0,0.0,199,73.797,5161.977,15161.977
20210824,Hold,74.31,0,0.0,199,73.797,4861.487,14861.487
20210825,Hold,74.72,0,0.0,199,73.797,4943.077,14943.077
20210826,Sell,72.18,-199,14356.638090000002,0,14430.435,4430.435,14430.435
20210827,Hold,73.3,0,0.0,0,14430.435,4430.435,14430.435
20210830,Buy,74.86,192,-14380.306559999999,192,50.128,4423.248,14423.248
20210831,Hold,75.98,0,0.0,192,50.128,4638.288,14638.288
20210901,Hold,74.6,0,0.0,192,50.128,4373.328,14373.328
20210902,Hold,73.92,0,0.0,192,50.128,4242.768,14242.768
20210903,Hold,75.83,0,0.0,192,50.128,4609.488,14609.488
20210907,Hold,76.22,0,0.0,192,50.128,4684.368,14684.368
