,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200108,Buy,33.53,298,-9996.93597,298,3.064,-4.996,9995.004
20200109,Hold,32.86,0,0.0,298,3.064,-204.656,9795.344
20200110,Hold,32.97,0,0.0,298,3.064,-171.876,9828.124
20200113,Sell,32.69,-298,9736.749189999999,0,9739.813,-260.187,9739.813
20200114,Hold,32.99,0,0.0,0,9739.813,-260.187,9739.813
20200115,Hold,33.5,0,0.0,0,9739.813,-260.187,9739.813
20200116,Buy,33.8197,287,-9711.10702695,287,28.706,-265.04,9734.96
20200117,Hold,34.08,0,0.0,287,28.706,-190.334,9809.666
20200121,Hold,34.29,0,0.0,287,28.706,-130.064,9869.936
20200122,Hold,33.99,0,0.0,287,28.706,-216.164,9783.836
20200123,Sell,34.11,-287,9784.675215000001,0,9813.381,-186.619,9813.381
20200124,Hold,32.31,0,0.0,0,9813.381,-186.619,9813.381
20200127,Hold,33.06,0,0.0,0,9813.381,-186.619,9813.381
20200128,Hold,33.59,0,0.0,0,9813.381,-186.619,9813.381
20200129,Hold,32.86,0,0.0,0,9813.381,-186.619,9813.381
20200130,Hold,33.11,0,0.0,0,9813.381,-186.619,9813.381
20200131,Hold,32.56,0,0.0,0,9813.381,-186.619,9813.381
20200203,Hold,33.75,0,0.0,0,9813.381,-186.619,9813.381
20200204,Buy,34.0,288,-9796.895999999999,288,16.485,-191.515,9808.485
20200205,Sell,36.53,-288,10515.37968,0,10531.865,531.865,10531.865
20200206,Buy,37.63,279,-10504.019385,279,27.846,526.616,10526.616
20200207,Hold,36.63,0,0.0,279,27.846,247.616,10247.616
20200210,Hold,36.12,0,0.0,279,27.846,105.326,10105.326
20200211,Sell,36.19,-279,10091.961495000001,0,10119.807,119.807,10119.807
20200212,Hold,36.43,0,0.0,0,10119.807,119.807,10119.807
20200213,Buy,37.0,273,-10106.0505,273,13.757,114.757,10114.757
20200214,Hold,36.78,0,0.0,273,13.757,54.697,10054.697
20200218,Hold,38.09,0,0.0,273,13.757,412.327,10412.327
20200219,Hold,38.76,0,0.0,273,13.757,595.237,10595.237
20200220,Hold,38.67,0,0.0,273,13.757,570.667,10570.667
20200221,Hold,36.5,0,0.0,273,13.757,-21.743,9978.257
20200224,Sell,36.18,-273,9872.20143,0,9885.958,-114.042,9885.958
20200225,Hold,35.28,0,0.0,0,9885.958,-114.042,9885.958
20200226,Hold,33.73,0,0.0,0,9885.958,-114.042,9885.958
20200227,Hold,31.88,0,0.0,0,9885.958,-114.042,9885.958
20200228,Hold,36.0,0,0.0,0,9885.958,-114.042,9885.958
20200302,Buy,36.02,274,-9874.41474,274,11.543,-118.977,9881.023
20200303,Sell,35.76,-274,9793.34088,0,9804.884,-195.116,9804.884
20200304,Buy,35.03,279,-9778.256685,279,26.628,-200.002,9799.998
20200305,Hold,33.81,0,0.0,279,26.628,-540.382,9459.618
20200306,Sell,31.81,-279,8870.552505,0,8897.18,-1102.82,8897.18
20200309,Hold,33.9,0,0.0,0,8897.18,-1102.82,8897.18
20200310,Hold,33.3,0,0.0,0,8897.18,-1102.82,8897.18
20200311,Hold,29.08,0,0.0,0,8897.18,-1102.82,8897.18
20200312,Hold,28.83,0,0.0,0,8897.18,-1102.82,8897.18
20200313,Hold,26.12,0,0.0,0,8897.18,-1102.82,8897.18
20200316,Hold,24.38,0,0.0,0,8897.18,-1102.82,8897.18
20200317,Hold,22.95,0,0.0,0,8897.18,-1102.82,8897.18
20200318,Hold,22.11,0,0.0,0,8897.18,-1102.82,8897.18
20200319,Hold,24.97,0,0.0,0,8897.18,-1102.82,8897.18
20200320,Buy,23.8,373,-8881.838699999998,373,15.341,-1107.259,8892.741
20200323,Hold,25.79,0,0.0,373,15.341,-364.989,9635.011
20200324,Hold,25.85,0,0.0,373,15.341,-342.609,9657.391
20200325,Hold,26.15,0,0.0,373,15.341,-230.709,9769.291
20200326,Hold,25.56,0,0.0,373,15.341,-450.779,9549.221
20200327,Sell,25.25,-373,9413.540875,0,9428.882,-571.118,9428.882
20200330,Hold,25.79,0,0.0,0,9428.882,-571.118,9428.882
20200331,Hold,23.7,0,0.0,0,9428.882,-571.118,9428.882
20200401,Hold,23.0,0,0.0,0,9428.882,-571.118,9428.882
20200402,Hold,24.1,0,0.0,0,9428.882,-571.118,9428.882
20200403,Hold,24.1,0,0.0,0,9428.882,-571.118,9428.882
20200406,Buy,25.97,362,-9405.840569999998,362,23.042,-575.818,9424.182
20200407,Hold,26.785,0,0.0,362,23.042,-280.788,9719.212
20200408,Hold,28.48,0,0.0,362,23.042,332.802,10332.802
20200409,Hold,27.55,0,0.0,362,23.042,-3.858,9996.142
20200413,Hold,28.0,0,0.0,362,23.042,159.042,10159.042
20200414,Hold,27.1,0,0.0,362,23.042,-166.758,9833.242
20200415,Sell,26.86,-362,9718.458340000001,0,9741.5,-258.5,9741.5
20200416,Hold,27.16,0,0.0,0,9741.5,-258.5,9741.5
