,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210108,Hold,47.09,0,0,0,10000,0.0,10000.0
20210111,Hold,48.55,0,0,0,10000,0.0,10000.0
20210112,Hold,48.09,0,0,0,10000,0.0,10000.0
20210113,Hold,47.66,0,0,0,10000,0.0,10000.0
20210114,Hold,46.1,0,0,0,10000,0.0,10000.0
20210115,Hold,45.59,0,0,0,10000,0.0,10000.0
20210119,Hold,46.23,0,0,0,10000,0.0,10000.0
20210120,Buy,47.73,209,-9980.557784999999,209,19.442,-4.988,9995.012
20210121,Hold,46.9,0,0,209,19.442,-178.458,9821.542
20210122,Hold,48.44,0,0,209,19.442,143.402,10143.402
20210125,Hold,48.13,0,0,209,19.442,78.612,10078.612
20210126,Hold,50.64,0,0,209,19.442,603.202,10603.202
20210127,Hold,49.49,0,0,209,19.442,362.852,10362.852
20210128,Hold,51.02,0,0,209,19.442,682.622,10682.622
20210129,Hold,51.2,0,0,209,19.442,720.242,10720.242
20210201,Hold,52.865,0,0,209,19.442,1068.227,11068.227
20210202,Hold,54.56,0,0,209,19.442,1422.482,11422.482
20210203,Hold,54.79,0,0,209,19.442,1470.552,11470.552
20210204,Hold,56.02,0,0,209,19.442,1727.622,11727.622
20210205,Hold,57.8,0,0,209,19.442,2099.642,12099.642
20210208,Hold,58.64,0,0,209,19.442,2275.202,12275.202
20210209,Hold,65.8,0,0,209,19.442,3771.642,13771.642
20210210,Hold,67.99,0,0,209,19.442,4229.352,14229.352
20210211,Hold,68.56,0,0,209,19.442,4348.482,14348.482
20210212,Hold,72.19,0,0,209,19.442,5107.152,15107.152
20210216,Hold,73.05,0,0,209,19.442,5286.892,15286.892
20210217,Hold,70.74,0,0,209,19.442,4804.102,14804.102
20210218,Hold,72.97,0,0,209,19.442,5270.172,15270.172
20210219,Hold,71.73,0,0,209,19.442,5011.012,15011.012
20210222,Sell,68.45,-209,14298.896975000001,0,14318.339,4318.339,14318.339
20210223,Buy,73.1,195,-14261.627249999998,195,56.712,4311.212,14311.212
20210224,Hold,78.15,0,0,195,56.712,5295.962,15295.962
20210225,Hold,76.87,0,0,195,56.712,5046.362,15046.362
20210226,Hold,78.36,0,0,195,56.712,5336.912,15336.912
20210301,Hold,76.61,0,0,195,56.712,4995.662,14995.662
20210302,Sell,74.01,-195,14424.734025000002,0,14481.446,4481.446,14481.446
20210303,Hold,70.61,0,0,0,14481.446,4481.446,14481.446
20210304,Hold,67.67,0,0,0,14481.446,4481.446,14481.446
20210305,Hold,67.4,0,0,0,14481.446,4481.446,14481.446
20210308,Hold,65.725,0,0,0,14481.446,4481.446,14481.446
20210309,Hold,69.4565,0,0,0,14481.446,4481.446,14481.446
20210310,Hold,66.37,0,0,0,14481.446,4481.446,14481.446
20210311,Buy,67.72,213,-14431.57218,213,49.874,4474.234,14474.234
20210312,Hold,68.24,0,0,213,49.874,4584.994,14584.994
20210315,Hold,71.07,0,0,213,49.874,5187.784,15187.784
20210316,Hold,68.32,0,0,213,49.874,4602.034,14602.034
20210317,Hold,69.21,0,0,213,49.874,4791.604,14791.604
20210318,Sell,67.11,-213,14287.282785000001,0,14337.157,4337.157,14337.157
20210319,Hold,66.89,0,0,0,14337.157,4337.157,14337.157
20210322,Hold,65.15,0,0,0,14337.157,4337.157,14337.157
20210323,Hold,64.95,0,0,0,14337.157,4337.157,14337.157
20210324,Hold,60.2,0,0,0,14337.157,4337.157,14337.157
20210325,Hold,61.52,0,0,0,14337.157,4337.157,14337.157
20210326,Hold,62.0,0,0,0,14337.157,4337.157,14337.157
20210329,Buy,62.3,230,-14336.164499999999,230,0.992,4329.992,14329.992
20210330,Hold,63.98,0,0,230,0.992,4716.392,14716.392
20210331,Hold,64.68,0,0,230,0.992,4877.392,14877.392
20210401,Hold,64.14,0,0,230,0.992,4753.192,14753.192
20210405,Hold,64.67,0,0,230,0.992,4875.092,14875.092
20210406,Hold,66.64,0,0,230,0.992,5328.192,15328.192
20210407,Hold,69.91,0,0,230,0.992,6080.292,16080.292
20210408,Hold,70.35,0,0,230,0.992,6181.492,16181.492
20210409,Hold,70.87,0,0,230,0.992,6301.092,16301.092
20210412,Hold,71.72,0,0,230,0.992,6496.592,16496.592
20210413,Hold,72.51,0,0,230,0.992,6678.292,16678.292
20210414,Sell,70.55,-230,16218.386750000001,0,16219.379,6219.379,16219.379
20210415,Buy,71.97,225,-16201.346624999998,225,18.032,6211.282,16211.282
20210416,Sell,69.62,-225,15656.667750000002,0,15674.7,5674.7,15674.7
20210419,Hold,68.01,0,0,0,15674.7,5674.7,15674.7
20210420,Hold,65.73,0,0,0,15674.7,5674.7,15674.7
20210421,Hold,67.42,0,0,0,15674.7,5674.7,15674.7
20210422,Hold,65.72,0,0,0,15674.7,5674.7,15674.7
20210423,Buy,66.49,235,-15632.962575,235,41.737,5666.887,15666.887
20210426,Hold,67.14,0,0,235,41.737,5819.637,15819.637
20210427,Hold,65.55,0,0,235,41.737,5445.987,15445.987
20210428,Sell,67.01,-235,15739.476325000001,0,15781.214,5781.214,15781.214
20210429,Hold,56.0,0,0,0,15781.214,5781.214,15781.214
20210430,Hold,55.52,0,0,0,15781.214,5781.214,15781.214
20210503,Hold,55.07,0,0,0,15781.214,5781.214,15781.214
20210504,Hold,54.95,0,0,0,15781.214,5781.214,15781.214
20210505,Hold,53.48,0,0,0,15781.214,5781.214,15781.214
20210506,Hold,54.77,0,0,0,15781.214,5781.214,15781.214
20210507,Hold,53.01,0,0,0,15781.214,5781.214,15781.214
20210510,Hold,49.52,0,0,0,15781.214,5781.214,15781.214
20210511,Hold,51.87,0,0,0,15781.214,5781.214,15781.214
20210512,Hold,51.675,0,0,0,15781.214,5781.214,15781.214
20210513,Hold,50.61,0,0,0,15781.214,5781.214,15781.214
20210514,Buy,52.23,301,-15729.090615,301,52.123,5773.353,15773.353
20210517,Hold,52.6,0,0,301,52.123,5884.723,15884.723
20210518,Hold,52.19,0,0,301,52.123,5761.313,15761.313
20210519,Hold,53.23,0,0,301,52.123,6074.353,16074.353
20210520,Hold,55.0,0,0,301,52.123,6607.123,16607.123
20210521,Hold,54.9,0,0,301,52.123,6577.023,16577.023
20210524,Hold,57.35,0,0,301,52.123,7314.473,17314.473
20210525,Hold,57.365,0,0,301,52.123,7318.988,17318.988
20210526,Hold,57.64,0,0,301,52.123,7401.763,17401.763
20210527,Hold,58.2,0,0,301,52.123,7570.323,17570.323
20210528,Hold,58.2,0,0,301,52.123,7570.323,17570.323
20210601,Sell,57.28,-301,17232.65936,0,17284.782,7284.782,17284.782
20210602,Hold,56.96,0,0,0,17284.782,7284.782,17284.782
20210603,Hold,57.41,0,0,0,17284.782,7284.782,17284.782
20210604,Buy,58.62,294,-17242.897139999997,294,41.885,7276.165,17276.165
20210607,Hold,59.79,0,0,294,41.885,7620.145,17620.145
20210608,Hold,59.59,0,0,294,41.885,7561.345,17561.345
20210609,Hold,59.8,0,0,294,41.885,7623.085,17623.085
20210610,Hold,59.95,0,0,294,41.885,7667.185,17667.185
20210611,Hold,60.85,0,0,294,41.885,7931.785,17931.785
20210614,Hold,61.09,0,0,294,41.885,8002.345,18002.345
20210615,Hold,60.12,0,0,294,41.885,7717.165,17717.165
20210616,Sell,59.61,-294,17516.57733,0,17558.463,7558.463,17558.463
20210617,Buy,60.2,291,-17526.9591,291,31.504,7549.704,17549.704
20210618,Hold,60.85,0,0,291,31.504,7738.854,17738.854
20210621,Hold,61.92,0,0,291,31.504,8050.224,18050.224
20210622,Hold,63.91,0,0,291,31.504,8629.314,18629.314
