,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140108,Hold,150.77,0,0,0,10000,0.0,10000.0
20140109,Hold,150.79,0,0,0,10000,0.0,10000.0
20140110,Hold,150.33,0,0,0,10000,0.0,10000.0
20140113,Hold,149.13,0,0,0,10000,0.0,10000.0
20140114,Buy,152.07,65,-9889.492274999999,65,110.508,-4.942,9995.058
20140115,Sell,150.7,-65,9790.60225,0,9901.11,-98.89,9901.11
20140116,Hold,148.82,0,0,0,9901.11,-98.89,9901.11
20140117,Hold,148.52,0,0,0,9901.11,-98.89,9901.11
20140121,Hold,147.69,0,0,0,9901.11,-98.89,9901.11
20140122,Hold,148.84,0,0,0,9901.11,-98.89,9901.11
20140123,Hold,147.06,0,0,0,9901.11,-98.89,9901.11
20140124,Hold,145.22,0,0,0,9901.11,-98.89,9901.11
20140127,Buy,152.46,64,-9762.31872,64,138.791,-103.769,9896.231
20140128,Hold,150.27,0,0,64,138.791,-243.929,9756.071
20140129,Hold,153.13,0,0,64,138.791,-60.889,9939.111
20140130,Hold,151.86,0,0,64,138.791,-142.169,9857.831
20140131,Hold,152.32,0,0,64,138.791,-112.729,9887.271
20140203,Sell,152.4,-64,9748.7232,0,9887.514,-112.486,9887.514
20140204,Buy,153.31,64,-9816.74592,64,70.769,-117.391,9882.609
20140205,Sell,152.84,-64,9776.869120000001,0,9847.638,-152.362,9847.638
20140206,Hold,152.98,0,0,0,9847.638,-152.362,9847.638
20140207,Hold,152.58,0,0,0,9847.638,-152.362,9847.638
20140210,Hold,152.11,0,0,0,9847.638,-152.362,9847.638
20140211,Hold,152.95,0,0,0,9847.638,-152.362,9847.638
20140212,Hold,138.18,0,0,0,9847.638,-152.362,9847.638
20140213,Hold,142.46,0,0,0,9847.638,-152.362,9847.638
20140214,Hold,141.94,0,0,0,9847.638,-152.362,9847.638
20140218,Hold,145.02,0,0,0,9847.638,-152.362,9847.638
20140219,Hold,145.23,0,0,0,9847.638,-152.362,9847.638
20140220,Buy,146.01,67,-9787.561335,67,60.076,-157.254,9842.746
20140221,Sell,138.24,-67,9257.44896,0,9317.525,-682.475,9317.525
20140224,Hold,136.44,0,0,0,9317.525,-682.475,9317.525
20140225,Hold,134.66,0,0,0,9317.525,-682.475,9317.525
20140226,Hold,134.69,0,0,0,9317.525,-682.475,9317.525
20140227,Buy,137.71,67,-9231.183285,67,86.342,-687.088,9312.912
20140228,Hold,138.69,0,0,67,86.342,-621.428,9378.572
20140303,Hold,139.57,0,0,67,86.342,-562.468,9437.532
20140304,Hold,141.78,0,0,67,86.342,-414.398,9585.602
20140305,Hold,140.57,0,0,67,86.342,-495.468,9504.532
20140306,Sell,141.56,-67,9479.777740000001,0,9566.12,-433.88,9566.12
20140307,Hold,141.86,0,0,0,9566.12,-433.88,9566.12
20140310,Buy,141.78,67,-9504.00963,67,62.11,-438.63,9561.37
20140311,Sell,140.7,-67,9422.18655,0,9484.297,-515.703,9484.297
20140312,Hold,140.9,0,0,0,9484.297,-515.703,9484.297
20140313,Hold,139.9,0,0,0,9484.297,-515.703,9484.297
20140314,Hold,141.34,0,0,0,9484.297,-515.703,9484.297
20140317,Hold,140.08,0,0,0,9484.297,-515.703,9484.297
20140318,Hold,138.91,0,0,0,9484.297,-515.703,9484.297
20140319,Hold,139.37,0,0,0,9484.297,-515.703,9484.297
20140320,Hold,140.92,0,0,0,9484.297,-515.703,9484.297
20140321,Buy,140.81,67,-9438.987135,67,45.31,-520.42,9479.58
20140324,Sell,139.37,-67,9333.121105000002,0,9378.431,-621.569,9378.431
