,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150108,Buy,180.48,55,-9931.3632,55,68.637,-4.963,9995.037
20150109,Hold,178.93,0,0.0,55,68.637,-90.213,9909.787
20150112,Hold,183.0,0,0.0,55,68.637,133.637,10133.637
20150113,Hold,177.2,0,0.0,55,68.637,-185.363,9814.637
20150114,Sell,174.88,-55,9613.5908,0,9682.228,-317.772,9682.228
20150115,Hold,177.23,0,0.0,0,9682.228,-317.772,9682.228
20150116,Hold,179.63,0,0.0,0,9682.228,-317.772,9682.228
20150120,Hold,171.88,0,0.0,0,9682.228,-317.772,9682.228
20150121,Hold,172.84,0,0.0,0,9682.228,-317.772,9682.228
20150122,Hold,176.13,0,0.0,0,9682.228,-317.772,9682.228
20150123,Hold,175.65,0,0.0,0,9682.228,-317.772,9682.228
20150126,Hold,175.98,0,0.0,0,9682.228,-317.772,9682.228
20150127,Hold,174.35,0,0.0,0,9682.228,-317.772,9682.228
20150128,Hold,167.24,0,0.0,0,9682.228,-317.772,9682.228
20150129,Hold,167.22,0,0.0,0,9682.228,-317.772,9682.228
20150130,Hold,167.18,0,0.0,0,9682.228,-317.772,9682.228
20150202,Buy,171.01,56,-9581.348279999998,56,100.879,-322.561,9677.439
20150203,Hold,174.2,0,0.0,56,100.879,-143.921,9856.079
20150204,Hold,182.48,0,0.0,56,100.879,319.759,10319.759
20150205,Hold,192.9,0,0.0,56,100.879,903.279,10903.279
20150206,Hold,190.61,0,0.0,56,100.879,775.039,10775.039
20150209,Hold,191.8,0,0.0,56,100.879,841.679,10841.679
20150210,Hold,194.41,0,0.0,56,100.879,987.839,10987.839
20150211,Hold,194.45,0,0.0,56,100.879,990.079,10990.079
20150212,Hold,196.1,0,0.0,56,100.879,1082.479,11082.479
20150213,Hold,194.95,0,0.0,56,100.879,1018.079,11018.079
20150217,Hold,194.58,0,0.0,56,100.879,997.359,10997.359
20150218,Sell,193.74,-56,10844.015280000001,0,10944.895,944.895,10944.895
20150219,Hold,193.25,0,0.0,0,10944.895,944.895,10944.895
20150220,Hold,194.29,0,0.0,0,10944.895,944.895,10944.895
20150223,Hold,194.14,0,0.0,0,10944.895,944.895,10944.895
20150224,Buy,196.02,55,-10786.49055,55,158.404,939.504,10939.504
20150225,Hold,201.61,0,0.0,55,158.404,1246.954,11246.954
20150226,Hold,201.73,0,0.0,55,158.404,1253.554,11253.554
20150227,Hold,199.58,0,0.0,55,158.404,1135.304,11135.304
20150302,Hold,205.45,0,0.0,55,158.404,1458.154,11458.154
20150303,Hold,206.36,0,0.0,55,158.404,1508.204,11508.204
20150304,Hold,203.97,0,0.0,55,158.404,1376.754,11376.754
20150305,Hold,203.0,0,0.0,55,158.404,1323.404,11323.404
20150306,Sell,202.93,-55,11155.569425,0,11313.973,1313.973,11313.973
20150309,Hold,202.0,0,0.0,0,11313.973,1313.973,11313.973
20150310,Hold,200.62,0,0.0,0,11313.973,1313.973,11313.973
20150311,Hold,203.7,0,0.0,0,11313.973,1313.973,11313.973
20150312,Buy,212.62,53,-11274.49443,53,39.479,1308.339,11308.339
20150313,Hold,212.44,0,0.0,53,39.479,1298.799,11298.799
20150316,Hold,209.02,0,0.0,53,39.479,1117.539,11117.539
20150317,Hold,208.07,0,0.0,53,39.479,1067.189,11067.189
20150318,Hold,208.36,0,0.0,53,39.479,1082.559,11082.559
20150319,Sell,209.95,-53,11121.786325,0,11161.265,1161.265,11161.265
20150320,Hold,209.47,0,0.0,0,11161.265,1161.265,11161.265
20150323,Buy,208.34,53,-11047.541009999999,53,113.724,1155.744,11155.744
20150324,Sell,208.57,-53,11048.682895,0,11162.407,1162.407,11162.407
20150325,Hold,202.17,0,0.0,0,11162.407,1162.407,11162.407
20150326,Hold,201.04,0,0.0,0,11162.407,1162.407,11162.407
20150327,Hold,200.36,0,0.0,0,11162.407,1162.407,11162.407
20150330,Hold,217.18,0,0.0,0,11162.407,1162.407,11162.407
20150331,Buy,212.74,52,-11068.01124,52,94.396,1156.876,11156.876
20150401,Hold,211.78,0,0.0,52,94.396,1106.956,11106.956
20150402,Hold,209.48,0,0.0,52,94.396,987.356,10987.356
20150406,Hold,214.53,0,0.0,52,94.396,1249.956,11249.956
20150407,Sell,209.04,-52,10864.64496,0,10959.041,959.041,10959.041
20150408,Hold,211.24,0,0.0,0,10959.041,959.041,10959.041
20150409,Buy,211.59,51,-10796.485545,51,162.555,953.645,10953.645
