,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190108,Buy,68.65,145,-9959.227125,145,40.773,-4.977,9995.023
20190109,Hold,67.44,0,0.0,145,40.773,-180.427,9819.573
20190110,Hold,67.83,0,0.0,145,40.773,-123.877,9876.123
20190111,Hold,68.41,0,0.0,145,40.773,-39.777,9960.223
20190114,Sell,67.81,-145,9827.533775000002,0,9868.307,-131.693,9868.307
20190115,Hold,67.51,0,0.0,0,9868.307,-131.693,9868.307
20190116,Hold,66.72,0,0.0,0,9868.307,-131.693,9868.307
20190117,Hold,67.11,0,0.0,0,9868.307,-131.693,9868.307
20190118,Hold,66.75,0,0.0,0,9868.307,-131.693,9868.307
20190122,Hold,66.8,0,0.0,0,9868.307,-131.693,9868.307
20190123,Buy,67.72,145,-9824.3097,145,43.997,-136.603,9863.397
20190124,Hold,68.93,0,0.0,145,43.997,38.847,10038.847
20190125,Hold,67.87,0,0.0,145,43.997,-114.853,9885.147
20190128,Sell,67.66,-145,9805.79465,0,9849.792,-150.208,9849.792
20190129,Hold,67.74,0,0.0,0,9849.792,-150.208,9849.792
20190130,Hold,68.41,0,0.0,0,9849.792,-150.208,9849.792
20190131,Buy,69.46,141,-9798.756929999998,141,51.035,-155.105,9844.895
20190201,Hold,69.41,0,0.0,141,51.035,-162.155,9837.845
20190204,Hold,69.7,0,0.0,141,51.035,-121.265,9878.735
20190205,Sell,66.8,-141,9414.0906,0,9465.125,-534.875,9465.125
20190206,Hold,68.0,0,0.0,0,9465.125,-534.875,9465.125
20190207,Hold,67.64,0,0.0,0,9465.125,-534.875,9465.125
20190208,Buy,68.17,138,-9412.16373,138,52.962,-539.578,9460.422
20190211,Hold,69.0,0,0.0,138,52.962,-425.038,9574.962
20190212,Hold,69.61,0,0.0,138,52.962,-340.858,9659.142
20190213,Hold,69.1,0,0.0,138,52.962,-411.238,9588.762
20190214,Hold,70.65,0,0.0,138,52.962,-197.338,9802.662
20190215,Hold,72.01,0,0.0,138,52.962,-9.658,9990.342
20190219,Hold,72.46,0,0.0,138,52.962,52.442,10052.442
20190220,Hold,72.57,0,0.0,138,52.962,67.622,10067.622
20190221,Hold,73.8,0,0.0,138,52.962,237.362,10237.362
20190222,Hold,73.37,0,0.0,138,52.962,178.022,10178.022
20190225,Sell,71.44,-138,9853.79064,0,9906.752,-93.248,9906.752
20190226,Hold,72.13,0,0.0,0,9906.752,-93.248,9906.752
20190227,Hold,72.08,0,0.0,0,9906.752,-93.248,9906.752
20190228,Hold,72.39,0,0.0,0,9906.752,-93.248,9906.752
20190301,Hold,72.24,0,0.0,0,9906.752,-93.248,9906.752
20190304,Hold,71.75,0,0.0,0,9906.752,-93.248,9906.752
20190305,Hold,71.41,0,0.0,0,9906.752,-93.248,9906.752
20190306,Hold,70.62,0,0.0,0,9906.752,-93.248,9906.752
20190307,Hold,70.93,0,0.0,0,9906.752,-93.248,9906.752
