,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210108,Buy,26.679,374,-9982.934973,374,17.065,-4.989,9995.011
20210111,Sell,26.799,-374,10017.814586999999,0,10034.88,34.88,10034.88
20210112,Hold,26.725,0,0.0,0,10034.88,34.88,10034.88
20210113,Hold,26.595,0,0.0,0,10034.88,34.88,10034.88
20210114,Buy,26.873,373,-10028.6408145,373,6.239,29.868,10029.868
20210115,Hold,27.181,0,0.0,373,6.239,144.752,10144.752
20210119,Hold,26.92,0,0.0,373,6.239,47.399,10047.399
20210120,Hold,26.837,0,0.0,373,6.239,16.44,10016.44
20210121,Sell,26.744,-373,9970.524244000002,0,9976.763,-23.237,9976.763
20210122,Hold,26.697,0,0.0,0,9976.763,-23.237,9976.763
20210125,Buy,27.013,369,-9972.7808985,369,3.982,-28.221,9971.779
20210126,Hold,26.952,0,0.0,369,3.982,-50.73,9949.27
20210127,Hold,26.947,0,0.0,369,3.982,-52.575,9947.425
20210128,Hold,26.715,0,0.0,369,3.982,-138.183,9861.817
20210129,Sell,26.864,-369,9907.859592,0,9911.842,-88.158,9911.842
20210201,Hold,26.715,0,0.0,0,9911.842,-88.158,9911.842
20210202,Hold,26.465,0,0.0,0,9911.842,-88.158,9911.842
20210203,Hold,26.475,0,0.0,0,9911.842,-88.158,9911.842
20210204,Buy,26.901,368,-9904.517784,368,7.324,-93.108,9906.892
20210205,Hold,26.892,0,0.0,368,7.324,-96.42,9903.58
20210208,Hold,26.604,0,0.0,368,7.324,-202.404,9797.596
20210209,Sell,26.585,-368,9778.38836,0,9785.712,-214.288,9785.712
20210210,Hold,26.465,0,0.0,0,9785.712,-214.288,9785.712
20210211,Hold,26.549,0,0.0,0,9785.712,-214.288,9785.712
20210212,Buy,26.735,365,-9763.1541375,365,22.558,-219.167,9780.833
20210216,Hold,26.752,0,0.0,365,22.558,-212.962,9787.038
20210217,Hold,27.431,0,0.0,365,22.558,34.873,10034.873
20210218,Hold,27.189,0,0.0,365,22.558,-53.457,9946.543
20210219,Hold,26.911,0,0.0,365,22.558,-154.927,9845.073
20210222,Hold,27.524,0,0.0,365,22.558,68.818,10068.818
20210223,Hold,27.197,0,0.0,365,22.558,-50.537,9949.463
20210224,Hold,27.069,0,0.0,365,22.558,-97.257,9902.743
20210225,Sell,26.623,-365,9712.5363025,0,9735.094,-264.906,9735.094
20210226,Hold,26.14,0,0.0,0,9735.094,-264.906,9735.094
20210301,Hold,26.066,0,0.0,0,9735.094,-264.906,9735.094
20210302,Hold,26.158,0,0.0,0,9735.094,-264.906,9735.094
20210303,Buy,26.706,364,-9725.844492,364,9.25,-269.766,9730.234
20210304,Hold,26.929,0,0.0,364,9.25,-188.594,9811.406
20210305,Hold,27.421,0,0.0,364,9.25,-9.506,9990.494
20210308,Hold,27.755,0,0.0,364,9.25,112.07,10112.07
20210309,Hold,27.793,0,0.0,364,9.25,125.902,10125.902
20210310,Hold,27.764,0,0.0,364,9.25,115.346,10115.346
20210311,Hold,27.755,0,0.0,364,9.25,112.07,10112.07
20210312,Hold,27.866,0,0.0,364,9.25,152.474,10152.474
20210315,Hold,27.616,0,0.0,364,9.25,61.474,10061.474
20210316,Hold,27.96,0,0.0,364,9.25,186.69,10186.69
20210317,Hold,27.913,0,0.0,364,9.25,169.582,10169.582
20210318,Hold,27.857,0,0.0,364,9.25,149.198,10149.198
20210319,Sell,27.644,-364,10057.384791999999,0,10066.635,66.635,10066.635
20210322,Buy,27.801,361,-10041.1790805,361,25.456,61.617,10061.617
20210323,Hold,27.829,0,0.0,361,25.456,71.725,10071.725
20210324,Hold,27.848,0,0.0,361,25.456,78.584,10078.584
20210325,Hold,28.108,0,0.0,361,25.456,172.444,10172.444
20210326,Hold,28.22,0,0.0,361,25.456,212.876,10212.876
20210329,Hold,28.414,0,0.0,361,25.456,282.91,10282.91
20210330,Hold,28.452,0,0.0,361,25.456,296.628,10296.628
20210331,Hold,28.072,0,0.0,361,25.456,159.448,10159.448
20210401,Hold,28.452,0,0.0,361,25.456,296.628,10296.628
20210405,Hold,28.507,0,0.0,361,25.456,316.483,10316.483
20210406,Hold,28.786,0,0.0,361,25.456,417.202,10417.202
