,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150108,Buy,34.087,293,-9992.484745500002,293,7.515,-4.994,9995.006
20150109,Hold,33.946,0,0.0,293,7.515,-46.307,9953.693
20150112,Hold,34.283,0,0.0,293,7.515,52.434,10052.434
20150113,Hold,33.841,0,0.0,293,7.515,-77.072,9922.928
20150114,Sell,34.11,-293,9989.232885,0,9996.748,-3.252,9996.748
20150115,Hold,34.017,0,0.0,0,9996.748,-3.252,9996.748
20150116,Buy,34.714,287,-9967.899458999998,287,28.849,-8.233,9991.767
20150120,Hold,34.563,0,0.0,287,28.849,-51.57,9948.43
20150121,Hold,34.729,0,0.0,287,28.849,-3.928,9996.072
20150122,Hold,34.563,0,0.0,287,28.849,-51.57,9948.43
20150123,Sell,33.914,-287,9728.451341000002,0,9757.3,-242.7,9757.3
20150126,Hold,33.648,0,0.0,0,9757.3,-242.7,9757.3
20150127,Hold,33.796,0,0.0,0,9757.3,-242.7,9757.3
20150128,Hold,33.078,0,0.0,0,9757.3,-242.7,9757.3
20150129,Hold,33.078,0,0.0,0,9757.3,-242.7,9757.3
20150130,Hold,33.342,0,0.0,0,9757.3,-242.7,9757.3
20150202,Buy,34.135,285,-9733.339237499998,285,23.961,-247.564,9752.436
20150203,Hold,34.403,0,0.0,285,23.961,-171.184,9828.816
20150204,Hold,34.682,0,0.0,285,23.961,-91.669,9908.331
20150205,Hold,34.822,0,0.0,285,23.961,-51.769,9948.231
20150206,Hold,35.398,0,0.0,285,23.961,112.391,10112.391
20150209,Hold,35.547,0,0.0,285,23.961,154.856,10154.856
20150210,Hold,35.645,0,0.0,285,23.961,182.786,10182.786
20150211,Hold,36.006,0,0.0,285,23.961,285.671,10285.671
20150212,Hold,35.66,0,0.0,285,23.961,187.061,10187.061
20150213,Hold,35.381,0,0.0,285,23.961,107.546,10107.546
20150217,Sell,35.524,-285,10119.27783,0,10143.239,143.239,10143.239
20150218,Hold,35.185,0,0.0,0,10143.239,143.239,10143.239
20150219,Hold,35.248,0,0.0,0,10143.239,143.239,10143.239
20150220,Hold,35.32,0,0.0,0,10143.239,143.239,10143.239
20150223,Hold,35.128,0,0.0,0,10143.239,143.239,10143.239
20150224,Buy,35.627,284,-10123.127034000001,284,20.112,138.18,10138.18
20150225,Hold,35.407,0,0.0,284,20.112,75.7,10075.7
20150226,Hold,35.524,0,0.0,284,20.112,108.928,10108.928
20150227,Hold,35.452,0,0.0,284,20.112,88.48,10088.48
20150302,Hold,35.691,0,0.0,284,20.112,156.356,10156.356
20150303,Hold,35.771,0,0.0,284,20.112,179.076,10179.076
20150304,Sell,35.516,-284,10081.500728,0,10101.612,101.612,10101.612
20150305,Hold,34.997,0,0.0,0,10101.612,101.612,10101.612
20150306,Hold,34.832,0,0.0,0,10101.612,101.612,10101.612
20150309,Hold,34.723,0,0.0,0,10101.612,101.612,10101.612
