,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170109,Hold,41.634,0,0,0,10000,0.0,10000.0
20170110,Hold,41.578,0,0,0,10000,0.0,10000.0
20170111,Hold,41.426,0,0,0,10000,0.0,10000.0
20170112,Hold,41.657,0,0,0,10000,0.0,10000.0
20170113,Hold,41.521,0,0,0,10000,0.0,10000.0
20170117,Buy,41.5,240,-9964.98,240,35.02,-4.98,9995.02
20170118,Sell,41.521,-240,9960.057480000001,0,9995.077,-4.923,9995.077
20170119,Hold,41.563,0,0,0,9995.077,-4.923,9995.077
20170120,Buy,41.451,241,-9994.6858455,241,0.392,-9.917,9990.083
20170123,Sell,39.709,-241,9565.084065500001,0,9565.476,-434.524,9565.476
20170124,Hold,39.115,0,0,0,9565.476,-434.524,9565.476
20170125,Hold,38.52,0,0,0,9565.476,-434.524,9565.476
20170126,Hold,38.992,0,0,0,9565.476,-434.524,9565.476
20170127,Hold,39.106,0,0,0,9565.476,-434.524,9565.476
20170130,Hold,38.883,0,0,0,9565.476,-434.524,9565.476
20170131,Hold,38.985,0,0,0,9565.476,-434.524,9565.476
20170201,Hold,38.353,0,0,0,9565.476,-434.524,9565.476
20170202,Hold,38.281,0,0,0,9565.476,-434.524,9565.476
20170203,Hold,38.456,0,0,0,9565.476,-434.524,9565.476
20170206,Hold,38.028,0,0,0,9565.476,-434.524,9565.476
20170207,Hold,38.046,0,0,0,9565.476,-434.524,9565.476
20170208,Hold,38.338,0,0,0,9565.476,-434.524,9565.476
20170209,Buy,38.669,247,-9556.018621499998,247,9.457,-439.3,9560.7
20170210,Hold,38.141,0,0,247,9.457,-569.716,9430.284
20170213,Hold,38.173,0,0,247,9.457,-561.812,9438.188
20170214,Sell,37.928,-247,9363.531891999999,0,9372.989,-627.011,9372.989
20170215,Hold,37.95,0,0,0,9372.989,-627.011,9372.989
20170216,Buy,38.173,245,-9357.0611925,245,15.928,-631.687,9368.313
20170217,Hold,39.123,0,0,245,15.928,-398.937,9601.063
20170221,Hold,39.115,0,0,245,15.928,-400.897,9599.103
20170222,Hold,39.491,0,0,245,15.928,-308.777,9691.223
20170223,Hold,39.729,0,0,245,15.928,-250.467,9749.533
20170224,Hold,39.894,0,0,245,15.928,-210.042,9789.958
20170227,Hold,39.476,0,0,245,15.928,-312.452,9687.548
20170228,Sell,39.158,-245,9588.913145000002,0,9604.841,-395.159,9604.841
20170301,Hold,39.263,0,0,0,9604.841,-395.159,9604.841
20170302,Hold,39.546,0,0,0,9604.841,-395.159,9604.841
20170303,Buy,39.533,242,-9571.769493,242,33.071,-399.943,9600.057
20170306,Hold,39.507,0,0,242,33.071,-406.235,9593.765
20170307,Sell,38.955,-242,9422.396444999998,0,9455.468,-544.532,9455.468
20170308,Hold,38.89,0,0,0,9455.468,-544.532,9455.468
20170309,Hold,39.115,0,0,0,9455.468,-544.532,9455.468
20170310,Hold,38.978,0,0,0,9455.468,-544.532,9455.468
20170313,Hold,39.063,0,0,0,9455.468,-544.532,9455.468
20170314,Buy,38.922,242,-9423.833562,242,31.634,-549.242,9450.758
20170315,Hold,39.525,0,0,242,31.634,-403.316,9596.684
20170316,Hold,39.659,0,0,242,31.634,-370.888,9629.112
20170317,Hold,39.839,0,0,242,31.634,-327.328,9672.672
20170320,Hold,39.886,0,0,242,31.634,-315.954,9684.046
20170321,Hold,39.609,0,0,242,31.634,-382.988,9617.012
20170322,Sell,39.31,-242,9508.263490000001,0,9539.898,-460.102,9539.898
20170323,Hold,39.27,0,0,0,9539.898,-460.102,9539.898
20170324,Hold,39.255,0,0,0,9539.898,-460.102,9539.898
20170327,Hold,38.724,0,0,0,9539.898,-460.102,9539.898
20170328,Hold,38.938,0,0,0,9539.898,-460.102,9539.898
20170329,Hold,38.717,0,0,0,9539.898,-460.102,9539.898
20170330,Hold,38.797,0,0,0,9539.898,-460.102,9539.898
20170331,Hold,38.504,0,0,0,9539.898,-460.102,9539.898
20170403,Buy,38.797,245,-9510.0176325,245,29.88,-464.855,9535.145
20170404,Hold,39.056,0,0,245,29.88,-401.4,9598.6
20170405,Sell,38.795,-245,9500.0226125,0,9529.903,-470.097,9529.903
20170406,Hold,38.764,0,0,0,9529.903,-470.097,9529.903
20170407,Buy,38.956,244,-9510.016632,244,19.886,-474.85,9525.15
20170410,Sell,38.789,-244,9459.783742,0,9479.67,-520.33,9479.67
20170411,Buy,38.802,244,-9472.421844,244,7.248,-525.064,9474.936
20170412,Hold,39.019,0,0,244,7.248,-472.116,9527.884
20170413,Hold,38.922,0,0,244,7.248,-495.784,9504.216
20170417,Hold,38.876,0,0,244,7.248,-507.008,9492.992
20170418,Hold,39.532,0,0,244,7.248,-346.944,9653.056
20170419,Hold,38.316,0,0,244,7.248,-643.648,9356.352
20170420,Sell,38.316,-244,9344.429448000003,0,9351.677,-648.323,9351.677
20170421,Hold,37.683,0,0,0,9351.677,-648.323,9351.677
20170424,Hold,37.548,0,0,0,9351.677,-648.323,9351.677
20170425,Hold,37.382,0,0,0,9351.677,-648.323,9351.677
20170426,Hold,37.867,0,0,0,9351.677,-648.323,9351.677
20170427,Hold,37.292,0,0,0,9351.677,-648.323,9351.677
20170428,Hold,36.828,0,0,0,9351.677,-648.323,9351.677
20170501,Hold,36.781,0,0,0,9351.677,-648.323,9351.677
20170502,Hold,36.798,0,0,0,9351.677,-648.323,9351.677
20170503,Hold,36.924,0,0,0,9351.677,-648.323,9351.677
20170504,Hold,36.844,0,0,0,9351.677,-648.323,9351.677
20170505,Buy,37.354,250,-9343.169249999999,250,8.508,-652.992,9347.008
20170508,Hold,37.196,0,0,250,8.508,-692.492,9307.508
